estrategia,dSortino_anual,LW_p,LW_p_holm,signif_LW
EqualWeight_BuyHold,0.217885,0.055372,0.775206,nao
InvVol,0.052662,0.017572,0.263577,nao
MinVar,-0.002392,0.990373,1.000000,nao
MinVar_c10,0.012720,0.946205,1.000000,nao
MaxSharpe,0.027446,0.928136,1.000000,nao
MaxSharpe_c10,-0.037789,0.890517,1.000000,nao
MaxOmega,-0.192366,0.519388,1.000000,nao
MaxSortino,-0.005441,0.986088,1.000000,nao
MaxKappa3,0.000199,0.999515,1.000000,nao
MinCVaR,-0.040066,0.860204,1.000000,nao
MinCDaR,-0.548087,0.058798,0.775206,nao
BL_classico,0.487500,0.239557,1.000000,nao
BL_classico_c10,0.388861,0.192091,1.000000,nao
BL_downside,0.350532,0.462740,1.000000,nao
BL_downside_c10,0.151596,0.619284,1.000000,nao
