estrategia,data,ticker,peso
EqualWeight,2015-03-02,ABCB4,0.009804
EqualWeight,2015-03-02,ABEV3,0.009804
EqualWeight,2015-03-02,AGRO3,0.009804
EqualWeight,2015-03-02,ALPA4,0.009804
EqualWeight,2015-03-02,AMAR3,0.009804
EqualWeight,2015-03-02,AXIA3,0.009804
EqualWeight,2015-03-02,AXIA6,0.009804
EqualWeight,2015-03-02,B3SA3,0.009804
EqualWeight,2015-03-02,BBAS3,0.009804
EqualWeight,2015-03-02,BBDC3,0.009804
EqualWeight,2015-03-02,BBDC4,0.009804
EqualWeight,2015-03-02,BEEF3,0.009804
EqualWeight,2015-03-02,BRAP4,0.009804
EqualWeight,2015-03-02,BRKM5,0.009804
EqualWeight,2015-03-02,BRSR6,0.009804
EqualWeight,2015-03-02,CGAS5,0.009804
EqualWeight,2015-03-02,CLSC4,0.009804
EqualWeight,2015-03-02,CMIG3,0.009804
EqualWeight,2015-03-02,CMIG4,0.009804
EqualWeight,2015-03-02,COCE5,0.009804
EqualWeight,2015-03-02,CPFE3,0.009804
EqualWeight,2015-03-02,CPLE3,0.009804
EqualWeight,2015-03-02,CSAN3,0.009804
EqualWeight,2015-03-02,CSMG3,0.009804
EqualWeight,2015-03-02,CSNA3,0.009804
EqualWeight,2015-03-02,CSUD3,0.009804
EqualWeight,2015-03-02,CYRE3,0.009804
EqualWeight,2015-03-02,DXCO3,0.009804
EqualWeight,2015-03-02,EGIE3,0.009804
EqualWeight,2015-03-02,EMBJ3,0.009804
EqualWeight,2015-03-02,ENEV3,0.009804
EqualWeight,2015-03-02,EQTL3,0.009804
EqualWeight,2015-03-02,EUCA4,0.009804
EqualWeight,2015-03-02,EVEN3,0.009804
EqualWeight,2015-03-02,EZTC3,0.009804
EqualWeight,2015-03-02,FESA4,0.009804
EqualWeight,2015-03-02,FHER3,0.009804
EqualWeight,2015-03-02,FLRY3,0.009804
EqualWeight,2015-03-02,GFSA3,0.009804
EqualWeight,2015-03-02,GGBR3,0.009804
EqualWeight,2015-03-02,GGBR4,0.009804
EqualWeight,2015-03-02,GOAU4,0.009804
EqualWeight,2015-03-02,GRND3,0.009804
EqualWeight,2015-03-02,HAGA4,0.009804
EqualWeight,2015-03-02,HBOR3,0.009804
EqualWeight,2015-03-02,HYPE3,0.009804
EqualWeight,2015-03-02,INEP4,0.009804
EqualWeight,2015-03-02,ISAE4,0.009804
EqualWeight,2015-03-02,ITSA3,0.009804
EqualWeight,2015-03-02,ITSA4,0.009804
EqualWeight,2015-03-02,ITUB3,0.009804
EqualWeight,2015-03-02,ITUB4,0.009804
EqualWeight,2015-03-02,JHSF3,0.009804
EqualWeight,2015-03-02,KEPL3,0.009804
EqualWeight,2015-03-02,KLBN4,0.009804
EqualWeight,2015-03-02,LAND3,0.009804
EqualWeight,2015-03-02,LOGN3,0.009804
EqualWeight,2015-03-02,LPSB3,0.009804
EqualWeight,2015-03-02,LREN3,0.009804
EqualWeight,2015-03-02,MBRF3,0.009804
EqualWeight,2015-03-02,MDIA3,0.009804
EqualWeight,2015-03-02,MOTV3,0.009804
EqualWeight,2015-03-02,MRVE3,0.009804
EqualWeight,2015-03-02,MULT3,0.009804
EqualWeight,2015-03-02,MYPK3,0.009804
EqualWeight,2015-03-02,NATU3,0.009804
EqualWeight,2015-03-02,ODPV3,0.009804
EqualWeight,2015-03-02,PETR3,0.009804
EqualWeight,2015-03-02,PETR4,0.009804
EqualWeight,2015-03-02,PFRM3,0.009804
EqualWeight,2015-03-02,PINE4,0.009804
EqualWeight,2015-03-02,POMO4,0.009804
EqualWeight,2015-03-02,POSI3,0.009804
EqualWeight,2015-03-02,PSSA3,0.009804
EqualWeight,2015-03-02,RADL3,0.009804
EqualWeight,2015-03-02,RAPT4,0.009804
EqualWeight,2015-03-02,RDNI3,0.009804
EqualWeight,2015-03-02,RENT3,0.009804
EqualWeight,2015-03-02,RIAA3,0.009804
EqualWeight,2015-03-02,ROMI3,0.009804
EqualWeight,2015-03-02,SANB11,0.009804
EqualWeight,2015-03-02,SANB4,0.009804
EqualWeight,2015-03-02,SBSP3,0.009804
EqualWeight,2015-03-02,SCAR3,0.009804
EqualWeight,2015-03-02,SLCE3,0.009804
EqualWeight,2015-03-02,SMTO3,0.009804
EqualWeight,2015-03-02,TASA4,0.009804
EqualWeight,2015-03-02,TCSA3,0.009804
EqualWeight,2015-03-02,TELB4,0.009804
EqualWeight,2015-03-02,TGMA3,0.009804
EqualWeight,2015-03-02,TIMS3,0.009804
EqualWeight,2015-03-02,TOTS3,0.009804
EqualWeight,2015-03-02,TPIS3,0.009804
EqualWeight,2015-03-02,TRIS3,0.009804
EqualWeight,2015-03-02,UNIP6,0.009804
EqualWeight,2015-03-02,USIM3,0.009804
EqualWeight,2015-03-02,USIM5,0.009804
EqualWeight,2015-03-02,VALE3,0.009804
EqualWeight,2015-03-02,VIVT3,0.009804
EqualWeight,2015-03-02,VLID3,0.009804
EqualWeight,2015-03-02,WEGE3,0.009804
EqualWeight,2015-03-02,YDUQ3,0.009804
EqualWeight,2015-04-01,ABCB4,0.009804
EqualWeight,2015-04-01,ABEV3,0.009804
EqualWeight,2015-04-01,AGRO3,0.009804
EqualWeight,2015-04-01,ALPA4,0.009804
EqualWeight,2015-04-01,AMAR3,0.009804
EqualWeight,2015-04-01,AXIA3,0.009804
EqualWeight,2015-04-01,AXIA6,0.009804
EqualWeight,2015-04-01,B3SA3,0.009804
EqualWeight,2015-04-01,BBAS3,0.009804
EqualWeight,2015-04-01,BBDC3,0.009804
EqualWeight,2015-04-01,BBDC4,0.009804
EqualWeight,2015-04-01,BEEF3,0.009804
EqualWeight,2015-04-01,BRAP4,0.009804
EqualWeight,2015-04-01,BRKM5,0.009804
EqualWeight,2015-04-01,BRSR6,0.009804
EqualWeight,2015-04-01,CGAS5,0.009804
EqualWeight,2015-04-01,CLSC4,0.009804
EqualWeight,2015-04-01,CMIG3,0.009804
EqualWeight,2015-04-01,CMIG4,0.009804
EqualWeight,2015-04-01,COCE5,0.009804
EqualWeight,2015-04-01,CPFE3,0.009804
EqualWeight,2015-04-01,CPLE3,0.009804
EqualWeight,2015-04-01,CSAN3,0.009804
EqualWeight,2015-04-01,CSMG3,0.009804
EqualWeight,2015-04-01,CSNA3,0.009804
EqualWeight,2015-04-01,CSUD3,0.009804
EqualWeight,2015-04-01,CYRE3,0.009804
EqualWeight,2015-04-01,DXCO3,0.009804
EqualWeight,2015-04-01,EGIE3,0.009804
EqualWeight,2015-04-01,EMBJ3,0.009804
EqualWeight,2015-04-01,ENEV3,0.009804
EqualWeight,2015-04-01,EQTL3,0.009804
EqualWeight,2015-04-01,EUCA4,0.009804
EqualWeight,2015-04-01,EVEN3,0.009804
EqualWeight,2015-04-01,EZTC3,0.009804
EqualWeight,2015-04-01,FESA4,0.009804
EqualWeight,2015-04-01,FHER3,0.009804
EqualWeight,2015-04-01,FLRY3,0.009804
EqualWeight,2015-04-01,GFSA3,0.009804
EqualWeight,2015-04-01,GGBR3,0.009804
EqualWeight,2015-04-01,GGBR4,0.009804
EqualWeight,2015-04-01,GOAU4,0.009804
EqualWeight,2015-04-01,GRND3,0.009804
EqualWeight,2015-04-01,HAGA4,0.009804
EqualWeight,2015-04-01,HBOR3,0.009804
EqualWeight,2015-04-01,HYPE3,0.009804
EqualWeight,2015-04-01,INEP4,0.009804
EqualWeight,2015-04-01,ISAE4,0.009804
EqualWeight,2015-04-01,ITSA3,0.009804
EqualWeight,2015-04-01,ITSA4,0.009804
EqualWeight,2015-04-01,ITUB3,0.009804
EqualWeight,2015-04-01,ITUB4,0.009804
EqualWeight,2015-04-01,JHSF3,0.009804
EqualWeight,2015-04-01,KEPL3,0.009804
EqualWeight,2015-04-01,KLBN4,0.009804
EqualWeight,2015-04-01,LAND3,0.009804
EqualWeight,2015-04-01,LOGN3,0.009804
EqualWeight,2015-04-01,LPSB3,0.009804
EqualWeight,2015-04-01,LREN3,0.009804
EqualWeight,2015-04-01,MBRF3,0.009804
EqualWeight,2015-04-01,MDIA3,0.009804
EqualWeight,2015-04-01,MOTV3,0.009804
EqualWeight,2015-04-01,MRVE3,0.009804
EqualWeight,2015-04-01,MULT3,0.009804
EqualWeight,2015-04-01,MYPK3,0.009804
EqualWeight,2015-04-01,NATU3,0.009804
EqualWeight,2015-04-01,ODPV3,0.009804
EqualWeight,2015-04-01,PETR3,0.009804
EqualWeight,2015-04-01,PETR4,0.009804
EqualWeight,2015-04-01,PFRM3,0.009804
EqualWeight,2015-04-01,PINE4,0.009804
EqualWeight,2015-04-01,POMO4,0.009804
EqualWeight,2015-04-01,POSI3,0.009804
EqualWeight,2015-04-01,PSSA3,0.009804
EqualWeight,2015-04-01,RADL3,0.009804
EqualWeight,2015-04-01,RAPT4,0.009804
EqualWeight,2015-04-01,RDNI3,0.009804
EqualWeight,2015-04-01,RENT3,0.009804
EqualWeight,2015-04-01,RIAA3,0.009804
EqualWeight,2015-04-01,ROMI3,0.009804
EqualWeight,2015-04-01,SANB11,0.009804
EqualWeight,2015-04-01,SANB4,0.009804
EqualWeight,2015-04-01,SBSP3,0.009804
EqualWeight,2015-04-01,SCAR3,0.009804
EqualWeight,2015-04-01,SLCE3,0.009804
EqualWeight,2015-04-01,SMTO3,0.009804
EqualWeight,2015-04-01,TASA4,0.009804
EqualWeight,2015-04-01,TCSA3,0.009804
EqualWeight,2015-04-01,TELB4,0.009804
EqualWeight,2015-04-01,TGMA3,0.009804
EqualWeight,2015-04-01,TIMS3,0.009804
EqualWeight,2015-04-01,TOTS3,0.009804
EqualWeight,2015-04-01,TPIS3,0.009804
EqualWeight,2015-04-01,TRIS3,0.009804
EqualWeight,2015-04-01,UNIP6,0.009804
EqualWeight,2015-04-01,USIM3,0.009804
EqualWeight,2015-04-01,USIM5,0.009804
EqualWeight,2015-04-01,VALE3,0.009804
EqualWeight,2015-04-01,VIVT3,0.009804
EqualWeight,2015-04-01,VLID3,0.009804
EqualWeight,2015-04-01,WEGE3,0.009804
EqualWeight,2015-04-01,YDUQ3,0.009804
EqualWeight,2015-05-04,ABCB4,0.009804
EqualWeight,2015-05-04,ABEV3,0.009804
EqualWeight,2015-05-04,AGRO3,0.009804
EqualWeight,2015-05-04,ALPA4,0.009804
EqualWeight,2015-05-04,AMAR3,0.009804
EqualWeight,2015-05-04,AXIA3,0.009804
EqualWeight,2015-05-04,AXIA6,0.009804
EqualWeight,2015-05-04,B3SA3,0.009804
EqualWeight,2015-05-04,BBAS3,0.009804
EqualWeight,2015-05-04,BBDC3,0.009804
EqualWeight,2015-05-04,BBDC4,0.009804
EqualWeight,2015-05-04,BEEF3,0.009804
EqualWeight,2015-05-04,BRAP4,0.009804
EqualWeight,2015-05-04,BRKM5,0.009804
EqualWeight,2015-05-04,BRSR6,0.009804
EqualWeight,2015-05-04,CGAS5,0.009804
EqualWeight,2015-05-04,CLSC4,0.009804
EqualWeight,2015-05-04,CMIG3,0.009804
EqualWeight,2015-05-04,CMIG4,0.009804
EqualWeight,2015-05-04,COCE5,0.009804
EqualWeight,2015-05-04,CPFE3,0.009804
EqualWeight,2015-05-04,CPLE3,0.009804
EqualWeight,2015-05-04,CSAN3,0.009804
EqualWeight,2015-05-04,CSMG3,0.009804
EqualWeight,2015-05-04,CSNA3,0.009804
EqualWeight,2015-05-04,CSUD3,0.009804
EqualWeight,2015-05-04,CYRE3,0.009804
EqualWeight,2015-05-04,DXCO3,0.009804
EqualWeight,2015-05-04,EGIE3,0.009804
EqualWeight,2015-05-04,EMBJ3,0.009804
EqualWeight,2015-05-04,ENEV3,0.009804
EqualWeight,2015-05-04,EQTL3,0.009804
EqualWeight,2015-05-04,EUCA4,0.009804
EqualWeight,2015-05-04,EVEN3,0.009804
EqualWeight,2015-05-04,EZTC3,0.009804
EqualWeight,2015-05-04,FESA4,0.009804
EqualWeight,2015-05-04,FHER3,0.009804
EqualWeight,2015-05-04,FLRY3,0.009804
EqualWeight,2015-05-04,GFSA3,0.009804
EqualWeight,2015-05-04,GGBR3,0.009804
EqualWeight,2015-05-04,GGBR4,0.009804
EqualWeight,2015-05-04,GOAU4,0.009804
EqualWeight,2015-05-04,GRND3,0.009804
EqualWeight,2015-05-04,HAGA4,0.009804
EqualWeight,2015-05-04,HBOR3,0.009804
EqualWeight,2015-05-04,HYPE3,0.009804
EqualWeight,2015-05-04,INEP4,0.009804
EqualWeight,2015-05-04,ISAE4,0.009804
EqualWeight,2015-05-04,ITSA3,0.009804
EqualWeight,2015-05-04,ITSA4,0.009804
EqualWeight,2015-05-04,ITUB3,0.009804
EqualWeight,2015-05-04,ITUB4,0.009804
EqualWeight,2015-05-04,JHSF3,0.009804
EqualWeight,2015-05-04,KEPL3,0.009804
EqualWeight,2015-05-04,KLBN4,0.009804
EqualWeight,2015-05-04,LAND3,0.009804
EqualWeight,2015-05-04,LOGN3,0.009804
EqualWeight,2015-05-04,LPSB3,0.009804
EqualWeight,2015-05-04,LREN3,0.009804
EqualWeight,2015-05-04,MBRF3,0.009804
EqualWeight,2015-05-04,MDIA3,0.009804
EqualWeight,2015-05-04,MOTV3,0.009804
EqualWeight,2015-05-04,MRVE3,0.009804
EqualWeight,2015-05-04,MULT3,0.009804
EqualWeight,2015-05-04,MYPK3,0.009804
EqualWeight,2015-05-04,NATU3,0.009804
EqualWeight,2015-05-04,ODPV3,0.009804
EqualWeight,2015-05-04,PETR3,0.009804
EqualWeight,2015-05-04,PETR4,0.009804
EqualWeight,2015-05-04,PFRM3,0.009804
EqualWeight,2015-05-04,PINE4,0.009804
EqualWeight,2015-05-04,POMO4,0.009804
EqualWeight,2015-05-04,POSI3,0.009804
EqualWeight,2015-05-04,PSSA3,0.009804
EqualWeight,2015-05-04,RADL3,0.009804
EqualWeight,2015-05-04,RAPT4,0.009804
EqualWeight,2015-05-04,RDNI3,0.009804
EqualWeight,2015-05-04,RENT3,0.009804
EqualWeight,2015-05-04,RIAA3,0.009804
EqualWeight,2015-05-04,ROMI3,0.009804
EqualWeight,2015-05-04,SANB11,0.009804
EqualWeight,2015-05-04,SANB4,0.009804
EqualWeight,2015-05-04,SBSP3,0.009804
EqualWeight,2015-05-04,SCAR3,0.009804
EqualWeight,2015-05-04,SLCE3,0.009804
EqualWeight,2015-05-04,SMTO3,0.009804
EqualWeight,2015-05-04,TASA4,0.009804
EqualWeight,2015-05-04,TCSA3,0.009804
EqualWeight,2015-05-04,TELB4,0.009804
