data,EqualWeight,InvVol,MinVar,MinVar_c10,MaxSharpe,MaxSharpe_c10,MaxOmega,MaxSortino,MaxKappa3,MinCVaR,MinCDaR,BL_classico,BL_classico_c10,BL_downside,BL_downside_c10,IBOV,EqualWeight_BuyHold
2015-03-02,-0.01475113,-0.01479403,-0.01983862,-0.01870963,-0.00624592,-0.00597558,-0.00175901,-0.00582862,-0.00495461,-0.01290678,-0.02214443,-0.01627646,-0.01793046,-0.01810502,-0.01606717,-0.01090047,-0.00975113
2015-03-03,-0.00027240,-0.00001311,0.00639997,0.00436528,0.00189872,0.00097751,-0.00377127,0.00304750,0.00516718,0.00803788,0.00224523,-0.00086990,0.00106774,-0.00020966,0.00130416,0.00555244,-0.00027222
2015-03-04,-0.00975023,-0.01001601,-0.00937741,-0.00829411,-0.00120473,-0.00182462,-0.00409087,-0.00072203,0.00090857,-0.01113659,0.00856802,-0.00275159,-0.00909945,-0.00097497,-0.00699933,-0.01629597,-0.00961829
2015-03-05,-0.00071749,-0.00014756,0.00218904,0.00082068,0.00093794,0.00037442,0.00249549,0.00079132,0.00127939,0.00186995,0.00176170,-0.00335582,0.00067239,-0.00476391,-0.00111128,-0.00203792,-0.00075945
2015-03-06,-0.00809886,-0.00733975,-0.00297090,-0.00318100,-0.00295689,-0.00395550,-0.00217747,-0.00326347,-0.00272123,-0.00069177,-0.00835313,-0.00751986,-0.00500301,-0.01183580,-0.00625464,-0.00762451,-0.00815148
2015-03-09,-0.01488509,-0.01463842,-0.00983976,-0.00952764,0.00398971,0.00226518,0.00660985,0.00376380,0.00453212,-0.00742095,-0.00875131,-0.00541711,-0.00996454,-0.00403069,-0.01282484,-0.01600962,-0.01450872
2015-03-10,-0.01047482,-0.00962074,-0.00068328,-0.00201469,-0.01225400,-0.01083734,-0.01627755,-0.01215097,-0.01234666,-0.00172821,-0.01379214,-0.00998132,-0.00867772,-0.01404275,-0.01108324,-0.01804782,-0.01062211
2015-03-11,0.00624120,0.00708085,0.00760590,0.00722383,0.01036174,0.01011215,0.00632481,0.01080617,0.01177343,0.00919791,0.01727076,0.00190047,0.00862209,-0.00034435,0.01252929,0.01267627,0.00626902
2015-03-12,0.00918670,0.00927252,0.00871477,0.00914854,0.00582079,0.00715599,0.00553785,0.00600914,0.00580850,0.00552878,0.00687916,0.00957335,0.01414791,0.00483077,0.00733396,-0.00051487,0.00889481
2015-03-13,-0.00131012,-0.00289409,-0.00779698,-0.00619343,-0.00357615,-0.00421248,-0.00413320,-0.00339229,-0.00134127,-0.00993372,-0.00598889,-0.02042031,-0.01368603,-0.02060621,-0.01479227,-0.00582217,-0.00127491
2015-03-16,0.00202099,0.00226856,0.00220567,0.00232289,-0.00279955,-0.00421433,-0.00645379,-0.00291204,-0.00249905,-0.00063204,-0.00661556,-0.00945692,0.00077543,-0.01244827,0.00196133,0.00519386,0.00159447
2015-03-17,0.01915880,0.01834605,0.00627289,0.00671107,0.00396499,0.00333077,0.00423051,0.00349749,0.00301748,0.00282860,0.00651311,0.00051583,0.01593378,-0.00374758,0.01773783,0.02941582,0.01896044
2015-03-18,0.02165068,0.02131156,0.01789464,0.01680062,0.01684132,0.01745613,0.01605861,0.01658202,0.01518511,0.01742429,0.01709429,0.01917148,0.02361084,0.01804407,0.02579817,0.02468066,0.02119618
2015-03-19,-0.00880884,-0.00804817,0.00354880,0.00229011,0.00251080,0.00100016,0.00176112,0.00227484,0.00405350,0.00242087,-0.01764533,0.00204458,-0.00444961,0.00285190,-0.00410131,-0.01111396,-0.00820114
2015-03-20,0.01901422,0.01861870,0.00918991,0.00906370,0.00438283,0.00694131,0.01011930,0.00377578,0.00157504,0.00416213,-0.00241638,0.01953090,0.01705295,0.02338680,0.01368340,0.01988184,0.01876505
2015-03-23,0.00162936,0.00114484,0.00099481,0.00037774,0.00243285,0.00175435,0.00385481,0.00281380,0.00296048,0.00044574,-0.00831360,-0.01369256,-0.00128411,-0.01607241,-0.00571291,-0.00111841,0.00122632
2015-03-24,-0.00280656,-0.00280504,-0.00042084,-0.00151138,-0.00546900,-0.00492429,-0.00308324,-0.00574286,-0.00512164,-0.00003951,-0.00038546,0.00815523,0.00101955,0.01240281,-0.00130639,-0.00775192,-0.00304169
