,ADTV_2010
PETR4,640337216.9554656
ITUB4,201151010.68016195
B3SA3,164919284.68421054
PETR3,164649498.41700405
VALE3,154003342.5222672
BBDC4,139095814.44129553
USIM5,136163620.80566803
GGBR4,131694957.04048583
BBAS3,125137320.40080972
CSNA3,106264894.15789473
PDGR3,82778868.05668016
ITSA4,73864843.60728745
CYRE3,70407640.48987854
GFSA3,52938864.39271255
HYPE3,50824396.44534413
LREN3,49719311.072874494
MRVE3,47224133.04858299
MOTV3,44133338.55465587
TELB4,43494608.655870445
CMIG4,41594889.27530365
SANB11,41261671.95951417
BRAP4,33980918.18218624
NATU3,33703271.28340081
RSID3,33268253.441295546
LAND3,32717831.178137653
CSAN3,31081392.46963563
GOLL54,30161988.75708502
AXIA3,29421875.834008098
GOAU4,28168422.753036436
MBRF3,26728177.518218625
AMER3,25308271.558704454
AXIA6,22580570.36437247
BRKM5,20968258.493927125
DXCO3,20478267.712550607
USIM3,19254905.020242915
LIGT3,18841974.842105262
EMBJ3,18146110.222672064
CPFE3,17396550.842105262
RENT3,16116885.582995951
BBDC3,15906482.777327936
TOTS3,15642223.963562753
EGIE3,13817151.95951417
ITSA3,13435114.477732794
KLBN4,12169363.805668017
ENEV3,11795336.198380567
MULT3,11021242.846153846
OIBR4,10924360.2145749
SBSP3,10850433.016194332
RPMG3,10115255.344129555
PMAM3,10088851.86639676
KEPL3,9903835.995951418
BRSR6,9901800.951417005
EVEN3,8590860.510121457
PSSA3,8160392.842105263
NEXP3,7956505.178137652
ODPV3,7486858.4817813765
ISAE4,7157471.137651822
CSMG3,6911097.793522268
GGBR3,6756001.890688259
RAPT4,6740170.303643725
WEGE3,6706739.3643724695
ABEV3,6205743.9433198385
MYPK3,5784791.659919028
POMO4,5395900.04048583
ITUB3,5392630.7894736845
RADL3,5380600.380566802
LUPA3,5336522.627530364
POSI3,4514788.194331984
TIMS3,4340358.736842105
VIVR3,4258023.113360324
EQTL3,3902201.3522267207
UNIP6,3671173.396761134
YDUQ3,3636509.882591093
MDIA3,3536213.222672065
ABCB4,3353425.1578947366
FLRY3,3267172.186234818
AMAR3,3213329.3441295545
SLCE3,2917195.6356275305
LPSB3,2827021.923076923
ALPA4,2639621.048582996
VLID3,2631936.753036437
INEP4,2580669.4817813765
BEEF3,2490593.2712550606
SMTO3,2204766.6113360324
FICT3,2018756.773279352
EZTC3,2006308.016194332
OIBR3,1908767.7651821862
TGMA3,1903773.3643724697
CMIG3,1864690.085020243
RIAA3,1753447.1255060728
FESA4,1506939.2105263157
COCE5,1504608.7692307692
JHSF3,1415622.943319838
TPIS3,1351683.048582996
FHER3,1299540.133603239
CGAS5,1265991.2388663967
RDNI3,1248275.914979757
EUCA4,1247911.2874493927
TCSA3,1200170.4858299596
PDTC3,1197454.8542510122
ETER3,974729.3643724696
GRND3,919464.020242915
HBOR3,877272.0404858299
PFRM3,863392.9311740891
CLSC4,807734.963562753
VIVT3,776831.7530364372
HAGA4,767312.6234817813
VSTE3,708100.4210526316
ROMI3,696801.1538461539
LOGN3,624414.1740890688
CSUD3,608959.1862348178
SANB4,477802.82995951414
PINE4,476693.65587044536
SCAR3,462716.15789473685
CPLE3,449481.5060728745
AGRO3,417095.4979757085
TRIS3,399559.6113360324
TASA4,374412.2064777328
BRAP3,354780.5425101215
GOAU3,349836.63562753034
POMO3,348859.93522267207
SANB3,297886.2105263158
TUPY3,269617.5870445344
DIRR3,258569.42510121458
PTBL3,242603.1943319838
RCSL4,211317.45344129554
BRKM3,210540.58704453442
BEES3,163348.3198380567
SHUL4,124505.85425101215
SAPR4,56903.75708502025
WHRL4,32122.60728744939
