,ACAO_ABCB4,ACAO_ABEV3,ACAO_AGRO3,ACAO_ALPA4,ACAO_AMAR3,ACAO_AXIA3,ACAO_AXIA6,ACAO_B3SA3,ACAO_BBAS3,ACAO_BBDC3,ACAO_BBDC4,ACAO_BEEF3,ACAO_BRAP4,ACAO_BRKM5,ACAO_BRSR6,ACAO_CGAS5,ACAO_CLSC4,ACAO_CMIG3,ACAO_CMIG4,ACAO_COCE5,ACAO_CPFE3,ACAO_CPLE3,ACAO_CSAN3,ACAO_CSMG3,ACAO_CSNA3,ACAO_CSUD3,ACAO_CYRE3,ACAO_DXCO3,ACAO_EGIE3,ACAO_EMBJ3,ACAO_ENEV3,ACAO_EQTL3,ACAO_EUCA4,ACAO_EVEN3,ACAO_EZTC3,ACAO_FESA4,ACAO_FHER3,ACAO_FLRY3,ACAO_GFSA3,ACAO_GGBR3,ACAO_GGBR4,ACAO_GOAU4,ACAO_GRND3,ACAO_HAGA4,ACAO_HBOR3,ACAO_HYPE3,ACAO_INEP4,ACAO_ISAE4,ACAO_ITSA3,ACAO_ITSA4,ACAO_ITUB3,ACAO_ITUB4,ACAO_JHSF3,ACAO_KEPL3,ACAO_KLBN4,ACAO_LAND3,ACAO_LOGN3,ACAO_LPSB3,ACAO_LREN3,ACAO_MBRF3,ACAO_MDIA3,ACAO_MOTV3,ACAO_MRVE3,ACAO_MULT3,ACAO_MYPK3,ACAO_NATU3,ACAO_ODPV3,ACAO_PETR3,ACAO_PETR4,ACAO_PFRM3,ACAO_PINE4,ACAO_POMO4,ACAO_POSI3,ACAO_PSSA3,ACAO_RADL3,ACAO_RAPT4,ACAO_RDNI3,ACAO_RENT3,ACAO_RIAA3,ACAO_ROMI3,ACAO_SANB11,ACAO_SANB4,ACAO_SBSP3,ACAO_SCAR3,ACAO_SLCE3,ACAO_SMTO3,ACAO_TASA4,ACAO_TCSA3,ACAO_TELB4,ACAO_TGMA3,ACAO_TIMS3,ACAO_TOTS3,ACAO_TPIS3,ACAO_TRIS3,ACAO_UNIP6,ACAO_USIM3,ACAO_USIM5,ACAO_VALE3,ACAO_VIVT3,ACAO_VLID3,ACAO_WEGE3,ACAO_YDUQ3
ACAO_ABCB4,0.0971512288,0.0195863633,0.0143119874,0.0302568389,0.0423501542,0.0439888028,0.0389499224,0.0444842957,0.0511715718,0.0445235646,0.0476379917,0.0210668119,0.0309530701,0.0297864116,0.0487744134,0.0131570315,0.0157613393,0.0349019565,0.0381075597,0.0144467722,0.0221616062,0.0306897875,0.0368076366,0.0286429536,0.0460481886,0.0268766996,0.0506498120,0.0427600736,0.0193820475,0.0218049719,0.0209334232,0.0237607165,0.0265460398,0.0503727044,0.0479838969,0.0271822590,0.0312646946,0.0236165064,0.0494525469,0.0323342757,0.0359425387,0.0399804282,0.0287895929,0.0197655300,0.0508961528,0.0284632813,0.0260435048,0.0188248019,0.0317343403,0.0432035074,0.0386911990,0.0441301694,0.0442846585,0.0223951772,0.0161445790,0.0194387058,0.0317808658,0.0409341680,0.0427406290,0.0309563116,0.0235325861,0.0346787638,0.0471867167,0.0347419106,0.0400612645,0.0335667664,0.0194753347,0.0413117304,0.0422924599,0.0253043660,0.0223493728,0.0377936293,0.0394395151,0.0217461983,0.0218019862,0.0440394138,0.0206364667,0.0404295510,0.0399869498,0.0264252823,0.0438736282,0.0333064480,0.0332007038,0.0160242786,0.0186026899,0.0249674270,0.0207050149,0.0454208669,0.0208593182,0.0380845002,0.0254692137,0.0276201392,0.0316320840,0.0360614627,0.0248372005,0.0346290960,0.0451690628,0.0267971500,0.0159949229,0.0289572457,0.0209063845,0.0396960460
ACAO_ABEV3,0.0195863633,0.0552743008,0.0080108615,0.0215519404,0.0277840406,0.0283961590,0.0248386402,0.0308729038,0.0291727408,0.0303532335,0.0303879636,0.0170549464,0.0205801890,0.0229851046,0.0265209050,0.0075064383,0.0087171395,0.0227942618,0.0251987949,0.0078296918,0.0186912792,0.0200806075,0.0266187090,0.0178100667,0.0298925709,0.0173708625,0.0323474562,0.0281062108,0.0160899136,0.0207662897,0.0177503835,0.0176154982,0.0146640725,0.0287933787,0.0299083918,0.0142465326,0.0145453756,0.0175414893,0.0291752646,0.0214487798,0.0247347152,0.0255617194,0.0201610461,0.0140400383,0.0317094605,0.0223898404,0.0138175939,0.0117765432,0.0201354421,0.0279615628,0.0253826861,0.0289168053,0.0294307735,0.0147025276,0.0139377275,0.0126259551,0.0211012127,0.0234962497,0.0316192080,0.0212771279,0.0208059114,0.0261175503,0.0318096584,0.0254580033,0.0238838645,0.0269132308,0.0133388737,0.0263549572,0.0265270402,0.0138875849,0.0135003405,0.0243262359,0.0253782372,0.0176344379,0.0214692149,0.0277755162,0.0114301651,0.0278946548,0.0282100816,0.0184283442,0.0289970601,0.0248751531,0.0243880055,0.0111190713,0.0114534922,0.0179425577,0.0161923467,0.0273281460,0.0147969517,0.0227643215,0.0214885753,0.0202917323,0.0184392911,0.0229890274,0.0155225083,0.0230378697,0.0276888468,0.0190257148,0.0166868097,0.0168801732,0.0193743762,0.0274955711
ACAO_AGRO3,0.0143119874,0.0080108615,0.0695417096,0.0135004380,0.0207450520,0.0156457146,0.0157676377,0.0162502147,0.0172769207,0.0127427261,0.0130851840,0.0149352467,0.0138823473,0.0150352665,0.0146334939,0.0055410631,0.0073573226,0.0125315040,0.0130047808,0.0074588246,0.0087551025,0.0107426638,0.0169718025,0.0115230492,0.0214624679,0.0147391269,0.0192015179,0.0175460235,0.0067523851,0.0094529167,0.0103704455,0.0106108245,0.0116382275,0.0207185297,0.0202336131,0.0178487508,0.0183908482,0.0128368119,0.0233153851,0.0147939617,0.0160456564,0.0172297599,0.0129251904,0.0137443964,0.0224906661,0.0132158002,0.0145874414,0.0071632034,0.0101247403,0.0126450930,0.0120227233,0.0123354629,0.0206827177,0.0147164209,0.0076495919,0.0160365255,0.0181360472,0.0191489324,0.0186326116,0.0187260035,0.0093506061,0.0141172589,0.0188062934,0.0147810428,0.0150582122,0.0131217079,0.0089723439,0.0156261486,0.0152449260,0.0134516622,0.0130276150,0.0144732539,0.0215194608,0.0090635666,0.0097907787,0.0176652451,0.0121237379,0.0159314216,0.0202862475,0.0158496726,0.0131215806,0.0133652147,0.0141227378,0.0076595174,0.0223284046,0.0159305292,0.0183516171,0.0213093638,0.0098846509,0.0180857113,0.0082160442,0.0129860078,0.0164653944,0.0209401992,0.0154056219,0.0195295798,0.0203132275,0.0126980766,0.0083001809,0.0130474055,0.0106691614,0.0186589076
ACAO_ALPA4,0.0302568389,0.0215519404,0.0135004380,0.1264965976,0.0560546779,0.0407545316,0.0357994293,0.0463416069,0.0353898214,0.0353658152,0.0369732314,0.0231417764,0.0236665624,0.0311812597,0.0343919844,0.0118267972,0.0146732673,0.0300512576,0.0327780357,0.0126990759,0.0221877434,0.0281141813,0.0403537560,0.0254710187,0.0392503492,0.0308968140,0.0589261698,0.0486762804,0.0176470645,0.0226385341,0.0338062245,0.0257127566,0.0246846485,0.0534293122,0.0577967789,0.0242170302,0.0269570780,0.0325094215,0.0539531071,0.0257243443,0.0292883030,0.0315664812,0.0385225857,0.0228143268,0.0581208847,0.0329106173,0.0290085947,0.0186906252,0.0273106701,0.0345042497,0.0292470819,0.0326622402,0.0465266929,0.0225582438,0.0165335462,0.0195644901,0.0325606041,0.0434922113,0.0567794733,0.0296774143,0.0271320677,0.0361597128,0.0587355791,0.0393673631,0.0346279126,0.0467129785,0.0235338350,0.0323251767,0.0336301581,0.0248666883,0.0233214172,0.0362485113,0.0441892419,0.0242649888,0.0274504578,0.0422901846,0.0216502778,0.0485513278,0.0579424437,0.0354155660,0.0336590281,0.0289943245,0.0326359494,0.0198986244,0.0176967625,0.0286627416,0.0277779645,0.0516235364,0.0227483790,0.0387206726,0.0242432257,0.0363197222,0.0309560141,0.0455289775,0.0237879861,0.0354431440,0.0390924522,0.0189416579,0.0195264045,0.0308875724,0.0245089568,0.0523036641
ACAO_AMAR3,0.0423501542,0.0277840406,0.0207450520,0.0560546779,0.2375209552,0.0529042046,0.0456784440,0.0568469128,0.0521984589,0.0432746302,0.0448846820,0.0253588381,0.0293996527,0.0356684175,0.0525525212,0.0153981851,0.0194757640,0.0417327780,0.0440688741,0.0191203435,0.0290134403,0.0344200176,0.0460315755,0.0354716269,0.0510273507,0.0488742625,0.0779139372,0.0593321083,0.0225988648,0.0329943426,0.0393508535,0.0325197639,0.0372683565,0.0780756723,0.0764381914,0.0338825109,0.0373787034,0.0332206138,0.0894513007,0.0366306896,0.0378586616,0.0396291507,0.0452455315,0.0329246071,0.0850355736,0.0429430160,0.0435112217,0.0217986638,0.0336648165,0.0417318787,0.0371008052,0.0406413656,0.0690849676,0.0308081330,0.0164240843,0.0281992957,0.0487433952,0.0700713722,0.0755081545,0.0338271151,0.0311111379,0.0467065695,0.0788106083,0.0523002680,0.0491092777,0.0559063348,0.0268879130,0.0399754553,0.0413055713,0.0367805789,0.0331491055,0.0514098967,0.0670942650,0.0323279914,0.0323933633,0.0597282214,0.0283650264,0.0601137568,0.0777133206,0.0503964030,0.0409289002,0.0374523236,0.0409517382,0.0240066938,0.0218463807,0.0263173733,0.0305222819,0.0815825620,0.0333979550,0.0549788011,0.0307188583,0.0413968668,0.0517880150,0.0676571226,0.0306199548,0.0475064138,0.0544141448,0.0264306259,0.0213661136,0.0471758760,0.0255678024,0.0739969405
ACAO_AXIA3,0.0439888028,0.0283961590,0.0156457146,0.0407545316,0.0529042046,0.1690653563,0.1379650030,0.0635402607,0.0658550729,0.0568855269,0.0569537265,0.0252278459,0.0413531627,0.0409412917,0.0531154888,0.0169573542,0.0230908294,0.0652345820,0.0700905783,0.0231958835,0.0437602013,0.0555192978,0.0502015084,0.0452795886,0.0684748583,0.0348541834,0.0690016634,0.0567084269,0.0371861688,0.0302691476,0.0374969991,0.0426981188,0.0321436001,0.0634368017,0.0617958181,0.0330217369,0.0366193914,0.0326814373,0.0644519967,0.0444956526,0.0487466777,0.0544546767,0.0365898325,0.0243625440,0.0657827790,0.0385427200,0.0302484366,0.0354418442,0.0398661446,0.0547379882,0.0456431884,0.0530344955,0.0571994289,0.0277431614,0.0217070112,0.0285989466,0.0444992800,0.0504002400,0.0604681475,0.0425334192,0.0320922345,0.0512928468,0.0659561293,0.0472182728,0.0446858504,0.0503822631,0.0267207744,0.0631976822,0.0649089675,0.0305501021,0.0270318526,0.0450846864,0.0506406320,0.0318856966,0.0296868874,0.0574523356,0.0271577664,0.0549999605,0.0525392540,0.0401299924,0.0518792191,0.0453069288,0.0581242795,0.0225931705,0.0186406901,0.0284946727,0.0276818028,0.0605111719,0.0267191526,0.0495750119,0.0356282088,0.0372484106,0.0391855014,0.0478208091,0.0288482673,0.0518954139,0.0680566508,0.0363625353,0.0267347958,0.0339886272,0.0281632707,0.0517641874
ACAO_AXIA6,0.0389499224,0.0248386402,0.0157676377,0.0357994293,0.0456784440,0.1379650030,0.1394319049,0.0553897526,0.0579723932,0.0492579485,0.0495011308,0.0232470269,0.0341076817,0.0363528795,0.0475633464,0.0140764103,0.0190017487,0.0567133557,0.0619859512,0.0200076019,0.0385585900,0.0496614129,0.0451316396,0.0402227006,0.0581434826,0.0313037253,0.0607140979,0.0494617729,0.0327822702,0.0275343775,0.0300295188,0.0374971026,0.0276956942,0.0545276923,0.0544638661,0.0293677493,0.0339374463,0.0283434718,0.0559844674,0.0370771091,0.0408133503,0.0453007755,0.0321123320,0.0205932467,0.0570089502,0.0336007727,0.0258175264,0.0310235082,0.0346279069,0.0478041244,0.0395688848,0.0464766597,0.0491153234,0.0241440660,0.0188835446,0.0249290117,0.0403043334,0.0428979703,0.0533999488,0.0369014006,0.0287064798,0.0448734879,0.0572893671,0.0410619898,0.0399817317,0.0449346642,0.0223843997,0.0525863735,0.0540220216,0.0275079199,0.0236636050,0.0391390756,0.0441446203,0.0267562769,0.0270654743,0.0507158240,0.0239951083,0.0481415858,0.0466639716,0.0363215737,0.0457383499,0.0399671710,0.0503290215,0.0203163848,0.0167509762,0.0239708946,0.0239731618,0.0512594862,0.0241003068,0.0433319889,0.0314042906,0.0330709870,0.0340572747,0.0400585728,0.0252992610,0.0416669242,0.0562376381,0.0291519137,0.0228763636,0.0305838415,0.0241783783,0.0465646751
ACAO_B3SA3,0.0444842957,0.0308729038,0.0162502147,0.0463416069,0.0568469128,0.0635402607,0.0553897526,0.1227963831,0.0618493459,0.0590516757,0.0600954861,0.0279219958,0.0426716595,0.0429718396,0.0532217491,0.0152178375,0.0197935661,0.0436176839,0.0503999126,0.0206632421,0.0347151774,0.0417467701,0.0552879375,0.0381480270,0.0646040745,0.0373956617,0.0775918067,0.0630067069,0.0301338991,0.0281939777,0.0371939403,0.0363002149,0.0331967052,0.0704634124,0.0687388279,0.0336919093,0.0339487042,0.0364441767,0.0702083897,0.0436147782,0.0489405462,0.0538978023,0.0368535491,0.0254546575,0.0709519139,0.0451789460,0.0328285428,0.0274252510,0.0440297712,0.0573148260,0.0486917147,0.0564398752,0.0609362009,0.0322617964,0.0240232637,0.0266424662,0.0427137197,0.0538020361,0.0660555699,0.0427341144,0.0345899576,0.0542678717,0.0758148293,0.0537865660,0.0467130791,0.0512022724,0.0277571571,0.0584939065,0.0595920617,0.0289115509,0.0272616006,0.0479500512,0.0539886735,0.0331351455,0.0349250423,0.0576074505,0.0247706646,0.0618905973,0.0578768765,0.0384536295,0.0534722760,0.0447242145,0.0474949470,0.0208410120,0.0232759713,0.0330883189,0.0315341429,0.0646228286,0.0298354440,0.0473857022,0.0358412562,0.0423926688,0.0386825299,0.0506974384,0.0327371652,0.0494442820,0.0623748509,0.0375669361,0.0239663050,0.0368183392,0.0337658308,0.0581405114
ACAO_BBAS3,0.0511715718,0.0291727408,0.0172769207,0.0353898214,0.0521984589,0.0658550729,0.0579723932,0.0618493459,0.1173500553,0.0703224845,0.0733048451,0.0234383833,0.0450555727,0.0388825777,0.0684995455,0.0142789878,0.0195192801,0.0508146397,0.0566897039,0.0179376919,0.0324693724,0.0411313598,0.0500684165,0.0358327031,0.0675345807,0.0321935447,0.0653388161,0.0528319144,0.0298147696,0.0274810284,0.0283861366,0.0312543335,0.0317298249,0.0602014901,0.0571502893,0.0331701140,0.0332834490,0.0305451856,0.0621721716,0.0469308818,0.0516413723,0.0559947816,0.0330900040,0.0227986863,0.0593888172,0.0385707679,0.0307459840,0.0257878964,0.0505804334,0.0678038461,0.0602069445,0.0699003117,0.0553390866,0.0264031071,0.0204476919,0.0270640842,0.0405295501,0.0472186846,0.0570705917,0.0390122683,0.0301198083,0.0512309464,0.0613977958,0.0473775222,0.0470966753,0.0441757245,0.0232152782,0.0713320785,0.0737678444,0.0260565471,0.0255999444,0.0462506087,0.0487093543,0.0334854079,0.0278129439,0.0576822846,0.0218385177,0.0531342531,0.0464733605,0.0308171858,0.0648968078,0.0544058991,0.0463001911,0.0219190239,0.0194330679,0.0270722052,0.0275605051,0.0559677554,0.0258178846,0.0461823961,0.0359645158,0.0296692347,0.0355465712,0.0397640208,0.0270468191,0.0487017645,0.0659074201,0.0405910308,0.0258309041,0.0347570253,0.0264954816,0.0524933868
ACAO_BBDC3,0.0445235646,0.0303532335,0.0127427261,0.0353658152,0.0432746302,0.0568855269,0.0492579485,0.0590516757,0.0703224845,0.0862233151,0.0817468834,0.0200631049,0.0402200659,0.0402698331,0.0566638781,0.0129941954,0.0170147414,0.0422049698,0.0473125236,0.0134159636,0.0301862525,0.0366110544,0.0470239666,0.0307473982,0.0610693502,0.0288966789,0.0585451552,0.0491084823,0.0277432860,0.0300827612,0.0263940829,0.0294561827,0.0271589966,0.0536289745,0.0508762295,0.0287624362,0.0275217726,0.0278766495,0.0538363702,0.0421815988,0.0472356382,0.0495872587,0.0307281604,0.0198427612,0.0546687724,0.0361637209,0.0257081176,0.0233590465,0.0471545390,0.0651613279,0.0587341663,0.0682734396,0.0470797810,0.0224630846,0.0191594816,0.0212675458,0.0350291000,0.0436491773,0.0543955501,0.0318566343,0.0277677818,0.0456875490,0.0561957125,0.0452694663,0.0404032413,0.0395200383,0.0215654902,0.0594022902,0.0591543362,0.0250671485,0.0226482138,0.0431887839,0.0404835456,0.0307968849,0.0279033815,0.0500899310,0.0212106930,0.0507348597,0.0447570647,0.0277380469,0.0632478798,0.0523292357,0.0408919996,0.0186972940,0.0151306980,0.0244764370,0.0234480343,0.0496681193,0.0241480165,0.0404219751,0.0325281334,0.0281317405,0.0321032172,0.0368085499,0.0261319437,0.0448258347,0.0569216305,0.0362573600,0.0228910268,0.0315411033,0.0270865785,0.0493711097
