,ACAO_ABCB4,ACAO_ABEV3,ACAO_AGRO3,ACAO_ALPA4,ACAO_AMAR3,ACAO_AXIA3,ACAO_AXIA6,ACAO_B3SA3,ACAO_BBAS3,ACAO_BBDC3,ACAO_BBDC4,ACAO_BEEF3,ACAO_BRAP4,ACAO_BRKM5,ACAO_BRSR6,ACAO_CGAS5,ACAO_CLSC4,ACAO_CMIG3,ACAO_CMIG4,ACAO_COCE5,ACAO_CPFE3,ACAO_CPLE3,ACAO_CSAN3,ACAO_CSMG3,ACAO_CSNA3,ACAO_CSUD3,ACAO_CYRE3,ACAO_DXCO3,ACAO_EGIE3,ACAO_EMBJ3,ACAO_ENEV3,ACAO_EQTL3,ACAO_EUCA4,ACAO_EVEN3,ACAO_EZTC3,ACAO_FESA4,ACAO_FHER3,ACAO_FLRY3,ACAO_GFSA3,ACAO_GGBR3,ACAO_GGBR4,ACAO_GOAU4,ACAO_GRND3,ACAO_HAGA4,ACAO_HBOR3,ACAO_HYPE3,ACAO_INEP4,ACAO_ISAE4,ACAO_ITSA3,ACAO_ITSA4,ACAO_ITUB3,ACAO_ITUB4,ACAO_JHSF3,ACAO_KEPL3,ACAO_KLBN4,ACAO_LAND3,ACAO_LOGN3,ACAO_LPSB3,ACAO_LREN3,ACAO_MBRF3,ACAO_MDIA3,ACAO_MOTV3,ACAO_MRVE3,ACAO_MULT3,ACAO_MYPK3,ACAO_NATU3,ACAO_ODPV3,ACAO_PETR3,ACAO_PETR4,ACAO_PFRM3,ACAO_PINE4,ACAO_POMO4,ACAO_POSI3,ACAO_PSSA3,ACAO_RADL3,ACAO_RAPT4,ACAO_RDNI3,ACAO_RENT3,ACAO_RIAA3,ACAO_ROMI3,ACAO_SANB11,ACAO_SANB4,ACAO_SBSP3,ACAO_SCAR3,ACAO_SLCE3,ACAO_SMTO3,ACAO_TASA4,ACAO_TCSA3,ACAO_TELB4,ACAO_TGMA3,ACAO_TIMS3,ACAO_TOTS3,ACAO_TPIS3,ACAO_TRIS3,ACAO_UNIP6,ACAO_USIM3,ACAO_USIM5,ACAO_VALE3,ACAO_VIVT3,ACAO_VLID3,ACAO_WEGE3,ACAO_YDUQ3
ACAO_ABCB4,0.0973701875,0.0194783714,0.0142330764,0.0300900140,0.0421166512,0.0437462649,0.0387351670,0.0442390258,0.0508894307,0.0442780782,0.0473753335,0.0209506573,0.0307824063,0.0296221804,0.0485054894,0.0130844885,0.0156744371,0.0347095201,0.0378974488,0.0143671181,0.0220394154,0.0305205754,0.0366046930,0.0284850270,0.0457942960,0.0267285114,0.0503705477,0.0425243105,0.0192751821,0.0216847473,0.0208180041,0.0236297087,0.0263996748,0.0500949680,0.0477193315,0.0270323861,0.0310923127,0.0234862937,0.0491798839,0.0321559966,0.0357443649,0.0397599910,0.0286308577,0.0196565502,0.0506155304,0.0283063453,0.0258999106,0.0187210090,0.0315593690,0.0429652993,0.0384778701,0.0438868520,0.0440404893,0.0222716985,0.0160555638,0.0193315280,0.0316056379,0.0407084722,0.0425049731,0.0307856300,0.0234028362,0.0344875580,0.0469265466,0.0345503567,0.0398403816,0.0333816917,0.0193679549,0.0410839529,0.0420592750,0.0251648472,0.0222261466,0.0375852492,0.0392220602,0.0216262978,0.0216817782,0.0437965968,0.0205226849,0.0402066375,0.0397664766,0.0262795831,0.0436317253,0.0331228087,0.0330176474,0.0159359266,0.0185001215,0.0248297659,0.0205908552,0.0451704331,0.0207443077,0.0378745164,0.0253287859,0.0274678520,0.0314576764,0.0358626332,0.0247002574,0.0344381640,0.0449200174,0.0266494004,0.0159067328,0.0287975863,0.0207911145,0.0394771768
ACAO_ABEV3,0.0194783714,0.0557241534,0.0079666925,0.0214331110,0.0276308497,0.0282395931,0.0247016892,0.0307026820,0.0290118931,0.0301858770,0.0302204157,0.0169609117,0.0204667175,0.0228583733,0.0263746785,0.0074650506,0.0086690765,0.0226685827,0.0250598581,0.0077865218,0.0185882225,0.0199698905,0.0264719433,0.0177118686,0.0297277544,0.0172750861,0.0321691043,0.0279512436,0.0160011998,0.0206517921,0.0176525145,0.0175183729,0.0145832203,0.0286346227,0.0297434880,0.0141679825,0.0144651778,0.0174447720,0.0290144030,0.0213305192,0.0245983371,0.0254207816,0.0200498856,0.0139626267,0.0315346263,0.0222663911,0.0137414088,0.0117116117,0.0200244227,0.0278073931,0.0252427354,0.0287573688,0.0292685031,0.0146214633,0.0138608800,0.0125563403,0.0209848684,0.0233667001,0.0314448714,0.0211598137,0.0206911953,0.0259735478,0.0316342718,0.0253176374,0.0237521778,0.0267648412,0.0132653281,0.0262096457,0.0263807799,0.0138110139,0.0134259046,0.0241921100,0.0252383110,0.0175372081,0.0213508416,0.0276223723,0.0113671434,0.0277408540,0.0280545417,0.0183267372,0.0288371811,0.0247380007,0.0242535391,0.0110577649,0.0113903419,0.0178436291,0.0161030681,0.0271774687,0.0147153668,0.0226388075,0.0213700953,0.0201798513,0.0183376237,0.0228622745,0.0154369229,0.0229108474,0.0275361808,0.0189208141,0.0165948049,0.0167871022,0.0192675531,0.0273439707
ACAO_AGRO3,0.0142330764,0.0079666925,0.0699128969,0.0134260016,0.0206306715,0.0155594499,0.0156807008,0.0161606171,0.0171816622,0.0126724675,0.0130130371,0.0148528993,0.0138058052,0.0149523676,0.0145528103,0.0055105117,0.0073167571,0.0124624099,0.0129330773,0.0074176994,0.0087068301,0.0106834328,0.0168782263,0.0114595154,0.0213441318,0.0146578608,0.0190956479,0.0174492812,0.0067151550,0.0094007968,0.0103132667,0.0105523204,0.0115740586,0.0206042955,0.0201220525,0.0177503394,0.0182894479,0.0127660345,0.0231868327,0.0147123933,0.0159571867,0.0171347614,0.0128539257,0.0136686149,0.0223666610,0.0131429332,0.0145070116,0.0071237082,0.0100689162,0.0125753727,0.0119564345,0.0122674497,0.0205686809,0.0146352800,0.0076074149,0.0159481061,0.0180360518,0.0190433523,0.0185298783,0.0186227553,0.0092990504,0.0140394215,0.0187026025,0.0146995457,0.0149751868,0.0130493597,0.0089228737,0.0155399918,0.0151608711,0.0133774947,0.0129557855,0.0143934537,0.0214008105,0.0090135934,0.0097367960,0.0175678455,0.0120568921,0.0158435817,0.0201743967,0.0157622834,0.0130492331,0.0132915239,0.0140448703,0.0076172856,0.0222052940,0.0158426942,0.0182504331,0.0211918719,0.0098301506,0.0179859934,0.0081707440,0.0129144078,0.0163746103,0.0208247427,0.0153206810,0.0194219009,0.0202012279,0.0126280642,0.0082544168,0.0129754670,0.0106103356,0.0185560293
ACAO_ALPA4,0.0300900140,0.0214331110,0.0134260016,0.1265537569,0.0557456133,0.0405298262,0.0356020446,0.0460860965,0.0351946950,0.0351708213,0.0367693747,0.0230141812,0.0235360738,0.0310093378,0.0342023597,0.0117615887,0.0145923643,0.0298855661,0.0325973097,0.0126290579,0.0220654084,0.0279591701,0.0401312604,0.0253305809,0.0390339374,0.0307264605,0.0586012728,0.0484078975,0.0175497652,0.0225137136,0.0336198295,0.0255709860,0.0245485465,0.0531347228,0.0574781089,0.0240835065,0.0268084467,0.0323301766,0.0536556297,0.0255825099,0.0291268181,0.0313924353,0.0383101865,0.0226885371,0.0578004278,0.0327291604,0.0288486521,0.0185875720,0.0271600892,0.0343140060,0.0290858244,0.0324821527,0.0462701620,0.0224338661,0.0164423864,0.0194566187,0.0323810770,0.0432524114,0.0564664124,0.0295137841,0.0269824715,0.0359603416,0.0584117329,0.0391503061,0.0344369871,0.0464554205,0.0234040782,0.0321469477,0.0334447339,0.0247295826,0.0231928315,0.0360486504,0.0439455988,0.0241312007,0.0272991062,0.0420570122,0.0215309062,0.0482836338,0.0576229705,0.0352202978,0.0334734447,0.0288344606,0.0324560069,0.0197889108,0.0175991892,0.0285047059,0.0276248071,0.0513389034,0.0226229529,0.0385071812,0.0241095575,0.0361194687,0.0307853341,0.0452779476,0.0236568280,0.0352477237,0.0388769109,0.0188372206,0.0194187432,0.0307172698,0.0243738235,0.0520152812
ACAO_AMAR3,0.0421166512,0.0276308497,0.0206306715,0.0557456133,0.2369659674,0.0526125105,0.0454265901,0.0565334801,0.0519106560,0.0430360299,0.0446372045,0.0252190189,0.0292375540,0.0354717551,0.0522627662,0.0153132853,0.0193683819,0.0415026790,0.0438258947,0.0190149210,0.0288534710,0.0342302384,0.0457777745,0.0352760495,0.0507460048,0.0486047880,0.0774843487,0.0590049731,0.0224742630,0.0328124240,0.0391338875,0.0323404620,0.0370628726,0.0776451920,0.0760167396,0.0336956954,0.0371726111,0.0330374477,0.0889580994,0.0364287216,0.0376499230,0.0394106503,0.0449960645,0.0327430731,0.0845667191,0.0427062442,0.0432713170,0.0216784740,0.0334792013,0.0415017846,0.0368962452,0.0404172842,0.0687040588,0.0306382684,0.0163335280,0.0280438152,0.0484746422,0.0696850247,0.0750918306,0.0336406050,0.0309396027,0.0464490468,0.0783760759,0.0520119038,0.0488385074,0.0555980880,0.0267396630,0.0397550455,0.0410778277,0.0365777845,0.0329663336,0.0511264416,0.0667243321,0.0321497469,0.0322147583,0.0593989022,0.0282086322,0.0597823119,0.0772848382,0.0501185360,0.0407032334,0.0372458254,0.0407259456,0.0238743298,0.0217259278,0.0261722691,0.0303539933,0.0811327461,0.0332138111,0.0546756684,0.0305494859,0.0411686198,0.0515024751,0.0672840864,0.0304511278,0.0472444811,0.0541141254,0.0262848972,0.0212483088,0.0469157658,0.0254268311,0.0735889488
ACAO_AXIA3,0.0437462649,0.0282395931,0.0155594499,0.0405298262,0.0526125105,0.1688878072,0.1372043153,0.0631899233,0.0654919725,0.0565718813,0.0566397048,0.0250887489,0.0411251567,0.0407155566,0.0528226298,0.0168638576,0.0229635151,0.0648749027,0.0697041249,0.0230679900,0.0435189238,0.0552131850,0.0499247159,0.0450299337,0.0680973133,0.0346620103,0.0686212139,0.0563957577,0.0369811381,0.0301022548,0.0372902546,0.0424626973,0.0319663722,0.0630870347,0.0614550989,0.0328396673,0.0364174857,0.0325012439,0.0640966323,0.0442503201,0.0484779066,0.0541544338,0.0363880898,0.0242282180,0.0654200772,0.0383302097,0.0300816579,0.0352464311,0.0396463375,0.0544361833,0.0453915289,0.0527420830,0.0568840525,0.0275901959,0.0215873268,0.0284412626,0.0442539275,0.0501223518,0.0601347486,0.0422989057,0.0319152899,0.0510100371,0.0655924717,0.0469579288,0.0444394692,0.0501044741,0.0265734460,0.0628492336,0.0645510836,0.0303816602,0.0268828090,0.0448361062,0.0503614184,0.0317098907,0.0295232049,0.0571355648,0.0270080285,0.0546967111,0.0522495720,0.0399087305,0.0515931763,0.0450571232,0.0578038038,0.0224686001,0.0185379123,0.0283375637,0.0275291757,0.0601775358,0.0265718331,0.0493016737,0.0354317680,0.0370430367,0.0389694471,0.0475571429,0.0286892086,0.0516092819,0.0676814117,0.0361620458,0.0265873901,0.0338012265,0.0280079889,0.0514787789
ACAO_AXIA6,0.0387351670,0.0247016892,0.0156807008,0.0356020446,0.0454265901,0.1372043153,0.1394177436,0.0550843541,0.0576527549,0.0489863584,0.0492282000,0.0231188514,0.0339196247,0.0361524432,0.0473010998,0.0139987982,0.0188969801,0.0564006594,0.0616441837,0.0198972874,0.0383459923,0.0493875983,0.0448828005,0.0400009276,0.0578229011,0.0311311282,0.0603793429,0.0491890591,0.0326015209,0.0273825632,0.0298639472,0.0372903575,0.0275429904,0.0542270468,0.0541635726,0.0292058265,0.0337503279,0.0281871964,0.0556757898,0.0368726797,0.0405883207,0.0450510038,0.0319352765,0.0204797031,0.0566946240,0.0334155105,0.0256751782,0.0308524561,0.0344369815,0.0475405502,0.0393507166,0.0462204046,0.0488445197,0.0240109445,0.0187794277,0.0247915624,0.0400821103,0.0426614468,0.0531055213,0.0366979400,0.0285482029,0.0446260722,0.0569734948,0.0408355893,0.0397612873,0.0446869111,0.0222609804,0.0522964318,0.0537241642,0.0273562515,0.0235331327,0.0389232772,0.0439012232,0.0266087527,0.0269162453,0.0504361958,0.0238628082,0.0478761510,0.0464066838,0.0361213101,0.0454861656,0.0397468069,0.0500515259,0.0202043678,0.0166586175,0.0238387280,0.0238409827,0.0509768605,0.0239674266,0.0430930724,0.0312311390,0.0328886459,0.0338694955,0.0398377047,0.0251597703,0.0414371883,0.0559275647,0.0289911809,0.0227502319,0.0304152135,0.0240450677,0.0463079348
ACAO_B3SA3,0.0442390258,0.0307026820,0.0161606171,0.0460860965,0.0565334801,0.0631899233,0.0550843541,0.1228739439,0.0615083316,0.0587260867,0.0597641419,0.0277680443,0.0424363838,0.0427349088,0.0529283042,0.0151339320,0.0196844317,0.0433771922,0.0501220262,0.0205493126,0.0345237708,0.0415165939,0.0549831003,0.0379376929,0.0642478716,0.0371894760,0.0771639943,0.0626593114,0.0299677519,0.0280385266,0.0369888668,0.0361000690,0.0330136709,0.0700749034,0.0683598275,0.0335061447,0.0337615237,0.0362432370,0.0698212868,0.0433743025,0.0486707062,0.0536006298,0.0366503523,0.0253143100,0.0705607114,0.0449298460,0.0326475384,0.0272740383,0.0437870074,0.0569988133,0.0484232466,0.0561286867,0.0606002213,0.0320839168,0.0238908083,0.0264955695,0.0424782121,0.0535053916,0.0656913640,0.0424984943,0.0343992414,0.0539686589,0.0753968145,0.0534900069,0.0464555206,0.0509199621,0.0276041145,0.0581713928,0.0592634932,0.0287521434,0.0271112902,0.0476856724,0.0536910000,0.0329524506,0.0347324786,0.0572898244,0.0246340884,0.0615493555,0.0575577649,0.0382416105,0.0531774497,0.0444776218,0.0472330775,0.0207261024,0.0231476363,0.0329058822,0.0313602753,0.0642665223,0.0296709425,0.0471244351,0.0356436408,0.0421589314,0.0384692488,0.0504179115,0.0325566646,0.0491716646,0.0620309391,0.0373598060,0.0238341637,0.0366153365,0.0335796586,0.0578199462
ACAO_BBAS3,0.0508894307,0.0290118931,0.0171816622,0.0351946950,0.0519106560,0.0654919725,0.0576527549,0.0615083316,0.1174576452,0.0699347524,0.0729006695,0.0233091528,0.0448071530,0.0386681936,0.0681218645,0.0142002588,0.0194116580,0.0505344667,0.0563771379,0.0178387901,0.0322903483,0.0409045767,0.0497923579,0.0356351349,0.0671622201,0.0320160415,0.0649785621,0.0525406189,0.0296503820,0.0273295082,0.0282296260,0.0310820087,0.0315548784,0.0598695615,0.0568351839,0.0329872263,0.0330999365,0.0303767708,0.0618293773,0.0466721223,0.0513566410,0.0556860472,0.0329075580,0.0226729829,0.0590613693,0.0383581030,0.0305764621,0.0256457115,0.0503015517,0.0674300009,0.0598749858,0.0695149073,0.0550339674,0.0262575301,0.0203349509,0.0269148629,0.0403060852,0.0469583384,0.0567559256,0.0387971691,0.0299537389,0.0509484780,0.0610592712,0.0471163001,0.0468370017,0.0439321560,0.0230872778,0.0709387799,0.0733611159,0.0259128810,0.0254587959,0.0459956000,0.0484407890,0.0333007818,0.0276595936,0.0573642459,0.0217181082,0.0528412905,0.0462171237,0.0306472713,0.0645389909,0.0541059252,0.0460449090,0.0217981705,0.0193259212,0.0269229391,0.0274085467,0.0556591700,0.0256755344,0.0459277635,0.0357662208,0.0295056496,0.0353505806,0.0395447768,0.0268976930,0.0484332411,0.0655440311,0.0403672270,0.0256884821,0.0345653879,0.0263493954,0.0522039578
ACAO_BBDC3,0.0442780782,0.0301858770,0.0126724675,0.0351708213,0.0430360299,0.0565718813,0.0489863584,0.0587260867,0.0699347524,0.0865025263,0.0812961615,0.0199524844,0.0399983074,0.0400478002,0.0563514545,0.0129225503,0.0169209284,0.0419722673,0.0470516599,0.0133419929,0.0300198167,0.0364091947,0.0467646939,0.0305778685,0.0607326365,0.0287373533,0.0582223590,0.0488377164,0.0275903198,0.0299168960,0.0262485558,0.0292937723,0.0270092519,0.0533332842,0.0505957169,0.0286038508,0.0273700278,0.0277229480,0.0535395364,0.0419490252,0.0469751984,0.0493138530,0.0305587367,0.0197333556,0.0543673491,0.0359643276,0.0255663726,0.0232302534,0.0468945464,0.0648020526,0.0584103280,0.0678970052,0.0468202006,0.0223392315,0.0190538433,0.0211502844,0.0348359626,0.0434085120,0.0540956332,0.0316809886,0.0276146806,0.0454356448,0.0558858702,0.0450198673,0.0401804728,0.0393021395,0.0214465861,0.0590747681,0.0588281812,0.0249289375,0.0225233400,0.0429506570,0.0402603344,0.0306270824,0.0277495326,0.0498137538,0.0210937451,0.0504551266,0.0445102909,0.0275851096,0.0628991545,0.0520407117,0.0406665363,0.0185942041,0.0150472729,0.0243414830,0.0233187506,0.0493942678,0.0240148733,0.0401991034,0.0323487854,0.0279766325,0.0319262120,0.0366056012,0.0259878619,0.0445786817,0.0566077857,0.0360574504,0.0227648142,0.0313671974,0.0269372332,0.0490988957
