data,ibov_ret_simples,ibov_ret_log
2010-01-05,0.00278021,0.00277635
2010-01-06,0.00696927,0.00694509
2010-01-07,-0.00393359,-0.00394134
2010-01-08,-0.00267448,-0.00267806
2010-01-11,0.00243073,0.00242779
2010-01-12,-0.00507869,-0.00509163
2010-01-13,0.00441936,0.00440962
2010-01-14,-0.00829788,-0.00833250
2010-01-15,-0.01179231,-0.01186239
2010-01-18,0.00612700,0.00610831
2010-01-19,0.00731489,0.00728826
2010-01-20,-0.02443934,-0.02474294
2010-01-21,-0.02829806,-0.02870617
2010-01-22,-0.00075600,-0.00075628
2010-01-26,-0.01051509,-0.01057077
2010-01-27,-0.00692787,-0.00695198
2010-01-28,0.00796099,0.00792947
2010-01-29,-0.00283650,-0.00284053
2010-02-01,0.01788897,0.01773084
2010-02-02,0.00888470,0.00884546
2010-02-03,-0.00081369,-0.00081402
2010-02-04,-0.04730470,-0.04846015
2010-02-05,-0.01832061,-0.01849051
2010-02-08,0.00622010,0.00620083
2010-02-09,0.02478232,0.02448022
2010-02-10,0.00514925,0.00513604
2010-02-11,0.01656413,0.01642844
2010-02-12,-0.00414297,-0.00415157
2010-02-17,0.02170831,0.02147604
2010-02-18,0.00819668,0.00816327
2010-02-19,-0.00351804,-0.00352424
2010-02-22,-0.00611369,-0.00613246
2010-02-23,-0.01601315,-0.01614275
2010-02-24,-0.00474312,-0.00475441
2010-02-25,0.00495890,0.00494665
2010-02-26,0.00578076,0.00576412
2010-03-01,0.01089661,0.01083767
2010-03-02,0.00819942,0.00816599
2010-03-03,-0.00203337,-0.00203544
2010-03-04,0.00256308,0.00255980
2010-03-05,0.01521484,0.01510026
2010-03-08,-0.00393673,-0.00394450
2010-03-09,0.01459574,0.01449025
2010-03-10,0.00579076,0.00577406
2010-03-11,-0.00135283,-0.00135374
2010-03-12,-0.00777324,-0.00780361
2010-03-15,-0.00458067,-0.00459119
2010-03-16,0.01330643,0.01321868
2010-03-17,-0.00313073,-0.00313564
2010-03-18,-0.00037161,-0.00037168
2010-03-19,-0.01245887,-0.01253713
2010-03-22,0.00309099,0.00308623
2010-03-23,0.00499683,0.00498439
2010-03-24,-0.00682148,-0.00684485
2010-03-25,-0.00684540,-0.00686894
2010-03-26,0.00352125,0.00351506
2010-03-29,0.01829370,0.01812838
2010-03-30,0.00029254,0.00029250
2010-03-31,0.00588854,0.00587127
2010-04-01,0.01086803,0.01080940
2010-04-05,0.00215558,0.00215326
2010-04-06,-0.00272171,-0.00272542
2010-04-07,-0.00425779,-0.00426688
2010-04-08,0.01401044,0.01391320
2010-04-09,-0.00511961,-0.00513276
2010-04-12,-0.01124252,-0.01130619
2010-04-13,0.00252130,0.00251813
2010-04-14,0.00342480,0.00341895
2010-04-15,-0.00718661,-0.00721256
2010-04-16,-0.01563999,-0.01576358
2010-04-19,-0.00466384,-0.00467475
2010-04-20,0.00319635,0.00319125
2010-04-22,0.00098055,0.00098007
2010-04-23,0.00177383,0.00177226
2010-04-26,-0.00917213,-0.00921445
2010-04-27,-0.03427869,-0.03487999
2010-04-28,0.00217422,0.00217186
2010-04-29,0.01983836,0.01964414
2010-04-30,-0.00659507,-0.00661691
2010-05-03,-0.00607614,-0.00609467
2010-05-04,-0.03352369,-0.03409849
2010-05-05,0.00069139,0.00069115
2010-05-06,-0.02310667,-0.02337781
2010-05-07,-0.00856811,-0.00860503
2010-05-10,0.04106512,0.04024434
2010-05-11,-0.01570279,-0.01582739
2010-05-12,0.01239800,0.01232178
2010-05-13,-0.00667565,-0.00669803
2010-05-14,-0.02123457,-0.02146327
2010-05-17,-0.00861361,-0.00865092
2010-05-18,-0.03221410,-0.03274439
2010-05-19,-0.01893063,-0.01911211
2010-05-20,-0.02508388,-0.02540385
2010-05-21,0.03552459,0.03490815
2010-05-24,-0.00571181,-0.00572819
2010-05-25,-0.01220159,-0.01227664
2010-05-26,0.01700255,0.01685962
2010-05-27,0.03158994,0.03110125
2010-05-28,-0.00233171,-0.00233443
2010-05-31,0.01774937,0.01759369
2010-06-01,-0.01912112,-0.01930629
2010-06-02,0.01781860,0.01766171
2010-06-04,-0.02013189,-0.02033730
2010-06-07,-0.00799066,-0.00802276
2010-06-08,0.00998187,0.00993238
2010-06-09,-0.00509810,-0.00511114
2010-06-10,0.02554043,0.02521972
2010-06-11,0.00882777,0.00878903
2010-06-14,-0.00114031,-0.00114096
2010-06-15,0.01431417,0.01421269
2010-06-16,0.00478630,0.00477488
2010-06-17,-0.00324012,-0.00324538
2010-06-18,-0.00160100,-0.00160228
2010-06-21,0.00607487,0.00605649
2010-06-22,-0.00028398,-0.00028402
2010-06-23,0.00539587,0.00538137
2010-06-24,-0.01877876,-0.01895732
2010-06-25,0.01387513,0.01377975
2010-06-28,-0.00923441,-0.00927731
2010-06-29,-0.03499108,-0.03561794
2010-06-30,-0.01681260,-0.01695554
2010-07-01,0.00492813,0.00491603
2010-07-02,0.00316137,0.00315638
2010-07-05,-0.00918968,-0.00923216
2010-07-06,0.01970713,0.01951546
2010-07-07,0.01964158,0.01945118
2010-07-08,0.00304217,0.00303755
2010-07-12,-0.00813248,-0.00816573
2010-07-13,0.01152254,0.01145666
2010-07-14,-0.00323621,-0.00324146
2010-07-15,0.00015611,0.00015610
2010-07-16,-0.01811484,-0.01828093
2010-07-19,0.01536383,0.01524700
2010-07-20,0.01841255,0.01824509
2010-07-21,0.00022245,0.00022243
2010-07-22,0.01971654,0.01952468
2010-07-23,0.00874383,0.00870582
2010-07-26,0.00181340,0.00181176
2010-07-27,0.00347936,0.00347332
2010-07-28,0.00200692,0.00200490
2010-07-29,0.00217907,0.00217670
2010-07-30,0.00838742,0.00835244
2010-08-02,0.01484195,0.01473288
2010-08-03,-0.00759077,-0.00761972
2010-08-04,0.00403898,0.00403085
2010-08-05,0.00204652,0.00204443
2010-08-06,-0.00463312,-0.00464389
2010-08-09,-0.00341407,-0.00341991
2010-08-10,-0.00941687,-0.00946149
2010-08-11,-0.02131614,-0.02154661
2010-08-12,0.00267334,0.00266978
2010-08-13,0.00452141,0.00451122
2010-08-16,0.00660173,0.00658004
2010-08-17,0.01322121,0.01313458
2010-08-18,0.00080803,0.00080771
2010-08-19,-0.01110686,-0.01116900
2010-08-20,-0.00313917,-0.00314411
2010-08-23,-0.01042786,-0.01048261
2010-08-24,-0.01251101,-0.01258994
2010-08-25,-0.00541666,-0.00543139
2010-08-26,-0.01444291,-0.01454822
2010-08-27,0.02689413,0.02653883
2010-08-30,-0.02019284,-0.02039950
2010-08-31,0.01376672,0.01367281
2010-09-01,0.02958119,0.02915211
2010-09-02,-0.00394275,-0.00395054
2010-09-03,-0.00193779,-0.00193967
2010-09-06,0.00103002,0.00102949
2010-09-08,-0.00509414,-0.00510716
2010-09-09,0.00326500,0.00325968
2010-09-10,0.00274210,0.00273835
2010-09-13,0.01831835,0.01815259
2010-09-14,-0.00497908,-0.00499152
2010-09-15,0.00613072,0.00611201
2010-09-16,-0.00651711,-0.00653844
2010-09-17,-0.00848130,-0.00851747
2010-09-20,0.01641607,0.01628279
2010-09-21,-0.00691196,-0.00693596
2010-09-22,0.00894947,0.00890966
2010-09-23,0.00686628,0.00684282
2010-09-24,-0.00869025,-0.00872823
2010-09-27,0.00908390,0.00904289
2010-09-28,0.00598204,0.00596422
2010-09-29,0.00000881,0.00000881
2010-09-30,0.00291124,0.00290701
2010-10-01,0.01151624,0.01145043
2010-10-04,0.00221517,0.00221272
2010-10-05,0.01276111,0.01268038
2010-10-06,-0.01040555,-0.01046007
2010-10-07,-0.00883127,-0.00887050
2010-10-08,0.01273485,0.01265444
2010-10-11,0.00194453,0.00194264
2010-10-13,0.01026703,0.01021469
2010-10-14,0.00024262,0.00024259
2010-10-15,0.00192336,0.00192151
2010-10-18,-0.00131769,-0.00131856
2010-10-19,-0.02609516,-0.02644168
2010-10-20,0.00774509,0.00771525
2010-10-21,-0.01068935,-0.01074689
2010-10-22,-0.00175687,-0.00175842
2010-10-25,0.00072703,0.00072676
2010-10-26,0.01667297,0.01653550
2010-10-27,-0.00242365,-0.00242659
2010-10-28,-0.00352577,-0.00353200
2010-10-29,0.00502232,0.00500975
2010-11-01,0.01255962,0.01248141
2010-11-03,0.00480486,0.00479335
2010-11-04,0.01517173,0.01505779
2010-11-05,-0.00533059,-0.00534485
2010-11-08,0.00069952,0.00069928
2010-11-09,-0.01345906,-0.01355046
2010-11-10,-0.00057325,-0.00057341
2010-11-11,-0.00618691,-0.00620613
2010-11-12,-0.01163014,-0.01169830
2010-11-16,-0.01669444,-0.01683536
2010-11-17,0.00746064,0.00743295
2010-11-18,0.01538934,0.01527213
