ticker,decisao,motivo,adtv_global,anos_penny,anos_situacao,codigos
AMER3,EXCLUIR,"situação especial recente em [2023, 2024, 2025]",24193775.0,2024,"2023,2024,2025",AMER3
ETER3,EXCLUIR,"situação especial recente em [2023, 2024]",825536.0,2018,"2018,2019,2020,2021,2022,2023,2024",ETER3
FICT3,EXCLUIR,"reorganização societária (identidade rompida; ISIN/ticker novo) [corrobora: penny [2015, 2016], RJ [2015, 2016, 2017]]",77491.0,"2015,2016","2015,2016,2017",FICT3;ATOM3
GOLL54,EXCLUIR,reorganização societária (identidade rompida; ISIN/ticker novo) [corrobora: penny [2025]],16235163.0,2025,,GOLL54;GOLL4
LIGT3,EXCLUIR,"situação especial recente em [2023, 2024, 2025]",16458690.0,,"2023,2024,2025",LIGT3
LUPA3,EXCLUIR,situação especial recente em [2023],499582.0,"2013,2014","2015,2016,2017,2018,2019,2020,2021,2022,2023",LUPA3
NEXP3,EXCLUIR,"situação especial recente em [2023, 2024, 2025]",7582.0,2022,"2023,2024,2025",NEXP3
OIBR3,EXCLUIR,"situação especial recente em [2023, 2024, 2025]",8825455.0,"2022,2025","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",OIBR3
OIBR4,EXCLUIR,"situação especial recente em [2023, 2024, 2025]",4587502.0,,"2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",OIBR4
PDGR3,EXCLUIR,"penny recente (mediana<R$1) e ilíquida em [2024, 2025] (ADTV R$ 294,218 < corte R$ 829,107)",2060966.0,"2015,2024,2025","2017,2018,2019,2020,2021",PDGR3
PDTC3,EXCLUIR,reorganização societária (identidade rompida; ISIN/ticker novo),214197.0,,,PDTC3;IDNT3
PMAM3,EXCLUIR,"situação especial recente em [2023, 2024, 2025]",1103881.0,,"2022,2023,2024,2025",PMAM3
RPMG3,EXCLUIR,"situação especial recente em [2023, 2024, 2025]",95726.0,"2010,2011,2012,2013,2014,2015","2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",RPMG3
RSID3,EXCLUIR,"situação especial recente em [2023, 2024, 2025]",1161139.0,,"2022,2023,2024,2025",RSID3
VIVR3,EXCLUIR,"penny recente (mediana<R$1) e ilíquida em [2025] (ADTV R$ 41,294 < corte R$ 829,107)",332544.0,"2013,2014,2015,2018,2022,2025","2016,2017,2018,2019,2020,2021",VIVR3
VSTE3,EXCLUIR,"reorganização societária (identidade rompida; ISIN/ticker novo) [corrobora: RJ [2020, 2021, 2022, 2023]]",340528.0,,"2020,2021,2022,2023",VSTE3;LLIS3
ABCB4,MANTER,,6146552.0,,,ABCB4
ABEV3,MANTER,,287787765.0,,,ABEV3
AGRO3,MANTER,,805682.0,,,AGRO3
ALPA4,MANTER,,9066907.0,,,ALPA4
AMAR3,MANTER,,4049332.0,2023,,AMAR3
AXIA3,MANTER,,305387950.0,,,AXIA3;ELET3
AXIA6,MANTER,,74953292.0,,,AXIA6;ELET6
B3SA3,MANTER,,463613727.0,,,B3SA3
BBAS3,MANTER,,291938280.0,,,BBAS3
BBDC3,MANTER,,56652468.0,,,BBDC3
BBDC4,MANTER,,354882134.0,,,BBDC4
BEEF3,MANTER,,14332708.0,,,BEEF3
BRAP4,MANTER,,45770944.0,,,BRAP4
BRKM5,MANTER,,43457571.0,,,BRKM5
BRSR6,MANTER,,14345640.0,,,BRSR6
CGAS5,MANTER,,765782.0,,,CGAS5
CLSC4,MANTER,,199248.0,,,CLSC4
CMIG3,MANTER,,3038105.0,,,CMIG3
CMIG4,MANTER,,79180723.0,,,CMIG4
COCE5,MANTER,,773436.0,,,COCE5
CPFE3,MANTER,,30108469.0,,,CPFE3
CPLE3,MANTER,,2553403.0,,,CPLE3
CSAN3,MANTER,,57999495.0,,,CSAN3
CSMG3,MANTER,,17891718.0,,,CSMG3
CSNA3,MANTER,,82247687.0,,,CSNA3
CSUD3,MANTER,,843390.0,,,CSUD3
CYRE3,MANTER,,64351417.0,,,CYRE3
DXCO3,MANTER,,26730016.0,,,DXCO3
EGIE3,MANTER,,51286870.0,,,EGIE3
EMBJ3,MANTER,,211433802.0,,,EMBJ3;EMBR3
ENEV3,MANTER,,40892074.0,2015,"2014,2015,2016",ENEV3
EQTL3,MANTER,,67417232.0,,,EQTL3
EUCA4,MANTER,,316904.0,,,EUCA4
EVEN3,MANTER,,7801668.0,,,EVEN3
EZTC3,MANTER,,13204275.0,,,EZTC3
FESA4,MANTER,,2526697.0,,,FESA4
FHER3,MANTER,,411614.0,,"2019,2020,2021,2022",FHER3
FLRY3,MANTER,,24773935.0,,,FLRY3
GFSA3,MANTER,,17175055.0,,,GFSA3
GGBR3,MANTER,,1218505.0,,,GGBR3
GGBR4,MANTER,,148020758.0,,,GGBR4
GOAU4,MANTER,,57299797.0,,,GOAU4
GRND3,MANTER,,6226818.0,,,GRND3
HAGA4,MANTER,,23489.0,,"2010,2011,2012",HAGA4
HBOR3,MANTER,,2211153.0,,,HBOR3
HYPE3,MANTER,,63342077.0,,,HYPE3
INEP4,MANTER,,143368.0,"2014,2015","2014,2015,2016,2017,2018,2019,2020,2021,2022",INEP4
ISAE4,MANTER,,44233224.0,,,ISAE4
ITSA3,MANTER,,682388.0,,,ITSA3
ITSA4,MANTER,,166199098.0,,,ITSA4
ITUB3,MANTER,,7674123.0,,,ITUB3
ITUB4,MANTER,,508757330.0,,,ITUB4
JHSF3,MANTER,,3183347.0,,,JHSF3
KEPL3,MANTER,,1611636.0,"2010,2011,2012",,KEPL3
KLBN4,MANTER,,5789082.0,,,KLBN4
LAND3,MANTER,,609952.0,,,LAND3
LOGN3,MANTER,,924564.0,,,LOGN3
LPSB3,MANTER,,1399447.0,,,LPSB3
LREN3,MANTER,,108543084.0,,,LREN3
MBRF3,MANTER,,204757565.0,,,MBRF3
MDIA3,MANTER,,17573816.0,,,MDIA3
MOTV3,MANTER,,114213817.0,,,MOTV3
MRVE3,MANTER,,51923815.0,,,MRVE3
MULT3,MANTER,,52184902.0,,,MULT3
MYPK3,MANTER,,12328838.0,,,MYPK3
NATU3,MANTER,,42972466.0,,,NATU3
ODPV3,MANTER,,13603236.0,,,ODPV3
PETR3,MANTER,,227244127.0,,,PETR3
PETR4,MANTER,,868003030.0,,,PETR4
PFRM3,MANTER,,924057.0,,,PFRM3
PINE4,MANTER,,317460.0,,,PINE4
POMO4,MANTER,,13025772.0,,,POMO4
POSI3,MANTER,,2012418.0,,,POSI3
PSSA3,MANTER,,24209568.0,,,PSSA3
RADL3,MANTER,,87762028.0,,,RADL3
RAPT4,MANTER,,14086343.0,,,RAPT4
RDNI3,MANTER,,103316.0,,,RDNI3
RENT3,MANTER,,82390800.0,,,RENT3
RIAA3,MANTER,,5329165.0,,,GUAR3
ROMI3,MANTER,,889897.0,,,ROMI3
SANB11,MANTER,,49454893.0,,,SANB11
SANB4,MANTER,,304318.0,"2010,2011,2012,2013",,SANB4
SBSP3,MANTER,,59077889.0,,,SBSP3
SCAR3,MANTER,,252175.0,,,SCAR3
SLCE3,MANTER,,10665043.0,,,SLCE3
SMTO3,MANTER,,13441892.0,,,SMTO3
TASA4,MANTER,,7504430.0,,,TASA4
TCSA3,MANTER,,2550500.0,,,TCSA3
TELB4,MANTER,,110201.0,2010,,TELB4
TGMA3,MANTER,,3756926.0,,,TGMA3
TIMS3,MANTER,,94244663.0,,,TIMS3
TOTS3,MANTER,,27234554.0,,,TOTS3
TPIS3,MANTER,,543561.0,,"2017,2018,2019,2020",TPIS3
TRIS3,MANTER,,849667.0,,,TRIS3
UNIP6,MANTER,,3134415.0,"2010,2011,2012,2013,2014",,UNIP6
USIM3,MANTER,,2550074.0,,,USIM3
USIM5,MANTER,,90050489.0,,,USIM5
VALE3,MANTER,,554367266.0,,,VALE3
VIVT3,MANTER,,1860986.0,,,VIVT3
VLID3,MANTER,,7229617.0,,,VLID3
WEGE3,MANTER,,43753796.0,,,WEGE3
YDUQ3,MANTER,,63999938.0,,,YDUQ3
