Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2016-10-27;0.0;0.0;0.0;19.723992986;19.723992986;19.723992986;19.723992986;19.723992986
2016-10-28;4460.0;6342600.0;122334647.0;18.935033267;19.033653231;18.658897365;19.48730507;19.023791235
2016-10-31;4238.0;2523300.0;45857231.0;17.810765666;18.92517127;17.268355859;18.935033267;17.919247628
2016-11-01;2072.0;996200.0;17676981.0;17.652973722;17.810765666;16.923185982;18.126349554;17.495181779
2016-11-03;2157.0;621000.0;11132994.0;17.741731691;17.751593687;17.071115929;17.988281603;17.682559712
2016-11-04;1929.0;389800.0;6955112.0;17.505043775;17.702283705;17.465595789;17.869937645;17.593801743
2016-11-07;1448.0;513700.0;9079715.0;17.40642381;17.731869694;17.169735894;17.751593687;17.4360098
2016-11-08;1917.0;535700.0;9318752.0;17.248631866;17.140149905;16.873875999;17.544491761;17.159873898
2016-11-09;3223.0;1694400.0;27693164.0;16.321604196;16.765394038;15.483334494;16.765394038;16.11450227
2016-11-10;1487.0;601900.0;9692763.0;15.759470395;16.706222059;14.970510676;16.706222059;15.877814353
2016-11-11;1629.0;817300.0;12352601.0;15.039544651;15.591816455;14.329480904;15.591816455;14.9014767
2016-11-14;221.0;200700.0;3088533.0;15.305818557;14.980372672;14.792994739;15.305818557;15.177612602
2016-11-16;668.0;343900.0;5279957.0;15.729884406;15.729884406;14.674650781;15.729884406;15.138164616
2016-11-17;462.0;214400.0;3539466.0;16.321604196;15.66085043;15.66085043;16.755532042;16.28215621
2016-11-18;160.0;57900.0;984056.0;16.942909975;16.558292112;16.28215621;17.20918388;16.765394038
2016-11-21;440.0;131200.0;2241175.0;16.952771971;17.159873898;16.518844126;17.159873898;16.84429001
2016-11-22;933.0;437400.0;7379903.0;16.745670045;17.130287908;16.380776175;17.130287908;16.637188084
2016-11-23;1352.0;350300.0;5854164.0;16.518844126;16.972495964;16.272294213;17.150011901;16.47939614
2016-11-24;93.0;57600.0;965489.0;16.568154108;16.518844126;16.439948154;16.617464091;16.528706122
2016-11-25;244.0;96200.0;1605525.0;16.469534143;16.28215621;16.173674248;16.64705008;16.459672147
2016-11-28;1003.0;420500.0;6794760.0;15.779194388;16.538568119;15.729884406;16.538568119;15.936986332
2016-11-29;1401.0;404300.0;6287921.0;15.621402444;15.680574423;15.09871663;16.075054284;15.335404546
2016-11-30;877.0;766100.0;12033095.0;15.631264441;15.581954458;15.177612602;15.631264441;15.49319649
2016-12-01;1650.0;541600.0;8175889.0;14.714098767;15.187474599;14.576030816;15.532644476;14.891614704
2016-12-02;768.0;266600.0;3941179.0;14.556306823;14.792994739;14.388652883;14.871890711;14.576030816
2016-12-05;679.0;154400.0;2255286.0;14.428100869;14.842304721;14.329480904;14.842304721;14.408376876
2016-12-06;1447.0;772500.0;11228210.0;14.280170921;14.3393429;14.013897016;14.645064792;14.329480904
2016-12-07;1894.0;553700.0;8015425.0;14.201274949;14.388652883;13.97444903;14.792994739;14.280170921
