Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2007-07-24;0.0;0.0;0.0;3.5454156589;3.5454156589;3.5454156589;3.5454156589;3.5454156589
2007-09-26;59.0;53500.0;717494.0;3.5716779971;3.5112746192;3.4429925399;3.5716779971;3.5217795545
2007-09-27;138.0;325500.0;4542305.0;3.6242026735;3.6242026735;3.6242026735;3.7817767028;3.6635961808
2007-09-28;31.0;84600.0;1164329.0;3.5953141015;3.6504650117;3.5953141015;3.6504650117;3.6136977382
2007-10-01;234.0;234400.0;3318889.0;3.6635961808;3.5716779971;3.5716779971;3.7686455337;3.7187470911
2007-10-02;32.0;31000.0;424381.0;3.6583437132;3.660969947;3.5454156589;3.6741011161;3.5953141015
2007-10-03;22.0;31200.0;428862.0;3.6452125441;3.5532943604;3.5532943604;3.6452125441;3.6110715044
2007-10-04;39.0;44200.0;606991.0;3.6478387779;3.5454156589;3.5454156589;3.6504650117;3.6058190368
2007-10-05;82.0;148200.0;2061966.0;3.6504650117;3.6347076088;3.6110715044;3.7134946235;3.6530912456
2007-10-08;115.0;190700.0;2696204.0;3.7555143646;3.6898585191;3.6635961808;3.7817767028;3.7134946235
2007-10-09;143.0;989900.0;14266286.0;3.779150469;3.7423831955;3.7423831955;3.8343013792;3.7844029366
2007-10-10;79.0;130800.0;1887710.0;3.808039041;3.779150469;3.7423831955;3.8316751454;3.7896554043
2007-10-11;99.0;545400.0;7977186.0;3.8841998218;3.8343013792;3.7949078719;3.8841998218;3.8421800807
2007-10-15;138.0;305900.0;4547838.0;3.9656130703;3.8868260557;3.8369276131;3.9656130703;3.9052096924
2007-10-16;90.0;660600.0;9862156.0;3.8868260557;3.9524819012;3.8841998218;4.0050065776;3.9209670953
2007-10-17;84.0;1481200.0;22102390.0;3.9656130703;3.8868260557;3.8868260557;3.9839967071;3.9183408615
2007-10-18;63.0;237800.0;3576586.0;4.044400085;3.9656130703;3.9393507321;4.044400085;3.9498556674
2007-10-19;33.0;56400.0;862387.0;3.9656130703;4.0864198261;3.9157146277;4.1363182687;4.0155115129
2007-10-22;83.0;760900.0;11409946.0;3.9918754085;3.8999572248;3.8999572248;4.0181377467;3.9393507321
2007-10-23;111.0;105500.0;1602497.0;3.9682393041;4.0312689158;3.926219563;4.0312689158;3.9892491747
2007-10-24;130.0;749300.0;11216821.0;3.9393507321;3.8868260557;3.8868260557;3.9839967071;3.9314720306
2007-10-25;34.0;144800.0;2144790.0;3.8343013792;3.926219563;3.8343013792;3.9656130703;3.8894522895
2007-10-26;30.0;392400.0;5817464.0;3.8868260557;3.9393507321;3.8736948866;3.9393507321;3.8947047571
2007-10-29;73.0;444500.0;6670226.0;3.9524819012;3.9393507321;3.9130883939;3.9656130703;3.9419769659
2007-10-30;37.0;66000.0;986043.0;3.8868260557;3.9393507321;3.8868260557;3.9419769659;3.9235933292
2007-10-31;115.0;376700.0;5655787.0;4.0706624232;3.8868260557;3.8868260557;4.0706624232;3.9419769659
2007-11-01;131.0;420200.0;6320804.0;3.9393507321;3.955108135;3.8868260557;3.99975411;3.9498556674
2007-11-05;41.0;81800.0;1220869.0;3.9130883939;3.9393507321;3.8868260557;3.9472294336;3.9209670953
2007-11-06;20.0;41700.0;627225.0;3.9524819012;3.9918754085;3.9130883939;3.9918754085;3.9498556674
2007-11-07;48.0;167300.0;2427216.0;3.8579374836;3.9393507321;3.7555143646;3.9393507321;3.8106652748
2007-11-08;46.0;271000.0;3985830.0;3.8343013792;3.9524819012;3.7949078719;3.9656130703;3.8631899513
2007-11-09;41.0;160300.0;2219575.0;3.7423831955;3.8343013792;3.5848091662;3.8343013792;3.6373338426
