Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2010-12-02;7.0;1000.0;2780.0;0.93518195938;0.93518195938;0.93518195938;0.93518195938;0.93518195938
2010-12-08;2.0;300.0;900.0;1.0091891648;1.0091891648;1.0091891648;1.0091891648;1.0091891648
2010-12-13;8.0;2100.0;12203.0;2.0183783296;1.3523134808;1.3523134808;2.0183783296;1.9544630158
2010-12-14;1.0;100.0;599.0;2.0150143657;2.0150143657;2.0150143657;2.0150143657;2.0150143657
2010-12-22;2.0;200.0;1000.0;1.6483423025;1.7156215802;1.6483423025;1.7156215802;1.6819819413
2010-12-27;4.0;500.0;2506.0;1.6853459052;1.6853459052;1.6853459052;1.6887098691;1.6853459052
2010-12-28;2.0;200.0;1041.0;1.749261219;1.7526251829;1.749261219;1.7526251829;1.7526251829
2011-01-06;2.0;200.0;1194.0;2.008286438;2.008286438;2.008286438;2.008286438;2.008286438
2011-01-07;4.0;1200.0;6084.0;1.7055296885;1.7055296885;1.7055296885;1.7055296885;1.7055296885
2011-01-11;3.0;300.0;1446.0;1.6214305914;1.6214305914;1.6214305914;1.6214305914;1.6214305914
2011-01-12;3.0;300.0;1551.0;1.7391693273;1.7391693273;1.7391693273;1.7391693273;1.7391693273
2011-01-17;2.0;200.0;980.0;1.6483423025;1.6483423025;1.6483423025;1.6483423025;1.6483423025
2011-01-18;5.0;3400.0;15130.0;1.4969639278;1.4969639278;1.4969639278;1.4969639278;1.4969639278
2011-01-19;4.0;1000.0;4450.0;1.4969639278;1.4969639278;1.4969639278;1.4969639278;1.4969639278
2011-01-20;1.0;100.0;450.0;1.5137837472;1.5137837472;1.5137837472;1.5137837472;1.5137837472
2011-01-21;5.0;3000.0;13800.0;1.547423386;1.547423386;1.547423386;1.547423386;1.547423386
2011-02-02;11.0;7800.0;33824.0;1.4128648307;1.463324289;1.4128648307;1.463324289;1.4599603251
2011-02-03;1.0;100.0;434.0;1.4599603251;1.4599603251;1.4599603251;1.4599603251;1.4599603251
2011-02-07;1.0;100.0;433.0;1.4565963612;1.4565963612;1.4565963612;1.4565963612;1.4565963612
2011-02-14;2.0;200.0;864.0;1.4465044695;1.4599603251;1.4465044695;1.4599603251;1.4532323973
2011-02-15;1.0;100.0;434.0;1.4599603251;1.4599603251;1.4599603251;1.4599603251;1.4599603251
2011-02-16;2.0;400.0;1740.0;1.463324289;1.463324289;1.463324289;1.463324289;1.463324289
2011-02-22;1.0;100.0;435.0;1.463324289;1.463324289;1.463324289;1.463324289;1.463324289
2011-02-23;1.0;100.0;435.0;1.463324289;1.463324289;1.463324289;1.463324289;1.463324289
2011-03-22;1.0;100.0;389.0;1.3085819504;1.3085819504;1.3085819504;1.3085819504;1.3085819504
2011-03-28;4.0;1600.0;5695.0;1.1942071783;1.20429907;1.1942071783;1.20429907;1.1975711422
2011-04-01;4.0;3400.0;10914.0;1.0798324063;1.0798324063;1.0798324063;1.0798324063;1.0798324063
2011-04-04;3.0;600.0;2340.0;1.3119459142;1.3119459142;1.3119459142;1.3119459142;1.3119459142
2011-04-07;2.0;400.0;1838.0;1.9443711242;1.4128648307;1.4128648307;1.9443711242;1.547423386
2011-05-04;3.0;300.0;1415.0;1.6559254207;1.6594411859;1.6559254207;1.6594411859;1.6594411859
2011-05-11;9.0;900.0;3500.0;1.4063060898;1.3359907853;1.3359907853;1.4063060898;1.3676326723
2011-05-25;2.0;2400.0;9600.0;1.4063060898;1.4063060898;1.4063060898;1.4063060898;1.4063060898
2011-05-27;3.0;400.0;1675.0;1.4660740986;1.4695898638;1.4660740986;1.4766213942;1.473105629
2011-05-30;3.0;700.0;2800.0;1.4063060898;1.4063060898;1.4063060898;1.4063060898;1.4063060898
2011-06-02;1.0;100.0;400.0;1.4063060898;1.4063060898;1.4063060898;1.4063060898;1.4063060898
2011-06-03;1.0;200.0;800.0;1.4063060898;1.4063060898;1.4063060898;1.4063060898;1.4063060898
