Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2006-04-28;0.0;0.0;0.0;4.4340661875;4.4340661875;4.4340661875;4.4340661875;4.4340661875
2006-05-02;5.0;130000.0;1375000.0;4.8774728062;4.4340661875;4.4340661875;4.8774728062;4.6898674658
2006-05-04;3.0;60000.0;715000.0;5.320879425;5.0991761156;5.0991761156;5.320879425;5.2839436536
2006-05-05;3.0;1030000.0;11845000.0;5.0991761156;5.0991761156;5.0991761156;5.0991761156;5.0991761156
2006-05-10;2.0;1220000.0;14030000.0;5.0991761156;5.0991761156;5.0991761156;5.0991761156;5.0991761156
2006-05-12;2.0;630000.0;7245000.0;5.0991761156;5.0991761156;5.0991761156;5.0991761156;5.0991761156
2006-05-22;1.0;30000.0;270000.0;3.9906595687;3.9906595687;3.9906595687;3.9906595687;3.9906595687
2006-05-23;2.0;20000.0;229998.0;5.0991317749;5.0991317749;5.0991317749;5.0991317749;5.0991317749
2006-05-30;1.0;10000.0;114000.0;5.0548354537;5.0548354537;5.0548354537;5.0548354537;5.0548354537
2006-07-12;2.0;20000.0;220000.0;4.8774728062;4.8774728062;4.8774728062;4.8774728062;4.8774728062
2006-10-06;8.0;7850000.0;70670000.0;4.4340661875;3.9906595687;3.9906595687;4.4340661875;3.9917680853
2006-10-10;7.0;2850000.0;25667442.0;4.3711024476;3.9907039094;3.9906595687;4.3711024476;3.9933643491
2006-10-20;2.0;40000.0;360008.0;3.9906595687;3.991014294;3.9906595687;3.991014294;3.99074825
2006-10-23;1.0;10000.0;90000.0;3.9906595687;3.9906595687;3.9906595687;3.9906595687;3.9906595687
2006-10-27;1.0;10000.0;95000.0;4.2123628781;4.2123628781;4.2123628781;4.2123628781;4.2123628781
2006-11-06;4.0;130000.0;1179998.0;3.9906595687;4.2123185374;3.9906595687;4.2123185374;4.0247575377
2006-11-16;1.0;20000.0;219400.0;4.8641706076;4.8641706076;4.8641706076;4.8641706076;4.8641706076
2006-12-04;1.0;20000.0;209998.0;4.6557251562;4.6557251562;4.6557251562;4.6557251562;4.6557251562
2006-12-11;2.0;110000.0;1130000.0;4.5449178421;4.6557694968;4.5449178421;4.6557694968;4.5549831724
2006-12-12;1.0;10000.0;100000.0;4.4340661875;4.4340661875;4.4340661875;4.4340661875;4.4340661875
2006-12-13;4.0;80000.0;760000.0;4.2123628781;4.2123628781;4.2123628781;4.2123628781;4.2123628781
2006-12-28;3.0;50000.0;499999.0;4.4340218468;4.4340661875;4.4340218468;4.4340661875;4.4340661875
2007-01-19;3.0;130000.0;1300000.0;4.4340661875;4.4340661875;4.4340661875;4.4340661875;4.4340661875
2007-01-22;4.0;80000.0;804000.0;4.4340661875;4.4340661875;4.4340661875;4.611428835;4.4562365184
2007-02-01;1.0;10000.0;100000.0;4.4340661875;4.4340661875;4.4340661875;4.4340661875;4.4340661875
2007-02-05;2.0;60000.0;600000.0;4.4340661875;4.4340661875;4.4340661875;4.4340661875;4.4340661875
2007-02-06;1.0;30000.0;300000.0;4.4340661875;4.4340661875;4.4340661875;4.4340661875;4.4340661875
2007-02-08;15.0;850000.0;8505899.0;4.4340661875;4.4340661875;4.4340218468;4.6956760925;4.4371256931
2007-02-09;4.0;120000.0;1200000.0;4.4340661875;4.4340661875;4.4340661875;4.4340661875;4.4340661875
2007-02-14;1.0;500000.0;5000000.0;4.4340661875;4.4340661875;4.4340661875;4.4340661875;4.4340661875
2007-02-21;4.0;900000.0;9000000.0;4.4340661875;4.4340661875;4.4340661875;4.4340661875;4.4340661875
2007-02-22;2.0;50000.0;500000.0;4.4340661875;4.4340661875;4.4340661875;4.4340661875;4.4340661875
2007-02-23;1.0;70000.0;700000.0;4.4340661875;4.4340661875;4.4340661875;4.4340661875;4.4340661875
2007-03-02;1.0;10000.0;99000.0;4.3897255256;4.3897255256;4.3897255256;4.3897255256;4.3897255256
2007-03-06;4.0;430000.0;4299957.0;4.4340218468;4.4340218468;4.4340218468;4.4340218468;4.4340218468
2007-03-07;3.0;310000.0;3100000.0;4.4340661875;4.4340661875;4.4340661875;4.4340661875;4.4340661875
2007-03-08;1.0;20000.0;200000.0;4.4340661875;4.4340661875;4.4340661875;4.4340661875;4.4340661875
2007-03-13;2.0;20000.0;212000.0;4.7001101587;4.7001101587;4.7001101587;4.7001101587;4.7001101587
2007-03-21;1.0;10000.0;110000.0;4.8774728062;4.8774728062;4.8774728062;4.8774728062;4.8774728062
2007-03-22;2.0;30000.0;340000.0;5.320879425;4.8774728062;4.8774728062;5.320879425;5.0252602322
2007-03-27;11.0;1580000.0;18960000.0;5.320879425;5.320879425;5.320879425;5.320879425;5.320879425
2007-03-28;4.0;660000.0;7929000.0;5.7199453818;5.320879425;5.320879425;5.7199453818;5.326909755
2007-03-29;4.0;140000.0;1750000.0;5.5425827343;5.5425827343;5.5425827343;5.5425827343;5.5425827343
2007-03-30;1.0;30000.0;375000.0;5.5425827343;5.5425827343;5.5425827343;5.5425827343;5.5425827343
2007-04-03;1.0;70000.0;840700.0;5.3253134911;5.3253134911;5.3253134911;5.3253134911;5.3253134911
2007-04-05;3.0;30000.0;360200.0;5.3253134911;5.320879425;5.320879425;5.3253134911;5.3238502493
2007-04-10;2.0;20000.0;242100.0;5.4095607487;5.3253134911;5.3253134911;5.4095607487;5.3674371199
2007-04-16;1.0;10000.0;129900.0;5.7598519775;5.7598519775;5.7598519775;5.7598519775;5.7598519775
2007-04-17;1.0;30000.0;391500.0;5.7864563746;5.7864563746;5.7864563746;5.7864563746;5.7864563746
2007-04-18;1.0;100000.0;1250000.0;5.5425827343;5.5425827343;5.5425827343;5.5425827343;5.5425827343
2007-04-19;1.0;380000.0;4750000.0;5.5425827343;5.5425827343;5.5425827343;5.5425827343;5.5425827343
2007-04-23;2.0;30000.0;375000.0;5.5425827343;5.5425827343;5.5425827343;5.5425827343;5.5425827343
2007-04-26;4.0;150000.0;1801500.0;5.3253134911;5.3253134911;5.3253134911;5.3253134911;5.3253134911
2007-04-27;1.0;10000.0;129900.0;5.7598519775;5.7598519775;5.7598519775;5.7598519775;5.7598519775
2007-05-09;15.0;820000.0;10219000.0;5.4982420724;5.7199453818;5.4982420724;5.7199453818;5.5258219641
2007-05-10;1.0;10000.0;125000.0;5.5425827343;5.5425827343;5.5425827343;5.5425827343;5.5425827343
2007-05-17;3.0;30000.0;379900.0;5.5425827343;5.7598519775;5.5425827343;5.7598519775;5.6149910352
2007-05-21;3.0;400000.0;4840000.0;5.3652200868;5.3652200868;5.3652200868;5.3652200868;5.3652200868
2007-05-22;5.0;70000.0;860800.0;5.3652200868;5.4539014106;5.3652200868;5.5425827343;5.4526155314
2007-05-23;1.0;10000.0;120000.0;5.320879425;5.320879425;5.320879425;5.320879425;5.320879425
2007-05-25;5.0;620000.0;7502000.0;5.3652200868;5.3652200868;5.3652200868;5.3652200868;5.3652200868
2007-05-30;2.0;70000.0;847000.0;5.3652200868;5.3652200868;5.3652200868;5.3652200868;5.3652200868
2007-06-01;5.0;270000.0;3269999.0;5.5425827343;5.3430497559;5.3430497559;5.5425827343;5.3701419003
2007-06-04;3.0;70000.0;851000.0;5.3652200868;5.5425827343;5.3652200868;5.5425827343;5.3905386048
2007-06-05;1.0;10000.0;121000.0;5.3652200868;5.3652200868;5.3652200868;5.3652200868;5.3652200868
2007-06-08;3.0;130000.0;1573000.0;5.3652200868;5.3652200868;5.3652200868;5.3652200868;5.3652200868
2007-06-11;1.0;10000.0;121950.0;5.4073437156;5.4073437156;5.4073437156;5.4073437156;5.4073437156
2007-06-12;2.0;40000.0;484000.0;5.3652200868;5.3652200868;5.3652200868;5.3652200868;5.3652200868
2007-06-14;2.0;40000.0;476600.0;5.3607860206;5.2055937041;5.2055937041;5.3607860206;5.2831898624
2007-06-18;1.0;10000.0;120899.0;5.36074168;5.36074168;5.36074168;5.36074168;5.36074168
2007-06-20;1.0;10000.0;115000.0;5.0991761156;5.0991761156;5.0991761156;5.0991761156;5.0991761156
2007-06-21;4.0;360000.0;4255000.0;5.320879425;5.2100277703;5.2100277703;5.320879425;5.2408001896
2007-06-29;1.0;10000.0;119999.0;5.3208350843;5.3208350843;5.3208350843;5.3208350843;5.3208350843
2007-07-02;3.0;60000.0;720000.0;5.320879425;5.320879425;5.320879425;5.320879425;5.320879425
2007-07-03;5.0;60000.0;719998.0;5.320879425;5.3208350843;5.3208350843;5.320879425;5.320879425
2007-07-04;4.0;130000.0;1560000.0;5.320879425;5.320879425;5.320879425;5.320879425;5.320879425
2007-07-05;3.0;70000.0;845000.0;5.5425827343;5.320879425;5.320879425;5.5425827343;5.3525386575
2007-07-06;1.0;10000.0;124000.0;5.4982420724;5.4982420724;5.4982420724;5.4982420724;5.4982420724
2007-07-10;3.0;350000.0;4373936.0;5.542494053;5.4982420724;5.4982420724;5.5425827343;5.5412525145
2007-07-11;1.0;20000.0;249998.0;5.5425383937;5.5425383937;5.5425383937;5.5425383937;5.5425383937
2007-07-12;3.0;80000.0;992000.0;5.4982420724;5.4982420724;5.4982420724;5.4982420724;5.4982420724
2007-07-13;1.0;10000.0;123999.0;5.4981977318;5.4981977318;5.4981977318;5.4981977318;5.4981977318
2007-07-18;3.0;140000.0;1736000.0;5.4982420724;5.4982420724;5.4982420724;5.4982420724;5.4982420724
2007-07-19;3.0;120000.0;1488500.0;5.5204124034;5.4982420724;5.4982420724;5.5204124034;5.5001043802
2007-07-23;1.0;10000.0;124000.0;5.4982420724;5.4982420724;5.4982420724;5.4982420724;5.4982420724
2007-07-24;1.0;50000.0;620000.0;5.4982420724;5.4982420724;5.4982420724;5.4982420724;5.4982420724
