Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-04-05;1.0;7.0;14.069999933;1.2181441998;1.2181441998;1.2181441998;1.2181441998;1.2181441998
2000-11-21;1.0;350.0;706.99999332;1.224204613;1.224204613;1.224204613;1.224204613;1.224204613
2000-11-27;1.0;37.0;74.369999647;1.2181441998;1.2181441998;1.2181441998;1.2181441998;1.2181441998
2001-02-08;1.0;86.0;172.85999918;1.2181441998;1.2181441998;1.2181441998;1.2181441998;1.2181441998
2001-03-01;1.0;800.0;4815.9999847;3.6483721863;3.6483721863;3.6483721863;3.6483721863;3.6483721863
2001-03-21;1.0;15.0;225.0;9.0906284001;9.0906284001;9.0906284001;9.0906284001;9.0906284001
2001-04-24;4.0;445.0;4458.7;6.0725400487;6.0604189334;6.0604189334;6.0725400487;6.0725400487
2001-05-24;2.0;200.0;3200.0;9.6966702934;9.6966702934;9.6966702934;9.6966702934;9.6966702934
2001-06-07;1.0;10.0;400.0;24.241675734;24.241675734;24.241675734;24.241675734;24.241675734
2001-10-26;1.0;9.0;90.0;6.0604189334;6.0604189334;6.0604189334;6.0604189334;6.0604189334
2002-02-05;1.0;3.0;45.0;9.0906284001;9.0906284001;9.0906284001;9.0906284001;9.0906284001
2002-05-08;1.0;31.0;248.3100071;4.8543957044;4.8543957044;4.8543957044;4.8543957044;4.8543957044
2002-05-20;2.0;91.0;546.0;3.63625136;3.63625136;3.63625136;3.63625136;3.63625136
2002-05-22;1.0;146.0;1168.0;4.8483351467;4.8483351467;4.8483351467;4.8483351467;4.8483351467
2002-08-05;2.0;20.0;100.0;3.0302094667;3.0302094667;3.0302094667;3.0302094667;3.0302094667
2002-09-06;3.0;15.0;55.1;3.0302094667;1.8241860932;1.8241860932;3.0302094667;2.2241737948
2002-12-11;2.0;29.0;145.29000664;3.0362700243;3.0362700243;3.0362700243;3.0362700243;3.0362700243
2003-03-07;1.0;3.0;12.299999713;2.4847717049;2.4847717049;2.4847717049;2.4847717049;2.4847717049
2003-05-28;2.0;74.0;303.39999294;2.4847717049;2.4847717049;2.4847717049;2.4847717049;2.4847717049
2003-06-05;2.0;20.0;81.3;2.4241675734;2.4847717049;2.4241675734;2.4847717049;2.4665906099
2003-06-27;2.0;55.0;66.000002623;0.72725030091;0.72725030091;0.72725030091;0.72725030091;0.72725030091
2003-08-19;2.0;90.0;90.899999142;0.61210230649;0.61210230649;0.61210230649;0.61210230649;0.61210230649
2003-08-29;1.0;40.0;200.0;3.0302094667;3.0302094667;3.0302094667;3.0302094667;3.0302094667
2003-10-09;2.0;22.0;220.0;6.0604189334;6.0604189334;6.0604189334;6.0604189334;6.0604189334
2003-10-17;1.0;1000.0;10000.0;6.0604189334;6.0604189334;6.0604189334;6.0604189334;6.0604189334
2003-12-17;1.0;53.0;477.0;5.4543770401;5.4543770401;5.4543770401;5.4543770401;5.4543770401
2004-08-26;5.0;600.0;4170.0;3.7574597387;4.3028974427;3.7574597387;4.3028974427;4.2119911587
2004-12-21;1.0;100.0;811.0;4.914999755;4.914999755;4.914999755;4.914999755;4.914999755
2005-03-07;1.0;100.0;622.0;3.7695805766;3.7695805766;3.7695805766;3.7695805766;3.7695805766
2005-03-30;1.0;400.0;2000.0;3.0302094667;3.0302094667;3.0302094667;3.0302094667;3.0302094667
2007-02-12;5.0;700.0;3525.0;3.090813656;3.0362698856;3.0362698856;3.090813656;3.0544511424
2007-02-15;1.0;100.0;500.0;3.0302094667;3.0302094667;3.0302094667;3.0302094667;3.0302094667
