Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-04-09;0.0;0.0;0.0;7.4093789288;7.4093789288;7.4093789288;7.4093789288;7.4093789288
2021-04-12;2073.0;805700.0;14145197.0;7.0718405553;7.4093789288;7.0718405553;7.9156864889;7.2241444555
2021-04-13;670.0;118100.0;2034517.0;7.0389099823;7.1335853797;7.0389099823;7.2035628474;7.0883058418
2021-04-14;213.0;50700.0;860068.0;6.9195366551;6.9360019416;6.9195366551;7.1582833095;6.9812814795
2021-04-15;294.0;158700.0;2673821.0;6.8948387254;7.0018630877;6.8948387254;7.1212364149;6.93188562
2021-04-16;482.0;74100.0;1216520.0;6.7178368954;7.0100957309;6.6684410359;7.0100957309;6.7548837901
2021-04-19;354.0;84300.0;1401909.0;6.8125122928;6.7425348252;6.7425348252;6.9977467661;6.8454428659
2021-04-20;531.0;101900.0;1711595.0;6.9360019416;6.9360019416;6.8166286145;6.9936304444;6.9113040119
2021-04-22;134.0;27900.0;467686.0;6.9565835498;6.9853978012;6.8001633279;7.0100957309;6.898955047
2021-04-23;241.0;81700.0;1376850.0;6.9360019416;6.9154203335;6.9154203335;6.9977467661;6.9360019416
2021-04-26;299.0;50000.0;847976.0;7.0594915905;6.9565835498;6.9154203335;7.1006548067;6.9771651579
2021-04-27;123.0;93300.0;1590955.0;7.0183283742;7.0553752688;6.9977467661;7.0718405553;7.0183283742
2021-04-28;117.0;24100.0;417585.0;7.1829812393;7.0389099823;7.0389099823;7.1994465258;7.1294690581
2021-04-29;219.0;27900.0;493554.0;7.2817729583;7.1994465258;7.1829812393;7.3476341044;7.2817729583
2021-04-30;544.0;157300.0;2935785.0;7.7181030508;7.2817729583;7.1459343446;7.8210110915;7.6810561562
2021-05-03;569.0;96900.0;1951779.0;8.0679903891;7.7757315536;7.4052626071;8.8459751766;8.290271757
2021-05-04;119.0;36500.0;698323.0;7.9856639565;8.2943880786;7.660474548;8.5207857681;7.8745232726
2021-05-05;80.0;56800.0;1078623.0;7.8210110915;8.1873637163;7.7057540859;8.2285269326;7.8127784482
2021-05-06;38.0;76400.0;1450766.0;7.7304520157;7.8210110915;7.7222193724;7.8210110915;7.8127784482
2021-05-07;96.0;19800.0;364511.0;7.5699154722;7.6357766182;7.4958216829;7.7757315536;7.5740317938
2021-05-10;266.0;36200.0;657024.0;7.4134952504;7.9856639565;7.4093789288;7.9856639565;7.4670074315
2021-05-11;535.0;85100.0;1573354.0;7.5328685776;7.3640993909;7.3640993909;7.8210110915;7.6069623669
2021-05-12;933.0;234500.0;4449966.0;7.4093789288;7.8992212024;7.4093789288;8.1215025703;7.8086621266
2021-05-13;146.0;24400.0;440650.0;7.4052626071;7.4423095018;7.3352851395;7.5328685776;7.4299605369
2021-05-14;94.0;19800.0;364555.0;7.5822644371;7.4628911099;7.4217278936;7.7304520157;7.5781481155
2021-05-17;127.0;28300.0;530528.0;7.726335694;7.5493338641;7.4917053613;7.7757315536;7.7139867292
2021-05-18;351.0;69100.0;1301663.0;7.7880805185;7.726335694;7.660474548;7.9650823484;7.7510336238
2021-05-19;280.0;61200.0;1146314.0;7.7963131617;7.6975214427;7.5740317938;7.9568497052;7.7098704075
2021-05-20;682.0;203400.0;4047242.0;7.9198028105;8.3149696867;7.8621743077;8.7224855278;8.1873637163
2021-05-21;326.0;94800.0;1866430.0;7.7345683373;8.0432924593;7.7345683373;8.2779227921;8.1009209621
2021-05-24;267.0;62500.0;1185916.0;7.6975214427;7.8621743077;7.6975214427;8.2285269326;7.8086621266
2021-05-25;201.0;58000.0;1086742.0;7.6563582264;7.7510336238;7.5904970804;7.8621743077;7.7098704075
2021-05-26;245.0;55400.0;1019374.0;7.4711237532;7.6563582264;7.4711237532;7.7386846589;7.5699154722
2021-05-27;262.0;90200.0;1642692.0;7.4093789288;7.5699154722;7.3764483557;7.6151950101;7.4917053613
2021-05-28;1095.0;227700.0;4194706.0;7.6151950101;7.4299605369;7.4093789288;7.6522419048;7.5822644371
2021-05-31;922.0;287700.0;5294141.0;7.6151950101;7.5987297236;7.4299605369;7.6975214427;7.5740317938
2021-06-01;672.0;587100.0;10777006.0;7.528752256;7.6440092615;7.5122869694;7.6440092615;7.5534501857
2021-06-02;458.0;309400.0;5712352.0;7.6563582264;7.6522419048;7.4875890397;7.6687071913;7.5987297236
2021-06-04;1083.0;440200.0;8715146.0;8.047408781;7.7880805185;7.7880805185;8.5002041599;8.1462005
2021-06-07;3427.0;1196900.0;26760681.0;9.0559075796;8.8500914982;8.8500914982;9.5910293911;9.1999788366
2021-06-08;3052.0;837400.0;19049657.0;9.7145190399;9.2205604447;9.0764891877;9.8750555834;9.3646317016
2021-06-09;3094.0;947900.0;23115119.0;9.7351006481;9.879171905;9.5128192802;10.665389335;10.035592126
