Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2011-02-02;0.0;0.0;0.0;13.620074832;13.620074832;13.620074832;13.620074832;13.620074832
2011-02-03;7012.0;3369100.0;66473437.0;13.408963672;13.320433186;13.279572961;13.613264794;13.436203822
2011-02-04;418.0;374300.0;7332210.0;13.408963672;13.422583747;13.279572961;13.483874084;13.340863298
2011-02-07;232.0;258400.0;5047115.0;13.245522774;13.347673335;13.143372213;13.408963672;13.300003073
2011-02-08;187.0;91100.0;1799434.0;13.483874084;13.245522774;13.245522774;13.497494158;13.449823896
2011-02-09;200.0;146800.0;2905855.0;13.497494158;13.551974458;13.436203822;13.551974458;13.477064046
2011-02-10;223.0;71500.0;1428073.0;13.688175206;13.497494158;13.497494158;13.749465543;13.59964472
2011-02-11;113.0;388400.0;7803089.0;13.742655505;13.722225393;13.620074832;13.749465543;13.681365169
2011-02-14;186.0;324800.0;6547789.0;13.892476328;13.626884869;13.551974458;13.892476328;13.729035431
2011-02-15;51.0;50900.0;1033320.0;13.892476328;13.620074832;13.620074832;13.946956628;13.824375954
2011-02-16;71.0;40000.0;817505.0;14.028677077;13.701795281;13.701795281;14.028677077;13.919716478
2011-02-17;345.0;178900.0;3683367.0;14.301078573;13.953766665;13.953766665;14.301078573;14.021867039
2011-02-18;165.0;89900.0;1897932.0;14.57348007;14.035487114;14.035487114;14.668820594;14.375988985
2011-02-21;47.0;11700.0;250080.0;14.471329509;14.464519471;14.307888611;14.770971155;14.553049958
2011-02-22;138.0;53900.0;1150340.0;14.743731005;14.627960369;14.301078573;14.743731005;14.532619846
2011-02-23;55.0;33300.0;727202.0;14.96846224;14.457709434;14.457709434;14.96846224;14.873121716
2011-02-24;53.0;56400.0;1237151.0;14.948032128;14.948032128;14.57348007;14.961652203;14.941222091
2011-02-25;52.0;148100.0;3254231.0;14.982082315;14.948032128;14.818641417;15.322584186;14.961652203
2011-02-28;134.0;295000.0;6646266.0;15.39068456;14.559859995;14.559859995;15.560935495;15.343014298
2011-03-01;51.0;43600.0;976825.0;15.254483812;15.526885308;15.220433625;15.526885308;15.254483812
2011-03-02;484.0;428000.0;9684721.0;15.62903587;15.145523213;15.145523213;15.656276019;15.411114672
2011-03-03;289.0;201700.0;4641979.0;15.96953774;15.62903587;15.451974897;16.003587928;15.669896094
2011-03-04;53.0;43800.0;1013237.0;15.99677789;15.983157815;15.622225832;16.167028826;15.751616543
2011-03-09;10.0;4200.0;99030.0;16.119358564;16.248749275;15.96953774;16.248749275;16.058068227
2011-03-10;20.0;10300.0;241162.0;15.935487553;16.20788905;15.84014703;16.20788905;15.942297591
2011-03-11;19.0;45600.0;1066475.0;15.901437366;16.248749275;15.901437366;16.248749275;15.928677516
2011-03-14;47.0;132600.0;3068441.0;15.663086057;16.173838863;15.499645159;16.173838863;15.758426581
2011-03-15;30.0;49100.0;1119110.0;15.594985683;15.656276019;15.186383438;15.656276019;15.520075271
2011-03-16;26.0;46800.0;1063056.0;15.663086057;15.451974897;15.322584186;15.663086057;15.465594972
2011-03-17;34.0;9200.0;210695.0;15.663086057;15.656276019;15.329394223;15.663086057;15.594985683
2011-03-18;69.0;35100.0;806587.0;15.663086057;15.663086057;15.329394223;15.663086057;15.649465982
2011-03-21;51.0;169400.0;3888227.0;16.20788905;15.676706132;15.594985683;16.289609499;15.62903587
2011-03-22;34.0;23400.0;547617.0;16.139788676;16.003587928;15.799286805;16.139788676;15.935487553
2011-03-23;143.0;163200.0;3778388.0;15.867387179;15.744806506;15.424734747;16.003587928;15.765236618
2011-03-24;197.0;173700.0;3904326.0;15.356634373;15.867387179;14.982082315;15.867387179;15.308964111
2011-03-25;90.0;71900.0;1613707.0;15.39068456;15.663086057;15.063802764;15.921867478;15.281723961
2011-03-28;22.0;29300.0;659014.0;15.404304635;15.20681355;15.20681355;15.411114672;15.315774148
2011-03-29;93.0;60800.0;1363319.0;15.186383438;15.819716917;15.186383438;15.928677516;15.268103887
2011-03-30;153.0;452900.0;10267310.0;15.526885308;15.588175645;15.186383438;15.656276019;15.438354822
2011-03-31;285.0;251100.0;5773782.0;15.799286805;15.833336992;15.36344441;15.833336992;15.656276019
2011-04-01;272.0;132400.0;2991982.0;15.39068456;15.472405009;15.322584186;15.588175645;15.39068456
2011-04-04;80.0;197200.0;4526312.0;15.656276019;15.792476768;15.458784934;15.792476768;15.62903587
2011-04-05;136.0;24700.0;567326.0;15.663086057;15.594985683;15.499645159;15.663086057;15.642655944
2011-04-06;27.0;10600.0;243177.0;15.656276019;15.472405009;15.465594972;15.656276019;15.622225832
2011-04-07;65.0;26200.0;601543.0;15.663086057;15.656276019;15.431544785;15.731186431;15.635845907
2011-04-08;159.0;25700.0;589307.0;15.622225832;15.724376393;15.499645159;15.731186431;15.615415795
2011-04-11;181.0;27100.0;614824.0;15.526885308;15.656276019;15.288533999;15.683516169;15.451974897
2011-04-12;67.0;20300.0;462324.0;15.492835121;15.697136244;15.39068456;15.703946281;15.506455196
2011-04-13;92.0;193800.0;4443332.0;15.594985683;15.656276019;15.424734747;15.731186431;15.615415795
2011-04-14;192.0;139200.0;3180933.0;15.560935495;15.588175645;14.982082315;15.799286805;15.560935495
2011-04-15;22.0;24000.0;551813.0;15.656276019;15.690326206;15.588175645;15.697136244;15.656276019
2011-04-18;25.0;21200.0;485391.0;15.663086057;15.356634373;15.356634373;15.717566356;15.594985683
2011-04-19;114.0;82200.0;1883501.0;15.57455557;15.731186431;15.356634373;15.860577142;15.60179572
2011-04-20;104.0;405500.0;9343457.0;15.935487553;15.853767104;15.451974897;15.935487553;15.690326206
2011-04-25;110.0;26200.0;619336.0;16.20788905;15.935487553;15.751616543;16.269179387;16.098928452
2011-04-26;81.0;39100.0;920191.0;16.003587928;16.26236935;15.96953774;16.26236935;16.02401804
2011-04-27;9.0;4500.0;105998.0;16.058068227;16.167028826;15.867387179;16.167028826;16.044448152
2011-04-28;39.0;18300.0;429600.0;16.139788676;15.874197217;15.703946281;16.139788676;15.989967853
2011-04-29;65.0;62000.0;1472697.0;16.302442717;16.213768343;15.872713055;16.302442717;16.200126131
2011-05-02;42.0;21400.0;511645.0;16.288800506;16.50707589;16.104630651;16.50707589;16.309263823
2011-05-03;54.0;419500.0;9649892.0;15.6885432;16.070525122;15.64079546;16.070525122;15.6885432
2011-05-04;16.0;10100.0;232288.0;15.681722095;16.002314065;15.681722095;16.002314065;15.6885432
2011-05-05;22.0;26200.0;600426.0;15.620332143;15.49755224;15.49755224;15.86589195;15.633974354
2011-05-06;139.0;74100.0;1707556.0;15.743112046;15.852249738;15.524836663;15.852249738;15.715827623
2011-05-09;37.0;27300.0;628370.0;15.756754258;15.784038681;15.552121086;15.818144209;15.702185412
2011-05-10;46.0;112000.0;2584176.0;16.022777382;15.756754258;15.586226614;16.022777382;15.736290941
2011-05-11;9.0;21300.0;495208.0;15.852249738;15.852249738;15.852249738;15.859070844;15.859070844
2011-05-12;79.0;23500.0;545369.0;15.852249738;15.504373345;15.49755224;15.852249738;15.831786421
2011-05-13;90.0;38600.0;885729.0;15.6885432;15.831786421;15.552121086;15.831786421;15.654437672
2011-05-16;137.0;51600.0;1175224.0;15.483910028;15.852249738;15.442983394;15.859070844;15.538478874
2011-05-17;28.0;94300.0;2164559.0;15.613511037;15.804501998;15.565763297;15.804501998;15.654437672
2011-05-18;30.0;25400.0;580500.0;15.586226614;15.818144209;15.422520077;15.818144209;15.586226614
2011-05-19;27.0;35400.0;818568.0;15.804501998;15.838607527;15.483910028;15.838607527;15.770396469
2011-05-20;28.0;38400.0;885506.0;15.749933152;15.804501998;15.64079546;15.804501998;15.729469835
2011-05-23;39.0;24100.0;551510.0;15.6885432;15.572584403;15.422520077;15.6885432;15.606689932
2011-05-24;74.0;202200.0;4615295.0;15.483910028;15.743112046;15.449804499;15.743112046;15.572584403
2011-05-25;83.0;134600.0;3042519.0;15.415698971;15.477088922;15.299740173;15.483910028;15.415698971
2011-05-26;55.0;117900.0;2713848.0;15.893176373;15.442983394;15.442983394;16.145557285;15.702185412
2011-05-27;39.0;131100.0;3025780.0;15.824965315;15.852249738;15.654437672;15.859070844;15.743112046
2011-05-30;13.0;6100.0;142227.0;15.96138743;15.824965315;15.824965315;15.96138743;15.906818584
2011-05-31;167.0;269700.0;6451801.0;16.541181418;16.002314065;15.96138743;16.541181418;16.316084929
2011-06-01;90.0;195200.0;4681896.0;16.472970361;16.241052766;15.920460796;16.527539207;16.363832669
2011-06-02;87.0;189300.0;4560536.0;16.568465841;16.575286947;16.077346228;16.711709062;16.432043726
2011-06-03;48.0;19800.0;483842.0;16.841310071;16.404759303;16.118272862;16.854952282;16.670782427
2011-06-06;17.0;5800.0;143939.0;17.155080935;16.55482363;16.55482363;17.155080935;16.929984445
2011-06-07;85.0;15700.0;397705.0;17.257397521;17.189186464;17.06640656;17.530241751;17.277860838
2011-06-08;62.0;55200.0;1390303.0;17.175544252;17.257397521;17.073227666;17.257397521;17.182365358
2011-06-09;27.0;160300.0;4096217.0;17.530241751;17.155080935;17.155080935;17.7075905;17.427925164
2011-06-10;122.0;67000.0;1689642.0;17.352893001;17.530241751;16.97091108;17.65984276;17.202828675
2011-06-13;898.0;196700.0;5080143.0;17.768980451;17.65984276;17.264218627;18.246457853;17.618916125
2011-06-14;279.0;129900.0;3322637.0;17.530241751;17.768980451;17.325608578;17.973613624;17.448388482
2011-06-15;188.0;212500.0;5336794.0;17.325608578;17.230113098;16.998195503;17.489315116;17.127796512
