Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2020-05-14;0.0;0.0;0.0;10.5;10.5;10.5;10.5;10.5
2020-05-15;10508.0;7545600.0;66829221.0;9.55;8.99;8.4;9.55;8.85
2020-05-18;1337.0;1265300.0;12371204.0;9.8;9.95;9.61;9.95;9.77
2020-05-19;636.0;718700.0;7019779.0;9.74;9.85;9.69;10.0;9.76
2020-05-20;566.0;403900.0;3992342.0;9.9;9.85;9.79;10.0;9.88
2020-05-21;499.0;773000.0;7654682.0;9.8;9.99;9.8;10.05;9.9
2020-05-22;398.0;407200.0;3982132.0;9.85;9.8;9.62;9.85;9.77
2020-05-25;212.0;188900.0;1866475.0;9.87;9.92;9.78;9.95;9.88
2020-05-26;117.0;56600.0;559312.0;9.91;9.83;9.8;10.0;9.88
2020-05-27;193.0;61800.0;606800.0;9.76;9.87;9.76;9.9;9.81
2020-05-28;138.0;46600.0;450044.0;9.65;9.78;9.6;9.78;9.65
2020-05-29;351.0;227300.0;2184177.0;9.5;9.59;9.5;9.85;9.6
2020-06-01;422.0;81600.0;795319.0;9.8;9.44;9.2;9.8;9.74
2020-06-02;718.0;174300.0;1683089.0;9.59;9.82;9.57;9.95;9.65
2020-06-03;262.0;957600.0;9195945.0;9.66;9.62;9.6;9.77;9.6
2020-06-04;227.0;49900.0;490485.0;9.9;9.59;9.59;9.93;9.82
2020-06-05;829.0;470500.0;4890524.0;9.88;9.9;9.88;10.57;10.39
2020-06-08;860.0;299200.0;2926874.0;9.7;10.0;9.65;10.19;9.78
2020-06-09;266.0;127600.0;1256601.0;9.81;9.68;9.68;10.03;9.84
2020-06-10;167.0;49300.0;483084.0;9.95;10.05;9.69;10.09;9.79
2020-06-12;170.0;70800.0;685178.0;9.59;9.72;9.58;9.87;9.67
2020-06-15;175.0;53600.0;502012.0;9.4;9.57;9.15;9.69;9.36
2020-06-16;140.0;42000.0;404638.0;9.6;9.51;9.5;9.8;9.63
2020-06-17;118.0;31500.0;303865.0;9.78;9.74;9.52;9.8;9.64
2020-06-18;99.0;43800.0;426781.0;9.84;9.75;9.57;9.85;9.74
2020-06-19;111.0;42600.0;406429.0;9.37;9.85;9.37;9.86;9.54
2020-06-22;104.0;37300.0;356436.0;9.6;9.5;9.49;9.65;9.55
2020-06-23;103.0;34200.0;329322.0;9.72;9.77;9.51;9.78;9.62
2020-06-24;325.0;85300.0;792254.0;9.15;9.64;9.15;9.67;9.28
2020-06-25;91.0;25100.0;234069.0;9.35;9.2;9.16;9.49;9.32
2020-06-26;73.0;17000.0;157339.0;9.2;9.42;9.2;9.42;9.25
2020-06-29;74.0;24800.0;227576.0;9.15;9.42;9.14;9.42;9.17
2020-06-30;276.0;56100.0;523268.0;9.3;9.22;9.19;9.49;9.32
2020-07-01;257.0;44000.0;416909.0;9.5;9.2;9.2;9.58;9.47
2020-07-02;282.0;37500.0;359011.0;9.3;9.51;9.3;9.79;9.57
2020-07-03;269.0;32500.0;307657.0;9.6;9.45;9.31;9.6;9.46
2020-07-06;322.0;53400.0;515907.0;9.69;9.7;9.6;9.7;9.66
2020-07-07;370.0;86500.0;844808.0;9.81;9.79;9.65;9.82;9.76
2020-07-08;86.0;28500.0;277041.0;9.78;9.8;9.61;9.8;9.72
2020-07-09;179.0;33800.0;332096.0;9.86;9.77;9.7;9.89;9.82
2020-07-10;333.0;72200.0;696784.0;9.7;9.82;9.56;9.82;9.65
2020-07-13;210.0;45000.0;430052.0;9.37;9.76;9.37;9.76;9.55
