Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2013-04-23;0.0;0.0;0.0;8.4914397453;8.4914397453;8.4914397453;8.4914397453;8.4914397453
2013-04-24;7597.0;6566608.4491;97371031.0;8.0324430023;8.381280527;7.9635934909;8.381280527;8.1517821555
2013-04-25;1585.0;963535.44269;14286765.0;8.124242351;8.0875226115;8.0508028721;8.2757112761;8.1517821555
2013-04-26;1461.0;2121143.6713;31363430.0;8.1012925138;8.1288323184;8.0737527092;8.2114517321;8.1288323184
2013-04-29;1504.0;1118673.8734;16566054.0;8.2160416995;8.1701420253;8.0140831326;8.252761439;8.1426022207
2013-04-30;590.0;596234.72563;8988736.0;8.3032510807;8.2160416995;8.2022717973;8.3307908853;8.2894811784
2013-05-02;857.0;705969.70829;10768529.0;8.445540071;8.2803012436;8.0324430023;8.4868497779;8.3858704944
2013-05-03;279.0;260920.07885;3996114.0;8.4225902339;8.3996403967;8.3766905596;8.4593099733;8.4225902339
2013-05-06;112.0;182811.77242;2780476.0;8.3445607876;8.3537407225;8.3399708202;8.4317701688;8.3629206573
2013-05-07;553.0;717829.71187;11063430.0;8.4776698431;8.3537407225;8.284891211;8.5235695174;8.4730798756
2013-05-08;310.0;396052.2409;6122580.0;8.5373394197;8.4776698431;8.3537407225;8.5373394197;8.5006196802
2013-05-09;139.0;102906.49574;1601555.0;8.5419293871;8.5694691917;8.4730798756;8.5694691917;8.5556992894
2013-05-10;42.0;25636.775424;396082.0;8.4684899082;8.5281594848;8.4501300385;8.5419293871;8.4960297128
2013-05-13;195.0;374009.40595;5780169.0;8.5052096476;8.445540071;8.349150755;8.5235695174;8.4960297128
2013-05-14;199.0;259242.90663;4005106.0;8.5602892568;8.4868497779;8.445540071;8.5602892568;8.4960297128
2013-05-15;78.0;135251.96006;2088619.0;8.4914397453;8.4730798756;8.4501300385;8.5235695174;8.4914397453
2013-05-16;72.0;72477.79968;1114426.0;8.445540071;8.4914397453;8.2619413738;8.5052096476;8.4547200059
2013-05-17;115.0;28032.735744;432642.0;8.4868497779;8.4914397453;8.3996403967;8.5097996151;8.4868497779
2013-05-20;40.0;35580.010752;547661.0;8.4868497779;8.4776698431;8.3858704944;8.4868497779;8.4638999408
2013-05-21;561.0;83978.409216;1297415.0;8.5373394197;8.3996403967;8.3996403967;8.5373394197;8.4960297128
2013-05-22;270.0;105302.45606;1638465.0;8.5832390939;8.5097996151;8.4363601362;8.6015989637;8.5556992894
2013-05-23;115.0;21803.238912;339300.0;8.5786491265;8.5970089962;8.4914397453;8.5970089962;8.5556992894
2013-05-24;13.0;6948.284928;108168.0;8.5786491265;8.5373394197;8.5143895825;8.5832390939;8.5602892568
2013-05-27;397.0;100869.92947;1574264.0;8.5786491265;8.5786491265;8.5465193545;8.6199588334;8.5832390939
2013-05-28;746.0;232288.35302;3588548.0;8.4914397453;8.5832390939;8.4638999408;8.5832390939;8.4960297128
2013-05-29;1052.0;336872.02099;5074966.0;8.4225902339;8.5189795499;8.1701420253;8.5189795499;8.284891211
2013-05-31;439.0;193234.19981;2973470.0;8.5373394197;8.3629206573;8.3629206573;8.5602892568;8.4593099733
2013-06-03;495.0;229772.59469;3564952.0;8.5373394197;8.5511093219;8.445540071;8.5511093219;8.5327494522
2013-06-04;450.0;183530.56051;2846249.0;8.5281594848;8.5740591591;8.4730798756;8.5786491265;8.5281594848
2013-06-05;1118.0;384791.22739;5887147.0;8.4822598105;8.5694691917;8.3216109504;8.5694691917;8.413410299
2013-06-06;518.0;151424.69222;2337160.0;8.4914397453;8.4914397453;8.4225902339;8.5373394197;8.4868497779
2013-06-07;484.0;331481.11027;5058793.0;8.2894811784;8.5327494522;8.2894811784;8.5556992894;8.3904604619
2013-06-10;393.0;283921.29792;4361872.0;8.3904604619;8.3583306899;8.3537407225;8.5556992894;8.445540071
2013-06-11;405.0;306563.12295;4676301.0;8.3537407225;8.4868497779;8.317020983;8.4914397453;8.3858704944
2013-06-12;703.0;331600.90829;5085913.0;8.5052096476;8.4363601362;8.4088203316;8.5556992894;8.4317701688
2013-06-13;231.0;209047.53792;3207251.0;8.5740591591;8.4225902339;8.4042303642;8.5740591591;8.4363601362
2013-06-14;438.0;114646.70131;1770003.0;8.4730798756;8.5648792242;8.445540071;8.5648792242;8.4914397453
2013-06-17;1654.0;1229966.2303;19167777.0;8.7209381168;8.4776698431;8.4776698431;8.7209381168;8.5694691917
2013-06-18;1808.0;491651.05767;7879953.0;8.8356873026;8.7668377911;8.7209381168;8.8953568792;8.8127374654
2013-06-19;1294.0;431752.04967;7041308.0;8.8815869769;8.8356873026;8.7851976609;9.1523950553;8.9687963581
2013-06-20;1173.0;774374.37543;12172652.0;8.5832390939;8.8769970095;8.5832390939;8.9504364883;8.6429086705
2013-06-21;958.0;1232601.7866;18854051.0;8.3996403967;8.6337287357;8.3353808527;8.6842183774;8.4088203316
2013-06-24;697.0;285718.26816;4277065.0;8.3996403967;8.3216109504;8.0921125789;8.4363601362;8.2298116018
2013-06-25;707.0;174066.51725;2626339.0;8.284891211;8.6107788985;8.2022717973;8.6107788985;8.2986611133
2013-06-26;609.0;180296.01408;2712666.0;8.3078410482;8.3858704944;8.1471921881;8.4225902339;8.2711213087
2013-06-27;485.0;184129.55059;2827278.0;8.5786491265;8.3904604619;8.2665313413;8.5786491265;8.4409501036
2013-06-28;887.0;361790.00832;5707101.0;8.6658585077;8.5740591591;8.4042303642;8.8173274329;8.6750384425
2013-07-01;710.0;352086.36903;5622361.0;8.7209381168;8.6658585077;8.6658585077;8.8173274329;8.7806076934
2013-07-02;456.0;154299.84461;2388434.0;8.3583306899;8.7163481494;8.3307908853;8.7530678889;8.5097996151
2013-07-03;443.0;188921.47123;2907003.0;8.4914397453;8.5006196802;8.3766905596;8.5419293871;8.4593099733
2013-07-04;249.0;124470.13862;1932488.0;8.5373394197;8.5832390939;8.5006196802;8.5832390939;8.5373394197
2013-07-05;322.0;86254.57152;1325768.0;8.5052096476;8.5373394197;8.3353808527;8.5373394197;8.4501300385
2013-07-08;563.0;194551.97798;3010122.0;8.4914397453;8.4638999408;8.3904604619;8.5878290614;8.5097996151
2013-07-10;483.0;139564.68864;2119467.0;8.3078410482;8.4960297128;8.2619413738;8.5052096476;8.349150755
2013-07-11;818.0;207250.56768;3140602.0;8.4042303642;8.3766905596;8.220631667;8.4317701688;8.3307908853
2013-07-12;747.0;482666.20647;7238716.0;8.1930918624;8.4042303642;8.1930918624;8.4225902339;8.2481714716
2013-07-15;383.0;202458.64704;3023759.0;8.2619413738;8.2619413738;8.1609620904;8.2986611133;8.2114517321
2013-07-16;189.0;97994.777088;1469485.0;8.252761439;8.3032510807;8.1701420253;8.3032510807;8.2435815041
2013-07-17;188.0;59779.209984;898541.0;8.3307908853;8.2573514064;8.1976818298;8.3307908853;8.2665313413
2013-07-18;311.0;146992.16563;2191024.0;8.1701420253;8.3262009179;8.1609620904;8.3262009179;8.1976818298
2013-07-19;766.0;641398.57767;9340147.0;7.9865433281;8.2160416995;7.9039239143;8.2160416995;8.0094931652
2013-07-22;222.0;187483.89504;2776412.0;8.1701420253;8.0599828069;8.0140831326;8.2160416995;8.1426022207
2013-07-23;448.0;311714.43763;4638228.0;8.2114517321;8.1701420253;8.0829326441;8.3078410482;8.1839119275
2013-07-24;154.0;85775.379456;1261360.0;8.0370329698;8.2573514064;8.0324430023;8.2573514064;8.0875226115
2013-07-25;261.0;83858.6112;1228189.0;8.0370329698;8.0416229372;7.9865433281;8.124242351;8.0553928395
2013-07-26;210.0;103385.6878;1518371.0;8.0783426767;8.0967025464;8.0094931652;8.1288323184;8.0737527092
2013-07-29;406.0;204734.80934;3022954.0;8.0324430023;8.0783426767;8.0324430023;8.188501895;8.1196523835
2013-07-30;245.0;107578.61836;1575128.0;8.0783426767;8.1058824812;7.9865433281;8.1058824812;8.0508028721
2013-07-31;433.0;274217.65863;4028847.0;8.0324430023;8.0783426767;8.0094931652;8.1609620904;8.0783426767
2013-08-01;520.0;256128.15821;3743988.0;8.0324430023;8.0324430023;7.9911332955;8.0921125789;8.0370329698
2013-08-02;135.0;67566.081024;986712.0;8.0324430023;8.0553928395;7.9865433281;8.0737527092;8.0278530349
2013-08-05;318.0;80144.872704;1167029.0;8.0324430023;8.0324430023;7.9865433281;8.0691627418;8.0049031978
2013-08-06;650.0;272780.08243;3885936.0;7.7432750543;7.9911332955;7.729505152;8.0278530349;7.8350744029
2013-08-07;269.0;469608.22272;6664251.0;7.8029446309;7.7983546634;7.761634924;7.8350744029;7.8029446309
2013-08-08;353.0;107458.82035;1522282.0;7.825894468;7.8626142074;7.69737538;7.8626142074;7.7891747286
2013-08-09;345.0;175504.09344;2479850.0;7.6881954451;7.8029446309;7.6881954451;7.8488443052;7.7708148588
2013-08-12;232.0;155018.6327;2176028.0;7.665245608;7.7524549891;7.6239359011;7.7570449566;7.7203252171
2013-08-13;307.0;263795.23123;3652817.0;7.5596763571;7.7249151845;7.5045967479;7.7249151845;7.6147559662
2013-08-14;532.0;277092.81101;3937141.0;7.8304844354;7.6055760314;7.6055760314;7.9406436537;7.8121245657
2013-08-15;256.0;773176.39527;10899234.0;7.761634924;7.7983546634;7.5550863896;7.8717941423;7.7524549891
2013-08-16;61.0;173946.71923;2468464.0;7.8167145331;7.7157352497;7.7157352497;7.8442543377;7.8029446309
2013-08-19;145.0;51513.14688;729127.0;7.8213045006;7.8442543377;7.7432750543;7.8442543377;7.7845847611
2013-08-20;231.0;127225.49299;1794265.0;7.6927854125;7.8442543377;7.6927854125;7.8442543377;7.7570449566
2013-08-21;203.0;214678.04467;2992009.0;7.6698355754;7.7891747286;7.5504964222;7.7891747286;7.665245608
2013-08-22;559.0;198145.91846;2804675.0;7.8855640446;7.6193459337;7.6193459337;7.8855640446;7.7845847611
2013-08-23;356.0;122074.1783;1761040.0;7.8947439795;7.7754048263;7.7754048263;8.0232630675;7.9314637189
2013-08-26;225.0;63852.342528;918765.0;7.8396643703;7.8488443052;7.8396643703;7.9865433281;7.9131038492
2013-08-27;519.0;260081.49274;3623193.0;7.6239359011;7.8396643703;7.6147559662;7.8947439795;7.6606556405
2013-08-28;248.0;109615.18464;1523548.0;7.6560656731;7.6239359011;7.5780362268;7.8442543377;7.6422957708
2013-08-29;293.0;200661.6768;2836380.0;7.7799947937;7.729505152;7.6285258685;7.8350744029;7.7708148588
2013-08-30;384.0;139564.68864;1983001.0;7.8396643703;7.825894468;7.7432750543;7.8488443052;7.8121245657
2013-09-02;231.0;235642.69747;3384331.0;7.9176938166;7.761634924;7.761634924;7.9406436537;7.8993339469
2013-09-03;314.0;292067.56301;4194417.0;7.9635934909;7.8075345983;7.8075345983;7.9865433281;7.8947439795
2013-09-04;168.0;60857.392128;880926.0;7.9819533606;7.9635934909;7.8809740772;7.9865433281;7.9590035235
2013-09-05;274.0;99552.151296;1446566.0;7.9635934909;7.9727734258;7.8855640446;8.1380122532;7.9911332955
