Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2020-07-10;0.0;0.0;0.0;2.4297993837;2.4297993837;2.4297993837;2.4297993837;2.4297993837
2020-07-13;22561.0;111986000.0;322072266.0;2.8764897754;2.7979508055;2.7842064857;2.8912158323;2.8234759707
2020-07-14;10099.0;27600000.0;86931748.0;3.0924719429;2.8755080383;2.8755080383;3.2544585685;3.0914902058
2020-07-15;7603.0;16690000.0;52298294.0;3.0286590298;3.1896639182;2.8764897754;3.2387507745;3.0757824118
2020-07-16;3935.0;16215000.0;48674176.0;2.9157592604;2.9844808592;2.9010332036;3.0041156017;2.9461931113
2020-07-17;3540.0;9483000.0;28340931.0;2.9304853173;2.9177227347;2.856855033;2.999206916;2.9334305287
2020-07-20;3304.0;5497000.0;16135306.0;2.9079053634;2.9511017969;2.8293663935;2.9776086993;2.8813984611
2020-07-21;2757.0;8284000.0;24257519.0;2.8421289761;2.9049601521;2.8421289761;2.9324487916;2.8745263012
2020-07-22;2102.0;9012000.0;26033539.0;2.8421289761;2.8372202905;2.7920603827;2.8705993527;2.8352568162
2020-07-23;2745.0;6054000.0;17452363.0;2.7851882228;2.8382020276;2.7851882228;2.8617637186;2.8293663935
2020-07-24;1958.0;4254000.0;11920328.0;2.7714439031;2.778316063;2.6555989224;2.8067864396;2.7508274235
2020-07-27;2297.0;5013000.0;14353855.0;2.8136585995;2.8558732958;2.7567178462;2.8715810898;2.8107133881
2020-07-28;1146.0;7092000.0;20264147.0;2.7842064857;2.8136585995;2.778316063;2.8804167239;2.8048229653
2020-07-29;1056.0;4132000.0;11764501.0;2.8166038108;2.7851882228;2.7694804289;2.841147239;2.7950055941
2020-07-30;482.0;1310000.0;3777259.0;2.8696176156;2.7734073773;2.7508274235;2.8705993527;2.8303481306
2020-07-31;1058.0;2434000.0;7152618.0;2.9049601521;2.8784532497;2.8323116048;2.9255766317;2.8843436724
2020-08-03;611.0;1342000.0;3914628.0;2.8293663935;2.9196862089;2.8293663935;2.9383392143;2.8637271928
2020-08-04;728.0;2710000.0;7673490.0;2.7488639492;2.7812612743;2.7488639492;2.8303481306;2.7792978001
2020-08-05;790.0;1685000.0;4765811.0;2.7635900061;2.7832247486;2.7567178462;2.8195490222;2.7763525887
2020-08-06;623.0;2631000.0;7329061.0;2.7115579385;2.8205307593;2.7115579385;2.8205307593;2.7341378924
