Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2007-08-08;579.0;3600.0;30773380.0;7039.2360746;6998.0709513;6891.0416309;7161.9081418;7037.5894696
2007-08-09;778.0;4793.0;39815658.0;6849.8765076;6915.7407048;6760.136539;6915.7407048;6839.1735756
2007-08-10;764.0;4972.0;40122804.0;6668.7499654;6679.4528974;6495.8564478;6783.189008;6644.0508914
2007-08-13;606.0;4270.0;34731703.0;6668.7499654;6808.7113844;6553.4876203;6816.1211066;6696.7422492
2007-08-14;1240.0;7755.0;60243614.0;6420.112621;6668.7499654;6282.6211094;6734.6141626;6395.413547
2007-08-15;2791.0;11556.0;85535346.0;5928.6010495;6257.0987329;5846.270803;6337.7823745;6094.0848449
2007-08-16;2098.0;13873.0;88929200.0;5763.117254;5598.4567611;4899.4729684;5763.117254;5277.3687998
2007-08-17;1377.0;14254.0;97038343.0;5742.5346924;5973.0593826;5269.1357751;6010.1079935;5605.0431808
2007-08-20;970.0;7453.0;51359845.0;5647.8549089;5763.117254;5534.2391688;5926.9544445;5673.3772854
2007-08-21;1001.0;9931.0;68800599.0;5762.2939516;5693.1365445;5535.8857737;5845.4475005;5703.8394766
2007-08-22;872.0;7745.0;56237602.0;6092.43824;5827.3348463;5827.3348463;6092.43824;5977.9991974
2007-08-23;1070.0;6079.0;43949735.0;5911.3116977;6092.43824;5907.1951854;6183.0015111;5952.476821
2007-08-24;983.0;6960.0;50283689.0;6125.3703386;5888.2592287;5721.9521308;6125.3703386;5948.3603086
2007-08-27;382.0;2152.0;16121699.0;6162.4189495;6091.6149375;6067.739166;6243.9258935;6167.3587643
2007-08-28;687.0;2905.0;20862096.0;5878.3795991;6088.3217276;5874.2630868;6088.3217276;5912.1350002
2007-08-29;578.0;4851.0;35014684.0;5944.2437963;5927.777747;5878.3795991;5992.8186417;5942.5971914
2007-08-30;931.0;11296.0;82066145.0;5948.3603086;5927.777747;5771.3502787;6080.088703;5981.2924072
2007-08-31;1606.0;13052.0;97362285.0;6215.9336097;6080.9120055;5948.3603086;6215.9336097;6141.8363879
2007-09-03;307.0;2278.0;17361378.0;6339.4289794;6174.7684865;6173.1218815;6339.4289794;6274.3880847
2007-09-04;808.0;4960.0;37987125.0;6331.1959548;6339.4289794;6198.6442579;6379.7708002;6305.6735784
