Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2024-12-13;0.0;0.0;0.0;8.39005;8.39005;8.39005;8.39005;8.39005
2024-12-16;23193.0;1500398.0;33716920.0;23.5;22.5;19.0;27.0;22.0
2024-12-17;35878.0;2590990.0;88121493.0;25.0;28.0;25.0;45.5;34.0
2024-12-18;34759.0;2657072.0;65616319.0;17.5;27.0;16.0;35.0;24.5
2024-12-19;20059.0;1791792.0;39698272.0;23.5;21.0;19.0;25.0;22.0
2024-12-20;30063.0;1707792.0;39049202.0;21.0;25.5;20.5;26.5;22.5
2024-12-23;21129.0;1364276.0;24601713.0;17.0;21.5;16.5;21.5;18.0
2024-12-26;11824.0;806072.0;13715251.0;17.0;17.5;16.0;18.0;17.0
2024-12-27;10550.0;676104.0;11758137.0;17.5;18.0;16.5;19.0;17.0
2024-12-30;9901.0;581852.0;9907137.0;17.0;17.5;16.5;18.0;17.0
2025-01-02;37134.0;525974.0;8936815.0;17.0;17.0;16.0;17.5;16.5
2025-01-03;9020.0;299176.0;5004888.0;16.5;17.0;16.5;17.5;16.5
2025-01-06;6351.0;345692.0;5701517.0;16.5;16.5;16.0;17.0;16.0
2025-01-07;8848.0;637984.0;10833216.0;17.5;16.0;16.0;17.5;16.5
2025-01-08;10818.0;717278.0;12489333.0;17.5;17.5;16.5;18.5;17.0
2025-01-09;4884.0;351598.0;6328901.0;17.5;18.0;17.5;18.5;18.0
2025-01-10;6066.0;273386.0;4793695.0;17.5;17.5;17.0;18.0;17.5
2025-01-13;7143.0;337416.0;5827125.0;17.0;17.5;16.5;18.0;17.0
2025-01-14;4005.0;267202.0;4499701.0;17.0;17.0;16.5;17.5;16.5
2025-01-15;5729.0;202586.0;3502033.0;17.5;17.0;17.0;17.5;17.0
2025-01-16;4050.0;204464.0;3485082.0;17.5;17.0;16.5;17.5;17.0
2025-01-17;4823.0;187572.0;3214923.0;17.0;17.5;16.5;17.5;17.0
2025-01-20;4128.0;461618.0;7645710.0;16.5;17.0;16.0;17.0;16.5
2025-01-21;5293.0;220678.0;3574751.0;16.0;16.5;16.0;17.0;16.0
2025-01-22;5325.0;431676.0;6720388.0;15.5;15.5;15.0;16.0;15.5
2025-01-23;3496.0;200998.0;3118406.0;15.5;15.5;15.0;16.0;15.5
2025-01-24;3352.0;115474.0;1769218.0;15.5;15.5;15.0;15.5;15.0
2025-01-27;6252.0;367202.0;5654283.0;15.5;15.5;15.0;16.0;15.0
2025-01-28;4402.0;197434.0;3068886.0;15.5;15.5;15.0;16.0;15.5
2025-01-29;3108.0;117944.0;1800961.0;15.0;15.5;15.0;16.0;15.0
2025-01-30;6879.0;390732.0;6037585.0;15.5;15.5;15.0;16.0;15.0
2025-01-31;4110.0;1114198.0;17589549.0;15.5;15.5;15.0;16.5;15.5
2025-02-03;3111.0;861970.0;13550428.0;16.0;15.5;15.0;16.0;15.5
2025-02-04;8370.0;626876.0;9523617.0;15.0;16.0;15.0;16.0;15.0
2025-02-05;6593.0;521278.0;7658213.0;14.5;15.0;14.0;15.5;14.5
2025-02-06;7231.0;507300.0;7054220.0;13.5;14.0;13.5;14.5;13.5
2025-02-07;9387.0;556984.0;7239585.0;12.5;13.5;12.5;14.0;12.5
2025-02-10;6058.0;981840.0;13072744.0;14.5;12.5;12.0;14.5;13.0
2025-02-11;4402.0;723202.0;10484907.0;14.0;15.0;13.5;15.5;14.0
2025-02-12;8251.0;341024.0;4568728.0;13.5;13.5;13.0;14.0;13.0
2025-02-13;3550.0;217248.0;2833671.0;13.0;13.5;12.5;13.5;13.0
2025-02-14;4842.0;294202.0;3976256.0;13.5;13.5;13.0;14.0;13.5
2025-02-17;5493.0;1038556.0;14844425.0;14.0;13.5;13.0;15.0;14.0
2025-02-18;2555.0;486408.0;6871061.0;14.0;14.5;13.5;15.0;14.0
2025-02-19;2849.0;229928.0;3119609.0;13.5;14.0;13.5;14.0;13.5
2025-02-20;2040.0;115930.0;1542488.0;13.0;13.5;13.0;13.5;13.0
2025-02-21;3413.0;147896.0;1965385.0;13.5;13.0;13.0;13.5;13.0
2025-02-24;2404.0;141704.0;1873125.0;13.0;13.5;13.0;14.0;13.0
2025-02-25;3710.0;221030.0;2806919.0;13.0;12.5;12.5;13.0;12.5
2025-02-26;2986.0;231066.0;2982662.0;12.5;13.0;12.5;13.5;12.5
2025-02-27;2576.0;107236.0;1375728.0;13.0;12.5;12.5;13.0;12.5
2025-02-28;5186.0;174574.0;2193065.0;12.5;13.0;12.5;13.0;12.5
2025-03-05;2868.0;127940.0;1568690.0;12.0;12.5;12.0;12.5;12.0
2025-03-06;3375.0;98660.0;1213781.0;12.5;12.0;12.0;12.5;12.0
2025-03-07;3648.0;335446.0;4195777.0;13.0;12.5;12.0;13.0;12.5
2025-03-10;2796.0;75514.0;952148.0;12.5;12.5;12.5;13.0;12.5
2025-03-11;4541.0;179700.0;2318643.0;13.0;13.0;12.5;13.0;12.5
2025-03-12;4143.0;173014.0;2174885.0;12.5;13.0;12.5;13.0;12.5
2025-03-13;3912.0;174970.0;2178319.0;12.0;12.5;12.0;13.0;12.0
2025-03-14;6674.0;712986.0;9474805.0;14.0;12.5;12.0;14.0;13.0
2025-03-17;7271.0;453324.0;6596474.0;14.5;14.5;14.0;15.0;14.5
2025-03-18;5377.0;574508.0;8451715.0;14.5;15.0;14.0;15.5;14.5
2025-03-19;5438.0;227064.0;3282168.0;14.5;14.5;14.0;15.0;14.0
2025-03-20;5737.0;399614.0;6147737.0;15.0;15.5;15.0;15.5;15.0
2025-03-21;4024.0;639512.0;8783870.0;13.5;14.5;13.0;15.0;13.5
2025-03-24;3514.0;254950.0;3395442.0;13.0;13.5;13.0;14.0;13.0
2025-03-25;5411.0;137642.0;1837015.0;13.5;13.0;13.0;13.5;13.0
2025-03-26;4900.0;380842.0;4937600.0;12.5;13.5;12.5;13.5;12.5
2025-03-27;5997.0;193392.0;2532859.0;13.0;13.0;12.5;13.5;13.0
