Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2013-10-25;0.0;0.0;0.0;4.9639332978;4.9639332978;4.9639332978;4.9639332978;4.9639332978
2013-10-28;3072.0;12658800.0;81554278.0;5.1544410081;5.2322540166;5.1141929003;5.2322540166;5.1866394944
2013-10-29;1146.0;1794300.0;11370994.0;5.0793112069;5.151757801;5.0578455494;5.1651738369;5.1007768644
2013-10-30;1017.0;1532100.0;9499433.0;4.966616505;5.0444295134;4.966616505;5.0444295134;4.9907653697
2013-10-31;1110.0;2972700.0;18572765.0;5.1463913866;4.910269154;4.910269154;5.18127308;5.0283302703
2013-11-01;483.0;539700.0;3502657.0;5.3395823041;5.0793112069;5.0685783781;5.3583647544;5.224204395
2013-11-04;1099.0;1581600.0;10941681.0;5.6293686804;5.4442273845;5.3959296551;5.7098648961;5.5676549151
2013-11-05;394.0;569100.0;4012124.0;5.7688954542;5.6266854732;5.581070951;5.7930443189;5.6749832026
2013-11-06;155.0;213600.0;1496351.0;5.6025366086;5.7715786614;5.594486987;5.8735405345;5.6401015092
2013-11-07;461.0;316800.0;2258035.0;5.7688954542;5.6025366086;5.6025366086;5.7688954542;5.7366969679
2013-11-08;496.0;273900.0;1955942.0;5.779628283;5.7688954542;5.6830328242;5.822559598;5.7474297967
2013-11-11;19.0;25800.0;185021.0;5.7769450758;5.7420633823;5.7366969679;5.7769450758;5.7715786614
2013-11-12;622.0;696300.0;4975469.0;5.7554794183;5.7420633823;5.680349617;5.7769450758;5.7527962111
2013-11-13;129.0;138600.0;995816.0;5.809143562;5.7554794183;5.7286473464;5.809143562;5.7823114901
2013-11-14;306.0;333300.0;2418735.0;5.9003726064;5.809143562;5.7554794183;5.9003726064;5.8413420483
2013-11-18;92.0;688200.0;5010760.0;5.8601244986;5.9030558136;5.8306092195;5.9272046783;5.8601244986
2013-11-19;703.0;419400.0;3013464.0;5.8359756339;5.8628077058;5.6401015092;5.8628077058;5.7849946973
2013-11-21;720.0;588300.0;4188722.0;5.6401015092;5.766212247;5.6401015092;5.809143562;5.7313305536
2013-11-22;760.0;535800.0;3690595.0;5.5327732217;5.6722999954;5.452277006;5.7125481033;5.5435060504
2013-11-25;338.0;163200.0;1126665.0;5.5542388792;5.5059411498;5.4844754923;5.6481511307;5.5569220863
2013-11-26;325.0;264000.0;1828405.0;5.8064603548;5.6454679236;5.4227617269;5.8064603548;5.5757045367
2013-11-27;272.0;141900.0;1021001.0;5.7957275261;5.7554794183;5.6937656529;5.8064603548;5.7930443189
2013-11-28;36.0;155400.0;1118352.0;5.7823114901;5.7957275261;5.7286473464;5.809143562;5.7930443189
2013-11-29;52.0;168000.0;1202495.0;5.7823114901;5.7286473464;5.7044984817;5.8359756339;5.7608458326
2013-12-02;110.0;137700.0;972823.0;5.7501130039;5.6615671667;5.637418302;5.7501130039;5.6857160314
2013-12-03;195.0;392100.0;2736774.0;5.6320518876;5.6508343379;5.5166739785;5.7125481033;5.6186358517
2013-12-04;95.0;332400.0;2292189.0;5.5676549151;5.5032579426;5.5005747354;5.6320518876;5.551555672
2013-12-05;461.0;567000.0;3862470.0;5.5542388792;5.4308113485;5.3959296551;5.6347350948;5.4844754923
2013-12-06;310.0;308700.0;2087395.0;5.5274068073;5.5274068073;5.3878800335;5.5274068073;5.4442273845
2013-12-09;922.0;535200.0;3624951.0;5.4469105916;5.4871586995;5.4147121054;5.4871586995;5.452277006
2013-12-10;1768.0;1634100.0;10853098.0;5.3905632407;5.4361777629;5.2698189172;5.4495937988;5.3449487185
2013-12-11;1362.0;975300.0;6518400.0;5.3959296551;5.3798304119;5.3503151329;5.409345691;5.3798304119
