Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-07-11;2.0;3.0;12000.0;75.417313498;75.417313498;75.417313498;75.417313498;75.417313498
2001-08-29;1.0;9.0;27000.0;57.806231993;57.806231993;57.806231993;57.806231993;57.806231993
2002-03-25;1.0;1.0;1700.0;32.756864796;32.756864796;32.756864796;32.756864796;32.756864796
2002-04-04;1.0;2.0;3420.2;32.95147911;32.95147911;32.95147911;32.95147911;32.95147911
2002-04-11;3.0;4.0;10080.2;39.502852069;57.613544553;39.502852069;57.613544553;48.559161748
2002-04-29;1.0;1.0;1900.3;39.502360854;39.502360854;39.502360854;39.502360854;39.502360854
2002-05-13;1.0;1.0;1900.0;39.496124624;39.496124624;39.496124624;39.496124624;39.496124624
2002-08-22;2.0;2.0;3600.0;37.417381222;37.417381222;37.417381222;37.417381222;37.417381222
2003-04-29;1.0;6.0;18000.0;62.362302037;62.362302037;62.362302037;62.362302037;62.362302037
2003-05-09;1.0;1.0;3000.0;62.362302037;62.362302037;62.362302037;62.362302037;62.362302037
2003-07-03;2.0;2.0;5500.0;59.937327777;59.937327777;59.937327777;59.937327777;59.937327777
2003-07-14;1.0;29.0;65250.0;49.039631817;49.039631817;49.039631817;49.039631817;49.039631817
2003-07-15;1.0;1.0;2250.0;49.039631817;49.039631817;49.039631817;49.039631817;49.039631817
2003-07-25;1.0;1.0;2267.0;49.41015348;49.41015348;49.41015348;49.41015348;49.41015348
2003-08-04;1.0;1.0;2250.0;49.039631817;49.039631817;49.039631817;49.039631817;49.039631817
2003-08-22;1.0;1.0;2320.0;50.565309252;50.565309252;50.565309252;50.565309252;50.565309252
2003-10-16;1.0;1.0;2150.0;46.860092626;46.860092626;46.860092626;46.860092626;46.860092626
2003-11-11;1.0;1.0;2150.0;46.860092626;46.860092626;46.860092626;46.860092626;46.860092626
2003-12-22;1.0;1.0;2150.0;46.860092626;46.860092626;46.860092626;46.860092626;46.860092626
2004-03-10;3.0;4.0;10000.0;54.488479797;54.488479797;54.488479797;54.488479797;54.488479797
2004-04-12;1.0;2.0;5600.0;61.027097373;61.027097373;61.027097373;61.027097373;61.027097373
2004-04-26;1.0;2.0;5713.2;62.260716556;62.260716556;62.260716556;62.260716556;62.260716556
2005-07-20;1.0;2.0;4600.0;56.181048768;56.181048768;56.181048768;56.181048768;56.181048768
2005-07-21;1.0;4.0;9200.0;56.181048768;56.181048768;56.181048768;56.181048768;56.181048768
2005-08-16;1.0;2.0;4600.0;56.181048768;56.181048768;56.181048768;56.181048768;56.181048768
2006-07-03;1.0;6.0;15000.0;64.232790177;64.232790177;64.232790177;64.232790177;64.232790177
2007-01-17;1.0;1.0;2320.0;59.608029284;59.608029284;59.608029284;59.608029284;59.608029284
2007-08-24;1.0;1.0;3600.0;97.247840213;97.247840213;97.247840213;97.247840213;97.247840213
2008-04-03;2.0;2.0;7000.0;94.546511319;94.546511319;94.546511319;94.546511319;94.546511319
2008-07-02;1.0;1.0;11600.0;323.8449969;323.8449969;323.8449969;323.8449969;323.8449969
2008-07-03;2.0;2.0;26800.0;374.09680676;374.09680676;374.09680676;374.09680676;374.09680676
2008-07-07;1.0;1.0;9500.0;265.21788539;265.21788539;265.21788539;265.21788539;265.21788539
2008-08-29;1.0;10.0;50100.0;139.86753745;139.86753745;139.86753745;139.86753745;139.86753745
2015-07-27;1.0;10.0;32500.0;128.53330783;128.53330783;128.53330783;128.53330783;128.53330783
2016-05-04;1.0;90.0;315000.0;140.22234786;140.22234786;140.22234786;140.22234786;140.22234786
2016-06-07;1.0;50.0;160000.0;128.20328947;128.20328947;128.20328947;128.20328947;128.20328947
2017-10-26;1.0;100.0;920000.0;368.58445724;368.58445724;368.58445724;368.58445724;368.58445724
2018-08-01;2.0;200.0;700000.0;140.22234786;140.22234786;140.22234786;140.22234786;140.22234786
