Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-05-14;0.0;0.0;0.0;11.012114455;11.012114455;11.012114455;11.012114455;11.012114455
2021-05-17;9867.0;4122600.0;80723865.0;10.599160163;11.012114455;10.103615012;11.265393087;10.780860051
2021-05-18;3396.0;927000.0;17219113.0;10.103615012;10.522075361;10.103615012;10.626690449;10.224748271
2021-05-19;1111.0;462500.0;8092920.0;9.6025638048;9.9934938679;9.4263699735;9.9934938679;9.6300940909
2021-05-20;922.0;465300.0;8243056.0;9.9109030095;9.7402152354;9.5089608319;9.9109030095;9.7512273499
2021-05-21;685.0;314300.0;5829790.0;10.323857301;9.9164090667;9.7787576361;10.34588153;10.208230099
2021-05-24;665.0;223800.0;4291439.0;10.676244964;10.351387587;10.351387587;10.676244964;10.555111705
2021-05-25;801.0;200800.0;3923195.0;10.736811593;10.632196506;10.632196506;10.885475138;10.753329765
2021-05-26;752.0;185800.0;3672376.0;10.874463024;10.874463024;10.64320862;10.984584168;10.879969081
2021-05-27;576.0;189000.0;3761228.0;11.012114455;10.951547825;10.610172277;11.122235599;10.957053882
2021-05-28;357.0;546000.0;10880221.0;11.012114455;11.012114455;10.736811593;11.06166897;10.968065997
2021-05-31;330.0;93600.0;1872824.0;11.012114455;10.990090226;10.835920623;11.171790114;11.012114455
2021-06-01;213.0;79900.0;1586775.0;10.868956967;11.028632626;10.835920623;11.028632626;10.929523596
2021-06-02;170.0;35800.0;698174.0;10.626690449;10.984584168;10.626690449;10.984584168;10.731305536
2021-06-04;550.0;291600.0;5529285.0;10.571629876;10.626690449;10.241266443;10.736811593;10.439484503
2021-06-07;121.0;33100.0;632683.0;10.626690449;10.560617762;10.296327015;10.70377525;10.522075361
2021-06-08;343.0;206400.0;3909354.0;10.290820958;10.566123819;10.279808843;10.979078111;10.428472388
2021-06-09;105.0;63100.0;1195472.0;10.461508732;10.340375473;10.268796729;10.560617762;10.428472388
2021-06-10;549.0;156100.0;2876024.0;10.136651355;10.461508732;9.9989999251;10.461508732;10.142157413
2021-06-11;602.0;132000.0;2463237.0;10.54409959;10.136651355;10.021024154;10.54409959;10.274302786
2021-06-14;816.0;200100.0;3852456.0;10.665232849;10.555111705;10.378917873;10.758835822;10.599160163
2021-06-15;630.0;314300.0;6122212.0;11.012114455;10.709281307;10.34588153;11.012114455;10.725799479
2021-06-16;619.0;119800.0;2379724.0;10.929523596;11.012114455;10.846932738;11.06166897;10.935029653
2021-06-17;458.0;131800.0;2563976.0;10.819402452;10.957053882;10.538593533;10.957053882;10.709281307
2021-06-18;361.0;123000.0;2354857.0;10.40644816;10.560617762;10.40644816;10.720293422;10.538593533
2021-06-21;1316.0;276700.0;5497779.0;11.226850686;10.560617762;10.290820958;11.226850686;10.940535711
2021-06-22;1482.0;309200.0;6437112.0;12.025228984;11.122235599;10.846932738;12.025228984;11.469117204
2021-06-23;2565.0;763500.0;17649051.0;13.076885915;12.663931623;12.151868301;13.076885915;12.73000431
2021-06-24;2941.0;653800.0;16448166.0;14.205627647;13.187007059;13.187007059;14.49744868;13.858746041
2021-06-25;1763.0;559300.0;15129768.0;14.8938848;14.420363878;14.04044593;15.8464327;14.8938848
2021-06-28;1463.0;436000.0;11278829.0;14.343279077;14.816799999;13.715588553;15.169187661;14.244170047
2021-06-29;1842.0;600900.0;16030709.0;14.701172797;14.591051652;13.9798793;15.967565959;14.684654625
2021-06-30;1876.0;1433100.0;38131738.0;14.618581939;14.646112225;14.27720639;15.141657375;14.640606167
2021-07-01;1581.0;461300.0;11592843.0;13.231055517;14.398339649;13.231055517;14.53599108;13.78166124
2021-07-02;1087.0;372100.0;9120457.0;13.715588553;13.071379858;12.718992195;14.150567074;13.500852321
2021-07-05;1068.0;260900.0;6519541.0;13.142958602;14.029433815;13.142958602;14.69566674;13.748624897
2021-07-06;1202.0;362400.0;8323712.0;12.350086361;12.911704198;12.350086361;13.093404087;12.603364993
2021-07-07;996.0;282000.0;6193540.0;11.788468524;12.27300156;11.788468524;12.548304421;12.080289557
2021-07-08;749.0;162700.0;3395267.0;11.535189891;11.562720177;11.177296171;11.694865551;11.485635376
2021-07-12;1151.0;332600.0;6748143.0;11.188308286;11.535189891;10.830414566;12.025228984;11.166284057
2021-07-13;700.0;209200.0;4259296.0;11.353490003;11.067175027;10.846932738;11.441586918;11.210332515
2021-07-14;959.0;469000.0;9447293.0;11.480129319;11.463611147;10.692763135;11.61778075;11.089199256
2021-07-15;667.0;154300.0;3099805.0;11.006608397;11.188308286;10.957053882;11.248874915;11.056162912
2021-07-16;207.0;64200.0;1290148.0;11.138753771;10.935029653;10.874463024;11.177296171;11.06166897
2021-07-19;764.0;202100.0;3887340.0;10.467014789;11.10021137;10.467014789;11.10021137;10.588148048
2021-07-20;526.0;160400.0;3107949.0;10.907499367;10.516569304;10.241266443;10.907499367;10.670738906
2021-07-21;810.0;178200.0;3388261.0;10.301833072;10.681751021;10.301833072;10.874463024;10.461508732
2021-07-22;2494.0;782300.0;16172860.0;11.827010924;10.40644816;10.296327015;12.003204756;11.381020289
2021-07-23;2233.0;566500.0;12308586.0;11.480129319;11.882071496;11.414056632;12.537292307;11.95365024
2021-07-26;1329.0;330200.0;6694572.0;11.122235599;11.579238349;10.808390337;11.981180527;11.160778
2021-07-27;818.0;257800.0;5074013.0;11.017620512;10.957053882;10.522075361;11.083693199;10.835920623
2021-07-28;560.0;187100.0;3655867.0;10.626690449;11.00110234;10.626690449;11.083693199;10.753329765
2021-07-29;711.0;138200.0;2730867.0;10.951547825;10.70377525;10.439484503;11.155271942;10.879969081
2021-07-30;1008.0;281000.0;5250398.0;10.268796729;10.720293422;9.9934938679;10.907499367;10.285314901
2021-08-02;552.0;297000.0;5437940.0;9.9934938679;10.340375473;9.9934938679;10.549605647;10.076084726
2021-08-03;508.0;191200.0;3353685.0;9.5475032325;9.9659635818;9.4924426602;9.9659635818;9.6521183198
2021-08-04;353.0;103800.0;1792633.0;9.5309850608;9.6135759192;9.2832124856;10.010012039;9.5089608319
2021-08-05;268.0;91400.0;1550998.0;9.1180307687;9.6300940909;9.1180307687;9.8283121511;9.3382730578
2021-08-06;492.0;232400.0;3675194.0;8.5288826454;9.1180307687;8.5288826454;9.1180307687;8.6940643622
2021-08-09;709.0;160900.0;2411766.0;8.1489646967;8.5068584165;8.132446525;8.5068584165;8.2480737268
