Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-02-26;0.0;0.0;0.0;2.7915127806;2.7915127806;2.7915127806;2.7915127806;2.7915127806
2021-03-01;28592.0;64088000.0;920904974.0;13.559148363;13.674989826;13.175542204;14.438404062;13.64270614
2021-03-02;18065.0;14717000.0;209389511.0;13.768042805;13.371143364;13.00462857;14.052898863;13.507874272
2021-03-03;17097.0;17545000.0;248214462.0;13.540157959;13.633210938;13.179340285;13.828812098;13.431912657
2021-03-04;12475.0;12300000.0;178495095.0;13.900975632;13.532561797;13.443306899;14.043403661;13.777538007
2021-03-05;14138.0;18499500.0;279206604.0;14.242802902;13.769941846;13.673090786;14.907467037;14.33015876
2021-03-08;8471.0;12366000.0;178231821.0;13.485085788;14.210519215;13.052104579;14.297875073;13.684485028
2021-03-09;11026.0;10167000.0;141897750.0;13.445205939;13.291383668;13.010325691;13.445205939;13.25150382
2021-03-10;14211.0;15699500.0;224473396.0;13.483186747;13.485085788;13.236311497;13.957946844;13.576239726
2021-03-11;12400.0;16646000.0;243048521.0;13.956047804;13.712970634;13.635109978;14.155447044;13.862994825
2021-03-12;6424.0;7509000.0;109345456.0;13.821215936;13.578138767;13.578138767;14.060495025;13.825014017
2021-03-15;5647.0;11570000.0;168127852.0;13.834509219;13.819316896;13.621816695;14.016817096;13.796528411
2021-03-16;4889.0;7786000.0;111967858.0;13.587633968;13.844004421;13.49458099;13.910470834;13.654100382
2021-03-17;5244.0;4734000.0;68443374.0;14.052898863;13.587633968;13.49458099;14.071889267;13.728162957
2021-03-18;3258.0;2217500.0;32335629.0;13.910470834;13.690182149;13.690182149;14.013019015;13.847802501
2021-03-19;7713.0;14032000.0;201829591.0;13.54775412;13.954148763;13.464196343;14.0358075;13.655999422
2021-03-22;7324.0;5751500.0;80573546.0;13.293282708;13.635109978;13.156551801;13.635109978;13.30087887
2021-03-23;7587.0;7911000.0;110721494.0;13.441407859;13.293282708;13.019820893;13.441407859;13.287585587
2021-03-24;7609.0;12126500.0;168269815.0;13.00842665;13.314172153;12.865998621;13.471792505;13.173643164
2021-03-25;5419.0;6595500.0;93350616.0;13.648403261;12.913474631;12.839412056;13.673090786;13.437609778
2021-03-26;3997.0;4392500.0;63804842.0;13.806023613;13.549653161;13.488883868;14.126961438;13.79083129
2021-03-29;5497.0;6531500.0;94552608.0;13.957946844;13.714869674;13.486984828;13.957946844;13.745254321
2021-03-30;6811.0;8390500.0;123352983.0;13.957946844;13.768042805;13.768042805;14.081384469;13.957946844
2021-03-31;3849.0;3661000.0;53728031.0;14.022514217;13.967442046;13.674989826;14.041504621;13.933259319
2021-04-01;8544.0;9905500.0;148716372.0;14.254197144;14.090879671;14.026312298;14.402322294;14.254197144
2021-04-05;5536.0;5972500.0;92216657.0;14.717562999;14.299774114;14.299774114;14.886577593;14.660591787
2021-04-06;4805.0;5809500.0;89348614.0;14.586529212;14.717562999;14.52765896;14.721361079;14.601721535
2021-04-07;9255.0;10984500.0;165955206.0;14.493476233;14.453596385;13.927562198;14.780231331;14.345351083
2021-04-08;4084.0;6382000.0;97696586.0;14.702370676;14.432706941;14.265591387;14.740351483;14.535255122
2021-04-09;5922.0;6985000.0;107828898.0;14.717562999;14.632106181;14.408019416;14.736553403;14.656793706
2021-04-12;4563.0;4697500.0;72777418.0;14.698572595;14.698572595;14.52765896;14.801120776;14.709966837
2021-04-13;3985.0;5444000.0;84148831.0;14.670086989;14.696673554;14.52765896;14.812515018;14.67578411
2021-04-14;7492.0;5839000.0;91171223.0;14.937851684;14.651096585;14.622610979;14.945447845;14.825808301
2021-04-15;9814.0;11472000.0;182213511.0;15.186625974;14.841000624;14.841000624;15.203717338;15.082178753
2021-04-16;9038.0;13029500.0;208200976.0;15.144847086;15.727852485;15.000520016;15.727852485;15.171433651
2021-04-19;5449.0;5014500.0;80083588.0;15.287275115;15.144847086;15.004318097;15.5075638;15.16383749
2021-04-20;6033.0;6002500.0;97711547.0;15.477179154;15.35943865;15.06698643;15.65568895;15.456289709
2021-04-22;6959.0;8454000.0;137447651.0;15.279678953;15.503765719;15.194222136;15.75254001;15.437299305
2021-04-23;5822.0;4645500.0;75379198.0;15.41261178;15.45818875;15.218909661;15.537948446;15.406914659
2021-04-26;4487.0;3630500.0;58367250.0;15.260688549;15.484775315;15.16573653;15.517059002;15.26448663
2021-04-27;4622.0;4964500.0;79327529.0;15.127755722;15.249294307;15.101169157;15.296770317;15.171433651
2021-04-28;5502.0;5324000.0;85345871.0;15.188525015;15.148645167;15.047996026;15.355640569;15.220808701
2021-04-29;6072.0;5335000.0;84441593.0;15.216464369;15.262222438;14.909503993;15.323233196;15.086816509
2021-04-30;9987.0;22612500.0;365093759.0;15.422375678;15.100162612;14.928569855;15.468133746;15.389963712
2021-05-03;8376.0;8466500.0;137939189.0;15.532957677;15.443348126;15.294634403;15.670231882;15.53105109
2021-05-04;9773.0;9397500.0;154245387.0;15.729336054;15.634006745;15.359458333;15.748401916;15.645446262
2021-05-05;14175.0;17230500.0;294915326.0;16.322284359;16.083961086;16.015323983;16.587299839;16.314658014
2021-05-06;6268.0;9399000.0;162698365.0;16.619711804;16.318471187;16.160224533;16.644497425;16.501503461
2021-05-07;9090.0;8406000.0;148816261.0;16.962897318;16.663563287;16.429053186;17.044880525;16.875194354
2021-05-10;6423.0;7650000.0;134121280.0;16.814183596;16.970523663;16.552981288;17.016281732;16.713134528
2021-05-11;7302.0;6175500.0;107482537.0;16.587299839;16.625431563;16.49197053;16.783678217;16.591113012
2021-05-12;6105.0;6715500.0;114045765.0;16.125905982;16.490063944;16.042016189;16.577766908;16.188823326
2021-05-13;6687.0;6592500.0;113260160.0;16.432866358;16.175477223;16.127812568;16.518662736;16.377575359
2021-05-14;6551.0;5922500.0;101471158.0;16.526289081;16.547261529;16.137345499;16.663563287;16.33181729
2021-05-17;5241.0;4717000.0;80592625.0;16.34706998;16.505316633;16.061082051;16.528195667;16.286059222
2021-05-18;6899.0;6490000.0;109378925.0;16.061082051;16.348976566;15.887582708;16.390921462;16.064895224
2021-05-19;7176.0;6344000.0;105616992.0;15.828478536;15.984818603;15.675951641;16.368042428;15.870423432
2021-05-20;5237.0;7267500.0;121002314.0;16.032483258;15.902835397;15.696924089;16.032483258;15.870423432
2021-05-21;7007.0;10130500.0;173287343.0;16.434772944;16.034389845;15.759841433;16.625431563;16.305125083
2021-05-24;7942.0;10381500.0;181918438.0;17.008655387;16.541541771;16.39664122;17.0620398;16.703601597
2021-05-25;5325.0;5295000.0;94146562.0;16.884727285;17.016281732;16.779865044;17.063946386;16.949551215
2021-05-26;6275.0;5457500.0;96406261.0;16.94192487;17.023908076;16.659750114;17.111611041;16.838969216
2021-05-27;5209.0;5667500.0;100432294.0;16.949551215;16.949551215;16.705508183;17.26223135;16.892353629
2021-05-28;4864.0;4564500.0;81084212.0;16.985776353;16.911419491;16.564420805;17.149742765;16.934298526
2021-05-31;6381.0;4624000.0;82522160.0;17.054413455;17.092545179;16.871381181;17.254605005;17.012468559
2021-06-01;9030.0;13713000.0;246509570.0;16.968617077;17.178341558;16.825623113;17.410945073;17.136396662
2021-06-02;11453.0;9312500.0;164796642.0;16.766518941;17.063946386;16.739826734;17.260324764;16.867568009
2021-06-04;8498.0;8086500.0;140451090.0;16.7722387;16.722667459;16.406174151;16.816090182;16.55679446
2021-06-07;8993.0;10313500.0;176887734.0;16.537728598;16.7722387;16.030576672;16.7722387;16.348976566
2021-06-08;8554.0;9226000.0;155813013.0;16.082054499;16.600645943;15.929527604;16.610178874;16.099213775
2021-06-09;11064.0;10278000.0;173788016.0;16.164037705;16.082054499;15.824665363;16.39664122;16.118279637
2021-06-10;5589.0;4698000.0;79605910.0;16.223141877;16.156411361;15.977192259;16.34706998;16.152598188
2021-06-11;5913.0;5104000.0;85861428.0;16.070614982;16.303218497;15.874236604;16.305125083;16.036296431
2021-06-14;4806.0;4306500.0;72043249.0;16.015323983;16.164037705;15.85135757;16.192636498;15.94668688
2021-06-15;8791.0;8399000.0;139242713.0;15.858983915;16.015323983;15.487199608;16.0267635;15.803692915
2021-06-16;11377.0;10603500.0;176173936.0;15.899022225;15.702643847;15.662605537;16.114466465;15.838011467
2021-06-17;7381.0;7240000.0;120502461.0;15.977192259;15.897115639;15.69120433;16.007697638;15.86661026
2021-06-18;9137.0;12004000.0;202451775.0;16.207889188;15.988631776;15.679764813;16.364229255;16.076334741
2021-06-21;7292.0;6790000.0;116608262.0;16.484344185;16.207889188;16.000071293;16.593019598;16.369949014
2021-06-22;6092.0;6507000.0;111568599.0;16.472904668;16.467184909;16.13162574;16.495783702;16.345163393
2021-06-23;4831.0;5817000.0;99728748.0;16.39664122;16.400454393;16.209795774;16.455745392;16.343256807
2021-06-24;6690.0;8517000.0;148169700.0;16.646404011;16.469091496;16.39664122;16.726480631;16.583486667
2021-06-25;6218.0;6042500.0;102910499.0;16.185010154;16.646404011;16.053455707;16.747453079;16.234581394
2021-06-28;4748.0;6198500.0;105981799.0;16.373762186;16.225048463;15.939060535;16.379481945;16.299405325
2021-06-29;6774.0;8955000.0;153962330.0;16.423333427;16.368042428;16.120186223;16.539635185;16.389014876
2021-06-30;5272.0;6676000.0;114780284.0;16.499596875;16.389014876;16.190729912;16.499596875;16.389014876
2021-07-01;6150.0;8491500.0;145103839.0;16.358509497;16.663563287;16.148785016;16.663563287;16.289872394
2021-07-02;5694.0;5940000.0;101731585.0;16.39664122;16.368042428;16.215515533;16.457651978;16.326097531
2021-07-05;3381.0;3855000.0;66328717.0;16.415707082;16.408080738;16.25174067;16.547261529;16.400454393
2021-07-06;4553.0;3819000.0;65285069.0;16.339443635;16.389014876;16.112559878;16.389014876;16.295592152
2021-07-07;8245.0;12075000.0;208262642.0;16.444305875;16.39664122;16.150691602;16.583486667;16.440492703
2021-07-08;5581.0;7428500.0;128056609.0;16.434772944;16.263180187;16.244114325;16.798930906;16.432866358
2021-07-12;4303.0;4319500.0;74553086.0;16.501503461;16.430959772;16.274619704;16.602552529;16.45193222
2021-07-13;5320.0;6435000.0;112418452.0;16.787491389;16.453838806;16.430959772;16.911419491;16.654030356
2021-07-14;5785.0;5523000.0;97438222.0;16.722667459;16.930485353;16.673096218;17.088732007;16.816090182
2021-07-15;3717.0;3697500.0;64268335.0;16.450025634;16.722667459;16.440492703;16.863754837;16.566327391
2021-07-16;5201.0;7958500.0;139152742.0;16.671189632;16.541541771;16.522475909;16.869474595;16.667376459
2021-07-19;6319.0;7753500.0;134921807.0;16.654030356;16.585393253;16.404267565;16.79702432;16.587299839
2021-07-20;4470.0;3783500.0;65608501.0;16.511036392;16.654030356;16.459558565;16.7169477;16.528195667
2021-07-21;3827.0;4020500.0;69701235.0;16.59683277;16.51675615;16.415707082;16.59683277;16.526289081
2021-07-22;2627.0;2826500.0;49216042.0;16.644497425;16.587299839;16.444305875;16.680722563;16.598739356
2021-07-23;4257.0;4151000.0;72533648.0;16.682629149;16.644497425;16.560607633;16.730293803;16.655936942
2021-07-26;7053.0;9943000.0;177005995.0;17.19740742;16.751266251;16.560607633;17.216473281;16.970523663
2021-07-27;6929.0;6648000.0;118622228.0;16.968617077;17.144023006;16.873287768;17.300363074;17.008655387
2021-07-28;10882.0;14598000.0;255239867.0;16.793211148;17.349934315;16.423333427;17.380439694;16.667376459
2021-07-29;8156.0;12604500.0;218559845.0;16.625431563;16.777958458;16.274619704;16.777958458;16.528195667
2021-07-30;8653.0;16457500.0;286088484.0;16.526289081;16.625431563;16.308938256;16.73220039;16.570140564
2021-08-02;7640.0;8064000.0;140769148.0;16.522475909;16.682629149;16.362322669;16.838969216;16.638777666
2021-08-03;6097.0;5437500.0;93864386.0;16.530102254;16.680722563;16.261273601;16.680722563;16.455745392
2021-08-04;5586.0;6516500.0;113133034.0;16.602552529;16.482437599;16.348976566;16.831342871;16.549168116
