Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2024-12-11;1014.0;954000.0;1545482.0;1.57;2.67;1.35;2.67;1.62
2024-12-12;3725.0;989100.0;1407422.0;1.4;1.6;1.28;1.61;1.42
2024-12-13;1204.0;821200.0;1212680.0;1.47;1.4;1.35;1.74;1.47
2024-12-16;258.0;399500.0;592453.0;1.47;1.47;1.41;1.56;1.48
2024-12-17;543.0;267100.0;441204.0;2.05;1.47;1.39;2.05;1.65
2024-12-18;587.0;486500.0;893880.0;1.7;2.1;1.63;2.17;1.83
2024-12-19;158.0;139300.0;238467.0;1.68;1.7;1.62;1.9;1.71
2024-12-20;120.0;118900.0;190644.0;1.59;1.72;1.55;1.79;1.6
2024-12-23;131.0;92600.0;134188.0;1.42;1.59;1.41;1.59;1.44
2024-12-26;128.0;78600.0;107295.0;1.4;1.42;1.33;1.42;1.36
2024-12-27;77.0;51500.0;70394.0;1.41;1.4;1.28;1.45;1.36
2024-12-30;24.0;6700.0;9109.0;1.39;1.32;1.32;1.39;1.35
2025-01-02;167.0;84400.0;135518.0;1.56;1.39;1.37;1.75;1.6
2025-01-03;116.0;49300.0;76597.0;1.5;1.56;1.46;1.65;1.55
2025-01-06;66.0;42100.0;59509.0;1.47;1.52;1.37;1.56;1.41
2025-01-07;36.0;13000.0;19065.0;1.5;1.43;1.37;1.52;1.46
2025-01-08;64.0;40300.0;57008.0;1.39;1.5;1.36;1.55;1.41
2025-01-09;32.0;16200.0;23210.0;1.37;1.43;1.36;1.49;1.43
2025-01-10;35.0;21300.0;29043.0;1.4;1.37;1.33;1.41;1.36
2025-01-13;32.0;6600.0;9065.0;1.4;1.4;1.32;1.4;1.37
2025-01-14;38.0;11000.0;15518.0;1.45;1.39;1.36;1.45;1.41
2025-01-15;23.0;14100.0;20501.0;1.46;1.45;1.4;1.5;1.45
2025-01-16;24.0;11400.0;16009.0;1.44;1.43;1.37;1.45;1.4
2025-01-17;24.0;14300.0;20115.0;1.4;1.45;1.38;1.45;1.4
2025-01-20;35.0;18100.0;24850.0;1.4;1.37;1.35;1.41;1.37
2025-01-21;19.0;7700.0;10855.0;1.39;1.39;1.39;1.43;1.4
2025-01-22;15.0;12000.0;16817.0;1.4;1.4;1.38;1.43;1.4
2025-01-23;17.0;11600.0;15935.0;1.38;1.39;1.36;1.39;1.37
2025-01-24;19.0;14800.0;20493.0;1.37;1.39;1.36;1.4;1.38
2025-01-27;28.0;20100.0;27569.0;1.35;1.39;1.35;1.4;1.37
2025-01-28;55.0;39200.0;51013.0;1.29;1.35;1.25;1.37;1.3
2025-01-29;18.0;7900.0;10007.0;1.26;1.27;1.25;1.3;1.26
2025-01-30;5.0;5900.0;7431.0;1.24;1.26;1.24;1.26;1.25
2025-01-31;15.0;11100.0;14021.0;1.25;1.25;1.24;1.29;1.26
2025-02-03;28.0;16400.0;20059.0;1.23;1.24;1.14;1.27;1.22
2025-02-04;57.0;23100.0;27244.0;1.2;1.23;1.11;1.25;1.17
2025-02-05;67.0;66200.0;74400.0;1.17;1.15;1.1;1.19;1.12
2025-02-06;24.0;5400.0;6206.0;1.19;1.17;1.11;1.2;1.14
2025-02-07;21.0;6700.0;7498.0;1.11;1.15;1.11;1.15;1.11
2025-02-10;44.0;9600.0;10835.0;1.1;1.13;1.1;1.2;1.12
2025-02-11;10.0;2500.0;2777.0;1.1;1.11;1.1;1.15;1.11
2025-02-12;55.0;36800.0;39888.0;1.1;1.11;1.04;1.15;1.08
2025-02-13;14.0;6000.0;6659.0;1.14;1.1;1.09;1.14;1.1
2025-02-14;21.0;9100.0;10450.0;1.13;1.1;1.1;1.19;1.14
2025-02-17;34.0;11300.0;12497.0;1.09;1.13;1.09;1.13;1.1
2025-02-18;7.0;2900.0;3166.0;1.1;1.1;1.08;1.1;1.09
2025-02-19;18.0;5500.0;5988.0;1.1;1.11;1.06;1.11;1.08
2025-02-20;27.0;9600.0;10378.0;1.1;1.11;1.05;1.11;1.08
2025-02-21;2.0;200.0;218.0;1.1;1.08;1.08;1.1;1.09
