Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2020-09-10;0.0;0.0;0.0;10.729662535;10.729662535;10.729662535;10.729662535;10.729662535
2020-09-11;86069.0;65455600.0;982935498.0;13.070679816;11.143242255;11.127635473;13.070679816;11.712889793
2020-09-14;28228.0;13321600.0;216168677.0;12.282537332;13.507669708;12.157683077;13.562293445;12.657100096
2020-09-15;16831.0;11901600.0;181880663.0;12.095255949;12.329357677;11.556821975;12.446408541;11.923581349
2020-09-16;7038.0;2698000.0;42005493.0;12.056238994;12.095255949;11.986008476;12.344964459;12.142076295
2020-09-17;6295.0;3829000.0;59702338.0;12.173289858;11.861154221;11.705086402;12.383981414;12.165486468
2020-09-18;8576.0;5370600.0;83964263.0;11.892367785;12.025025431;11.861154221;12.477622105;12.196700031
2020-09-21;8763.0;3364200.0;50355635.0;11.666069448;11.822137266;11.556821975;11.954794912;11.673872839
2020-09-22;6071.0;2815100.0;42584885.0;12.095255949;11.666069448;11.533411802;12.173289858;11.798727094
2020-09-23;7856.0;5019500.0;76921592.0;11.549018584;11.978205085;11.549018584;12.298144113;11.954794912
2020-09-24;9706.0;4979900.0;74338572.0;11.884564394;11.627052493;11.314916856;11.900171176;11.642659275
2020-09-25;5653.0;2061800.0;30811286.0;11.705086402;11.790923703;11.549018584;11.85335083;11.658266057
2020-09-28;5633.0;2574200.0;38016615.0;11.470984674;11.829940657;11.314916856;11.946991521;11.51780502
2020-09-29;4551.0;1713900.0;24585993.0;11.158849037;11.510001629;11.041798173;11.510001629;11.190062601
2020-09-30;6493.0;3053700.0;43908809.0;11.158849037;11.252489728;11.057404955;11.470984674;11.213472773
2020-10-01;7205.0;4775100.0;68845629.0;11.627052493;11.260293119;10.940354091;11.627052493;11.244686337
2020-10-02;5045.0;2124800.0;30836100.0;11.330523637;11.470984674;11.112028691;11.689479621;11.322720247
2020-10-05;9654.0;3246800.0;46060081.0;10.924747309;11.338327028;10.924747309;11.463181283;11.065208346
2020-10-06;8524.0;4649900.0;64618318.0;10.924747309;11.033994782;10.706252363;11.1042253;10.838910009
2020-10-07;10759.0;3239200.0;46003029.0;11.221276164;10.9325507;10.76867949;11.236882946;11.080815128
2020-10-08;4151.0;1678000.0;23770385.0;11.1042253;11.221276164;10.9325507;11.221276164;11.049601564
2020-10-09;4292.0;3870000.0;55179247.0;11.470984674;11.080815128;10.909140527;11.470984674;11.119832082
2020-10-13;8772.0;3996400.0;59802449.0;11.861154221;11.470984674;11.377343983;11.861154221;11.673872839
2020-10-14;6505.0;3146900.0;47852667.0;12.064042385;11.861154221;11.580232147;12.235716986;11.861154221
2020-10-15;10814.0;3899600.0;61707053.0;12.368374632;11.900171176;11.744103357;12.586869578;12.344964459
2020-10-16;5766.0;1848800.0;29226033.0;12.462015323;12.446408541;12.142076295;12.524442451;12.329357677
2020-10-19;5455.0;1678600.0;26344758.0;12.251323768;12.469818714;12.087452558;12.469818714;12.243520377
2020-10-20;12017.0;4391200.0;70956584.0;12.758544179;12.376178023;12.282537332;12.828774697;12.60247636
2020-10-21;7590.0;3283600.0;54278242.0;12.875595043;12.758544179;12.649296706;13.086286598;12.899005215
2020-10-22;10114.0;4242800.0;71159317.0;12.906808606;12.859988261;12.758544179;13.414029017;13.086286598
2020-10-23;8961.0;4783600.0;78555637.0;12.914611997;13.031662861;12.469818714;13.382815453;12.813167915
2020-10-26;7272.0;3322500.0;55586821.0;13.257961198;12.641493315;12.501032278;13.296978153;13.055073034
2020-10-27;22228.0;8831500.0;153352119.0;13.679344309;13.43743919;13.047269643;13.804198564;13.546686663
2020-10-28;8299.0;4811400.0;81419702.0;13.421832408;13.406225626;12.836578088;13.421832408;13.203337462
2020-10-29;12854.0;4651600.0;82874398.0;14.046103683;13.414029017;13.070679816;14.202171502;13.897839255
2020-10-30;14781.0;4788400.0;85567008.0;13.85101891;14.147547765;13.663737527;14.311418975;13.93685621
2020-11-03;17236.0;5951800.0;109041754.0;14.490896966;14.256795238;13.835412128;14.787425822;14.295812193
2020-11-04;16109.0;6890500.0;131286326.0;14.756212258;14.639161394;14.631358003;15.44291066;14.865459731
2020-11-05;12995.0;4308900.0;81408367.0;14.506503748;14.951297031;14.506503748;15.19320215;14.740605476
2020-11-06;15815.0;4905600.0;89569604.0;14.163154547;14.397256275;14.046103683;14.717195303;14.241188456
2020-11-09;15111.0;4161200.0;75457744.0;14.046103683;14.592341048;13.952462992;14.826442776;14.147547765
2020-11-10;12206.0;5004800.0;88158344.0;13.772985;14.085120638;13.484259536;14.202171502;13.741771436
2020-11-11;11048.0;2655700.0;46820868.0;13.663737527;13.702754482;13.546686663;14.092924029;13.757378218
2020-11-12;11486.0;3734800.0;66794743.0;14.10853081;13.726164655;13.671540918;14.155351156;13.952462992
2020-11-13;13839.0;4407900.0;81951404.0;14.826442776;14.248991847;14.178761329;14.826442776;14.506503748
2020-11-16;12869.0;4061300.0;77488663.0;14.631358003;14.990313986;14.576734267;15.138578414;14.881066513
2020-11-17;7259.0;2663000.0;49513601.0;14.412863057;14.670374958;14.053907074;14.904476686;14.506503748
2020-11-18;8737.0;2940400.0;53156501.0;14.046103683;14.451880012;13.921249428;14.568930876;14.100727419
