Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2022-03-28;4332.0;5180700.0;84193064.0;12.757234174;13.068386227;12.026026849;13.068386227;12.640552154
2022-03-29;8183.0;4711900.0;78443432.0;12.912810201;12.749455373;12.61721575;13.216183452;12.943925406
2022-03-30;10555.0;4405000.0;72198927.0;12.38385171;12.928367803;12.306063697;13.045049823;12.741676571
2022-03-31;10330.0;3870100.0;61925369.0;12.43830332;12.414966916;12.057142055;12.827243386;12.446082121
2022-04-01;13125.0;4250600.0;68599162.0;12.516091333;12.43830332;12.313842498;12.951704207;12.547206538
2022-04-04;18001.0;2837000.0;45339331.0;12.422745717;12.547206538;12.337178902;12.73389777;12.430524518
2022-04-05;17732.0;3624200.0;57068016.0;12.158266472;12.376072909;12.057142055;12.50053373;12.243833287
2022-04-06;12208.0;2914200.0;46167788.0;12.430524518;12.064920856;12.018248048;12.446082121;12.3216213
2022-04-07;17191.0;3222500.0;52101102.0;12.446082121;12.3216213;12.20493928;12.718340167;12.570542942
2022-04-08;6959.0;2048900.0;33194685.0;12.609436949;12.337178902;12.337178902;12.757234174;12.601658148
2022-04-11;6792.0;2119300.0;34294507.0;12.376072909;12.593879346;12.376072909;12.897252598;12.586100545
2022-04-12;6843.0;2263600.0;35988270.0;12.243833287;12.484976128;12.212718081;12.640552154;12.360515306
2022-04-13;7830.0;4410700.0;69718310.0;12.103814863;12.391630512;12.08825726;12.55498534;12.290506094
2022-04-14;5116.0;2071500.0;32451223.0;12.111593664;12.080478459;12.049363253;12.368294108;12.181602876
2022-04-18;8918.0;3930800.0;61841737.0;12.453860922;12.103814863;11.924902432;12.453860922;12.236054485
2022-04-19;8079.0;3115800.0;48846741.0;12.103814863;12.43830332;12.002690445;12.601658148;12.189381677
2022-04-20;12475.0;2796400.0;43517894.0;12.057142055;12.072699657;11.956017637;12.212718081;12.103814863
2022-04-22;9200.0;11381500.0;178715708.0;12.220496883;12.018248048;11.800441611;12.337178902;12.212718081
2022-04-25;10579.0;2683100.0;42057395.0;12.391630512;12.119372465;11.901566028;12.391630512;12.189381677
2022-04-26;8506.0;2623300.0;40776937.0;11.956017637;12.329400101;11.862672022;12.43830332;12.08825726
2022-04-27;5171.0;2401400.0;36916270.0;12.057142055;12.049363253;11.831556816;12.064920856;11.956017637
2022-04-28;9388.0;3488600.0;52766925.0;11.909344829;12.08825726;11.497068359;12.08825726;11.761547604
2022-04-29;16789.0;10390400.0;154194562.0;11.403722743;11.963796439;11.403722743;11.963796439;11.535962366
2022-05-02;10097.0;2853000.0;40943447.0;11.170358704;11.427059147;10.960331068;11.473731955;11.162579902
2022-05-03;4976.0;1672800.0;24112741.0;11.271483121;11.154801101;11.014782677;11.357049935;11.20925271
2022-05-04;4120.0;4389900.0;63667902.0;11.69445747;11.208820254;11.036497371;11.69445747;11.357644562
2022-05-05;7065.0;3065400.0;44094223.0;11.287148837;11.616128887;11.146157388;11.623961745;11.263650262
2022-05-06;11535.0;2806200.0;40000031.0;11.122658813;11.287148837;11.052163088;11.310647412;11.161823104
2022-05-09;6752.0;1543800.0;21773792.0;11.075661663;10.99733308;10.80934448;11.130491671;11.04433023
2022-05-10;5749.0;2336900.0;33127790.0;11.122658813;11.114825954;10.95033593;11.255817404;11.099160238
2022-05-11;3940.0;1594000.0;22720539.0;11.067828804;11.122658813;11.012998796;11.388975996;11.161823104
2022-05-12;10731.0;1877200.0;26654233.0;11.153990246;10.99733308;10.85634163;11.279315979;11.114825954
2022-05-13;4367.0;1332300.0;19192099.0;11.326313129;11.185321679;11.114825954;11.381143137;11.279315979
2022-05-16;5364.0;2416200.0;34812522.0;11.279315979;11.177488821;11.114825954;11.412474571;11.279315979
2022-05-17;6427.0;1389200.0;20587527.0;11.561298879;11.357644562;11.357644562;11.749287478;11.60046317
2022-05-18;5898.0;1959200.0;28248198.0;11.106993096;11.514301729;11.036497371;11.592630312;11.287148837
2022-05-19;6621.0;2127400.0;30185134.0;11.224485971;11.114825954;10.973834505;11.255817404;11.106993096
2022-05-20;5760.0;1777400.0;25051180.0;11.106993096;11.341978846;10.864174488;11.341978846;11.036497371
2022-05-23;5511.0;1180400.0;16977658.0;11.208820254;11.185321679;11.161823104;11.435973145;11.263650262
2022-05-24;3971.0;791200.0;11249062.0;11.216653113;11.091327379;11.005165938;11.224485971;11.130491671
2022-05-25;4281.0;819600.0;11843889.0;11.326313129;11.177488821;11.138324529;11.396808854;11.318480271
2022-05-26;4796.0;1247500.0;17955770.0;11.255817404;11.334145987;11.208820254;11.443806004;11.271483121
2022-05-27;5204.0;2222500.0;31882990.0;11.114825954;11.263650262;11.114825954;11.420307429;11.232318829
2022-05-30;6485.0;1938800.0;27516377.0;11.099160238;11.153990246;11.028664513;11.271483121;11.114825954
2022-05-31;14228.0;9428500.0;132081317.0;10.934670213;11.169655963;10.825010197;11.208820254;10.966001646
2022-06-01;12029.0;6318100.0;86809998.0;10.731015897;10.942503071;10.660520172;10.942503071;10.754514472
2022-06-02;11097.0;3252500.0;44840758.0;10.864174488;10.754514472;10.684018747;10.989500221;10.793678763
2022-06-03;7215.0;2684900.0;36836472.0;10.778013047;10.785845905;10.62135588;10.85634163;10.738848755
2022-06-06;6906.0;3173700.0;43119360.0;10.613523022;10.817177338;10.456865856;10.911171638;10.637021597
2022-06-07;8613.0;2751700.0;37790832.0;10.85634163;10.590024447;10.535194439;10.879840205;10.754514472
2022-06-08;10765.0;2845900.0;40159669.0;11.122658813;10.785845905;10.738848755;11.193154538;11.052163088
2022-06-09;4035.0;1365000.0;19121255.0;11.036497371;11.067828804;10.864174488;11.099160238;10.966001646
2022-06-10;7108.0;4521500.0;61082298.0;10.480364431;10.989500221;10.394202989;10.989500221;10.57435873
2022-06-13;9669.0;7465100.0;95432173.0;10.01822579;10.409868706;9.8615686238;10.409868706;10.010392931
2022-06-14;16581.0;4067300.0;53636727.0;10.394202989;10.01822579;10.01822579;10.472531572;10.323707264
2022-06-15;10245.0;3152200.0;43140751.0;10.840675913;10.550860155;10.441200139;10.848508772;10.71535018
2022-06-17;9632.0;8196700.0;109940436.0;10.456865856;10.746681613;10.425534422;10.801511622;10.503863005
2022-06-20;6268.0;1640700.0;22147581.0;10.597857305;10.472531572;10.370704414;10.699684463;10.566525872
2022-06-21;6053.0;1444000.0;19583191.0;10.637021597;10.691851605;10.519528722;10.71535018;10.62135588
2022-06-22;5526.0;1196100.0;16303363.0;10.738848755;10.535194439;10.433367281;10.832843055;10.676185889
2022-06-23;4396.0;3430600.0;46761123.0;10.637021597;10.879840205;10.550860155;10.895505921;10.676185889
2022-06-24;3937.0;806200.0;10831683.0;10.488197289;10.707517322;10.425534422;10.707517322;10.519528722
2022-06-27;5859.0;1661000.0;22156102.0;10.456865856;10.496030147;10.331540122;10.550860155;10.441200139
2022-06-28;10403.0;5361800.0;72350728.0;10.613523022;10.52736158;10.472531572;10.864174488;10.566525872
2022-06-29;7057.0;1612900.0;21827213.0;10.684018747;10.629188739;10.535194439;10.684018747;10.597857305
2022-06-30;10819.0;2634500.0;36029086.0;10.66835303;10.535194439;10.488197289;10.848508772;10.707517322
2022-07-01;10831.0;2696300.0;36681228.0;10.684018747;10.723183038;10.543027297;10.840675913;10.652687314
2022-07-04;6185.0;1436900.0;19593664.0;10.652687314;10.684018747;10.52736158;10.785845905;10.676185889
2022-07-05;4783.0;1717700.0;23142076.0;10.62135588;10.582191589;10.496030147;10.62135588;10.550860155
2022-07-06;8598.0;1825700.0;24723241.0;10.676185889;10.57435873;10.496030147;10.71535018;10.605690164
2022-07-07;11809.0;2927400.0;41126890.0;11.04433023;10.785845905;10.62135588;11.161823104;10.99733308
2022-07-08;8330.0;1921700.0;27364605.0;11.153990246;11.005165938;11.005165938;11.310647412;11.146157388
