Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2020-12-10;0.0;0.0;0.0;25.056414658;25.056414658;25.056414658;25.056414658;25.056414658
2020-12-11;125.0;35200.0;1096671.0;25.098883157;25.481099652;25.098883157;28.012222217;26.457875139
2020-12-14;35.0;11200.0;327075.0;24.563780065;25.481099652;24.546792665;25.489593352;24.801603661
2020-12-15;55.0;30500.0;878152.0;24.207044669;24.563780065;24.207044669;24.631729664;24.453361966
2020-12-16;32.0;6200.0;177831.0;24.207044669;24.419387167;24.207044669;24.716666662;24.359931267
2020-12-17;25.0;4900.0;140429.0;24.18156357;24.87804696;24.18156357;24.88654066;24.334450168
2020-12-18;47.0;18500.0;523174.0;23.697422676;25.302731954;23.697422676;25.302731954;24.011689572
2020-12-21;103.0;37000.0;976019.0;22.092113398;23.680435277;22.092113398;23.680435277;22.397886594
2020-12-22;71.0;15500.0;397097.0;21.633453605;22.083619698;21.446592207;22.083619698;21.752365403
2020-12-23;207.0;35200.0;899501.0;21.319186709;21.658934704;21.319186709;22.168556697;21.701403204
2020-12-28;116.0;80000.0;2025480.0;21.446592207;21.489060707;21.149312711;21.990189;21.497554406
2020-12-29;11.0;18200.0;462685.0;21.658934704;21.616466205;21.573997705;21.658934704;21.590985105
2020-12-30;141.0;150900.0;3591621.0;20.045131726;21.658934704;20.045131726;21.658934704;20.215005724
2021-01-04;38.0;12600.0;299935.0;20.053625426;20.631197018;20.045131726;20.631197018;20.215005724
2021-01-05;26.0;9000.0;211124.0;19.917726228;19.883751428;19.875257729;20.130068725;19.917726228
2021-01-06;17.0;4000.0;93371.0;19.79032073;19.875257729;19.79032073;20.045131726;19.824295529
2021-01-07;22.0;8700.0;209577.0;20.393373422;19.79881443;19.79032073;21.013413513;20.452829321
2021-01-08;18.0;4200.0;104093.0;21.191781211;20.784083616;20.46981672;21.191781211;21.047388313
2021-01-11;70.0;15600.0;367045.0;19.79032073;20.563247419;19.79032073;21.149312711;19.977182127
2021-01-12;164.0;24000.0;550220.0;19.110824739;20.308436423;19.110824739;20.308436423;19.467560134
2021-01-13;120.0;17500.0;391604.0;18.694633445;19.535509733;18.694633445;19.535509733;19.00040664
