Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-01-03;475.0;1272600.0;27191095.0;2.9650221065;3.0066835475;2.8951156833;3.1563821641;3.0172753501
2000-01-04;529.0;1225200.0;24957299.0;2.8245029645;2.8951156833;2.8174418504;2.9445445338;2.876756208
2000-01-05;477.0;1139200.0;22920299.0;2.9551363364;2.826621325;2.7397680176;3.0010344984;2.8414501117
2000-01-06;322.0;934600.0;19326179.0;2.9233606656;2.873931815;2.8598093239;2.9734955486;2.9205360095
2000-01-07;263.0;696600.0;14735861.0;3.0123325965;2.965728139;2.9304217796;3.0222183666;2.9876180397
2000-01-10;401.0;1171200.0;25674444.0;3.0857694453;3.0292794807;3.0292794807;3.1281371818;3.0956552154
2000-01-11;327.0;763800.0;16325722.0;2.965728139;3.0928308224;2.965728139;3.1069533135;3.0186876781
2000-01-12;352.0;880400.0;18041645.0;2.8951156833;2.965728139;2.8456868327;3.0010344984;2.8944093877
2000-01-13;385.0;1171000.0;24123444.0;2.866870701;2.9798506301;2.8245029645;3.0363408578;2.9092381744
2000-01-14;355.0;1110000.0;22473854.0;2.7899029006;2.8951156833;2.7891968681;2.9445445338;2.8591032914
2000-01-17;219.0;367200.0;7319169.0;2.8386254556;2.8951156833;2.7891968681;2.8951156833;2.8146171944
2000-01-18;263.0;640000.0;12825793.0;2.8951156833;2.8598093239;2.7962579822;2.8951156833;2.8301520135
2000-01-19;343.0;809600.0;16753451.0;2.8746378475;2.873931815;2.8598093239;2.9939731213;2.9226546331
2000-01-20;385.0;1270800.0;25754481.0;2.8287396855;2.8880543062;2.7750741139;2.965728139;2.8619276844
2000-01-21;391.0;986800.0;19366725.0;2.7009309696;2.8809931921;2.7009309696;2.8951156833;2.7715436884
2000-01-24;245.0;524200.0;10210010.0;2.7327066405;2.8591032914;2.7185841493;2.8591032914;2.7503598202
2000-01-26;336.0;906000.0;17399475.0;2.7327066405;2.7185841493;2.6832777899;2.7468291316;2.7122290678
2000-01-27;289.0;879200.0;16880651.0;2.6691552988;2.7680129999;2.6691552988;2.7680129999;2.7115230353
2000-01-28;410.0;1320600.0;24051440.0;2.542758911;2.7538905087;2.5385221899;2.7538905087;2.5724162213
2000-01-31;511.0;1336400.0;23350096.0;2.4608483571;2.5773589748;2.4220113091;2.5773589748;2.4672034386
2000-02-01;566.0;1528800.0;26426155.0;2.4502562914;2.4643787826;2.4015337364;2.4926240279;2.4410768169
2000-02-02;377.0;913600.0;15960582.0;2.4714401597;2.499685142;2.4431951774;2.5067465191;2.4672034386
2000-02-03;463.0;1390800.0;25012862.0;2.6267878253;2.5138076331;2.4855626508;2.6303185139;2.5399342549
2000-02-04;393.0;984200.0;18396411.0;2.6550328076;2.6691552988;2.5992488755;2.7009309696;2.6394979885
2000-02-07;324.0;753200.0;13983695.0;2.6034855966;2.6832777899;2.5844203519;2.6832777899;2.6218448088
2000-02-08;448.0;1165400.0;22028940.0;2.6832777899;2.6197264483;2.6197264483;2.7044616582;2.6691552988
2000-02-09;334.0;700800.0;13024569.0;2.6126653342;2.7044616582;2.5985428431;2.7256455264;2.6246694648
2000-02-10;293.0;510200.0;9391640.0;2.6133713667;2.6260817929;2.5773589748;2.6479716936;2.599954908
