Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2011-02-01;0.0;0.0;0.0;12.258789272;12.258789272;12.258789272;12.258789272;12.258789272
2011-02-02;21750.0;14606400.0;309359704.0;13.710488002;13.226588425;13.071740561;14.194387579;13.665324042
2011-02-03;1047.0;1766100.0;36962554.0;13.581448115;13.613708087;13.304012358;13.613708087;13.504024183
2011-02-04;561.0;873400.0;18295995.0;13.549188143;13.542736149;13.4846682;13.729843985;13.516928171
2011-02-07;316.0;396100.0;8318216.0;13.549188143;13.549188143;13.4846682;13.833075895;13.549188143
2011-02-08;738.0;581300.0;12163174.0;12.968508651;13.310464352;12.93624868;13.607256092;13.497572188
2011-02-09;843.0;1204700.0;24142565.0;12.516869046;13.065288567;12.516869046;13.413696262;12.929796685
2011-02-10;664.0;627200.0;12451069.0;12.903988708;12.549129018;12.323309216;13.045932584;12.807208792
2011-02-11;426.0;302700.0;6132985.0;13.12980851;12.652360928;12.652360928;13.291108369;13.071740561
2011-02-14;296.0;343700.0;6969852.0;13.065288567;13.045932584;12.742688849;13.226588425;13.08464455
2011-02-15;208.0;103200.0;2121093.0;13.355628313;13.033028595;13.033028595;13.38143629;13.258848397
2011-02-16;201.0;545700.0;11353782.0;13.420148256;13.23304042;13.226588425;13.568544126;13.42660025
2011-02-17;123.0;120700.0;2462141.0;13.162068482;13.136260504;12.916892696;13.413696262;13.162068482
2011-02-18;571.0;578500.0;11966144.0;13.355628313;13.104000533;12.910440702;13.67822803;13.342724324
2011-02-21;91.0;38300.0;801521.0;13.226588425;13.355628313;13.226588425;13.613708087;13.504024183
2011-02-22;157.0;340500.0;6966613.0;13.226588425;13.220136431;12.994316629;13.362080307;13.200780448
2011-02-23;24.0;227900.0;4713003.0;13.445956233;13.38143629;13.258848397;13.445956233;13.342724324
2011-02-24;116.0;308800.0;6382632.0;13.291108369;13.336272329;13.252396403;13.574996121;13.336272329
2011-02-25;47.0;17900.0;371379.0;13.516928171;13.523380166;13.355628313;13.523380166;13.387888284
2011-02-28;117.0;243000.0;5120282.0;13.807267917;13.4846682;13.4846682;13.88469185;13.594352104
2011-03-01;64.0;95100.0;1998281.0;13.549188143;13.562092132;13.420148256;13.807267917;13.555640138
2011-03-02;186.0;125200.0;2640005.0;13.549188143;13.4846682;13.4846682;13.794363929;13.607256092
2011-03-03;143.0;49200.0;1043071.0;13.710488002;13.749199968;13.613708087;13.775007946;13.67822803
2011-03-04;167.0;51300.0;1091369.0;13.807267917;13.742747974;13.684680025;13.994375754;13.723391991
2011-03-09;138.0;129600.0;2867280.0;14.516987296;13.807267917;13.807267917;14.839587014;14.271811511
2011-03-10;302.0;267500.0;6123551.0;14.839587014;14.523439291;14.323427466;15.02669485;14.768615076
2011-03-11;128.0;119600.0;2753622.0;14.83313502;14.83313502;14.762163082;15.155734737;14.852491003
2011-03-14;338.0;261400.0;6081127.0;14.968626901;14.962174907;14.839587014;15.078310805;15.007338867
2011-03-15;365.0;199300.0;4531614.0;14.58150724;15.155734737;14.439563364;15.155734737;14.671835161
2011-03-16;203.0;255300.0;5808538.0;14.839587014;14.613767212;14.304071483;14.904106958;14.678287155
2011-03-17;109.0;82000.0;1873467.0;14.904106958;14.678287155;14.58150724;14.904106958;14.742807099
2011-03-18;40.0;98500.0;2259710.0;14.549247268;14.897654963;14.549247268;14.897654963;14.800875048
2011-03-21;57.0;19400.0;445904.0;14.826683025;14.665383166;14.665383166;14.904106958;14.826683025
2011-03-22;48.0;183500.0;4236310.0;14.904106958;14.87829898;14.77506707;14.994434878;14.897654963
2011-03-23;94.0;220000.0;5112593.0;14.613767212;14.904106958;14.613767212;15.065406816;14.994434878
2011-03-24;62.0;28200.0;651432.0;15.000886873;14.858942997;14.704095133;15.155734737;14.904106958
2011-03-25;112.0;65400.0;1556211.0;15.323486591;15.155734737;14.858942997;15.484786449;15.355746562
2011-03-28;24.0;7800.0;185260.0;15.355746562;15.226706675;15.162186732;15.433170495;15.323486591
2011-03-29;82.0;25100.0;595033.0;15.168638726;15.323486591;15.168638726;15.329938585;15.297678613
2011-03-30;105.0;118700.0;2757498.0;14.710547127;15.484786449;14.710547127;15.484786449;14.987982884
2011-03-31;64.0;142100.0;3239439.0;14.678287155;14.684739149;14.58150724;14.839587014;14.710547127
2011-04-01;103.0;40100.0;905939.0;14.446015358;14.897654963;14.446015358;14.910558952;14.575055245
2011-04-04;247.0;711400.0;16159916.0;14.510535302;14.516987296;14.47827533;14.755711087;14.658931172
2011-04-05;74.0;84700.0;1918929.0;14.516987296;14.826683025;14.516987296;14.826683025;14.620219206
2011-04-06;47.0;8900.0;201011.0;14.516987296;14.549247268;14.516987296;14.72990311;14.575055245
2011-04-07;47.0;51400.0;1165417.0;14.678287155;14.368591426;14.194387579;14.678287155;14.6266712
2011-04-08;89.0;24800.0;571369.0;14.839587014;14.678287155;14.678287155;15.091214794;14.865394991
2011-04-11;77.0;14400.0;334874.0;14.839587014;14.839587014;14.839587014;15.12992676;15.007338867
2011-04-12;13.0;8300.0;190992.0;14.846039008;14.839587014;14.839587014;15.058954822;14.846039008
2011-04-13;107.0;467900.0;11069696.0;15.258966647;14.910558952;14.910558952;15.355746562;15.265418641
2011-04-14;175.0;223100.0;5478346.0;15.871906111;15.478334455;15.478334455;16.117081897;15.846098133
2011-04-15;88.0;66300.0;1655872.0;16.097725913;16.123533891;15.878358105;16.58162549;16.117081897
2011-04-18;25.0;14300.0;356625.0;16.052561953;16.259025772;15.871906111;16.323545716;16.091273919
2011-04-19;45.0;77100.0;1891173.0;15.717058246;16.065465942;15.613826336;16.065465942;15.82674215
2011-04-20;47.0;105600.0;2592187.0;15.710606252;16.065465942;15.710606252;16.117081897;15.839646139
2011-04-25;64.0;22700.0;549784.0;15.542854399;15.420266506;15.355746562;15.736414229;15.626730325
2011-04-26;58.0;113400.0;2746107.0;15.67834628;15.626730325;15.613826336;15.807386167;15.626730325
2011-04-27;54.0;62100.0;1509431.0;15.67834628;15.72351024;15.613826336;15.775126195;15.684798274
2011-04-28;29.0;83900.0;2030644.0;15.613826336;15.620278331;15.613826336;15.800934173;15.613826336
2011-04-29;32.0;49900.0;1208474.0;15.736414229;15.646086308;15.613826336;15.736414229;15.626730325
2011-05-02;146.0;245400.0;6072251.0;15.949330043;15.613826336;15.613826336;16.129985885;15.962234032
2011-05-03;49.0;417600.0;10397408.0;15.910618077;16.123533891;15.910618077;16.129985885;16.065465942
