Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2008-08-20;6981.0;32284200.0;126947915.0;1.9572946338;1.9010885379;1.869679249;2.0234194525;1.9506821519
2008-08-21;3173.0;20628000.0;79698808.0;1.8961291765;1.9589477543;1.8713323695;1.9655602361;1.9159666221
2008-08-22;3274.0;22113300.0;84801433.0;1.897782297;1.8845573332;1.8829042128;1.9209259835;1.9010885379
2008-08-25;3316.0;10883400.0;40966212.0;1.8531480443;1.8878635742;1.8514949239;1.9159666221;1.8663730081
2008-08-26;3127.0;18122400.0;67318305.0;1.8502955082;1.8151315212;1.8084336189;1.8938318731;1.8653657884
2008-08-27;6418.0;32182500.0;126466771.0;2.0294643945;1.8653657884;1.8653657884;2.0428601991;1.9742067006
2008-08-28;4976.0;20147700.0;84292544.0;2.0930944663;2.0679773327;2.0529070526;2.1517011114;2.1014668442
2008-08-29;7662.0;112648800.0;476133133.0;2.0830476129;2.1600734892;2.0830476129;2.2404483167;2.1232350266
2008-09-01;3599.0;25479300.0;108116061.0;2.1517011114;2.0596049548;1.9842535541;2.1617479648;2.1316074045
2008-09-02;7736.0;39411000.0;163712223.0;2.086396564;2.1600734892;2.027789919;2.1600734892;2.086396564
2008-09-03;8508.0;43135200.0;173853575.0;1.9926259319;2.086396564;1.9926259319;2.0997923686;2.0244409678
2008-09-04;7694.0;48343800.0;177442261.0;1.7665717296;1.9926259319;1.7632227784;2.0093706877;1.8435976059
2008-09-05;12009.0;71742300.0;243594986.0;1.8084336189;1.6979182311;1.662754244;1.8084336189;1.7062906089
2008-09-08;10256.0;80798100.0;288515662.0;1.7029416578;1.8921573975;1.6661031952;1.9189490067;1.7933633387
2008-09-09;10111.0;46587300.0;149886007.0;1.5405175272;1.6677776708;1.5354941005;1.6912203288;1.615868928
2008-09-10;11356.0;87703200.0;263884779.0;1.5539133318;1.5823794165;1.431676615;1.5857283677;1.5120514425
2008-09-11;13978.0;147628200.0;426300286.0;1.4651661264;1.4735385043;1.4149318592;1.5053535402;1.4500958463
2008-09-12;10696.0;107691300.0;335060722.0;1.6342881593;1.4718640287;1.4651661264;1.6409860616;1.5622857097
2008-09-15;9790.0;63254400.0;184220851.0;1.4065594814;1.4567937485;1.4065594814;1.5237727715;1.4634916508
2008-09-16;12492.0;105958800.0;282008658.0;1.3563252142;1.3328825561;1.2659035332;1.4048850058;1.3362315073
2008-09-17;12611.0;107998500.0;278762086.0;1.3127888493;1.3395804584;1.2005989859;1.3395804584;1.2960440935
2008-09-18;11972.0;90511500.0;237624942.0;1.3144633248;1.3328825561;1.2491587775;1.3898147256;1.3194867516
2008-09-19;15570.0;126132600.0;384567687.0;1.5237727715;1.5773559898;1.4584682241;1.6661031952;1.5321451493
2008-09-22;8487.0;50549100.0;151082249.0;1.4484213707;1.5321451493;1.4367000417;1.5723325631;1.502004589
2008-09-23;7411.0;50998800.0;145104220.0;1.3981871035;1.4149318592;1.3747444455;1.4986556379;1.4300021394
2008-09-24;11168.0;40619400.0;115637240.0;1.4233042371;1.4417234684;1.4149318592;1.455119273;1.4300021394
2008-09-25;8049.0;72506700.0;217002867.0;1.5053535402;1.466840602;1.4584682241;1.5455409539;1.5036790646
2008-09-26;4494.0;49573200.0;146003015.0;1.5237727715;1.431676615;1.4233042371;1.5237727715;1.4802364066
2008-09-29;10749.0;68982300.0;181024880.0;1.215669266;1.4400489928;1.133619963;1.4618171753;1.317812276
2008-09-30;9653.0;50808000.0;135897813.0;1.4233042371;1.2776248622;1.2190182172;1.4383745172;1.3429294096
2008-10-01;9723.0;60510000.0;173819923.0;1.5220982959;1.431676615;1.3563252142;1.5271217226;1.443397944
2008-10-02;6314.0;44811000.0;126252201.0;1.4065594814;1.49028326;1.3228357027;1.4936322112;1.4149318592
2008-10-03;10844.0;67621800.0;183915227.0;1.2139947905;1.4383745172;1.2056224126;1.4768874554;1.3663720676
2008-10-06;7420.0;39456300.0;85059482.0;1.1888776569;1.0934325492;1.0298024774;1.1888776569;1.0833856958
2008-10-07;8937.0;48601500.0;116488060.0;1.1771563279;1.1888776569;1.1403178652;1.2642290577;1.203947937
2008-10-08;10272.0;61413000.0;144321932.0;1.2474843019;1.0884091225;1.0750133179;1.2960440935;1.180505279
2008-10-09;11567.0;72691500.0;193559381.0;1.3144633248;1.306090947;1.2374374485;1.4300021394;1.3379059829
2008-10-10;8020.0;52873200.0;127793087.0;1.2391119241;1.1553881454;1.1470157675;1.352976263;1.2139947905
2008-10-13;8412.0;52728300.0;147136266.0;1.4484213707;1.3898147256;1.3479528363;1.4484213707;1.4015360546
2008-10-14;13359.0;69788100.0;199610992.0;1.3730699699;1.5070280157;1.3429294096;1.5522388562;1.4367000417
2008-10-15;12002.0;73887600.0;178729822.0;1.1553881454;1.2993930447;1.1051538782;1.3312080806;1.215669266
2008-10-16;15355.0;106989000.0;224052096.0;1.1218986339;1.1888776569;0.99463849039;1.1989245103;1.0515706599
2008-10-17;11552.0;68865300.0;156375390.0;1.0884091225;1.1001304515;1.0448727576;1.203947937;1.1403178652
