Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2013-04-26;0.0;0.0;0.0;6.2308556354;6.2308556354;6.2308556354;6.2308556354;6.2308556354
2013-04-29;46187.0;85582800.0;1430522489.0;6.0842472675;6.2125295894;5.9009868076;6.2125295894;6.1282297779
2013-04-30;23852.0;26950200.0;455333741.0;6.2491816814;6.0842472675;6.0842472675;6.2601773089;6.1942035434
2013-05-02;12667.0;16057200.0;275361343.0;6.4141160952;6.2308556354;6.223525217;6.4141160952;6.2858337733
2013-05-03;22338.0;13031000.0;230442881.0;6.5057463252;6.3847944217;6.3664683757;6.5423984171;6.4800898608
2013-05-06;13035.0;19911900.0;356067666.0;6.5717200907;6.5057463252;6.465429024;6.5937113459;6.5533940447
2013-05-07;8241.0;7255800.0;129407375.0;6.5570592539;6.5570592539;6.3408119113;6.5790505091;6.5387332079
2013-05-08;10950.0;10770000.0;189659047.0;6.4141160952;6.5240723712;6.3518075389;6.5533940447;6.4544333964
2013-05-09;8214.0;8355600.0;146632764.0;6.5057463252;6.4031204677;6.3628031665;6.5057463252;6.4324421412
2013-05-10;10048.0;7967400.0;141924559.0;6.5643896723;6.4874202792;6.4324421412;6.5790505091;6.5277375804
2013-05-13;20540.0;56360100.0;1001676282.0;6.5350679987;6.5240723712;6.3811292125;6.5570592539;6.5130767436
2013-05-14;10189.0;21295600.0;381531570.0;6.5973765551;6.4874202792;6.4874202792;6.6157026011;6.5680548815
2013-05-15;25041.0;15626700.0;286096062.0;6.743984923;6.5937113459;6.5790505091;6.798963061;6.7109980402
2013-05-16;11383.0;6325600.0;117196630.0;6.8905932909;6.6926719942;6.6706807391;6.8905932909;6.7916326426
2013-05-17;9895.0;6700800.0;125588326.0;6.9052541277;6.8429455713;6.8172891069;6.9272453829;6.8686020357
2013-05-20;6877.0;2878000.0;53449210.0;6.8026282701;6.8686020357;6.707332831;6.8759324541;6.8062934793
2013-05-21;10264.0;3956700.0;72478512.0;6.780637015;6.780637015;6.6523546931;6.780637015;6.7146632494
2013-05-22;6841.0;4746800.0;86548404.0;6.689006785;6.7293240862;6.5717200907;6.8026282701;6.6816763666
2013-05-23;18780.0;9282800.0;165709990.0;6.5387332079;6.5973765551;6.4910854884;6.6303634379;6.5423984171
2013-05-24;6586.0;3553500.0;63346489.0;6.6120373919;6.5094115344;6.4507681872;6.6120373919;6.5350679987
2013-05-27;5190.0;2299100.0;41434710.0;6.6120373919;6.5643896723;6.5533940447;6.6706807391;6.6047069735
2013-05-28;7243.0;4404600.0;80022729.0;6.725658877;6.6120373919;6.5900461367;6.725658877;6.6596851115
2013-05-29;11270.0;4862800.0;87302023.0;6.6303634379;6.6340286471;6.4947506976;6.6633503207;6.5790505091
2013-05-31;13214.0;9986700.0;182338202.0;6.7696413874;6.5973765551;6.5240723712;6.7696413874;6.6926719942
2013-06-03;10790.0;7616500.0;137861383.0;6.6706807391;6.7293240862;6.5717200907;6.7586457598;6.6340286471
2013-06-04;12986.0;6102100.0;108984251.0;6.5240723712;6.6706807391;6.5057463252;6.6706807391;6.5460636263
2013-06-05;11452.0;8793800.0;157089096.0;6.5057463252;6.5240723712;6.4507681872;6.6376938563;6.5460636263
2013-06-06;5614.0;3943400.0;70091749.0;6.5240723712;6.5130767436;6.4507681872;6.5753852999;6.5130767436
2013-06-07;9867.0;5410100.0;96352418.0;6.5607244631;6.4690942332;6.4214465136;6.5937113459;6.5277375804
2013-06-10;8713.0;3395600.0;60798858.0;6.5790505091;6.4910854884;6.4874202792;6.5973765551;6.5643896723
2013-06-11;9880.0;4884700.0;85760269.0;6.3994552584;6.5423984171;6.0475951755;6.5753852999;6.4361073504
2013-06-12;8572.0;3808000.0;66048873.0;6.3224858653;6.4214465136;6.2858337733;6.48375507;6.3554727481
2013-06-13;7384.0;3606200.0;63224837.0;6.5607244631;6.2968294009;6.2308556354;6.5607244631;6.4251117228
2013-06-14;11565.0;11471900.0;206597996.0;6.6486894839;6.5533940447;6.5314027896;6.707332831;6.6010417643
2013-06-17;7992.0;4869100.0;88059421.0;6.6340286471;6.6340286471;6.5827157183;6.6706807391;6.6303634379
2013-06-18;6960.0;4817900.0;86824019.0;6.5900461367;6.5973765551;6.5167419528;6.6523546931;6.6047069735
2013-06-19;11045.0;7752200.0;136299936.0;6.3847944217;6.5790505091;6.3444771205;6.5973765551;6.4434377688
2013-06-20;15978.0;8908300.0;152130723.0;6.3078250285;6.3041598193;6.1208993595;6.3737987941;6.2601773089
2013-06-21;8529.0;4906500.0;84193707.0;6.3921248401;6.2528468906;6.1648818698;6.3921248401;6.2894989825
2013-06-24;15890.0;12899600.0;213120346.0;6.2125295894;6.2528468906;5.8570042972;6.2675077274;6.0549255939
2013-06-25;9544.0;6366000.0;106396903.0;6.1208993595;6.1758774974;6.0329343387;6.2858337733;6.1245645687
2013-06-26;5080.0;3390800.0;56960734.0;6.168547079;6.1942035434;6.0915776859;6.2198600078;6.1575514514
2013-06-27;12039.0;6301100.0;108196702.0;6.3371467021;6.1282297779;6.1282297779;6.4141160952;6.2931641917
2013-06-28;10359.0;5578700.0;97867010.0;6.4507681872;6.3298162837;6.2748381457;6.5387332079;6.428776932
2013-07-01;9225.0;4269600.0;74937613.0;6.4141160952;6.4067856768;6.3261510745;6.5680548815;6.4324421412
2013-07-02;9645.0;3728300.0;64343437.0;6.3004946101;6.4214465136;6.1575514514;6.5167419528;6.3261510745
2013-07-03;10152.0;4602900.0;79390154.0;6.3224858653;6.2858337733;6.1942035434;6.4324421412;6.3224858653
2013-07-04;6196.0;5186400.0;91052147.0;6.4984159068;6.3224858653;6.2858337733;6.502081116;6.4361073504
2013-07-05;15184.0;7332500.0;129400986.0;6.4507681872;6.447102978;6.3628031665;6.5387332079;6.4690942332
2013-07-08;9815.0;4159400.0;74203257.0;6.5607244631;6.447102978;6.410450886;6.6266982287;6.5387332079
2013-07-10;8182.0;4124000.0;73410894.0;6.5057463252;6.5973765551;6.4507681872;6.5973765551;6.5240723712
2013-07-11;10952.0;4249400.0;75567532.0;6.5607244631;6.5240723712;6.4617638148;6.5790505091;6.5167419528
2013-07-12;9519.0;3437200.0;60926870.0;6.4947506976;6.4947506976;6.4580986056;6.5423984171;6.4984159068
2013-07-15;11935.0;5793100.0;101395832.0;6.4544333964;6.4947506976;6.3261510745;6.4947506976;6.4141160952
2013-07-16;11039.0;3055600.0;53004275.0;6.3811292125;6.4141160952;6.2858337733;6.4507681872;6.3591379573
2013-07-17;16025.0;6742200.0;119332839.0;6.5827157183;6.3774640033;6.3591379573;6.5900461367;6.4874202792
2013-07-18;7721.0;3401100.0;61331927.0;6.6157026011;6.5240723712;6.5130767436;6.7366545046;6.6083721827
2013-07-19;3871.0;1694200.0;30381872.0;6.5790505091;6.5827157183;6.5314027896;6.6120373919;6.5717200907
2013-07-22;5427.0;2413200.0;43411933.0;6.5973765551;6.5753852999;6.5607244631;6.6340286471;6.5937113459
2013-07-23;5995.0;2540100.0;45667546.0;6.5973765551;6.5863809275;6.5643896723;6.6157026011;6.5900461367
2013-07-24;6037.0;1977700.0;35450219.0;6.6157026011;6.5790505091;6.5130767436;6.6157026011;6.5680548815
2013-07-25;7262.0;3145900.0;56928653.0;6.6376938563;6.5350679987;6.5314027896;6.6633503207;6.6340286471
2013-07-26;5722.0;2164100.0;39135059.0;6.6743459482;6.5973765551;6.5423984171;6.707332831;6.6266982287
2013-07-29;6075.0;2801100.0;50950214.0;6.6523546931;6.6157026011;6.5790505091;6.7549805506;6.6670155298
2013-07-30;8629.0;2984800.0;54411030.0;6.7403197138;6.6340286471;6.6083721827;6.7403197138;6.6816763666
2013-07-31;7280.0;3346600.0;61448757.0;6.7586457598;6.6743459482;6.6560199023;6.762310969;6.7293240862
2013-08-01;8017.0;3614400.0;67008997.0;6.8429455713;6.7586457598;6.6963372034;6.8795976633;6.7952978518
2013-08-02;8098.0;5518300.0;104422736.0;6.9602322656;6.780637015;6.7659761782;6.9895539392;6.9345758013
2013-08-05;12499.0;6374100.0;123151552.0;7.1105058427;6.9309105921;6.8979237093;7.1471579347;7.0811841691
2013-08-06;11306.0;3746700.0;72302883.0;7.1105058427;7.0958450059;6.9748931024;7.1398275163;7.0738537507
2013-08-07;13706.0;6741200.0;132287230.0;7.1838100267;7.040866868;6.9419062196;7.2754402566;7.1911404451
