Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-01-03;38.0;8200.0;562589.0;15.183248405;15.295054355;14.981997353;15.652833055;15.34201265
2000-01-04;101.0;15637.0;1031111.04;14.534773551;14.98423395;14.313398247;15.093803303;14.744969284
2000-01-05;54.0;11102.0;707144.75;14.31116165;14.08754975;14.08754975;14.422967601;14.244078251
2000-01-06;29.0;3041.0;195103.78;14.512412702;14.532536955;14.08754975;14.534773551;14.346940373
2000-01-07;25.0;3189.0;203527.4;14.31116165;14.31116165;14.08754975;14.422967601;14.27091144
2000-01-10;37.0;6380.0;407262.32;14.1993557;14.31116165;14.1993557;14.313398247;14.273148037
2000-01-11;16.0;3645.0;232529.65;14.2664391;14.31116165;14.1993557;14.313398247;14.264203356
2000-01-12;23.0;12773.0;810923.6;14.1993557;13.975743799;13.863937849;14.31116165;14.197119956
2000-01-13;25.0;5377.0;339031.17;14.08754975;14.1993557;13.863937849;14.1993557;14.098730174
2000-01-14;29.0;5195.0;325226.3;13.975743799;14.1322723;13.863937849;14.1993557;13.998104648
2000-01-17;18.0;11120.0;706157.65;14.31116165;13.998104648;13.975743799;14.31116165;14.1993557
2000-01-18;35.0;3328.0;218122.57;14.979760756;14.31116165;14.31116165;14.981997353;14.655524182
2000-01-19;35.0;3235.0;216598.46;14.981997353;14.959636504;14.935039058;15.201137766;14.970816075
2000-01-20;16.0;3867.0;256567.1;14.825469705;14.870191402;14.758385452;14.870191402;14.836649276
2000-01-21;30.0;3854.0;254461.35;15.183248405;14.981997353;14.425204198;15.205609254;14.765093536
2000-01-24;33.0;3116.0;212005.05;15.426984558;15.429221154;14.981997353;15.429221154;15.214553934
2000-01-26;48.0;22919.0;1557019.15;15.295054355;15.426984558;15.093803303;15.426984558;15.192193086
2000-01-27;141.0;17446.0;1271908.68;16.522683213;15.429221154;15.429221154;16.726170862;16.303544506
2000-01-28;91.0;7677.0;584952.25;16.860337661;16.77089256;16.547280659;17.888952064;17.039226158
2000-01-31;89.0;7843.0;553165.43;15.876444956;16.860337661;15.429221154;16.860337661;15.77134709
2000-02-01;20.0;3377.0;240375.75;15.630472206;15.876444956;15.429221154;15.988250906;15.916695166
2000-02-02;47.0;7611.0;533428.15;16.100056857;16.323668758;15.610346248;16.323668758;15.672957307
2000-02-03;119.0;29512.0;2178566.61;16.77089256;16.323668758;15.652833055;16.99450446;16.507030448
2000-02-04;52.0;7161.0;535431.95;16.77089256;16.793253409;16.659086609;16.99450446;16.719461072
2000-02-07;35.0;2230.0;166268.44;16.659086609;16.77089256;16.547280659;17.553534212;16.672502777
2000-02-08;59.0;9303.0;711473.63;17.106310411;16.99450446;16.88269851;17.441728262;17.101838923
2000-02-09;96.0;24491.0;1910466.84;17.642979314;17.329922312;17.329922312;17.654158885;17.443964859
2000-02-10;75.0;18141.0;1438807.53;17.553534212;17.777146113;17.553534212;18.333939269;17.734659306
2000-02-11;65.0;14880.0;1188812.56;17.777146113;17.553534212;17.553534212;18.783399667;17.864354618
2000-02-14;60.0;9217.0;756285.5;18.537426917;18.112563964;18.112563964;18.559787766;18.347357143
2000-02-15;46.0;7547.0;627094.33;19.007011568;18.537426917;17.888952064;19.007011568;18.579912018
2000-02-16;83.0;23686.0;2091878.84;19.901459171;19.009248164;19.007011568;20.125071072;19.74940301
2000-02-17;115.0;18480.0;1780075.17;21.243130576;20.125071072;20.125071072;22.023535632;21.538298216
2000-02-18;55.0;3393.0;324032.81;21.131324625;21.913966278;20.684100824;21.913966278;21.354936526
2000-02-21;61.0;11696.0;1103954.59;21.466742476;21.240893979;21.019518675;21.645632679;21.10672718
2000-02-22;58.0;8756.0;831832.67;21.332575677;21.68588289;21.019518675;21.68588289;21.243130576
2000-02-23;35.0;2241.0;211607.5;20.907712724;21.243130576;20.907712724;21.243130576;21.11567186
2000-02-24;44.0;6846.0;645990.21;20.818267623;21.240893979;20.57453147;21.690354377;21.100019096
2000-02-25;70.0;5580.0;530332.45;21.243130576;21.243130576;20.684100824;22.137578179;21.252075256
2000-02-28;38.0;5443.0;497069.21;20.793670177;20.684100824;20.125071072;21.019518675;20.420238712
2000-02-29;36.0;3144.0;281671.39;19.901459171;21.68811778;19.901459171;21.68811778;20.033389373
2000-03-01;25.0;4933.0;446115.32;20.14743192;21.231949298;19.901459171;21.231949298;20.221224257
2000-03-02;33.0;1564.0;138565.2;20.795906774;20.125071072;19.007011568;20.795906774;19.812014069
2000-03-03;45.0;3101.0;272628.07;20.348682972;20.572294873;19.007011568;20.793670177;19.659957909
2000-03-08;7.0;10302.0;926084.98;19.342429419;20.572294873;19.342429419;20.572294873;20.100473626
2000-03-09;28.0;3039.0;270155.16;19.901459171;19.342429419;19.342429419;20.122834475;19.879098322
2000-03-10;16.0;1128.0;99447.69;19.767292372;19.901459171;19.454235369;20.013265121;19.713625993
2000-03-13;33.0;4124.0;355130.77;19.228386872;19.78965322;19.007011568;19.78965322;19.255220914
2000-03-14;34.0;12480.0;1079422.27;18.895205617;19.118817518;18.559787766;19.43187452;19.340192822
2000-03-15;36.0;4029.0;341321.61;18.667122229;19.230623468;17.888952064;19.230623468;18.944400508
2000-03-16;51.0;3620.0;288205.75;17.665340163;18.783399667;17.575895061;18.783399667;17.801743559
2000-03-17;29.0;1779.0;139518.01;17.59825591;17.441728262;17.329922312;17.665340163;17.535644851
2000-03-20;30.0;2197.0;169351.44;17.397006564;17.665340163;16.77089256;17.665340163;17.236005723
2000-03-21;45.0;4852.0;372465.54;17.171158067;17.665340163;16.77089256;17.844230366;17.166684873
2000-03-22;35.0;22384.0;1733802.51;17.327685715;17.866591215;16.998975948;17.866591215;17.320977631
2000-03-23;60.0;20785.0;1642506.63;18.112563964;17.441728262;17.218116361;18.331704378;17.66981165
2000-03-24;95.0;9686.0;810940.04;18.917566466;18.336175865;18.336175865;19.007011568;18.720788608
2000-03-27;40.0;3534.0;294497.75;18.447981816;19.230623468;17.888952064;19.230623468;18.633580103
2000-03-28;15.0;367.0;30097.15;18.52624564;18.671593716;18.112563964;18.671593716;18.336175865
2000-03-29;14.0;25558.0;2115474.18;18.331704378;18.559787766;17.665340163;18.559787766;18.508356278
2000-03-30;28.0;2076.0;166438.95;18.112563964;18.336175865;17.42160401;18.336175865;17.926965677
2000-03-31;6.0;251.0;20158.89;18.31157842;18.224369915;17.89118866;18.31157842;17.958271207
2000-04-03;16.0;1962.0;158081.1;17.888952064;18.112563964;17.553534212;18.112563964;18.016410779
2000-04-04;29.0;2960.0;236149.1;17.888952064;18.112563964;17.329922312;18.112563964;17.839757173
2000-04-05;32.0;776.0;61523.2;17.553534212;18.557551169;17.553534212;18.557551169;17.727951222
2000-04-06;7.0;305.0;24191.85;17.553534212;17.777146113;17.553534212;17.777146113;17.736895903
2000-04-07;16.0;1490.0;116797.97;17.439491665;17.441728262;17.329922312;17.886715467;17.528936767
2000-04-10;17.0;619.0;48018.28;17.441728262;18.331704378;17.218116361;18.331704378;17.345575076
2000-04-11;26.0;878.0;67278.65;17.195755512;16.99450446;15.876444956;17.329922312;17.135379344
2000-04-12;19.0;12660.0;976369.46;16.826795535;17.419367413;16.815614257;17.419367413;17.244950404
2000-04-13;11.0;2625.0;197117.5;16.77089256;16.77089256;16.77089256;16.99450446;16.791016812
2000-04-14;26.0;1093.0;79703.78;16.52491981;16.323668758;16.100056857;16.77089256;16.305779397
2000-04-17;38.0;1688.0;117394.3;15.876444956;16.323668758;14.981997353;16.511501936;15.552208382
2000-04-18;46.0;6637.0;466312.99;15.648361568;16.77089256;15.272693506;16.77089256;15.710972627
2000-04-19;40.0;1810.0;121585.55;15.205609254;15.205609254;14.31116165;15.429221154;15.020010967
2000-04-20;12.0;752.0;49918.31;15.205609254;14.534773551;14.534773551;15.205609254;14.84335736
2000-04-24;11.0;581.0;39502.7;15.205609254;15.272693506;14.601857804;15.429221154;15.203372657
2000-04-25;43.0;3039.0;198629.3;14.867954806;14.981997353;14.08754975;15.625999013;14.615273972
2000-04-26;45.0;8387.0;564416.73;14.981997353;15.203372657;14.867954806;15.205609254;15.049081605
2000-04-27;25.0;1505.0;102369.6;15.608111357;14.981997353;14.870191402;15.608111357;15.210080741
2000-04-28;39.0;1852.0;130792.83;15.652833055;15.764639006;15.652833055;16.100056857;15.791473048
2000-05-02;10.0;1247.0;87351.0;15.652833055;15.652833055;15.652833055;15.764639006;15.664014333
2000-05-03;10.0;12707.0;901126.4;15.426984558;15.652833055;15.205609254;15.876444956;15.858555595
2000-05-04;10.0;336.0;22837.19;15.395679028;15.406860306;14.892552251;16.323668758;15.19890117
2000-05-05;6.0;113.0;7789.75;15.764639006;15.395679028;15.395679028;15.764639006;15.415804986
2000-05-08;9.0;368.0;25518.9;15.585748803;15.764639006;15.429221154;15.764639006;15.505248382
2000-05-09;11.0;3758.0;258908.0;15.429221154;15.384499457;14.981997353;15.429221154;15.406860306
2000-05-10;15.0;12696.0;869054.03;15.205609254;15.317415204;14.758385452;15.317415204;15.306233927
2000-05-11;25.0;2396.0;160510.21;14.979760756;14.981997353;14.539245039;15.183248405;14.979760756
2000-05-12;26.0;3203.0;213953.7;14.981997353;14.691301199;14.691301199;15.429221154;14.937275655
2000-05-15;36.0;3107.0;203790.08;14.981997353;15.429221154;14.08754975;15.429221154;14.666703754
2000-05-16;22.0;2264.0;148974.95;14.713663754;14.758385452;14.478870576;14.979760756;14.713663754
2000-05-17;21.0;19099.0;1255886.64;14.31116165;14.713663754;14.31116165;14.713663754;14.704719074
2000-05-18;24.0;1179.0;74388.23;14.109910599;14.31116165;13.866173593;14.31116165;14.107674855
