Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2007-07-19;0.0;0.0;0.0;10.451258192;10.451258192;10.451258192;10.451258192;10.451258192
2007-07-20;6616.0;7774700.0;148917011.0;10.846711204;10.846711204;10.564244767;10.925801807;10.81846456
2007-07-23;1136.0;872600.0;16652894.0;10.81846456;10.841061876;10.451258192;11.163073614;10.778919259
2007-07-24;223.0;912300.0;16957824.0;10.45690752;10.564244767;10.451258192;10.733724629;10.50210215
2007-07-25;243.0;1477300.0;27300853.0;10.733724629;10.451258192;10.394764904;10.733724629;10.439959534
2007-07-26;193.0;1387600.0;25419466.0;10.338271617;10.377816918;10.112298466;10.445608863;10.349570274
2007-07-27;162.0;388500.0;7193539.0;10.7280753;10.310024973;10.197038398;10.7280753;10.462556849
2007-07-30;411.0;568900.0;10922090.0;11.468137367;10.513400808;10.445608863;11.524630655;10.846711204
2007-07-31;223.0;597200.0;11915897.0;11.242164217;11.434241395;11.016191067;11.468137367;11.270410861
2007-08-01;184.0;649300.0;12743408.0;11.298657504;11.072684354;10.756321944;11.298657504;11.089632341
2007-08-02;306.0;647000.0;12745322.0;11.581123942;11.349501463;10.846711204;11.581123942;11.129177642
2007-08-03;158.0;259000.0;5110296.0;11.129177642;11.078333683;11.016191067;11.468137367;11.146125628
2007-08-06;197.0;374400.0;7226796.0;11.270410861;11.129177642;10.569894095;11.298657504;10.903204492
2007-08-07;126.0;244500.0;4836880.0;11.287358847;11.185670929;10.790217917;11.287358847;11.174372272
2007-08-08;245.0;273400.0;5552618.0;11.41164408;11.242164217;10.903204492;11.694110517;11.473786696
2007-08-09;60.0;194600.0;3835805.0;11.129177642;11.298657504;11.072684354;11.41164408;11.134826971
2007-08-10;95.0;149000.0;2874469.0;11.185670929;10.63768604;10.620738054;11.185670929;10.897555163
2007-08-13;90.0;173400.0;3431440.0;11.129177642;11.185670929;11.072684354;11.326904148;11.180021601
2007-08-14;93.0;370600.0;7214332.0;11.010541738;11.129177642;10.801516574;11.287358847;10.999243081
2007-08-15;197.0;1355600.0;25151463.0;10.394764904;10.733724629;10.225285041;10.959697779;10.479504835
2007-08-16;106.0;280400.0;4835893.0;10.106649138;10.180090411;9.0389260039;10.225285041;9.745092098
2007-08-17;145.0;1189600.0;20817061.0;9.8919746456;10.451258192;9.6038588792;10.959697779;9.8863253168
2007-08-20;208.0;440300.0;7391387.0;9.6038588792;10.36651826;9.242301839;10.445608863;9.4852229754
2007-08-21;81.0;123300.0;2065950.0;9.3778857291;9.7733387417;9.3778857291;9.8863253168;9.4682749891
2007-08-22;46.0;153500.0;2600974.0;9.5982095504;9.5191189479;9.4400283453;9.6038588792;9.5699629067
2007-08-23;111.0;342000.0;5692868.0;9.4061323728;9.6038588792;9.0954192915;9.6038588792;9.4061323728
2007-08-24;136.0;396200.0;6831021.0;10.168791754;9.4061323728;9.3213924415;10.168791754;9.7394427692
2007-08-27;145.0;315900.0;5830659.0;10.451258192;10.338271617;10.225285041;10.59249141;10.428660877
2007-08-28;40.0;34600.0;627052.0;10.197038398;10.445608863;10.168791754;10.451258192;10.236583699
2007-08-29;78.0;163400.0;2996022.0;10.394764904;10.168791754;10.168791754;10.564244767;10.360868932
2007-08-30;49.0;132000.0;2451743.0;10.451258192;10.507751479;10.36651826;10.620738054;10.490803493
2007-08-31;57.0;103000.0;1957780.0;11.016191067;10.620738054;10.343920945;11.016191067;10.739373958
2007-09-03;34.0;71200.0;1388643.0;11.016191067;11.016191067;10.846711204;11.276060189;11.016191067
2007-09-04;144.0;384700.0;7495203.0;11.072684354;10.987944423;10.790217917;11.196969587;11.004892409
2007-09-05;79.0;124800.0;2411099.0;11.072684354;11.016191067;10.479504835;11.072684354;10.914503149
2007-09-06;101.0;407100.0;7969375.0;11.072684354;11.072684354;10.903204492;11.129177642;11.061385697
2007-09-10;35.0;9300.0;179274.0;11.010541738;11.010541738;10.733724629;11.010541738;10.891905834
2007-09-11;69.0;106900.0;2099995.0;11.157424286;10.790217917;10.790217917;11.230865559;11.095281669
2007-09-12;33.0;68900.0;1346307.0;11.016191067;10.903204492;10.903204492;11.157424286;11.038788382
2007-09-13;68.0;142400.0;2775866.0;11.016191067;10.846711204;10.846711204;11.016191067;11.010541738
2007-09-14;55.0;62200.0;1208907.0;11.072684354;10.987944423;10.733724629;11.072684354;10.982295094
2007-09-17;43.0;67200.0;1280890.0;10.733724629;10.761971273;10.575543424;11.038788382;10.767620602
2007-09-18;124.0;455400.0;8647066.0;10.733724629;11.016191067;10.541647452;11.016191067;10.7280753
2007-09-19;67.0;151200.0;2858052.0;10.677231342;11.016191067;10.41171289;11.016191067;10.677231342
2007-09-20;44.0;84500.0;1574852.0;10.733724629;10.846711204;10.451258192;10.846711204;10.530348794
2007-09-21;61.0;139400.0;2609691.0;10.338271617;10.733724629;10.338271617;10.733724629;10.575543424
2007-09-24;81.0;179800.0;3310718.0;10.394764904;10.507751479;10.225285041;10.598140739;10.400414233
2007-09-25;88.0;271300.0;4953512.0;10.168791754;10.293076987;10.168791754;10.620738054;10.315674302
2007-09-26;301.0;481100.0;8441120.0;9.7168454542;10.445608863;9.6603521667;10.445608863;9.9145719605
2007-09-27;188.0;122800.0;2202561.0;10.451258192;9.9089226318;9.7168454542;10.451258192;10.134895781
2007-09-28;69.0;99000.0;1802794.0;10.281778329;10.168791754;10.168791754;10.394764904;10.287427658
2007-10-01;36.0;43900.0;795160.0;10.225285041;10.434310205;9.9823639056;10.434310205;10.23093437
2007-10-02;87.0;107500.0;1875386.0;9.767689413;10.36651826;9.7620400842;10.389115575;9.858078673
2007-10-03;150.0;303100.0;5107308.0;9.5417162629;9.7959360567;9.3213924415;9.9484679331;9.5191189479
2007-10-04;89.0;147200.0;2515042.0;9.5473655916;9.6038588792;9.4908723041;9.9428186043;9.6547028379
2007-10-05;126.0;99800.0;1736138.0;9.8863253168;9.6885988104;9.6038588792;9.9993118919;9.8298320293
2007-10-08;114.0;337000.0;6039538.0;10.338271617;9.9880132343;9.9597665906;10.423011548;10.123597124
2007-10-09;77.0;217100.0;3945241.0;10.276129;10.394764904;10.197038398;10.451258192;10.264830343
2007-10-10;22.0;39700.0;726328.0;10.338271617;10.197038398;10.197038398;10.377816918;10.338271617
2007-10-11;51.0;66900.0;1220919.0;10.423011548;10.338271617;10.253531685;10.423011548;10.310024973
2007-10-15;20.0;44900.0;824803.0;10.394764904;10.338271617;9.9710652481;10.394764904;10.377816918
2007-10-16;48.0;172800.0;3084112.0;10.197038398;10.112298466;9.835481358;10.197038398;10.084051823
2007-10-17;46.0;306500.0;5472911.0;10.394764904;10.168791754;9.9428186043;10.394764904;10.089701151
2007-10-18;94.0;84400.0;1527182.0;10.338271617;10.168791754;9.880675988;10.355219603;10.219635713
2007-10-19;47.0;16000.0;291623.0;10.310024973;10.168791754;10.067103836;10.310024973;10.298726315
2007-10-22;93.0;49300.0;908349.0;10.423011548;10.14054511;9.8863253168;10.733724629;10.406063562
2007-10-23;163.0;94700.0;1789381.0;10.733724629;10.394764904;10.310024973;10.903204492;10.677231342
2007-10-24;107.0;64600.0;1224273.0;10.620738054;10.846711204;10.564244767;10.846711204;10.705477985
2007-10-25;45.0;60700.0;1126936.0;10.59249141;10.846711204;10.112298466;10.846711204;10.490803493
2007-10-26;42.0;37700.0;706004.0;10.59249141;10.7280753;10.225285041;10.733724629;10.581192753
2007-10-29;42.0;36000.0;677737.0;10.677231342;10.581192753;10.451258192;10.7280753;10.63768604
2007-10-30;172.0;265700.0;4815518.0;10.338271617;10.468206178;9.9428186043;10.564244767;10.236583699
2007-10-31;192.0;181300.0;3233902.0;10.055805179;10.338271617;9.9428186043;10.338271617;10.078402494
2007-11-01;143.0;254400.0;4469151.0;10.05015585;10.168791754;9.6660014954;10.168791754;9.9258706181
2007-11-05;115.0;175400.0;3015548.0;9.6038588792;10.055805179;9.6038588792;10.055805179;9.7111961255
2007-11-06;136.0;113300.0;1895966.0;9.4908723041;9.7733387417;9.151912579;9.8750266593;9.4513270029
2007-11-07;203.0;226300.0;3584640.0;8.8637968126;9.5134696191;8.8186021826;9.5191189479;8.9485367439
2007-11-08;128.0;113500.0;1733795.0;8.5304864162;9.0332766752;8.3610065536;9.0332766752;8.6321743337
2007-11-09;65.0;117400.0;1712988.0;8.3553572249;8.671719635;8.1350334035;8.69431695;8.2423706498
2007-11-12;95.0;78200.0;1107097.0;8.0163974997;8.3384092386;7.8525669659;8.3384092386;7.9994495135
2007-11-13;96.0;83000.0;1171585.0;8.0841894448;8.0672414585;7.6830871033;8.3327599099;7.9768521985
2007-11-14;173.0;501200.0;7292292.0;7.8977615959;8.2028253486;7.8977615959;8.5869797037;8.2197733348
2007-11-16;72.0;374200.0;5328664.0;7.965553541;8.0276961572;7.9090602534;8.1576307185;8.0446441435
2007-11-19;50.0;64500.0;889987.0;7.7678270346;7.8525669659;7.6322431446;8.1293840748;7.7960736784
2007-11-21;97.0;133600.0;1738713.0;7.2876340907;7.7565283771;7.0899075843;7.7565283771;7.3497767069
2007-11-22;107.0;100500.0;1319604.0;7.4514646245;7.3158807344;7.1181542281;7.5136072408;7.417568652
2007-11-23;50.0;67800.0;885940.0;7.4571139532;7.5588018708;7.3441273782;7.5644511995;7.3836726795
2007-11-26;57.0;691800.0;9144567.0;7.3441273782;7.6265938158;7.2876340907;7.6830871033;7.4684126107
2007-11-27;218.0;700900.0;8945389.0;7.2876340907;7.2593874469;7.1746475156;7.3441273782;7.2085434881
2007-11-28;131.0;467600.0;6071239.0;7.2763354332;7.3441273782;7.2763354332;7.4571139532;7.3328287207
2007-11-29;153.0;285900.0;3571883.0;6.9882196668;7.1746475156;6.9486743655;7.2254914744;7.0560116118
2007-11-30;52.0;75600.0;949172.0;7.1464008718;7.1464008718;6.892181078;7.2141928169;7.0955569131
2007-12-03;67.0;467000.0;5903423.0;7.1181542281;7.1407515431;6.9995183243;7.2819847619;7.1407515431
2007-12-04;132.0;467500.0;5913483.0;7.1464008718;7.0899075843;7.0673102693;7.3441273782;7.1464008718
2007-12-05;269.0;356200.0;4777083.0;7.8469176372;7.3384780494;7.3384780494;7.9090602534;7.575749857
2007-12-06;151.0;186900.0;2586618.0;7.8751642809;7.9034109247;7.6830871033;8.1915266911;7.8186709934
2007-12-07;138.0;160400.0;2173056.0;7.6265938158;8.0220468285;7.5192565695;8.0220468285;7.6548404596
