Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-07-17;1.0;1000.0;3680.0;0.96216637601;0.96216637601;0.96216637601;0.96216637601;0.96216637601
2000-08-01;3.0;271000.0;902159.0;0.90061911029;0.90061911029;0.90061911029;0.90061911029;0.90061911029
2000-10-27;1.0;1000.0;4000.2;1.0822038345;1.0822038345;1.0822038345;1.0822038345;1.0822038345
2003-08-15;5.0;5000.0;18400.3;1.2281372423;1.0746507904;1.0746507904;1.2281372423;1.1299169663
2004-07-23;2.0;2000.0;11000.2;1.799860817;1.799860817;1.799860817;1.799860817;1.799860817
2006-08-31;2.0;2000.0;10000.0;1.8472236309;1.8472236309;1.8472236309;1.8472236309;1.8472236309
2006-09-13;3.0;30000.0;150000.0;1.8472236309;1.8472236309;1.8472236309;1.8472236309;1.8472236309
2006-09-14;3.0;11000.0;55000.0;1.8472236309;1.8472236309;1.8472236309;1.8472236309;1.8472236309
2006-09-15;2.0;6000.0;30000.0;1.8472236309;1.8472236309;1.8472236309;1.8472236309;1.8472236309
2006-09-22;4.0;5000.0;25000.0;1.8472236309;1.8472236309;1.8472236309;1.8472236309;1.8472236309
2006-11-10;3.0;10000.0;50000.0;1.8472236309;1.8472236309;1.8472236309;1.8472236309;1.8472236309
2006-11-17;5.0;7000.0;35000.0;1.8472236309;1.8472236309;1.8472236309;1.8472236309;1.8472236309
2006-11-30;1.0;6000.0;30000.0;1.8472236309;1.8472236309;1.8472236309;1.8472236309;1.8472236309
2006-12-08;2.0;4000.0;20400.0;1.8841681035;1.8841681035;1.8841681035;1.8841681035;1.8841681035
2006-12-11;2.0;4000.0;20400.0;1.8841681035;1.8841681035;1.8841681035;1.8841681035;1.8841681035
2006-12-27;2.0;6000.0;30600.0;1.8841681035;1.8841681035;1.8841681035;1.8841681035;1.8841681035
2006-12-28;2.0;5000.0;25500.0;1.8841681035;1.8841681035;1.8841681035;1.8841681035;1.8841681035
2007-01-03;2.0;5000.0;25500.0;1.8841681035;1.8841681035;1.8841681035;1.8841681035;1.8841681035
2007-01-09;1.0;6000.0;30600.0;1.8841681035;1.8841681035;1.8841681035;1.8841681035;1.8841681035
2007-01-12;1.0;6000.0;30600.0;1.8841681035;1.8841681035;1.8841681035;1.8841681035;1.8841681035
2007-02-09;12.0;21000.0;107650.0;1.9323246653;1.9323246653;1.9323246653;2.1217682599;1.9422515097
2007-02-12;1.0;1000.0;5600.0;2.1217682599;2.1217682599;2.1217682599;2.1217682599;2.1217682599
2007-02-14;7.0;7000.0;40310.0;2.3112118546;2.2733231357;2.1217682599;2.3112118546;2.1818597682
2007-02-16;2.0;2000.0;12600.0;2.4627667303;2.3112118546;2.3112118546;2.4627667303;2.3869892924
2007-03-01;7.0;18000.0;113400.0;2.3869892924;2.3869892924;2.3869892924;2.3869892924;2.3869892924
2007-03-05;5.0;5000.0;30900.0;2.2733231357;2.614321606;2.2733231357;2.614321606;2.3415228297
2007-03-20;4.0;4000.0;24000.0;2.2733231357;2.2733231357;2.2733231357;2.2733231357;2.2733231357
2007-03-21;6.0;7000.0;42600.0;2.2733231357;2.3112118546;2.2733231357;2.3112118546;2.3057937678
2007-03-26;1.0;4000.0;24400.0;2.3112118546;2.3112118546;2.3112118546;2.3112118546;2.3112118546
2007-04-04;2.0;2000.0;12189.9;2.3112118546;2.307385094;2.307385094;2.3112118546;2.3093174186
2007-04-05;4.0;4000.0;24400.0;2.3112118546;2.3112118546;2.3112118546;2.3112118546;2.3112118546
2007-04-09;11.0;14000.0;87300.0;2.3112118546;2.3112118546;2.3112118546;2.5385441681;2.3626268462
2007-04-10;7.0;7000.0;48900.0;2.8795426385;2.5385441681;2.5385441681;2.8795426385;2.6467922381
