Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2019-11-29;1616.0;1580100.0;13262509.0;4.365229179;4.4379829987;4.313262165;4.4379829987;4.3600324776
2019-12-02;2572.0;2430100.0;20926389.0;4.4639665057;4.4223928945;4.3860159847;4.5367203253;4.4743599085
2019-12-03;1965.0;955700.0;8201450.0;4.4587698043;4.5523104296;4.4119994917;4.5730972352;4.4587698043
2019-12-04;1938.0;2725200.0;23212625.0;4.4119994917;4.4639665057;4.313262165;4.4847533113;4.4223928945
2019-12-05;607.0;1230900.0;10334313.0;4.3496390748;4.4327862973;4.313262165;4.4327862973;4.3600324776
2019-12-06;2799.0;5217100.0;43470278.0;4.339245672;4.3496390748;4.2716885538;4.3964093875;4.3288522692
2019-12-09;2010.0;1106500.0;9462756.0;4.4223928945;4.3496390748;4.3496390748;4.5003434155;4.4431797001
2019-12-10;12533.0;2770200.0;23974975.0;4.5107368183;4.4743599085;4.4379829987;4.6510477562;4.4951467141
2019-12-11;2428.0;2082800.0;18522333.0;4.6302609506;4.5990807422;4.5471137282;4.6510477562;4.6198675478
2019-12-12;3859.0;3284300.0;30286138.0;4.8589158124;4.6458510548;4.6250642492;4.8745059166;4.7913586941
2019-12-13;3022.0;4368300.0;41757850.0;5.0615871671;4.9368663334;4.8952927222;5.0615871671;4.9628498404
2019-12-16;6819.0;2271600.0;21866946.0;4.9628498404;5.1187508826;4.8017520969;5.1395376882;4.9992267503
2019-12-17;2910.0;1835600.0;17284924.0;4.9108828264;4.9628498404;4.8381290068;4.9888333475;4.8900960208
2019-12-18;2805.0;1047900.0;9847647.0;4.9368663334;4.9368663334;4.8069487983;4.9628498404;4.879702618
2019-12-19;4112.0;2136400.0;19997381.0;4.9004894236;4.9836366461;4.8121454997;4.9836366461;4.8641125138
2019-12-20;8235.0;6088300.0;54845217.0;4.7830485006;4.9698863326;4.7083133678;4.9698863326;4.8044013957
2019-12-23;2971.0;4998500.0;45490187.0;4.8524454096;4.8631218572;4.8097396195;4.8898129761;4.8577836334
2019-12-26;3283.0;1591900.0;14897805.0;5.0713125843;4.8791365285;4.8631218572;5.0713125843;4.9912392277
2019-12-27;3818.0;1482900.0;14039235.0;5.1246948221;5.1246948221;4.9431952138;5.1460477172;5.0499596892
2019-12-30;5451.0;4771800.0;46207692.0;5.2261210737;5.1140183745;5.0179303466;5.2314592975;5.1674006122
2020-01-02;5373.0;2710100.0;26273853.0;5.1193565983;5.3061944303;5.0926654794;5.3061944303;5.172738836
2020-01-03;2362.0;1179000.0;11202586.0;5.0766508081;5.0179303466;4.9218423187;5.1300330458;5.0713125843
2020-01-06;2868.0;1397400.0;13040008.0;4.9592098851;5.0713125843;4.9431952138;5.0713125843;4.9805627802
