Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-06-19;2.0;300.0;1860.0;3.8088947166;3.8088947166;3.8088947166;3.8088947166;3.8088947166
2001-01-31;1.0;100.0;1000.0;6.1433785752;6.1433785752;6.1433785752;6.1433785752;6.1433785752
2001-02-16;1.0;100.0;950.0;5.8362096465;5.8362096465;5.8362096465;5.8362096465;5.8362096465
2001-07-10;1.0;100.0;910.1;5.5910888413;5.5910888413;5.5910888413;5.5910888413;5.5910888413
2001-07-16;1.0;100.0;1100.0;6.7577164327;6.7577164327;6.7577164327;6.7577164327;6.7577164327
2001-08-28;1.0;100.0;1000.0;6.1433785752;6.1433785752;6.1433785752;6.1433785752;6.1433785752
2002-02-26;3.0;400.0;4000.0;6.2306070743;6.2306070743;6.2306070743;6.2306070743;6.2306070743
2003-06-02;1.0;100.0;1000.0;6.2682163725;6.2682163725;6.2682163725;6.2682163725;6.2682163725
2004-12-08;7.0;340.0;6310.0;14.245946301;14.245946301;13.496159653;14.245946301;14.245946301
2004-12-09;3.0;190.0;3410.0;12.746373006;14.245946301;12.746373006;14.245946301;13.496159653
2004-12-10;1.0;10.0;170.0;12.746373006;12.746373006;12.746373006;12.746373006;12.746373006
2004-12-16;1.0;10.0;200.0;14.995732948;14.995732948;14.995732948;14.995732948;14.995732948
2004-12-20;4.0;460.0;7360.0;11.996586358;11.996586358;11.996586358;11.996586358;11.996586358
2004-12-29;1.0;50.0;1000.0;14.995732948;14.995732948;14.995732948;14.995732948;14.995732948
2005-03-18;1.0;10.0;190.0;14.246487667;14.246487667;14.246487667;14.246487667;14.246487667
2005-04-25;3.0;160.0;4000.0;18.74537851;18.74537851;18.74537851;18.74537851;18.74537851
2006-01-18;2.0;300.0;9000.0;22.878818361;22.878818361;22.878818361;22.878818361;22.878818361
2006-01-20;3.0;300.0;9600.0;24.404072918;24.404072918;24.404072918;24.404072918;24.404072918
2006-05-04;7.0;300.0;9900.0;25.453046975;25.453046975;25.453046975;25.453046975;25.453046975
2006-05-08;3.0;100.0;3300.0;25.453046975;25.453046975;25.453046975;25.453046975;25.453046975
2006-05-09;2.0;200.0;6600.0;25.453046975;25.453046975;25.453046975;25.453046975;25.453046975
2006-05-17;1.0;10.0;320.0;24.681742521;24.681742521;24.681742521;24.681742521;24.681742521
2006-11-17;7.0;200.0;10000.0;38.930193251;38.930193251;38.930193251;38.930193251;38.930193251
2006-12-11;1.0;50.0;4000.0;62.288309202;62.288309202;62.288309202;62.288309202;62.288309202
2006-12-18;1.0;50.0;4000.0;62.288309202;62.288309202;62.288309202;62.288309202;62.288309202
2007-02-15;4.0;110.0;9020.0;64.085838828;64.085838828;64.085838828;64.085838828;64.085838828
2007-02-23;2.0;40.0;3200.0;62.522769588;62.522769588;62.522769588;62.522769588;62.522769588
2007-02-27;1.0;10.0;850.0;66.430442687;66.430442687;66.430442687;66.430442687;66.430442687
2007-03-02;1.0;10.0;810.0;63.304304208;63.304304208;63.304304208;63.304304208;63.304304208
2007-03-05;1.0;10.0;810.0;63.304304208;63.304304208;63.304304208;63.304304208;63.304304208
2007-03-06;13.0;140.0;15920.0;90.658015902;69.556581167;69.556581167;109.41484677;89.094946663
2007-03-07;5.0;50.0;5090.0;82.061135084;79.716531225;78.153461985;82.061135084;79.716531225
2007-03-08;3.0;30.0;2980.0;76.590392745;78.153461985;76.590392745;78.153461985;77.371927365
2007-03-09;1.0;10.0;930.0;72.682719646;72.682719646;72.682719646;72.682719646;72.682719646
2007-03-12;9.0;90.0;10510.0;89.876481283;80.498065844;80.498065844;94.565689002;91.439550522
2007-03-13;8.0;140.0;17360.0;93.784154382;89.876481283;89.876481283;101.59950058;96.910292861
2007-03-15;4.0;60.0;6090.0;78.153461985;78.934996605;78.153461985;81.279600464;79.716531225
2007-03-16;6.0;80.0;9970.0;109.41484677;89.094946663;89.094946663;109.41484677;97.691827481
2007-03-19;2.0;20.0;3100.0;121.13786607;121.13786607;121.13786607;121.13786607;121.13786607
2007-03-21;3.0;40.0;4680.0;86.750342803;105.50717368;86.750342803;105.50717368;91.439550522
2007-03-29;2.0;20.0;1960.0;76.590392745;76.590392745;76.590392745;76.590392745;76.590392745
2007-04-11;1.0;10.0;970.0;75.808858125;75.808858125;75.808858125;75.808858125;75.808858125
2007-04-16;1.0;10.0;1000.0;78.153461985;78.153461985;78.153461985;78.153461985;78.153461985
2007-04-18;1.0;10.0;1200.0;93.784154382;93.784154382;93.784154382;93.784154382;93.784154382
2007-04-19;3.0;30.0;3590.0;85.968808183;96.910292861;85.968808183;97.691827481;93.784154382
2007-04-24;3.0;30.0;3850.0;104.72563906;96.910292861;96.910292861;104.72563906;100.03643134
2007-04-25;1.0;10.0;1210.0;94.565689002;94.565689002;94.565689002;94.565689002;94.565689002
2007-05-15;1.0;30.0;3600.0;93.784154382;93.784154382;93.784154382;93.784154382;93.784154382
2007-05-28;1.0;10.0;1130.0;88.313412043;88.313412043;88.313412043;88.313412043;88.313412043
2007-05-29;10.0;110.0;11580.0;81.279600464;93.784154382;77.371927365;93.784154382;82.061135084
2007-05-31;1.0;10.0;1020.0;79.716531225;79.716531225;79.716531225;79.716531225;79.716531225
