Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-02-09;0.0;0.0;0.0;17.348428993;17.348428993;17.348428993;17.348428993;17.348428993
2021-02-10;54578.0;29329400.0;688319648.0;16.87529002;22.434672947;15.936897724;22.474101195;18.499733826
2021-02-11;15088.0;5116000.0;111421167.0;17.474599385;17.198601651;16.126153314;17.624426727;17.167059053
2021-02-12;3513.0;1484400.0;32700800.0;17.506141984;17.545570231;16.87529002;17.584998479;17.364200292
2021-02-17;2488.0;943200.0;20610105.0;17.190716002;17.348428993;16.969917815;17.458828086;17.23014425
2021-02-18;4562.0;1312800.0;28094747.0;17.072431259;17.033003011;16.441579295;17.269572497;16.87529002
2021-02-19;2889.0;1339100.0;29993740.0;17.663854974;17.064545609;16.725462679;18.113336998;17.655969325
2021-02-22;4039.0;1349700.0;30009628.0;18.058137452;17.23014425;16.725462679;18.25527869;17.529798932
2021-02-23;6002.0;3599500.0;87297119.0;19.556410865;18.294706938;18.160650896;19.856065547;19.12270014
2021-02-24;8347.0;3475200.0;91657245.0;20.983713432;19.761437753;19.761437753;21.732850138;20.794457843
2021-02-25;9135.0;3789400.0;103899992.0;19.863951197;21.52782325;19.792980351;22.474101195;21.614565395
2021-02-26;9009.0;2462600.0;63810394.0;20.352861468;20.344975819;19.524868266;21.448966755;20.431717964
2021-03-01;4878.0;1040700.0;27445323.0;20.50268881;21.291253764;20.50268881;21.370110259;20.794457843
2021-03-02;5353.0;1205100.0;30626116.0;19.934922043;20.305547571;19.62738171;20.699830048;20.037435487
2021-03-03;3572.0;1719200.0;43582863.0;20.620973553;20.108406333;19.327727028;20.873314338;19.990121589
2021-03-04;4992.0;1903500.0;49629182.0;19.879722496;20.818114791;19.785094701;21.322796362;20.557888356
2021-03-05;3328.0;1438700.0;34991196.0;18.807274158;19.97435029;18.61013292;20.218805426;19.177899687
2021-03-08;5800.0;1801400.0;40337743.0;17.309000745;18.815159808;17.309000745;18.815159808;17.655969325
