Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-01-04;2.0;40.0;1603.9999202;8.0865505041;8.0865505041;8.0865505041;8.0865505041;8.0865505041
2000-01-14;1.0;10.0;400.000019;8.0663853272;8.0663853272;8.0663853272;8.0663853272;8.0663853272
2000-02-11;2.0;50.0;2249.9999031;9.4304462389;9.4304462389;9.4304462389;9.4304462389;9.4304462389
2000-02-21;1.0;160.0;6576.000154;8.6131414707;8.6131414707;8.6131414707;8.6131414707;8.6131414707
2000-06-27;2.0;60.0;2100.0000648;7.3347920613;7.3347920613;7.3347920613;7.3347920613;7.3347920613
2000-07-03;3.0;90.0;3600.000171;8.3826196381;8.3826196381;8.3826196381;8.3826196381;8.3826196381
2000-08-15;1.0;20.0;719.99998763;7.5443571863;7.5443571863;7.5443571863;7.5443571863;7.5443571863
2000-08-21;2.0;20.0;788.00003976;8.2568803679;8.2568803679;8.2568803679;8.2568803679;8.2568803679
2000-08-22;1.0;10.0;394.00001988;8.2568803679;8.2568803679;8.2568803679;8.2568803679;8.2568803679
2001-03-08;2.0;40.0;1610.0;8.8037885014;8.481698227;8.481698227;8.8037885014;8.6534797733
2001-03-12;2.0;30.0;1226.9999832;8.7823156831;8.7823156831;8.7823156831;8.7823156831;8.7823156831
2001-03-14;1.0;10.0;310.0000089;6.6565231718;6.6565231718;6.6565231718;6.6565231718;6.6565231718
2001-03-15;1.0;10.0;300.00000261;6.4417964888;6.4417964888;6.4417964888;6.4417964888;6.4417964888
2001-04-06;1.0;10.0;234.99999661;5.0460737996;5.0460737996;5.0460737996;5.0460737996;5.0460737996
2001-04-10;1.0;10.0;380.00000641;8.1596089525;8.1596089525;8.1596089525;8.1596089525;8.1596089525
2001-06-18;1.0;10.0;347.99999557;7.6628449651;7.6628449651;7.6628449651;7.6628449651;7.6628449651
2001-06-19;1.0;10.0;264.99999221;5.8352123043;5.8352123043;5.8352123043;5.8352123043;5.8352123043
2001-06-25;2.0;30.0;1049.0;7.7068846398;7.6848648024;7.6848648024;7.7068846398;7.7068846398
2001-07-03;1.0;10.0;310.0000089;6.8260978092;6.8260978092;6.8260978092;6.8260978092;6.8260978092
2001-07-06;3.0;90.0;2730.0;7.2664909682;6.6059009734;6.6059009734;7.2664909682;6.6719599729
2001-07-27;1.0;10.0;315.00000041;6.9361959708;6.9361959708;6.9361959708;6.9361959708;6.9361959708
2001-07-30;1.0;50.0;1550.0000445;6.8260978092;6.8260978092;6.8260978092;6.8260978092;6.8260978092
2001-08-02;1.0;10.0;270.000007;5.9453109786;5.9453109786;5.9453109786;5.9453109786;5.9453109786
2001-09-20;2.0;40.0;1216.0000391;6.7757912131;6.7757912131;6.7757912131;6.7757912131;6.7757912131
2001-12-10;1.0;10.0;310.0000089;6.9095239106;6.9095239106;6.9095239106;6.9095239106;6.9095239106
2001-12-12;2.0;20.0;620.00001781;6.9095239106;6.9095239106;6.9095239106;6.9095239106;6.9095239106
2001-12-19;1.0;60.0;1860.0000534;6.9095239106;6.9095239106;6.9095239106;6.9095239106;6.9095239106
2001-12-21;1.0;60.0;1860.0000534;6.9095239106;6.9095239106;6.9095239106;6.9095239106;6.9095239106
2002-03-04;4.0;80.0;1626.0;4.6806450523;4.4800460009;4.4800460009;4.6806450523;4.5246239138
2002-03-14;1.0;10.0;310.0000089;6.9095240935;6.9095240935;6.9095240935;6.9095240935;6.9095240935
2002-03-19;2.0;50.0;1000.0000475;4.4577575634;4.4577575634;4.4577575634;4.4577575634;4.4577575634
2002-03-20;1.0;10.0;249.99999441;5.572196565;5.572196565;5.572196565;5.572196565;5.572196565
2002-03-27;10.0;460.0;8497.0;4.034270504;4.2348695555;4.034270504;4.2348695555;4.1234255515
2002-03-28;5.0;520.0;7832.0;3.3433180428;3.6999384922;3.3433180428;3.6999384922;3.3656067398
2002-04-03;1.0;10.0;150.0000013;3.3433180428;3.3433180428;3.3433180428;3.3433180428;3.3433180428
2002-04-12;1.0;100.0;1389.9999904;3.0981413379;3.0981413379;3.0981413379;3.0981413379;3.0981413379
2002-04-15;1.0;20.0;270.000007;3.0089862904;3.0089862904;3.0089862904;3.0089862904;3.0089862904
2002-08-13;1.0;10.0;139.99999501;3.1204300349;3.1204300349;3.1204300349;3.1204300349;3.1204300349
2002-08-21;3.0;100.0;1249.9999721;2.7860982825;2.7860982825;2.7860982825;2.7860982825;2.7860982825
2002-08-29;12.0;800.0;10437.0;2.674654538;3.3210293458;2.674654538;3.3210293458;2.8975422865
2002-08-30;1.0;40.0;480.0000228;2.674654538;2.674654538;2.674654538;2.674654538;2.674654538
2002-11-20;2.0;40.0;439.99999762;2.4517665301;2.4517665301;2.4517665301;2.4517665301;2.4517665301
2002-11-28;1.0;140.0;1539.9999917;2.4517665301;2.4517665301;2.4517665301;2.4517665301;2.4517665301
2002-12-02;1.0;20.0;209.99999251;2.3403225262;2.3403225262;2.3403225262;2.3403225262;2.3403225262
2003-01-31;2.0;80.0;719.99998763;2.0059907738;2.0059907738;2.0059907738;2.0059907738;2.0059907738
2003-05-19;2.0;20.0;159.99999596;1.7831028956;1.7831028956;1.7831028956;1.7831028956;1.7831028956
2003-05-30;2.0;40.0;323.99999909;1.8053917223;1.8053917223;1.8053917223;1.8053917223;1.8053917223
2003-07-02;4.0;190.0;2089.9999887;2.4517665301;2.4517665301;2.4517665301;2.4517665301;2.4517665301
2003-08-15;1.0;100.0;1099.999994;2.4517665301;2.4517665301;2.4517665301;2.4517665301;2.4517665301
2003-08-18;6.0;350.0;3935.0;2.5632105341;2.4963441836;2.4963441836;2.5632105341;2.4963441836
2003-08-20;1.0;100.0;1099.999994;2.4517665301;2.4517665301;2.4517665301;2.4517665301;2.4517665301
2003-08-22;4.0;90.0;1025.0;2.8752535895;2.4963441836;2.4963441836;2.8752535895;2.5409215776
2003-09-17;1.0;1960.0;33320.000442;3.8094700335;3.8094700335;3.8094700335;3.8094700335;3.8094700335
2003-11-17;1.0;50.0;805.0;3.6077921604;3.6077921604;3.6077921604;3.6077921604;3.6077921604
2003-11-19;2.0;60.0;1000.0;3.3612970438;3.809469983;3.3612970438;3.809469983;3.7422440421
2003-12-01;5.0;460.0;7701.0;3.6750181012;3.809469983;3.6750181012;3.8318786299;3.7422440421
2003-12-02;1.0;10.0;169.0;3.787061336;3.787061336;3.787061336;3.787061336;3.787061336
2003-12-08;3.0;110.0;1650.0;3.3612970438;3.3612970438;3.3612970438;3.3612970438;3.3612970438
2003-12-16;1.0;90.0;1350.0;3.3612970438;3.3612970438;3.3612970438;3.3612970438;3.3612970438
2003-12-17;1.0;10.0;170.0;3.809469983;3.809469983;3.809469983;3.809469983;3.809469983
2003-12-18;5.0;1000.0;15000.0;3.3612970438;3.3612970438;3.3612970438;3.3612970438;3.3612970438
2003-12-23;1.0;70.0;1050.0;3.3612970438;3.3612970438;3.3612970438;3.3612970438;3.3612970438
2004-01-05;2.0;610.0;9455.0;3.4733402786;3.4733402786;3.4733402786;3.4733402786;3.4733402786
2004-01-06;1.0;10.0;170.0;3.809469983;3.809469983;3.809469983;3.809469983;3.809469983
2004-01-12;2.0;20.0;300.0;3.3612970438;3.3612970438;3.3612970438;3.3612970438;3.3612970438
