Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-01-03;49.0;46300.0;646670.0;12.009797213;12.3579075;11.748715105;12.3579075;12.157743902
2000-01-04;89.0;612500.0;8402054.0;11.748715105;11.748715105;11.313577449;12.183852762;11.940175479
2000-01-05;93.0;71300.0;983090.0;12.183852762;11.748715105;11.313577449;12.531962238;12.0010948
2000-01-06;46.0;33500.0;464668.0;12.009797213;12.183852762;11.922769844;12.3579075;12.070716533
2000-01-07;31.0;24900.0;354976.0;12.531962238;12.183852762;12.183852762;12.706017787;12.410123597
2000-01-10;31.0;46200.0;672049.0;12.531962238;12.793045157;12.444934869;13.054127264;12.662504103
2000-01-11;33.0;216900.0;3080226.0;12.201257587;12.531962238;12.192555174;12.531962238;12.3579075
2000-01-12;30.0;129300.0;1826561.0;12.244771272;12.183852762;12.183852762;12.3579075;12.29698818
2000-01-13;32.0;63900.0;895537.0;12.253474495;12.270880131;12.183852762;12.270880131;12.192555174
2000-01-14;18.0;9500.0;133076.0;12.183852762;12.262176908;12.096824582;12.262176908;12.192555174
2000-01-17;28.0;24200.0;327020.0;11.922769844;11.661686925;11.574659556;11.922769844;11.757417518
2000-01-18;19.0;13600.0;182096.0;11.748715105;11.922769844;11.4963346;11.922769844;11.652984513
2000-01-19;14.0;6800.0;88600.0;11.400604818;11.574659556;11.313577449;11.574659556;11.339685497
2000-01-20;25.0;14500.0;196226.0;12.096824582;11.313577449;11.313577449;12.096824582;11.774823154
2000-01-21;10.0;6500.0;86940.0;11.748715105;11.922769844;11.487632187;11.922769844;11.6442821
2000-01-24;15.0;4400.0;57240.0;11.226550079;11.313577449;11.1395219;11.748715105;11.322279861
2000-01-26;19.0;359600.0;4911795.0;11.748715105;11.226550079;11.183035584;11.914067431;11.887958572
2000-01-27;33.0;34500.0;460167.0;11.922769844;11.70520142;11.226550079;11.922769844;11.609470828
2000-01-28;165.0;341900.0;5010745.0;12.618989608;12.183852762;12.183852762;13.062830487;12.758233885
2000-01-31;54.0;589500.0;8603552.0;12.706017787;12.7147202;12.444934869;13.062830487;12.697314564
2000-02-01;15.0;8500.0;120350.0;12.618989608;12.706017787;12.183852762;12.706017787;12.323096228
2000-02-02;7.0;10900.0;157470.0;12.618989608;12.706017787;12.183852762;12.706017787;12.575475923
2000-02-03;40.0;38500.0;538929.0;12.270880131;12.183852762;12.018500436;12.270880131;12.183852762
2000-02-04;34.0;40000.0;554499.0;12.175149538;12.270880131;11.922769844;12.3579075;12.062014121
2000-02-07;29.0;230000.0;3248605.0;12.009797213;12.793045157;12.009797213;12.793045157;12.288285767
2000-02-08;17.0;74300.0;1071588.0;12.3579075;12.183852762;12.183852762;12.601584782;12.549367874
2000-02-09;12.0;6100.0;86438.0;12.183852762;12.784341933;12.183852762;12.793045157;12.331799451
2000-02-10;27.0;19200.0;270209.0;12.401421185;12.183852762;12.183852762;12.444934869;12.244771272
