Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2016-07-11;1.0;16000000.0;18400000.0;0.85299721136;0.85299721136;0.85299721136;0.85299721136;0.85299721136
2017-06-08;1.0;400.0;437.0;0.87141727458;0.87141727458;0.87141727458;0.87141727458;0.87141727458
2017-06-09;1.0;400.0;510.0;1.0169858353;1.0169858353;1.0169858353;1.0169858353;1.0169858353
2017-09-12;39.0;16800.0;31456.0;1.5449992877;2.0878368753;1.5053303871;2.0878368753;1.5617019827
2017-09-13;33.0;20400.0;37638.0;1.5136817346;1.5449992877;1.5136817346;1.5658776565;1.540823614
2017-09-14;5.0;2400.0;4393.0;1.5470871246;1.524120919;1.5136817346;1.5491749615;1.5282965927
2017-09-15;5.0;2000.0;3895.0;1.6222492521;1.6473032946;1.607634394;1.6473032946;1.6264249259
2017-09-18;10.0;12000.0;23032.0;1.6013708834;1.6013708834;1.5971952096;1.6264249259;1.6013708834
2017-09-19;4.0;3600.0;8100.0;1.8790531878;1.8790531878;1.8790531878;1.8790531878;1.8790531878
2017-09-20;1.0;400.0;900.0;1.8790531878;1.8790531878;1.8790531878;1.8790531878;1.8790531878
2017-09-29;4.0;1600.0;3288.0;1.874877514;1.6493911315;1.6493911315;1.874877514;1.7162019115
2017-10-02;1.0;400.0;800.0;1.6702695002;1.6702695002;1.6702695002;1.6702695002;1.6702695002
2017-10-03;1.0;400.0;721.0;1.5053303871;1.5053303871;1.5053303871;1.5053303871;1.5053303871
2017-10-17;1.0;400.0;750.0;1.5658776565;1.5658776565;1.5658776565;1.5658776565;1.5658776565
2017-10-19;4.0;2000.0;3930.0;1.6493911315;1.5658776565;1.5658776565;1.6702695002;1.641039784
2017-10-20;3.0;1200.0;2403.0;1.6723573371;1.6723573371;1.6723573371;1.6723573371;1.6723573371
2017-10-23;2.0;2000.0;4000.0;1.6702695002;1.6702695002;1.6702695002;1.6702695002;1.6702695002
2017-11-03;2.0;800.0;1601.0;1.6702695002;1.6723573371;1.6702695002;1.6723573371;1.6702695002
2017-11-07;1.0;400.0;800.0;1.6702695002;1.6702695002;1.6702695002;1.6702695002;1.6702695002
2017-11-08;4.0;2400.0;5400.0;1.8790531878;1.8790531878;1.8790531878;1.8790531878;1.8790531878
2017-11-17;3.0;3200.0;6795.0;1.774661344;1.7851005284;1.7537829753;1.7851005284;1.7725735071
2017-12-01;2.0;800.0;1651.0;1.6723573371;1.774661344;1.6723573371;1.774661344;1.7224654221
