Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-06-18;0.0;0.0;0.0;10.461003553;10.461003553;10.461003553;10.461003553;10.461003553
2021-06-21;7045.0;2584500.0;45053511.0;10.82060055;12.062844722;10.82060055;12.402827338;11.382879491
2021-06-22;4609.0;1640200.0;28146997.0;11.343650728;11.114816275;10.931748713;11.507103909;11.219426311
2021-06-23;3586.0;1004200.0;18833683.0;12.278602921;11.768628997;11.650942707;12.644738045;12.258988539
2021-06-24;6379.0;1586400.0;32447494.0;13.108945078;13.069716314;12.834343734;14.109278543;13.363932039
2021-06-25;3338.0;993200.0;21135994.0;13.80852469;13.736605291;13.370470167;14.736938756;13.913134726
2021-06-28;3583.0;1224100.0;28024808.0;14.841548791;14.965773208;14.455799285;15.528052149;14.972311336
2021-06-29;5081.0;1332100.0;29575773.0;14.050435398;15.037692608;13.860829708;15.148840771;14.501566176
2021-06-30;4943.0;1204500.0;26547883.0;14.187736069;14.35118925;14.187736069;14.906930063;14.403494267
2021-07-01;4086.0;1039500.0;22665180.0;14.050435398;14.383879886;13.795448436;14.730400629;14.246579214
2021-07-02;2504.0;675500.0;14439274.0;13.815062818;14.102740415;13.801986563;14.344651122;13.965439744
2021-07-05;4009.0;896200.0;19298694.0;13.985054125;14.089664161;13.92621098;14.338112995;14.076587906
2021-07-06;2554.0;570700.0;12194493.0;13.971977871;14.050435398;13.860829708;14.207350451;13.965439744
2021-07-07;2995.0;785800.0;16910779.0;14.04389727;14.240041087;13.867367835;14.311960486;14.070049779
2021-07-08;1881.0;562100.0;11874166.0;13.507770838;13.860829708;13.468542075;14.220426705;13.80852469
2021-07-12;2144.0;502500.0;10556726.0;13.533923347;13.631995255;13.448927693;13.952363489;13.723529036
2021-07-13;1320.0;268100.0;5589476.0;13.533923347;13.64507151;13.468542075;13.847753454;13.625457128
2021-07-14;1009.0;300600.0;6169255.0;13.403160803;13.560075856;13.239707622;13.703914655;13.416237057
2021-07-15;900.0;280700.0;5874440.0;13.664685891;13.533923347;13.383546421;13.886982217;13.677762146
2021-07-16;855.0;231700.0;4846997.0;13.599304619;13.730067164;13.488156457;13.991592253;13.671224019
2021-07-19;1176.0;357100.0;7393355.0;13.396622675;13.422775184;13.33777953;13.769295927;13.52738522
2021-07-20;1196.0;530600.0;11108308.0;14.096202288;13.396622675;13.33777953;14.187736069;13.697376528
2021-07-21;1298.0;389800.0;8397446.0;14.155045433;14.128892924;13.795448436;14.51464243;14.083126034
2021-07-22;2869.0;744900.0;16947552.0;15.070383244;14.122354797;13.932749108;15.214222043;14.874239427
2021-07-23;2676.0;748600.0;17959318.0;15.887649147;15.181531407;14.854625046;16.247246144;15.684967203
2021-07-26;2300.0;639000.0;16077668.0;16.149174236;15.887649147;15.80919162;16.881444485;16.443389961
2021-07-27;2270.0;673200.0;16510466.0;15.802653493;16.103407345;15.410365859;16.86836823;16.031487946
2021-07-28;2112.0;640100.0;15356949.0;15.10307388;16.345318053;15.10307388;16.449928088;15.671890948
2021-07-29;2720.0;662500.0;15440471.0;15.037692608;15.397289605;14.763091265;15.704581584;15.233836425
2021-07-30;7109.0;1536700.0;37024489.0;15.658814694;14.965773208;14.776167519;16.449928088;15.750348475
2021-08-02;4952.0;1273900.0;31373693.0;15.711119712;15.868034765;15.482285259;16.691838795;16.090331091
2021-08-03;2400.0;622200.0;14869186.0;15.678429076;15.868034765;15.109612007;16.103407345;15.619585931
2021-08-04;3056.0;778000.0;19454404.0;17.084126429;15.593433422;15.547666531;17.142969574;16.371470561
2021-08-05;4567.0;1126500.0;31034865.0;17.64640537;17.319499008;17.129893319;18.940954559;17.999464239
2021-08-06;2128.0;567500.0;15546764.0;17.836011059;18.04523113;17.443723426;18.568281308;17.907930458
2021-08-09;2197.0;584300.0;16470540.0;18.529052544;17.705248515;17.613714733;18.888649542;18.430980636
2021-08-10;5033.0;1213100.0;33657711.0;17.45679968;18.568281308;17.45679968;19.294013429;18.123688657
2021-08-11;3598.0;774900.0;20245012.0;16.881444485;17.522180952;16.541461869;17.790244168;17.077588301
2021-08-12;2959.0;724100.0;19029522.0;17.522180952;16.783372576;16.27993678;18.064845512;17.182198337
2021-08-13;1624.0;416800.0;11114556.0;17.652943497;17.443723426;16.98605452;17.822934805;17.437185298
