Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-01-03;13.0;26400.0;191200.0;2.9573784467;2.9934438802;2.9573784467;2.9934438802;2.985148892
2000-01-04;47.0;177600.0;1201796.1;2.7821512336;2.8337250492;2.7306802954;2.931617335;2.7891582584
2000-01-05;52.0;191200.0;1264140.6;2.9573784467;2.679158072;2.6790551946;2.9573784467;2.725167603
2000-01-06;19.0;39200.0;275460.0;2.8852472726;2.936769496;2.7615938751;2.936769496;2.896376149
2000-01-07;10.0;16000.0;109850.00133;2.7822028258;2.8800951117;2.7822028258;2.8800951117;2.8298608518
2000-01-10;29.0;340000.0;2297070.2;2.7873549868;2.7822028258;2.7306802954;2.7925587399;2.7847271605
2000-01-11;22.0;48000.0;324360.00109;2.8234204203;2.7822028258;2.7822028258;2.8234204203;2.785294061
2000-01-12;21.0;56800.0;394690.3;2.9573784467;2.8079639375;2.8079639375;2.9573784467;2.8641230136
2000-01-13;19.0;35200.0;255848.0;3.014052831;2.9877767182;2.9877767182;3.014052831;2.9958656446
2000-01-14;36.0;170400.0;1256555.0;2.936769496;3.0398139427;2.936769496;3.0913364732;3.0394534112
2000-01-17;41.0;320800.0;2360578.8;3.085669004;2.9882917193;2.9882917193;3.085669004;3.0329616946
2000-01-18;46.0;172000.0;1322228.3;3.2355988214;3.0346617818;3.0346617818;3.2974253666;3.168568216
2000-01-19;52.0;270400.0;2112314.8;3.1170975849;3.2459031433;3.1170975849;3.4004701205;3.2198843775
2000-01-20;46.0;224000.0;1680601.2;3.1165822766;3.1428586965;3.0398139427;3.1428586965;3.0924183748
2000-01-21;35.0;124800.0;937402.2;3.0913364732;3.1170975849;3.0861840052;3.1170975849;3.0959733259
2000-01-24;24.0;102400.0;784263.0;3.1686198082;3.1170975849;3.1170975849;3.1737719691;3.156821154
2000-01-26;31.0;105600.0;811050.0;3.1686198082;3.1686198082;3.1531630184;3.1737719691;3.1656830427
2000-01-27;23.0;62400.0;474390.1;3.1274019067;3.1686198082;3.1170975849;3.1686198082;3.1335330918
2000-01-28;38.0;80000.0;619569.9;3.189228759;3.1428586965;3.1428586965;3.2201420316;3.1921655245
2000-01-31;23.0;74400.0;567636.0;3.1428586965;3.1428586965;3.1170975849;3.1686198082;3.1447135605
2000-02-01;29.0;96800.0;740305.2;3.1531630184;3.1686198082;3.1428586965;3.1686198082;3.1522355864
2000-02-02;29.0;107200.0;835200.8;3.1943809199;3.1531630184;3.1531630184;3.2252941925;3.2112801428
2000-02-03;54.0;200000.0;1565221.3;3.2510553042;3.2201420316;3.1686198082;3.271664255;3.2257579085
2000-02-04;87.0;390400.0;3268558.4;3.4313833931;3.271664255;3.271664255;3.5550367906;3.4509104423
2000-02-07;29.0;89600.0;768529.8;3.5550367906;3.4262825173;3.4262825173;3.5807979023;3.535406864
2000-02-08;87.0;597600.0;5206826.4;3.6881922381;3.6195009195;3.6195009195;3.7146119275;3.6830667818
2000-02-09;33.0;88000.0;766021.0;3.6776241733;3.6987599879;3.6512044839;3.6987599879;3.6796322789
2000-02-10;47.0;139200.0;1204922.6;3.7780190563;3.6987599879;3.5402418512;3.7780190563;3.6590249463
2000-02-11;23.0;72800.0;641280.0;3.6776241733;3.7780190563;3.6776241733;3.7780190563;3.7235945464
2000-02-14;16.0;24000.0;205460.0;3.645920609;3.6723402984;3.5666615406;3.6723402984;3.6188140189
2000-02-15;35.0;76000.0;638517.8;3.5930283189;3.5930812301;3.5137692505;3.5930812301;3.5514435904
2000-02-16;48.0;62400.0;524995.8;3.6195009195;3.5138221617;3.5138221617;3.6195009195;3.5564635392
2000-02-17;32.0;124000.0;1041181.6;3.54018894;3.6195009195;3.5138221617;3.6195009195;3.5493828886
2000-02-18;10.0;17600.0;141500.1;3.3817233995;3.4345627784;3.3817233995;3.4345627784;3.3985264807
2000-02-21;26.0;131200.0;1047877.7;3.3711556497;3.3817233995;3.3553037101;3.3817233995;3.3761752836
2000-02-22;37.0;78400.0;616085.9;3.3076952949;3.3817233995;3.2549088271;3.3817233995;3.3218036849
2000-02-23;37.0;167200.0;1307754.9;3.1703658839;3.3288840206;3.1703658839;3.3288840206;3.3062688974
2000-02-24;51.0;147200.0;1122772.6;3.1703658839;3.2496249522;3.1703658839;3.2496249522;3.2242619118
2000-02-25;26.0;63200.0;483620.1;3.1967855733;3.1703658839;3.1703658839;3.2496249522;3.2347241542
2000-02-28;19.0;29600.0;221799.9;3.1967855733;3.1703658839;3.11752619;3.1967855733;3.1675124592
2000-02-29;29.0;78400.0;595485.0;3.212637198;3.212637198;3.1967855733;3.212637198;3.2107352298
2000-03-01;24.0;58400.0;439306.0;3.1439461944;3.2179213879;3.1439461944;3.2179213879;3.1798240735
2000-03-02;29.0;55200.0;403329.6;3.0118474322;3.1439461944;3.011794521;3.1545139442;3.0886760504
2000-03-03;25.0;60800.0;436040.2;3.0303411518;3.0118474322;3.0118474322;3.0382671217;3.0316094456
2000-03-08;9.0;32800.0;244357.5;3.1016745653;3.1703658839;3.1016745653;3.1703658839;3.1491771581
2000-03-09;25.0;95200.0;686970.1;2.9590080533;3.1016745653;2.9590080533;3.1016745653;3.0503674062
2000-03-10;16.0;54400.0;384110.0;2.9590080533;2.9590080533;2.9590080533;3.0118474322;2.9847408422
2000-03-13;40.0;95200.0;645501.1;2.8163415413;3.0118474322;2.8004896016;3.0118474322;2.866221988
2000-03-14;47.0;123200.0;802373.1;2.6419714649;2.8533292955;2.6155517755;2.8533292955;2.75303992
2000-03-15;55.0;182400.0;1165330.0;2.7053789086;2.6419714649;2.5891848397;2.7212305333;2.7006761119
2000-03-16;38.0;241600.0;1560820.3;2.7212305333;2.7054315048;2.6948108438;2.7740699122;2.7309003676
2000-03-17;41.0;197600.0;1273395.4;2.7370824729;2.7265144082;2.7212305333;2.7370824729;2.724083958
2000-03-20;21.0;139200.0;899875.0;2.6948108438;2.7370824729;2.6948108438;2.7370824729;2.7326968284
2000-03-21;51.0;156800.0;1007359.1;2.7106098723;2.6948108438;2.6948108438;2.7476502227;2.7157353286
2000-03-22;46.0;187200.0;1202542.9;2.6948108438;2.7212305333;2.6948108438;2.7212305333;2.7154710876
2000-03-23;19.0;109600.0;723224.5;2.8691809202;2.7265673194;2.7265673194;2.8797489849;2.7893933699
2000-03-24;92.0;503200.0;3591770.1;3.1228103799;2.9061686744;2.9061686744;3.1703658839;3.0172900407
2000-03-27;103.0;475200.0;3778099.2;3.3817233995;3.1703658839;3.1703658839;3.4345627784;3.3607989148
2000-03-28;69.0;456800.0;3662736.4;3.3288840206;3.3817233995;3.2760446417;3.4345627784;3.3893851283
2000-03-29;26.0;74400.0;587170.9;3.3024643311;3.3817233995;3.2866123915;3.3822518815;3.3360701787
2000-03-30;33.0;140800.0;1063880.4;3.1703658839;3.2866123915;3.1703658839;3.3024643311;3.1939850598
2000-03-31;25.0;66400.0;504650.0;3.1756497588;3.2760446417;3.1228103799;3.3553037101;3.2126901092
2000-04-03;42.0;150400.0;1122010.7;3.2760446417;3.11752619;3.11752619;3.2760446417;3.1535098915
2000-04-04;49.0;147200.0;1109486.1;3.2231523516;3.2760446417;3.11752619;3.2760446417;3.1861120012
2000-04-05;31.0;80800.0;603500.5;3.11752619;3.1703658839;3.11752619;3.2232052628;3.1573144578
2000-04-06;37.0;77600.0;570415.2;3.1148314989;3.11752619;3.0910539043;3.118054672;3.1072755924
2000-04-07;28.0;89600.0;661182.5;3.0911065006;3.1703658839;3.0649510521;3.1703658839;3.1193229657
2000-04-10;7.0;28000.0;204595.0;3.0435509966;3.11752619;3.0435509966;3.11752619;3.0887815578
2000-04-11;45.0;196000.0;1385915.4;2.9854277428;2.9590080533;2.9590080533;3.0171842183;2.9890209793
2000-04-12;34.0;58400.0;411156.0;2.9854277428;2.9854277428;2.9061686744;3.0118474322;2.9760750606
2000-04-13;32.0;57600.0;397800.00687;2.8638970453;2.9854277428;2.8586131704;2.9854277428;2.9193785191
2000-04-14;66.0;153600.0;1013220.1;2.7476502227;2.8533292955;2.7476502227;2.8533292955;2.7884422283
2000-04-17;36.0;116000.0;734230.6;2.6789592191;2.6419714649;2.6419714649;2.7740699122;2.6756302236
2000-04-18;77.0;235200.0;1496887.5;2.7212305333;2.7053259974;2.6683911544;2.7212305333;2.6903196919
2000-04-19;27.0;40800.0;271569.6;2.7740699122;2.8003840942;2.7740699122;2.8533292955;2.8136468501
2000-04-20;23.0;84000.0;579358.6;2.916155346;2.9061686744;2.9061686744;2.9325883639;2.9155210416
2000-04-24;6.0;7200.0;49650.0;2.9114525493;2.9167364242;2.9114525493;2.9167364242;2.9149928746
2000-04-25;35.0;108000.0;758291.4;2.9114525493;2.9405143337;2.9114525493;3.0118474322;2.9679906721
2000-04-26;26.0;119200.0;816805.2;2.8480451056;2.9167364242;2.8004896016;2.9167893354;2.8966046624
2000-04-27;39.0;146400.0;997525.4;2.9642919282;2.7740699122;2.7740699122;3.0594029362;2.880277152
2000-04-28;55.0;149600.0;1112618.3;3.2178684767;3.0646868111;3.0646342149;3.2232052628;3.1438403721
2000-05-02;37.0;123200.0;949779.9;3.1967855733;3.2179213879;3.1967855733;3.2760446417;3.2588189009
2000-05-03;32.0;88000.0;662138.6;3.2496249522;3.1967855733;3.1333781297;3.2496249522;3.1806164815
2000-05-04;43.0;137600.0;1053790.0;3.2496249522;3.1915013835;3.1915013835;3.2496249522;3.2373133379
2000-05-05;42.0;92000.0;710125.1;3.3024643311;3.2496249522;3.2390568875;3.3711556497;3.262834797
2000-05-08;33.0;96800.0;747401.3;3.2760446417;3.2496249522;3.2496249522;3.2760446417;3.2638388497
2000-05-09;29.0;109600.0;823445.6;3.2608275507;3.3097399802;3.2064801549;3.3695216944;3.2665880708
2000-05-10;45.0;220800.0;1621070.0;3.2880010866;3.2064801549;3.1303941895;3.2880010866;3.1920239478
2000-05-11;21.0;36000.0;276520.1;3.3151746226;3.3151746226;3.3151746226;3.3966952304;3.3395762544
2000-05-12;13.0;24800.0;186180.0;3.2064801549;3.364087052;3.2064801549;3.3695216944;3.2639794295
2000-05-15;4.0;3200.0;24599.9;3.3422937376;3.3423481585;3.3422937376;3.3423481585;3.3423481585
2000-05-16;19.0;48800.0;377909.8;3.3693587556;3.3858259456;3.3423481585;3.3858259456;3.3669130531
2000-05-17;20.0;34400.0;264207.6;3.3695216944;3.2880010866;3.2880010866;3.3695216944;3.3393047976
2000-05-18;16.0;25600.0;196086.2;3.3423481585;3.3423481585;3.3179462027;3.3423481585;3.330228812
2000-05-19;7.0;16800.0;128570.0;3.3097399802;3.3314785498;3.3097399802;3.3314785498;3.32734839
2000-05-22;45.0;120800.0;858182.0;3.0434389394;3.2608275507;3.0434389394;3.2608275507;3.0887100256
2000-05-23;74.0;507200.0;3553762.7;2.9619183316;3.0977860112;2.9347447956;3.0983295726;3.0463193614
