Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2024-12-05;96.0;78000.0;238645.0;2.9728347042;2.9728347042;2.8853983894;3.060271019;2.9631195581
2024-12-06;166.0;122000.0;379731.0;2.9728347042;3.0894164573;2.9728347042;3.1282770417;3.0214104346
2024-12-09;312.0;466900.0;1414567.0;2.9242589737;2.9728347042;2.9145438276;3.0116952886;2.9339741198
2024-12-10;541.0;205900.0;619547.0;2.9825498503;2.9242589737;2.8951135355;2.9825498503;2.9145438276
2024-12-11;308.0;239100.0;718864.0;2.9145438276;2.9145438276;2.8951135355;3.0019801425;2.9145438276
2024-12-12;258.0;213400.0;635931.0;2.9242589737;2.9048286815;2.8756832433;2.9242589737;2.8853983894
2024-12-13;202.0;104200.0;309807.0;2.8659680972;2.9728347042;2.8659680972;2.9728347042;2.8853983894
2024-12-16;404.0;427500.0;1239118.0;2.7979620745;2.8659680972;2.7785317823;2.8951135355;2.8076772206
2024-12-17;321.0;172800.0;500653.0;2.8562529511;2.7785317823;2.7591014902;2.8562529511;2.8076772206
2024-12-18;662.0;326900.0;924216.0;2.6813803214;2.8173923667;2.6813803214;2.846537805;2.739671198
2024-12-19;678.0;502200.0;1396081.0;2.6813803214;2.6910954675;2.6230894449;2.8951135355;2.6910954675
2024-12-20;273.0;122400.0;345086.0;2.7493863441;2.6522348831;2.6522348831;2.7785317823;2.7299560519
2024-12-23;488.0;261000.0;718349.0;2.632804591;2.7493863441;2.632804591;2.7493863441;2.6716651753
2024-12-26;714.0;509600.0;1343587.0;2.4967925457;2.6716651753;2.4967925457;2.6716651753;2.5550834222
2024-12-27;378.0;279100.0;709284.0;2.428786523;2.5647985683;2.428786523;2.5745137144;2.4676471074
2024-12-30;140.0;125600.0;324637.0;2.5065076918;2.4385016691;2.4385016691;2.5745137144;2.5065076918
2025-01-02;157.0;127100.0;323279.0;2.4190713769;2.5065076918;2.4190713769;2.5647985683;2.4676471074
2025-01-03;365.0;305400.0;763395.0;2.3802107926;2.428786523;2.3802107926;2.4870773996;2.4190713769
2025-01-06;194.0;82900.0;205549.0;2.3802107926;2.4190713769;2.3802107926;2.4482168152;2.3996410848
2025-01-07;717.0;381800.0;956067.0;2.5393870666;2.4109355807;2.4109355807;2.5492679501;2.4702208819
2025-01-08;1091.0;297800.0;738455.0;2.3911738137;2.4702208819;2.3516502796;2.5690297172;2.4405782313
2025-01-09;561.0;192200.0;467650.0;2.3911738137;2.3812929301;2.3812929301;2.4405782313;2.4010546972
2025-01-10;766.0;398400.0;962800.0;2.4405782313;2.3911738137;2.3516502796;2.4405782313;2.3812929301
2025-01-13;635.0;121700.0;299296.0;2.4010546972;2.4405782313;2.3714120466;2.4801017654;2.4208164642
2025-01-14;634.0;77200.0;190288.0;2.4504591148;2.3812929301;2.3714120466;2.4702208819;2.4306973478
2025-01-15;637.0;149400.0;377560.0;2.5196252995;2.4208164642;2.4208164642;2.5295061831;2.4899826489
2025-01-16;599.0;126300.0;318615.0;2.4998635325;2.4998635325;2.4801017654;2.5393870666;2.4899826489
2025-01-17;621.0;178300.0;462040.0;2.5393870666;2.4899826489;2.4801017654;2.6184341348;2.5591488336
2025-01-20;655.0;147400.0;381955.0;2.5690297172;2.5690297172;2.4998635325;2.5887914842;2.5591488336
2025-01-21;632.0;96500.0;252545.0;2.5690297172;2.5690297172;2.5295061831;2.6480767854;2.5789106007
2025-01-22;918.0;202300.0;522679.0;2.4702208819;2.5690297172;2.4702208819;2.6283150183;2.5492679501
2025-01-23;952.0;153600.0;393883.0;2.5196252995;2.5295061831;2.4702208819;2.5690297172;2.5295061831
2025-01-24;628.0;204000.0;527676.0;2.5492679501;2.4899826489;2.4899826489;2.5690297172;2.5492679501
2025-01-27;1217.0;258600.0;668469.0;2.5196252995;2.509744416;2.509744416;2.6085532513;2.5492679501
2025-01-28;728.0;129400.0;331707.0;2.4702208819;2.5196252995;2.4702208819;2.5887914842;2.5295061831
2025-01-29;1307.0;206100.0;521022.0;2.5690297172;2.4702208819;2.4702208819;2.5690297172;2.4899826489
2025-01-30;716.0;281300.0;735831.0;2.5690297172;2.5393870666;2.5295061831;2.6184341348;2.5789106007
2025-01-31;646.0;139200.0;374642.0;2.6876003195;2.5690297172;2.5690297172;2.7172429701;2.6579576689
2025-02-03;777.0;136600.0;376482.0;2.7073620865;2.6283150183;2.6283150183;2.7962900383;2.7172429701
2025-02-04;634.0;142700.0;392759.0;2.677719436;2.677719436;2.677719436;2.7864091548;2.7172429701
2025-02-05;551.0;90900.0;248820.0;2.677719436;2.6876003195;2.677719436;2.7370047371;2.697481203
