Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2003-12-22;1.0;50.0;7000.0;39.978579882;39.978579882;39.978579882;39.978579882;39.978579882
2004-04-27;3.0;750.0;27750.0;10.56576754;10.56576754;10.56576754;10.56576754;10.56576754
2004-05-11;1.0;50.0;2200.0;12.564696534;12.564696534;12.564696534;12.564696534;12.564696534
2004-05-31;4.0;4200.0;67200.0;4.568980558;4.568980558;4.568980558;4.568980558;4.568980558
2004-06-14;1.0;50.0;800.0;4.568980558;4.568980558;4.568980558;4.568980558;4.568980558
2004-06-29;1.0;50.0;800.0;4.568980558;4.568980558;4.568980558;4.568980558;4.568980558
2004-09-02;2.0;550.0;14298.9;7.4240222842;7.4240222842;7.4240222842;7.4240222842;7.4240222842
2004-09-22;1.0;50.0;1300.0;7.4245934067;7.4245934067;7.4245934067;7.4245934067;7.4245934067
2004-10-15;2.0;250.0;6450.0;7.3674811497;7.3674811497;7.3674811497;7.3674811497;7.3674811497
2004-12-22;3.0;150.0;3470.1;6.5684806747;6.6250218091;6.5684806747;6.6250218091;6.6061747643
2004-12-23;1.0;50.0;1002.0;5.7226481489;5.7226481489;5.7226481489;5.7226481489;5.7226481489
2004-12-27;1.0;50.0;1000.1;5.7117968201;5.7117968201;5.7117968201;5.7117968201;5.7117968201
2005-03-09;1.0;50.0;900.0;5.1401031277;5.1401031277;5.1401031277;5.1401031277;5.1401031277
2005-03-18;1.0;50.0;1000.0;5.7112256975;5.7112256975;5.7112256975;5.7112256975;5.7112256975
2005-05-16;1.0;50.0;800.0;4.568980558;4.568980558;4.568980558;4.568980558;4.568980558
2005-05-23;1.0;50.0;799.8;4.5678383128;4.5678383128;4.5678383128;4.5678383128;4.5678383128
2008-11-13;2.0;1000.0;20002.0;6.3865442425;6.3865442425;6.3865442425;6.3865442425;6.3865442425
2010-03-01;1.0;500.0;15000.0;9.5788584779;9.5788584779;9.5788584779;9.5788584779;9.5788584779
2010-03-08;1.0;500.0;15000.0;9.5788584779;9.5788584779;9.5788584779;9.5788584779;9.5788584779
2011-09-16;1.0;500.0;9500.0;8.3921930308;8.3921930308;8.3921930308;8.3921930308;8.3921930308
2011-10-13;1.0;500.0;12501.0;11.043242639;11.043242639;11.043242639;11.043242639;11.043242639
2011-10-20;1.0;500.0;12601.0;11.131581513;11.131581513;11.131581513;11.131581513;11.131581513
2018-10-26;3.0;18000.0;353448.0;11.13104552;11.13104552;11.13104552;11.13104552;11.13104552
2018-11-05;3.0;18000.0;353448.0;11.13104552;11.13104552;11.13104552;11.13104552;11.13104552
2022-06-13;25.0;9800.0;98098.0;9.4058458335;9.4058458335;9.4058458335;9.4058458335;9.4058458335
2022-06-14;1.0;100.0;1000.0;9.3964493841;9.3964493841;9.3964493841;9.3964493841;9.3964493841
2022-06-21;5.0;1000.0;10000.0;9.3964493841;9.3964493841;9.3964493841;9.3964493841;9.3964493841
2022-06-22;64.0;18900.0;98687.0;5.2714081045;4.6982246921;4.6982246921;5.7600234725;4.9237394773
2022-06-23;12.0;1400.0;7315.0;4.8391714328;5.2056329588;4.8015856353;5.2150294082;4.9049465785
2022-06-24;3.0;300.0;1534.0;4.8485678822;4.7827927365;4.7827927365;4.8485678822;4.8015856353
2022-06-27;17.0;10000.0;63812.0;6.1076920997;4.7546033884;4.6982246921;6.1076920997;5.9949347071
2022-06-28;6.0;900.0;6124.0;6.1076920997;6.1076920997;6.1076920997;6.652686164;6.3895855812
2022-06-30;13.0;1600.0;9402.0;5.6378696305;5.8257986182;5.0834791168;5.8257986182;5.5157157885
2022-07-01;6.0;600.0;3876.0;5.6566625292;6.4365678281;5.6566625292;6.4365678281;6.0701063021
2022-07-04;2.0;200.0;1200.0;5.6378696305;5.6378696305;5.6378696305;5.6378696305;5.6378696305
2022-07-05;4.0;400.0;2622.0;6.1264849985;6.1076920997;6.1076920997;6.2016565935;6.1546743466
2022-07-06;1.0;100.0;650.0;6.1076920997;6.1076920997;6.1076920997;6.1076920997;6.1076920997
2022-07-07;1.0;100.0;650.0;6.1076920997;6.1076920997;6.1076920997;6.1076920997;6.1076920997
2022-07-08;3.0;300.0;1937.0;6.0982956503;6.0888992009;6.0137276058;6.0982956503;6.0607098528
2022-07-13;6.0;600.0;4188.0;6.5775145689;6.483550075;6.483550075;6.5775145689;6.5587216701
2022-07-14;2.0;200.0;1443.0;6.7466506578;6.8124258035;6.7466506578;6.8124258035;6.7654435566
2022-07-15;1.0;100.0;750.0;7.0473370381;7.0473370381;7.0473370381;7.0473370381;7.0473370381
2022-07-18;2.0;200.0;1520.0;7.2352660258;7.0473370381;7.0473370381;7.2352660258;7.1413015319
2022-07-19;1.0;100.0;780.0;7.3292305196;7.3292305196;7.3292305196;7.3292305196;7.3292305196
2022-07-20;5.0;600.0;5300.0;8.4568044457;7.5171595073;7.5171595073;8.4568044457;8.2970648062
2022-07-22;2.0;200.0;1790.0;8.4568044457;8.3628399519;8.3628399519;8.4568044457;8.4098221988
2022-07-26;2.0;200.0;1800.0;8.4568044457;8.4568044457;8.4568044457;8.4568044457;8.4568044457
2022-07-27;2.0;200.0;1949.0;9.3870529347;8.9266269149;8.9266269149;9.3870529347;9.1521417001
2022-07-29;2.0;200.0;1889.0;8.8232659717;8.9266269149;8.8232659717;8.9266269149;8.8702482186
2022-08-01;4.0;400.0;3657.0;7.9212068308;8.8138695223;7.9212068308;8.8138695223;8.5883547371
2022-08-02;2.0;200.0;1686.0;7.9212068308;7.9212068308;7.9212068308;7.9212068308;7.9212068308
2022-08-03;1.0;100.0;770.0;7.2352660258;7.2352660258;7.2352660258;7.2352660258;7.2352660258
2022-08-04;14.0;2900.0;20826.0;7.1413015319;7.0473370381;6.5775145689;7.1413015319;6.7466506578
2022-08-05;2.0;300.0;2280.0;7.1413015319;7.1413015319;7.1413015319;7.1413015319;7.1413015319
2022-08-08;4.0;500.0;4639.0;8.9266269149;8.4568044457;8.3534435025;8.9266269149;8.7105085791
2022-08-09;13.0;3500.0;27540.0;7.705088495;7.2352660258;7.1506979813;7.7990529888;7.3856092159
2022-08-10;3.0;600.0;5150.0;7.9869819765;7.9869819765;7.9869819765;8.4568044457;8.0621535716
2022-08-12;3.0;1000.0;8217.0;7.705088495;7.7332778431;7.705088495;7.7332778431;7.7144849444
2022-08-15;1.0;100.0;850.0;7.9869819765;7.9869819765;7.9869819765;7.9869819765;7.9869819765
2022-08-17;2.0;200.0;1700.0;7.9869819765;7.9869819765;7.9869819765;7.9869819765;7.9869819765
2022-08-18;4.0;800.0;6341.0;7.2352660258;7.5171595073;7.2352660258;7.5171595073;7.4419879122
2022-08-19;5.0;500.0;4038.0;7.6017275518;7.5077630579;7.5077630579;7.705088495;7.582934653
2022-08-22;3.0;500.0;3718.0;6.8124258035;7.0473370381;6.8124258035;7.1319050826;6.9815618924
2022-08-23;10.0;2000.0;14587.0;6.5775145689;6.7654435566;6.5775145689;7.0473370381;6.850011601
2022-08-24;9.0;900.0;6948.0;7.5077630579;7.0473370381;7.0473370381;7.5171595073;7.2540589245
2022-08-26;4.0;400.0;3166.0;7.5077630579;7.4137985641;7.4137985641;7.5077630579;7.4325914628
2022-08-29;1.0;100.0;755.0;7.094319285;7.094319285;7.094319285;7.094319285;7.094319285
2022-08-30;3.0;400.0;3005.0;7.0473370381;7.094319285;7.0473370381;7.094319285;7.0567334875
2022-08-31;1.0;100.0;750.0;7.0473370381;7.0473370381;7.0473370381;7.0473370381;7.0473370381
2022-09-05;4.0;2000.0;16737.0;8.0809464704;7.6768991468;7.6768991468;8.0809464704;7.8554316851
2022-09-06;10.0;2700.0;23694.0;8.4568044457;7.9869819765;7.9869819765;8.4568044457;8.2406861099
2022-09-08;17.0;3000.0;29670.0;10.138768885;8.9266269149;8.9266269149;10.138768885;9.2930884409
2022-09-09;3.0;300.0;3247.0;9.8662718533;10.317301423;9.8662718533;10.326697873;10.166958233
2022-09-21;1.0;200.0;1996.0;9.3776564854;9.3776564854;9.3776564854;9.3776564854;9.3776564854
2022-09-26;16.0;3400.0;27232.0;7.6205204505;7.5171595073;7.4231950135;7.6205204505;7.5171595073
