Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2019-12-23;50.0;27900.0;178723.0;5.041018894;4.9634647572;4.8859106203;5.041018894;4.9634647572
2019-12-26;102.0;43900.0;286434.0;5.1418392719;4.8083564835;4.8083564835;5.1418392719;5.0565297214
2019-12-27;82.0;17900.0;119883.0;5.2659258908;5.1185730308;5.0797959624;5.2736813045;5.188371754
2019-12-30;98.0;21900.0;149336.0;5.3124583729;5.2581704771;5.2193934087;5.3202137866;5.2814367182
2020-01-02;113.0;28900.0;197631.0;5.3667462687;5.3667462687;5.2349042361;5.3667462687;5.2969475455
2020-01-03;194.0;227600.0;1528878.0;5.4287895781;5.3047029592;5.0022418256;5.4287895781;5.2038825813
2020-01-06;227.0;49000.0;335567.0;5.2349042361;5.2891921319;5.1961271676;5.4443004055;5.3047029592
2020-01-07;67.0;187300.0;1278416.0;5.2659258908;5.4287895781;5.0953067898;5.4287895781;5.2891921319
2020-01-08;40.0;64800.0;430909.0;5.358990855;5.2736813045;5.0797959624;5.358990855;5.1495946856
2020-01-09;164.0;203500.0;1341141.0;5.3047029592;5.358990855;4.8859106203;5.358990855;5.1108176171
2020-01-10;123.0;225900.0;1499343.0;5.3357246139;5.3434800276;5.0022418256;5.3434800276;5.1418392719
2020-01-13;156.0;190600.0;1242566.0;5.041018894;5.2736813045;5.041018894;5.2814367182;5.0487743077
2020-01-14;248.0;559700.0;3702936.0;5.4365449918;5.0720405487;4.9634647572;5.4365449918;5.1263284445
2020-01-15;230.0;296700.0;2113640.0;5.7390061255;5.4287895781;5.3512354413;5.7777831939;5.5218545423
2020-01-16;154.0;84900.0;655788.0;6.1810647054;5.7079844707;5.7079844707;6.2043309464;5.9871793633
2020-01-17;251.0;111600.0;926885.0;6.5223029075;6.2043309464;6.2043309464;6.5223029075;6.4369933569
2020-01-20;265.0;88800.0;756439.0;6.7084328358;6.5921016306;6.4447487706;6.7859869727;6.5998570443
2020-01-21;135.0;31000.0;270271.0;6.8247640411;6.7084328358;6.6696557674;6.8247640411;6.754965318
2020-01-22;66.0;27000.0;235635.0;6.8170086274;6.9410952463;6.5145474938;6.9410952463;6.7627207316
2020-01-23;156.0;36800.0;323679.0;6.9023181779;6.4757704254;6.4757704254;6.9023181779;6.8170086274
2020-01-24;62.0;30600.0;267186.0;6.7394544906;6.9333398327;6.7161882495;6.9333398327;6.7704761453
2020-01-27;131.0;55600.0;461674.0;6.3594392201;6.607612458;6.289640497;6.8635411095;6.4369933569
2020-01-28;171.0;65500.0;522023.0;6.0492226728;6.289640497;6.0492226728;6.5067920801;6.1733092917
2020-01-29;261.0;87700.0;662377.0;6.165553878;6.0879997412;5.5838978518;6.1888201191;5.8553373307
2020-01-30;253.0;173000.0;1310147.0;5.7777831939;5.8165602623;5.7467615392;6.1267768096;5.8708481581
2020-01-31;60.0;30500.0;229847.0;5.8165602623;5.9406468812;5.6692074023;6.0104456044;5.8398265033
2020-02-03;87.0;34800.0;259268.0;5.7390061255;5.7777831939;5.7390061255;6.0414672591;5.7777831939
