Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2017-09-27;0.0;0.0;0.0;6.4912229147;6.4912229147;6.4912229147;6.4912229147;6.4912229147
2017-09-28;12508.0;20084500.0;179141094.0;6.4840104448;6.4912229147;6.2459989379;6.4912229147;6.4263106856
2017-09-29;6738.0;4560500.0;40931634.0;6.4912229147;6.4551605652;6.4118857457;6.5561351438;6.469585505
2017-10-02;1808.0;1836900.0;16507262.0;6.4912229147;6.5489226739;6.4551605652;6.5489226739;6.4767979749
2017-10-03;2897.0;5428400.0;48688194.0;6.4623730351;6.5272852642;6.4407356254;6.5272852642;6.4623730351
2017-10-04;3388.0;6089500.0;52868205.0;6.2459989379;6.3109111671;6.1378118893;6.3325485768;6.2604238777
2017-10-05;1276.0;1150300.0;9979134.0;6.2748488175;6.2676363476;6.1738742389;6.3469735166;6.2532114078
2017-10-06;312.0;1573400.0;13683655.0;6.3036986972;6.2315739981;6.2027241185;6.3036986972;6.2676363476
2017-10-09;1500.0;1211700.0;10390601.0;6.166661769;6.3036986972;6.166661769;6.3036986972;6.1810867088
2017-10-10;2136.0;2256200.0;19236919.0;6.2027241185;6.2604238777;6.0945370699;6.2964862273;6.1450243593
2017-10-11;2386.0;1121000.0;9584824.0;6.166661769;6.2604238777;6.1089620097;6.2604238777;6.166661769
2017-10-13;2004.0;724400.0;6204376.0;6.2027241185;6.2027241185;6.1305994194;6.2243615282;6.1738742389
2017-10-16;2991.0;2004000.0;16882614.0;6.0945370699;6.1594492991;6.0296248408;6.3036986972;6.0728996602
2017-10-17;4594.0;7358500.0;59584256.0;6.0224123709;6.1089620097;5.7699759242;6.1161744796;5.8348881533
2017-10-18;3318.0;1768000.0;14562422.0;5.9502876718;6.0368373107;5.863738033;6.0873246;5.935862732
2017-10-19;1924.0;958600.0;7906477.0;6.015199901;5.8781629728;5.8421006232;6.015199901;5.9430752019
2017-10-20;3628.0;3731800.0;31609085.0;6.238786468;6.015199901;5.9575001417;6.2459989379;6.1089620097
2017-10-23;1522.0;1063500.0;9137063.0;6.2027241185;6.2748488175;6.1305994194;6.2748488175;6.1955116486
2017-10-24;1561.0;1889000.0;16240086.0;6.2171490583;6.166661769;6.1522368292;6.2676363476;6.1955116486
2017-10-25;1782.0;1226800.0;10526647.0;6.2027241185;6.2171490583;6.1450243593;6.2315739981;6.1882991787
2017-10-26;818.0;1531100.0;13042426.0;6.1305994194;6.1882991787;6.1017495398;6.2027241185;6.1378118893
2017-10-27;1026.0;2095200.0;17522709.0;6.0584747204;6.1017495398;5.9502876718;6.1233869495;6.0296248408
2017-10-30;1067.0;3144400.0;25742706.0;5.8853754427;6.0584747204;5.8853754427;6.0584747204;5.8998003825
2017-10-31;3862.0;1907300.0;15349282.0;5.8132507436;5.9142253223;5.7122761649;5.9142253223;5.7988258038
2017-11-01;1960.0;790100.0;6370491.0;5.9430752019;5.8132507436;5.705063695;5.9430752019;5.8132507436
2017-11-03;2356.0;1312800.0;10504386.0;5.7699759242;5.856525563;5.7339135747;5.9430752019;5.7699759242
2017-11-06;2239.0;1844000.0;14988689.0;5.8132507436;5.863738033;5.7771883941;5.9502876718;5.856525563
2017-11-07;3644.0;7753300.0;62248563.0;5.7699759242;5.8853754427;5.7411260446;5.9647126116;5.784400864
2017-11-08;5770.0;4595900.0;37079390.0;5.7988258038;5.8060382737;5.7555509844;5.8781629728;5.8132507436
2017-11-09;1818.0;744900.0;6023570.0;5.8060382737;5.8204632135;5.7916133339;5.8709505029;5.8276756834
