Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2020-11-04;0.0;0.0;0.0;7.0381080853;7.0381080853;7.0381080853;7.0381080853;7.0381080853
2020-11-05;11400.0;5877120.0;93495878.0;6.5806310597;6.7988124104;6.5313643031;6.9606888963;6.7143551133
2020-11-06;3668.0;768300.0;12012755.0;6.7917743023;6.5384024112;6.3131829525;6.7917743023;6.601745384
2020-11-09;2462.0;503040.0;7974890.0;6.6791645729;6.8199267346;6.5806310597;6.9818032206;6.6932407891
2020-11-10;572.0;264300.0;4216685.0;6.8973459236;6.7495456538;6.5735929516;6.8973459236;6.7354694376
2020-11-11;595.0;245460.0;4008051.0;6.932536464;6.932536464;6.7776980861;7.0029175448;6.8903078155
2020-11-12;1399.0;512280.0;8235562.0;6.7213932214;7.0381080853;6.6298978163;7.0803367338;6.7847361942
2020-11-13;1362.0;509220.0;8160658.0;6.8621553831;6.6932407891;6.5735929516;7.0240318691;6.7636218699
2020-11-16;1594.0;303120.0;5049164.0;7.0381080853;7.0381080853;6.8621553831;7.2492513278;7.0310699772
2020-11-17;400.0;77040.0;1287258.0;7.0310699772;7.0310699772;7.0099556529;7.1084891661;7.0521843014
2020-11-18;265.0;116700.0;1939538.0;6.8973459236;7.0944129499;6.8973459236;7.1084891661;7.016993761
2020-11-19;629.0;147360.0;2440102.0;7.1084891661;6.8410410589;6.7917743023;7.1084891661;6.9888413287
2020-11-20;798.0;149400.0;2508858.0;7.0240318691;7.1084891661;6.9677270044;7.1084891661;7.0873748419
2020-11-23;497.0;195300.0;3280674.0;7.0732986257;7.0310699772;7.0310699772;7.101451058;7.0873748419
2020-11-24;394.0;198360.0;3324268.0;7.0732986257;7.0732986257;6.9888413287;7.1084891661;7.0732986257
2020-11-25;222.0;42900.0;717158.0;7.0732986257;7.0592224095;6.9818032206;7.1084891661;7.0592224095
