Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2006-06-14;2.0;6000.0;1620.0;0.12769726639;0.12769726639;0.12769726639;0.12769726639;0.12769726639
2007-01-17;1.0;200.0;200.0;0.47295283847;0.47295283847;0.47295283847;0.47295283847;0.47295283847
2007-01-18;16.0;6800.0;6885.0;0.50605953716;0.47295283847;0.47295283847;0.50605953716;0.47768236685
2007-01-19;3.0;700.0;852.0;0.61483869001;0.47768236685;0.47768236685;0.61483869001;0.57700246293
2007-01-22;1.0;800.0;1080.0;0.63848633193;0.63848633193;0.63848633193;0.63848633193;0.63848633193
2007-01-24;2.0;1000.0;1350.0;0.63848633193;0.63848633193;0.63848633193;0.63848633193;0.63848633193
2007-01-29;4.0;700.0;809.0;0.70469972932;0.52024812232;0.52024812232;0.70469972932;0.54862529262
2007-01-30;4.0;500.0;850.0;0.82766746732;0.75672454155;0.75672454155;0.85131510924;0.8040198254
2007-01-31;2.0;800.0;1662.0;1.0925210569;0.94590567694;0.94590567694;1.0925210569;0.98374190402
2007-02-01;5.0;500.0;1560.0;1.8918113539;1.2769726639;1.2769726639;1.8918113539;1.475612856
2007-02-02;8.0;1100.0;8148.0;4.4930519655;2.8329875024;2.8329875024;4.4930519655;3.5045805331
2007-02-05;6.0;600.0;8000.0;6.1483869001;5.2024812232;5.2024812232;6.6213397386;6.3044613368
2007-02-06;2.0;200.0;2699.0;6.1483869001;6.6166102102;6.1483869001;6.6166102102;6.3848633193
2007-02-08;2.0;200.0;1002.0;2.3694937207;2.3694937207;2.3694937207;2.3694937207;2.3694937207
2007-02-13;3.0;300.0;1152.0;1.8918113539;1.6647939914;1.6647939914;1.8918113539;1.8161388997
2007-02-14;1.0;100.0;360.0;1.7026302185;1.7026302185;1.7026302185;1.7026302185;1.7026302185
2007-02-15;5.0;1300.0;4550.0;1.6553349346;1.6553349346;1.6553349346;1.6553349346;1.6553349346
2007-02-16;1.0;100.0;330.0;1.5607443669;1.5607443669;1.5607443669;1.5607443669;1.5607443669
2007-02-21;1.0;100.0;330.0;1.5607443669;1.5607443669;1.5607443669;1.5607443669;1.5607443669
2007-02-26;9.0;2100.0;9753.0;2.6012406116;1.9864019216;1.9864019216;2.6012406116;2.1945011705
2007-02-27;6.0;700.0;3730.0;3.2633745854;1.9864019216;1.9864019216;3.2633745854;2.520838629
2007-02-28;2.0;300.0;2090.0;3.3106698693;3.2633745854;3.2633745854;3.3106698693;3.2964812841
2007-03-01;2.0;400.0;2500.0;2.8377170308;3.0741934501;2.8377170308;3.0741934501;2.9559552404
2007-03-02;5.0;800.0;4680.0;2.6958311793;2.8377170308;2.6958311793;2.8377170308;2.766774105
2007-03-05;1.0;200.0;1100.0;2.6012406116;2.6012406116;2.6012406116;2.6012406116;2.6012406116
2007-03-07;1.0;100.0;711.0;3.3626946815;3.3626946815;3.3626946815;3.3626946815;3.3626946815
2007-03-15;1.0;100.0;690.0;3.2633745854;3.2633745854;3.2633745854;3.2633745854;3.2633745854
2007-03-16;1.0;100.0;685.0;3.2397269435;3.2397269435;3.2397269435;3.2397269435;3.2397269435
2007-03-20;2.0;200.0;1360.0;3.2160793016;3.2160793016;3.2160793016;3.2160793016;3.2160793016
2007-03-21;2.0;300.0;2700.0;4.2565755462;4.2565755462;4.2565755462;4.2565755462;4.2565755462
2007-03-22;1.0;100.0;801.0;3.7883522361;3.7883522361;3.7883522361;3.7883522361;3.7883522361
2007-03-28;3.0;500.0;3470.0;3.3106698693;3.2633745854;3.2633745854;3.3106698693;3.282292699
2007-04-23;2.0;200.0;1410.0;3.3579651531;3.3106698693;3.3106698693;3.3579651531;3.3343175112
2007-04-24;2.0;200.0;1500.0;3.5471462885;3.5471462885;3.5471462885;3.5471462885;3.5471462885
2007-05-10;1.0;100.0;750.0;3.5471462885;3.5471462885;3.5471462885;3.5471462885;3.5471462885
2007-05-11;2.0;400.0;3000.0;3.5471462885;3.5471462885;3.5471462885;3.5471462885;3.5471462885
2007-05-29;2.0;300.0;2175.0;3.4289080789;3.4289080789;3.4289080789;3.4289080789;3.4289080789
2007-05-31;4.0;600.0;4899.0;4.2518460178;3.7836227078;3.7836227078;4.2518460178;3.8640246903
2007-06-04;5.0;800.0;8000.0;4.7295283847;4.7295283847;4.7295283847;4.7295283847;4.7295283847
2007-06-05;1.0;100.0;1000.0;4.7295283847;4.7295283847;4.7295283847;4.7295283847;4.7295283847
2007-07-26;1.0;100.0;1000.0;4.7295283847;4.7295283847;4.7295283847;4.7295283847;4.7295283847
2007-09-19;1.0;100.0;1000.0;4.7295283847;4.7295283847;4.7295283847;4.7295283847;4.7295283847
2007-09-24;1.0;100.0;1000.0;4.7295283847;4.7295283847;4.7295283847;4.7295283847;4.7295283847
2007-10-01;1.0;100.0;999.0;4.7247988563;4.7247988563;4.7247988563;4.7247988563;4.7247988563
2007-10-05;1.0;100.0;999.0;4.7247988563;4.7247988563;4.7247988563;4.7247988563;4.7247988563
2008-03-25;1.0;100.0;788.0;4.4284356676;4.4284356676;4.4284356676;4.4284356676;4.4284356676
2008-03-27;1.0;100.0;1000.0;5.6198422177;5.6198422177;5.6198422177;5.6198422177;5.6198422177
2009-01-23;1.0;100.0;360.0;2.0236317638;2.0236317638;2.0236317638;2.0236317638;2.0236317638
2009-08-13;1.0;100.0;401.0;2.2587404714;2.2587404714;2.2587404714;2.2587404714;2.2587404714
2009-08-18;1.0;100.0;550.0;3.0980230904;3.0980230904;3.0980230904;3.0980230904;3.0980230904
2009-10-08;2.0;200.0;1100.0;3.0980230904;3.0980230904;3.0980230904;3.0980230904;3.0980230904
2009-11-19;2.0;200.0;1300.0;3.661300016;3.661300016;3.661300016;3.661300016;3.661300016
2009-11-24;2.0;200.0;1300.0;3.661300016;3.661300016;3.661300016;3.661300016;3.661300016
2009-12-28;3.0;400.0;3600.0;5.0694923298;5.0694923298;5.0694923298;5.0694923298;5.0694923298
2010-02-25;1.0;100.0;900.0;5.0694923298;5.0694923298;5.0694923298;5.0694923298;5.0694923298
2010-10-21;2.0;200.0;1204.0;3.3956326085;3.3956326085;3.3956326085;3.3956326085;3.3956326085
2010-12-07;3.0;300.0;1500.0;2.8202928642;2.8202928642;2.8202928642;2.8202928642;2.8202928642
2010-12-09;1.0;100.0;451.0;2.5439041635;2.5439041635;2.5439041635;2.5439041635;2.5439041635
2010-12-28;1.0;100.0;434.0;2.4480142061;2.4480142061;2.4480142061;2.4480142061;2.4480142061
2011-01-10;1.0;100.0;400.0;2.2562342913;2.2562342913;2.2562342913;2.2562342913;2.2562342913
2011-08-16;1.0;100.0;451.0;2.5439041635;2.5439041635;2.5439041635;2.5439041635;2.5439041635
2012-05-04;1.0;100.0;401.0;2.2912020191;2.2912020191;2.2912020191;2.2912020191;2.2912020191
2012-05-22;1.0;100.0;1000.0;5.7137207459;5.7137207459;5.7137207459;5.7137207459;5.7137207459
2015-06-12;1.0;100.0;994.0;5.7072232961;5.7072232961;5.7072232961;5.7072232961;5.7072232961
2016-04-01;2.0;200.0;2100.0;6.0287570029;6.0287570029;6.0287570029;6.0287570029;6.0287570029
2016-04-04;1.0;100.0;1065.0;6.1148821029;6.1148821029;6.1148821029;6.1148821029;6.1148821029
2016-04-11;1.0;100.0;1384.0;7.9464758972;7.9464758972;7.9464758972;7.9464758972;7.9464758972
2016-07-25;1.0;100.0;1798.0;10.32615203;10.32615203;10.32615203;10.32615203;10.32615203
2016-09-29;1.0;100.0;1380.0;7.9255226932;7.9255226932;7.9255226932;7.9255226932;7.9255226932
2018-03-09;1.0;100.0;1200.0;6.8980314986;6.8980314986;6.8980314986;6.8980314986;6.8980314986
2018-05-10;2.0;500.0;6000.0;6.8980314986;6.8980314986;6.8980314986;6.8980314986;6.8980314986
2018-07-17;2.0;200.0;2404.0;6.9095282178;6.9095282178;6.9095282178;6.9095282178;6.9095282178
2019-03-26;1.0;6100.0;73322.0;6.9095282178;6.9095282178;6.9095282178;6.9095282178;6.9095282178
2020-03-13;1.0;100.0;1200.0;6.8980314986;6.8980314986;6.8980314986;6.8980314986;6.8980314986
2020-03-24;1.0;100.0;1000.0;5.7483595822;5.7483595822;5.7483595822;5.7483595822;5.7483595822
