Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2025-04-29;4.0;400.0;228.0;0.63;0.51;0.51;0.63;0.57
2025-04-30;1.0;100.0;77.0;0.77;0.77;0.77;0.77;0.77
2025-05-05;4.0;500.0;885.0;1.77;1.77;1.77;1.77;1.77
2025-05-06;3.0;300.0;1748.0;6.72;4.95;4.95;6.72;5.82
2025-05-07;51.0;10700.0;206958.0;25.06;13.44;13.44;25.06;19.34
2025-05-08;56.0;7600.0;303275.0;39.99;35.39;35.39;46.99;39.91
2025-05-09;27.0;3400.0;72756.0;20.0;34.99;20.0;34.99;21.32
2025-05-12;22.0;2800.0;75412.0;30.0;23.47;23.47;30.0;26.93
2025-05-13;15.0;1600.0;45735.0;27.44;31.01;24.99;31.01;28.35
2025-05-14;11.0;1400.0;29793.0;24.93;21.0;21.0;24.93;21.28
2025-05-15;13.0;1400.0;28749.0;23.26;20.0;17.71;23.26;20.53
2025-05-16;1.0;100.0;2006.0;20.06;20.06;20.06;20.06;20.06
2025-05-20;7.0;700.0;13650.0;18.1;20.06;18.1;20.06;19.5
2025-05-21;21.0;2700.0;46930.0;17.3;17.5;17.3;17.5;17.38
2025-05-22;1.0;100.0;1730.0;17.3;17.3;17.3;17.3;17.3
2025-05-23;3.0;500.0;8650.0;17.3;17.3;17.3;17.3;17.3
2025-05-27;10.0;1100.0;19271.0;20.1;16.2;16.0;20.1;17.51
2025-05-28;31.0;3400.0;90931.0;24.2;20.3;20.3;30.14;26.67
2025-05-29;26.0;3300.0;83627.0;26.3;26.3;22.5;26.33;25.34
2025-05-30;6.0;600.0;15437.0;26.29;26.29;25.0;26.29;25.72
2025-06-05;5.0;900.0;21074.0;24.97;22.8;22.8;24.97;23.41
2025-06-06;7.0;800.0;18817.0;24.0;24.97;23.0;24.97;23.52
2025-06-09;1.0;200.0;4800.0;24.0;24.0;24.0;24.0;24.0
2025-06-10;2.0;200.0;4698.0;23.49;23.49;23.49;23.49;23.49
2025-06-11;14.0;2300.0;51448.0;22.5;22.5;20.99;22.5;22.36
2025-06-13;1.0;100.0;2250.0;22.5;22.5;22.5;22.5;22.5
2025-06-20;4.0;400.0;8597.0;21.99;20.0;20.0;21.99;21.49
2025-06-25;11.0;1200.0;22905.0;19.18;20.33;18.01;20.33;19.08
2025-06-26;1.0;100.0;1900.0;19.0;19.0;19.0;19.0;19.0
2025-07-01;1.0;100.0;1900.0;19.0;19.0;19.0;19.0;19.0
2025-07-03;1.0;100.0;1878.0;18.78;18.78;18.78;18.78;18.78
2025-07-09;1.0;100.0;1878.0;18.78;18.78;18.78;18.78;18.78
2025-07-16;2.0;200.0;3665.0;17.9;18.75;17.9;18.75;18.32
2025-07-24;22.0;2500.0;51355.0;22.99;17.8;17.8;22.99;20.54
2025-07-25;18.0;2500.0;55895.0;23.0;22.0;20.0;23.0;22.35
2025-07-28;19.0;5400.0;159996.0;30.0;27.48;22.5;30.0;29.62
2025-07-29;21.0;2200.0;68007.0;31.0;30.0;29.99;34.5;30.91
2025-07-30;18.0;2400.0;67997.0;27.99;29.99;27.99;30.0;28.29
2025-07-31;6.0;800.0;19514.0;24.38;24.36;24.36;24.5;24.39
2025-08-04;1.0;100.0;2250.0;22.5;22.5;22.5;22.5;22.36
2025-08-06;1.0;100.0;2250.0;22.5;22.5;22.5;22.5;22.5
2025-08-07;8.0;800.0;17840.0;20.55;24.0;20.55;24.5;22.14
