Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-02-11;1.0;560.37178;2500.0000373;1.8723811451;1.8723811451;1.8723811451;1.8723811451;1.8723811451
2000-02-17;2.0;1120.74356;5400.0001401;2.022171659;2.022171659;2.022171659;2.022171659;2.022171659
2000-03-13;1.0;5603.7178;27000.0007;2.022171659;2.022171659;2.022171659;2.022171659;2.022171659
2000-03-16;1.0;1681.11534;8102.9998139;2.0229205125;2.0229205125;2.0229205125;2.0229205125;2.0229205125
2000-04-18;1.0;560.37178;2700.00007;2.022171659;2.022171659;2.022171659;2.022171659;2.022171659
2000-05-10;1.0;1120.74356;5502.0000786;2.0992430817;2.0992430817;2.0992430817;2.0992430817;2.0992430817
2000-05-22;2.0;1120.74356;5502.0000786;2.0992430817;2.0992430817;2.0992430817;2.0992430817;2.0992430817
2000-11-10;3.0;2801.8589;14652.0;2.4301786814;2.4310079844;2.4301786814;2.4310079844;2.4301786814
2000-11-28;2.0;1120.74356;5799.9998331;2.4052961941;2.4052961941;2.4052961941;2.4052961941;2.4052961941
2001-01-19;1.0;2801.8589;16104.99993;2.6715376656;2.6715376656;2.6715376656;2.6715376656;2.6715376656
2001-02-08;1.0;560.37178;3206.0001045;2.7442967234;2.7442967234;2.7442967234;2.7442967234;2.7442967234
2001-03-30;1.0;1120.74356;6599.9999642;2.8247594644;2.8247594644;2.8247594644;2.8247594644;2.8247594644
2001-05-08;1.0;560.37178;3400.0001848;2.9688354726;2.9688354726;2.9688354726;2.9688354726;2.9688354726
2001-06-18;2.0;3922.60246;23800.001293;2.9688354726;2.9688354726;2.9688354726;2.9688354726;2.9688354726
2001-07-10;1.0;560.37178;4055.9999645;3.541645858;3.541645858;3.541645858;3.541645858;3.541645858
2001-08-21;1.0;560.37178;4100.0001132;3.642937418;3.642937418;3.642937418;3.642937418;3.642937418
2001-10-08;1.0;560.37178;3550.0001162;3.1542507073;3.1542507073;3.1542507073;3.1542507073;3.1542507073
2001-10-17;2.0;1120.74356;7001.9997656;3.1098245525;3.1116016913;3.1098245525;3.1116016913;3.1107129564
2001-12-10;2.0;1120.74356;7299.9998927;3.3238241289;3.3238241289;3.3238241289;3.3238241289;3.3238241289
2002-01-18;1.0;560.37178;4100.0001132;3.7336108233;3.7336108233;3.7336108233;3.7336108233;3.7336108233
2002-08-06;1.0;560.37178;3900.9999484;3.7107809449;3.7107809449;3.7107809449;3.7107809449;3.7107809449
2003-05-15;1.0;560.37178;3751.0000169;3.8072044813;3.8072044813;3.8072044813;3.8072044813;3.8072044813
