Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2007-05-02;1.0;327.5;9301.0;28.4;28.4;28.4;28.4;28.4
2007-05-03;1.0;325.0;9100.0;28.0;28.0;28.0;28.0;28.0
2007-05-10;2.0;507.5;24360.0;48.0;48.0;48.0;48.0;48.0
2007-05-22;9.0;2780.0;133440.0;48.0;48.0;48.0;48.0;48.0
2007-06-22;1.0;10.0;440.0;44.0;44.0;44.0;44.0;44.0
2007-06-26;1.0;25.0;1100.0;44.0;44.0;44.0;44.0;44.0
2007-06-27;1.0;25.0;1100.0;44.0;44.0;44.0;44.0;44.0
2007-06-28;4.0;987.5;39500.0;40.0;40.0;40.0;40.0;40.0
2007-07-03;3.0;55.0;2640.0;48.0;48.0;48.0;48.0;48.0
2007-07-04;1.0;5.0;260.0;52.0;52.0;52.0;52.0;52.0
2007-07-05;4.0;252.5;15130.0;52.0;60.0;52.0;60.0;60.0
2007-07-06;2.0;260.0;15580.0;60.0;58.0;58.0;60.0;60.0
2007-07-12;17.0;3977.5;239050.0;60.4;60.0;60.0;60.4;60.0
2007-07-13;5.0;345.0;22034.0;76.0;60.0;60.0;76.0;64.0
2007-07-16;2.0;75.0;6200.0;84.0;82.0;82.0;84.0;82.8
2007-07-17;8.0;50.0;5360.0;140.0;92.0;92.0;140.0;107.2
2007-07-18;3.0;12.5;2090.0;166.0;168.0;166.0;168.0;167.2
2007-07-23;1.0;5.0;798.0;159.6;159.6;159.6;159.6;159.6
2007-07-24;3.0;125.0;16250.0;130.0;130.0;130.0;130.0;130.0
2007-07-25;1.0;125.0;16250.0;130.0;130.0;130.0;130.0;130.0
2007-07-31;1.0;2.5;325.0;130.0;130.0;130.0;130.0;130.0
2007-08-01;1.0;7.5;975.0;130.0;130.0;130.0;130.0;130.0
2007-08-06;2.0;5.0;650.0;130.0;130.0;130.0;130.0;130.0
2007-08-09;1.0;12.5;1700.0;136.0;136.0;136.0;136.0;136.0
2007-08-15;8.0;562.5;80450.0;180.0;140.0;140.0;180.0;143.2
2007-08-16;2.0;15.0;2640.0;196.0;172.0;172.0;196.0;176.0
2007-08-17;1.0;5.0;1000.0;200.0;200.0;200.0;200.0;200.0
2007-08-20;6.0;115.0;21930.0;190.0;200.0;190.0;200.0;190.8
2007-08-21;5.0;367.5;74490.0;220.0;200.0;200.0;220.0;202.8
2007-08-22;3.0;50.0;12500.0;260.0;240.0;240.0;260.0;250.0
