Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-01-03;2.0;100.0;1440.0000572;4.7113974263;4.7113974263;4.7113974263;4.7113974263;4.7113974263
2000-01-04;5.0;950.0;13850.0;4.7768334366;4.7768334366;4.7113974263;4.7768334366;4.7768334366
2000-01-05;1.0;200.0;2880.0001144;4.7113974263;4.7113974263;4.7113974263;4.7113974263;4.7113974263
2000-01-06;7.0;4900.0;71970.0;4.7768334366;4.7113974263;4.7113974263;4.9077054574;4.7768334366
2000-01-07;1.0;400.0;5840.0001526;4.7768334366;4.7768334366;4.7768334366;4.7768334366;4.7768334366
2000-01-11;1.0;150.0;2099.9999642;4.5805250155;4.5805250155;4.5805250155;4.5805250155;4.5805250155
2000-01-12;4.0;249550.0;3649430.0;4.9077054574;4.7768334366;4.7768334366;4.9077054574;4.7768334366
2000-01-13;5.0;2600.0;39000.0;4.9077054574;4.9077054574;4.9077054574;4.9077054574;4.9077054574
2000-01-14;3.0;3550.0;53250.0;4.9077054574;4.9077054574;4.9077054574;4.9077054574;4.9077054574
2000-01-18;1.0;150.0;2250.0;4.9077054574;4.9077054574;4.9077054574;4.9077054574;4.9077054574
2000-01-24;1.0;53500.0;802500.0;4.9077054574;4.9077054574;4.9077054574;4.9077054574;4.9077054574
2000-01-27;1.0;52000.0;780000.0;4.9077054574;4.9077054574;4.9077054574;4.9077054574;4.9077054574
2000-01-28;1.0;20100.0;297480.00383;4.842269447;4.842269447;4.842269447;4.842269447;4.842269447
2000-02-02;1.0;400.0;5760.0002289;4.7113974263;4.7113974263;4.7113974263;4.7113974263;4.7113974263
2000-02-04;1.0;500.0;7500.0;4.9077054574;4.9077054574;4.9077054574;4.9077054574;4.9077054574
2000-02-07;3.0;2750.0;41250.0;4.9077054574;4.9077054574;4.9077054574;4.9077054574;4.9077054574
2000-02-08;6.0;239300.0;3589500.0;4.9077054574;4.9077054574;4.9077054574;4.9077054574;4.9077054574
2000-02-09;1.0;4500.0;67500.0;4.9077054574;4.9077054574;4.9077054574;4.9077054574;4.9077054574
2000-02-10;1.0;1500.0;22500.0;4.9077054574;4.9077054574;4.9077054574;4.9077054574;4.9077054574
2000-02-14;1.0;100.0;1399.9999762;4.5805250155;4.5805250155;4.5805250155;4.5805250155;4.5805250155
2000-02-16;1.0;1800.0;25199.999571;4.5805250155;4.5805250155;4.5805250155;4.5805250155;4.5805250155
2000-02-17;1.0;5000.0;70999.997854;4.6459610259;4.6459610259;4.6459610259;4.6459610259;4.6459610259
2000-02-23;1.0;50.0;699.99998808;4.5805250155;4.5805250155;4.5805250155;4.5805250155;4.5805250155
2000-03-01;2.0;600.0;8399.9998569;4.5805250155;4.5805250155;4.5805250155;4.5805250155;4.5805250155
2000-03-02;6.0;308650.0;4752290.0;5.0385774781;4.5805250155;4.5805250155;5.0385774781;5.0385774781
2000-03-14;2.0;200.0;3079.9999237;5.0385774781;5.0385774781;5.0385774781;5.0385774781;5.0385774781
2000-03-15;1.0;50.0;769.99998093;5.0385774781;5.0385774781;5.0385774781;5.0385774781;5.0385774781
2000-03-28;4.0;12000.0;184799.99542;5.0385774781;5.0385774781;5.0385774781;5.0385774781;5.0385774781
2000-03-30;1.0;100.0;1539.9999619;5.0385774781;5.0385774781;5.0385774781;5.0385774781;5.0385774781
2000-03-31;5.0;2150.0;32650.0;5.2348858992;4.9077054574;4.9077054574;5.2348858992;4.9077054574
2000-04-03;1.0;500.0;7500.0;4.9077054574;4.9077054574;4.9077054574;4.9077054574;4.9077054574
2000-04-17;1.0;500.0;6999.9998808;4.5805250155;4.5805250155;4.5805250155;4.5805250155;4.5805250155
2000-05-25;1.0;97000.0;1222199.9907;4.1251931768;4.1251931768;4.1251931768;4.1251931768;4.1251931768
2000-06-12;3.0;1050.0;13229.999899;4.1251931768;4.1251931768;4.1251931768;4.1251931768;4.1251931768
2000-06-14;4.0;550.0;6929.9999475;4.1251931768;4.1251931768;4.1251931768;4.1251931768;4.1251931768
2000-06-15;2.0;950.0;11969.999909;4.1251931768;4.1251931768;4.1251931768;4.1251931768;4.1251931768
2000-07-19;2.0;450.0;5669.9999571;4.1251931768;4.1251931768;4.1251931768;4.1251931768;4.1251931768
2000-08-08;1.0;200.0;2519.9999809;4.1251931768;4.1251931768;4.1251931768;4.1251931768;4.1251931768
2000-08-11;2.0;1850.0;25160.000265;4.4525895413;4.4525895413;4.4525895413;4.4525895413;4.4525895413
2000-08-15;2.0;7750.0;106949.99963;4.5180687361;4.5180687361;4.5180687361;4.5180687361;4.5180687361
2000-08-17;1.0;1000.0;13999.999761;4.5835479309;4.5835479309;4.5835479309;4.5835479309;4.5835479309
2000-08-30;1.0;150.0;2040.0000215;4.4525895413;4.4525895413;4.4525895413;4.4525895413;4.4525895413
2000-08-31;2.0;700.0;9799.9998331;4.5835479309;4.5835479309;4.5835479309;4.5835479309;4.5835479309
2000-09-05;2.0;850.0;11560.000121;4.4525895413;4.4525895413;4.4525895413;4.4525895413;4.4525895413
2000-09-13;3.0;10000.0;137999.99952;4.5180687361;4.5180687361;4.5180687361;4.5180687361;4.5180687361
2000-09-20;1.0;750.0;10349.999964;4.5180687361;4.5180687361;4.5180687361;4.5180687361;4.5180687361
2000-09-29;1.0;2300.0;31739.99989;4.5180687361;4.5180687361;4.5180687361;4.5180687361;4.5180687361
2000-10-02;1.0;250.0;3449.9999881;4.5180687361;4.5180687361;4.5180687361;4.5180687361;4.5180687361
