Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-02-17;0.0;0.0;0.0;4.5812173157;4.5812173157;4.5812173157;4.5812173157;4.5812173157
2021-02-18;76059.0;61433400.0;563694450.0;4.8507006872;4.9045973615;4.7644660083;5.3303810885;4.9423250335
2021-02-19;15337.0;9960500.0;91238965.0;4.8776490244;4.9045973615;4.8668696895;5.0393390473;4.9369353661
2021-02-22;17608.0;10507000.0;94749472.0;5.0070010427;4.8075833478;4.672841662;5.0123907101;4.8560903547
2021-02-23;11239.0;9218500.0;85536936.0;4.9153766964;5.1201840587;4.9045973615;5.174080733;4.9962217079
2021-02-24;9355.0;6550600.0;60000691.0;4.9315456987;4.9369353661;4.8884283592;5.0016113753;4.9315456987
2021-02-25;7029.0;6054200.0;55113249.0;4.8507006872;4.947714701;4.8507006872;5.0070010427;4.9045973615
2021-02-26;8159.0;4849000.0;43704135.0;4.8129730152;4.9315456987;4.7968040129;4.9423250335;4.8560903547
2021-03-01;10657.0;6578700.0;58882818.0;4.8237523501;4.8776490244;4.7536866735;4.8992076941;4.8237523501
2021-03-02;7976.0;6141500.0;53903628.0;4.7429073386;4.8345316849;4.5866069831;4.8776490244;4.7267383363
2021-03-03;10309.0;10191700.0;86927122.0;4.5758276483;4.7968040129;4.4087479579;4.7968040129;4.5919966506
2021-03-04;32558.0;17915200.0;147660987.0;4.5542689786;4.5866069831;4.3602409511;4.6081656529;4.4410859625
2021-03-05;8384.0;9965700.0;84265964.0;4.5866069831;4.5273206414;4.4734239671;4.6027759854;4.5542689786
2021-03-08;7792.0;4979600.0;42109642.0;4.5866069831;4.5273206414;4.5003723043;4.5919966506;4.5542689786
2021-03-09;12083.0;3953300.0;33049780.0;4.5650483134;4.5542689786;4.4518652974;4.5758276483;4.5057619717
2021-03-10;4702.0;9782800.0;81342006.0;4.521930974;4.5812173157;4.4195272928;4.5812173157;4.4788136345
2021-03-11;9838.0;7448100.0;62731942.0;4.5812173157;4.5542689786;4.4788136345;4.7051796666;4.5380999763
2021-03-12;3638.0;2243400.0;18964624.0;4.5758276483;4.559658646;4.5057619717;4.5866069831;4.5542689786
2021-03-15;6423.0;2556300.0;21536083.0;4.5758276483;4.5542689786;4.5057619717;4.597386318;4.5380999763
2021-03-16;4785.0;2252700.0;19207632.0;4.5812173157;4.5758276483;4.5650483134;4.6620623272;4.5919966506
2021-03-17;4291.0;2550800.0;21857076.0;4.6458933249;4.5866069831;4.5542689786;4.7051796666;4.6135553203
2021-03-18;6331.0;4666500.0;39510710.0;4.5758276483;4.63511399;4.5380999763;4.6674519946;4.559658646
2021-03-19;3281.0;2795400.0;23664114.0;4.597386318;4.597386318;4.521930974;4.597386318;4.559658646
2021-03-22;3674.0;2194800.0;18432433.0;4.5273206414;4.5488793111;4.4788136345;4.5704379809;4.521930974
2021-03-23;3293.0;2289600.0;19045467.0;4.484203302;4.5273206414;4.4410859625;4.5488793111;4.4788136345
2021-03-24;3311.0;1764200.0;14769982.0;4.5057619717;4.5165413066;4.4788136345;4.5327103088;4.5111516391
2021-03-25;5384.0;4809400.0;40500542.0;4.4734239671;4.5812173157;4.4734239671;4.6081656529;4.5380999763
2021-03-26;5806.0;4067400.0;34237489.0;4.5057619717;4.5542689786;4.4788136345;4.5812173157;4.5327103088
2021-03-29;15098.0;10506900.0;92962776.0;4.9423250335;4.5057619717;4.5057619717;4.9584940358;4.7644660083
2021-03-30;14858.0;8874400.0;81231551.0;4.8614800221;4.9315456987;4.8507006872;5.0878460542;4.9315456987
2021-03-31;8420.0;5409900.0;49590868.0;4.9531043684;4.8776490244;4.8776490244;4.985442373;4.9369353661
2021-04-01;10198.0;6402600.0;58974354.0;4.8776490244;5.0123907101;4.8614800221;5.0770667193;4.9638837033
2021-04-05;5465.0;3784100.0;34942570.0;4.9584940358;4.947714701;4.9423250335;5.0123907101;4.9746630381
2021-04-06;6825.0;4143800.0;38452961.0;4.985442373;4.9692733707;4.9638837033;5.0501183821;4.9962217079
2021-04-07;6831.0;4412700.0;41116575.0;5.0555080496;5.0339493799;4.9908320404;5.0555080496;5.0177803776
2021-04-08;7388.0;4841100.0;45383644.0;5.0123907101;5.060897717;5.0123907101;5.1201840587;5.0501183821
2021-04-09;6970.0;3099000.0;28871700.0;5.0501183821;5.0123907101;4.9369353661;5.0824563867;5.0177803776
2021-04-12;6034.0;4062100.0;38211739.0;5.0824563867;5.0555080496;5.023170045;5.1201840587;5.0662873844
2021-04-13;6132.0;3709000.0;34792390.0;5.0555080496;5.0824563867;5.0177803776;5.0932357216;5.0555080496
2021-04-14;8418.0;10782400.0;101130423.0;5.1040150565;5.0501183821;5.0123907101;5.1094047239;5.0501183821
2021-04-15;12004.0;10601300.0;102439034.0;5.2225877399;5.136353061;5.136353061;5.2657050794;5.2064187376
2021-04-16;7863.0;7175300.0;68887783.0;5.1579117308;5.2225877399;5.1040150565;5.2980430839;5.174080733
2021-04-19;6724.0;5841400.0;56747972.0;5.2387567422;5.2171980725;5.1848600679;5.2710947468;5.2333670748
2021-04-20;9336.0;7337800.0;71933281.0;5.2064187376;5.2764844142;5.2010290702;5.4273951023;5.2818740817
2021-04-22;7487.0;5257900.0;50758181.0;5.2064187376;5.2926534165;5.1417427285;5.3034327514;5.2010290702
2021-04-23;6564.0;4640400.0;45210085.0;5.2549257445;5.2549257445;5.2171980725;5.3142120862;5.2495360771
2021-04-26;9254.0;7569500.0;75017395.0;5.3465500908;5.3411604234;5.2980430839;5.4058364325;5.3411604234
2021-04-27;15775.0;10525600.0;107263265.0;5.524409116;5.3788880954;5.3627190931;5.6052541275;5.4920711114
2021-04-28;9518.0;7548900.0;79576418.0;5.7453854807;5.5890851252;5.5783057903;5.7723338178;5.6807094715
2021-04-29;17723.0;16410300.0;176556500.0;5.8208408247;5.874737499;5.6699301366;6.0364275219;5.7938924875
2021-04-30;11064.0;7332800.0;78032599.0;5.6537611343;5.7938924875;5.6537611343;5.7938924875;5.7346061458
2021-05-03;19946.0;8011400.0;82532547.0;5.5192102531;5.7087807721;5.508377652;5.7304459743;5.5787895591
2021-05-04;18639.0;9051100.0;91541418.0;5.4812961493;5.5408754553;5.3133908325;5.5733732585;5.4758798488
2021-05-05;24097.0;15848800.0;159977477.0;5.4704635482;5.5192102531;5.3675538379;5.567956958;5.4650472477
2021-05-06;20954.0;10379600.0;107608941.0;5.6871155699;5.5787895591;5.5246265537;5.6871155699;5.6112873623
2021-05-07;10824.0;9213900.0;97857137.0;5.7521111765;5.7737763786;5.6871155699;5.8766860889;5.7521111765
2021-05-10;16678.0;13198600.0;142279010.0;5.7521111765;5.9579305971;5.6383688651;5.9958447009;5.8333556846
