Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-06-20;1.0;51.545;251.0;0.27850925556;0.27850925556;0.27850925556;0.27850925556;0.27850925556
2000-11-07;2.0;412.36;2800.0;0.39905981074;0.39905981074;0.39905981074;0.39905981074;0.39905981074
2000-12-05;2.0;154.635;1200.0;0.47590687307;0.47590687307;0.47590687307;0.47590687307;0.47590687307
2001-02-08;2.0;103.09;1298.0;0.77215890155;0.77215890155;0.77215890155;0.77215890155;0.77215890155
2001-03-15;2.0;103.09;1200.0;0.7138603096;0.7138603096;0.7138603096;0.7138603096;0.7138603096
2001-04-05;1.0;51.545;550.0;0.65437195047;0.65437195047;0.65437195047;0.65437195047;0.65437195047
2001-08-03;1.0;257.725;2250.0;0.57658449779;0.57658449779;0.57658449779;0.57658449779;0.57658449779
2002-06-07;1.0;800.0;6048.0;0.56077800423;0.56077800423;0.56077800423;0.56077800423;0.56077800423
2003-04-03;2.0;600.0;3840.0;0.47473270199;0.47473270199;0.47473270199;0.47473270199;0.47473270199
2003-04-10;1.0;36950.0;238697.0;0.47918332107;0.47918332107;0.47918332107;0.47918332107;0.47918332107
2003-05-23;1.0;1100.0;5544.0;0.44370065864;0.44370065864;0.44370065864;0.44370065864;0.44370065864
2004-07-23;6.0;6050.0;42400.0;0.90453637034;0.79146932405;0.79146932405;0.90453637034;0.79146932405
2004-07-30;2.0;400.0;6000.0;1.6960056944;1.6960056944;1.6960056944;1.6960056944;1.6960056944
2005-05-23;1.0;50.0;600.0;1.4122984465;1.4122984465;1.4122984465;1.4122984465;1.4122984465
2006-01-18;1.0;50.0;691.0;1.7381222134;1.7381222134;1.7381222134;1.7381222134;1.7381222134
2006-02-06;2.0;100.0;1400.0;1.7607605635;1.7607605635;1.7607605635;1.7607605635;1.7607605635
2006-03-23;7.0;2250.0;47310.0;2.6461715897;2.6411408453;2.6411408453;2.6461715897;2.6436562175
2006-03-24;2.0;1000.0;22460.0;2.8247630183;2.8247630183;2.8247630183;2.8247630183;2.8247630183
2006-03-27;4.0;950.0;21000.0;2.8172169016;2.766909457;2.766909457;2.8172169016;2.7794863181
2006-07-05;1.0;600.0;12000.0;2.7831070113;2.7831070113;2.7831070113;2.7831070113;2.7831070113
2006-09-01;1.0;650.0;13390.0;2.8666002216;2.8666002216;2.8666002216;2.8666002216;2.8666002216
2006-09-28;1.0;50.0;1060.0;2.950093432;2.950093432;2.950093432;2.950093432;2.950093432
2007-03-27;1.0;50.0;1230.0;3.5467817272;3.5467817272;3.5467817272;3.5467817272;3.5467817272
2008-04-23;18.0;21800.0;528072.0;3.9588186925;3.9571841678;3.9571841678;3.9604532171;3.9588186925
2008-04-24;14.0;10000.0;240100.0;3.9228591503;3.9261281995;3.9228591503;3.9261281995;3.9244936749
2008-04-25;2.0;200.0;4945.0;4.0127580058;4.0699663684;4.0127580058;4.0699663684;4.0421794494
2008-04-28;1.0;300.0;7350.0;4.0045853826;4.0045853826;4.0045853826;4.0045853826;4.0045853826
2008-07-30;1.0;2000.0;38000.0;3.5627430855;3.5627430855;3.5627430855;3.5627430855;3.5627430855
2008-07-31;5.0;3600.0;68400.0;3.5627430855;3.5627430855;3.5627430855;3.5627430855;3.5627430855
2008-08-01;2.0;1000.0;19000.0;3.5627430855;3.5627430855;3.5627430855;3.5627430855;3.5627430855
2008-12-09;1.0;100.0;1970.0;3.6940020412;3.6940020412;3.6940020412;3.6940020412;3.6940020412
2009-01-06;1.0;100.0;2101.0;3.9396438013;3.9396438013;3.9396438013;3.9396438013;3.9396438013
2009-08-28;9.0;1800.0;44132.0;5.4814508264;5.4322898325;5.4322898325;5.5306118204;5.4792162358
2009-08-31;1.0;100.0;2400.0;5.3630175228;5.3630175228;5.3630175228;5.3630175228;5.3630175228
2009-09-01;1.0;500.0;12250.0;5.4747470545;5.4747470545;5.4747470545;5.4747470545;5.4747470545
2009-09-09;6.0;3300.0;80883.0;5.4769816452;5.4769816452;5.4769816452;5.4769816452;5.4769816452
2009-09-10;9.0;2000.0;49820.0;5.6021187207;5.4970929609;5.4970929609;5.6021187207;5.5663652705
2009-09-11;3.0;2000.0;52450.0;6.0333947132;5.698206118;5.698206118;6.0333947132;5.8613312343
2009-09-14;1.0;900.0;24300.0;6.0333947132;6.0333947132;6.0333947132;6.0333947132;6.0333947132
2009-09-16;1.0;500.0;13750.0;6.1451242449;6.1451242449;6.1451242449;6.1451242449;6.1451242449
2009-09-21;1.0;100.0;2785.0;6.2233349171;6.2233349171;6.2233349171;6.2233349171;6.2233349171
2009-10-30;2.0;36500.0;1040250.0;6.3685833083;6.3685833083;6.3685833083;6.3685833083;6.3685833083
2009-11-03;1.0;200.0;5400.0;6.0333947132;6.0333947132;6.0333947132;6.0333947132;6.0333947132
2011-05-18;1.0;100.0;3001.0;9.056929677;9.056929677;9.056929677;9.056929677;9.056929677
2012-03-20;1.0;100.0;3500.0;10.56289699;10.56289699;10.56289699;10.56289699;10.56289699
