Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2004-09-28;0.0;0.0;0.0;2.3496314727;2.3496314727;2.3496314727;2.3496314727;2.3496314727
2004-09-29;922.0;11047045.231;90522711.0;2.3509959509;2.3878368625;2.3469025163;2.4083040356;2.3660052112
2004-09-30;477.0;4558154.3878;36614917.0;2.285500997;2.3537249073;2.2377442597;2.364640733;2.3182484739
2004-10-01;244.0;831024.85196;6625152.0;2.3400801253;2.3182484739;2.2786786059;2.3496314727;2.3018747355
2004-10-04;139.0;535680.98909;4300672.0;2.3400801253;2.3469025163;2.292323388;2.3482669945;2.3182484739
2004-10-05;191.0;904437.68893;7216829.0;2.2950523444;2.3196129521;2.285500997;2.3387156471;2.3032392137
2004-10-06;136.0;568685.03107;4526144.0;2.292323388;2.2950523444;2.285500997;2.3073326483;2.2977813008
2004-10-07;137.0;465230.05332;3700045.0;2.2964168226;2.292323388;2.2800430841;2.3059681701;2.2964168226
2004-10-08;126.0;714664.44753;5700545.0;2.2786786059;2.299145779;2.2786786059;2.331893256;2.3032392137
2004-10-11;51.0;108532.52267;856603.0;2.292323388;2.3032392137;2.2650338239;2.3032392137;2.2786786059
2004-10-13;143.0;539489.14778;4263989.0;2.2786786059;2.3196129521;2.2650338239;2.3196129521;2.2814075624
2004-10-14;83.0;537585.06844;4231809.0;2.2650338239;2.3059681701;2.2513890418;2.3059681701;2.2718562149
2004-10-15;156.0;538854.45467;4253263.0;2.2841365188;2.2786786059;2.2650338239;2.2841365188;2.2786786059
2004-10-18;112.0;469249.77638;3690527.0;2.2786786059;2.2786786059;2.2513890418;2.2786786059;2.2704917367
2004-10-19;289.0;505215.71957;3982260.0;2.2513890418;2.2718562149;2.2513890418;2.292323388;2.2759496495
2004-10-20;74.0;161846.74433;1246996.0;2.2090902174;2.2513890418;2.1858940878;2.2513890418;2.2240994776
2004-10-21;102.0;259589.48405;1970358.0;2.1968099135;2.2104546956;2.1831651314;2.2104546956;2.1913520007
2004-10-22;165.0;671293.75134;5129468.0;2.2513890418;2.1845296096;2.1831651314;2.2513890418;2.206361261
2004-10-25;132.0;520236.78996;4089211.0;2.285500997;2.2172770866;2.2172770866;2.2895944316;2.2691272585
2004-10-26;108.0;1143928.5577;9039510.0;2.292323388;2.2718562149;2.2718562149;2.2936878662;2.2814075624
2004-10-27;106.0;1352742.5925;10641968.0;2.2650338239;2.2650338239;2.2636693457;2.2895944316;2.2704917367
2004-10-28;86.0;605920.36049;4715014.0;2.2786786059;2.2513890418;2.1831651314;2.2786786059;2.245931129
2004-10-29;50.0;112552.24573;878656.0;2.2568469546;2.2391087379;2.2377442597;2.2786786059;2.2541179982
2004-11-01;19.0;18194.535964;141784.0;2.2377442597;2.2568469546;2.2377442597;2.2568469546;2.2500245636
2004-11-03;73.0;339560.81655;2650048.0;2.2582114328;2.2377442597;2.2377442597;2.2636693457;2.25275352
2004-11-04;60.0;178560.3297;1383945.0;2.2391087379;2.2582114328;2.2186415648;2.2582114328;2.2377442597
2004-11-05;106.0;802040.53304;6213981.0;2.2513890418;2.2377442597;2.2172770866;2.2650338239;2.2363797815
2004-11-08;92.0;1659722.4958;12778309.0;2.2090902174;2.1845296096;2.1831651314;2.2377442597;2.2227349994
2004-11-09;103.0;4647434.5527;35611658.0;2.2049967828;2.2377442597;2.2049967828;2.2377442597;2.2118191738
2004-11-10;136.0;341676.46026;2599006.0;2.1831651314;2.2077257392;2.173613784;2.2172770866;2.1954454353
2004-11-11;104.0;482578.3318;3589649.0;2.1354083942;2.1831651314;2.1285860031;2.1831651314;2.147688698
2004-11-12;77.0;290689.44669;2128393.0;2.1149412211;2.1422307852;2.101296439;2.1626979583;2.1135767429
2004-11-16;81.0;466499.43955;3375179.0;2.0671844838;2.10811883;2.0467173107;2.10811883;2.0890161351
2004-11-17;209.0;1207186.3048;8412892.0;1.9648486183;2.0671844838;1.9402880106;2.0671844838;2.0112408773
2004-11-18;115.0;524891.20614;3633693.0;2.0235211812;1.9703065311;1.9703065311;2.0398949197;1.9989605735
2004-11-19;76.0;889205.05417;6278380.0;2.0535397018;2.0398949197;2.0126053555;2.0603620928;2.0385304415
2004-11-22;119.0;1106058.5351;8012451.0;2.1149412211;2.0535397018;2.0467173107;2.1149412211;2.0917450916
2004-11-23;169.0;1651048.3566;12395268.0;2.173613784;2.1149412211;2.1149412211;2.1954454353;2.1667913929
2004-11-24;166.0;820658.19774;6269765.0;2.2049967828;2.1818006532;2.1749782622;2.2363797815;2.2049967828
2004-11-25;73.0;169039.93297;1299292.0;2.2718562149;2.2104546956;2.2036323045;2.292323388;2.2186415648
2004-11-26;45.0;71297.193256;552187.0;2.2309218687;2.2513890418;2.2118191738;2.2650338239;2.2363797815
2004-11-29;48.0;103666.54212;808705.0;2.213183652;2.3059681701;2.213183652;2.3059681701;2.2513890418
2004-11-30;103.0;376584.58159;2893084.0;2.2309218687;2.2445666508;2.1913520007;2.2513890418;2.2172770866
2004-12-01;98.0;745552.8458;5891807.0;2.2909589098;2.2513890418;2.2445666508;2.292323388;2.2814075624
2004-12-02;58.0;176021.55724;1384517.0;2.2663983021;2.2418376943;2.2377442597;2.2786786059;2.2704917367
2004-12-03;80.0;536527.24658;4247415.0;2.285500997;2.285500997;2.2513890418;2.3196129521;2.285500997
2004-12-06;158.0;1282291.6567;10449857.0;2.3400801253;2.285500997;2.285500997;2.3605472984;2.3523604291
