Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-02-10;0.0;0.0;0.0;10.728023309;10.728023309;10.728023309;10.728023309;10.728023309
2021-02-11;18643.0;10278400.0;135281032.0;9.9464101826;9.8467928233;9.7701640854;10.490474221;10.08434191
2021-02-12;6575.0;2486300.0;33783223.0;10.344879619;9.9617359302;9.8238042019;10.720360435;10.40618261
2021-02-17;3547.0;1422600.0;19884122.0;10.728023309;10.367868241;10.367868241;10.865955037;10.705034688
2021-02-18;1982.0;1070100.0;14923501.0;10.682046066;10.720360435;10.444496979;10.858292163;10.682046066
2021-02-19;822.0;458400.0;6314857.0;10.597754455;10.682046066;10.459822726;10.728023309;10.551777212
2021-02-22;3449.0;956000.0;12805274.0;10.298902377;10.720360435;9.7318497164;10.720360435;10.260588008
2021-02-23;819.0;250000.0;3376771.0;10.298902377;10.352542493;10.268250881;10.590091581;10.344879619
2021-02-24;1070.0;376200.0;5065396.0;10.30656525;10.344879619;10.168633522;10.444496979;10.314228124
2021-02-25;1305.0;380100.0;5058023.0;10.107330532;10.421508357;10.038364668;10.421508357;10.191622144
2021-02-26;1706.0;912000.0;11803557.0;9.9540730564;10.076679037;9.5785922406;10.114993406;9.9157586874
2021-03-01;4608.0;760400.0;9616325.0;9.6935353474;9.9234215612;9.5785922406;9.9617359302;9.6858724737
2021-03-02;2150.0;699000.0;8582459.0;9.5939179882;9.7701640854;9.0421910751;9.9617359302;9.4023461433
2021-03-03;868.0;1160200.0;13880737.0;9.1724599296;9.4789748813;8.8123048613;9.4789748813;9.1647970558
2021-03-04;2137.0;1094700.0;13041657.0;9.1954485509;9.341043153;8.8429563565;9.5326149978;9.1264826868
2021-03-05;414.0;773000.0;9271116.0;9.157134182;9.0421910751;9.0421910751;9.4636491337;9.1877856771
2021-03-08;2010.0;1574200.0;17735560.0;8.4291611717;9.157134182;8.0536803559;9.157134182;8.6283958903
2021-03-09;1167.0;1559700.0;16676111.0;8.0613432297;8.3678581814;7.9310743752;8.6973617544;8.1916120841
2021-03-10;3206.0;696000.0;7535888.0;8.7280132496;8.0536803559;7.9157486276;8.7816533662;8.2912294434
2021-03-11;2287.0;2047500.0;23875487.0;8.8123048613;8.5900815213;8.5824186475;9.1954485509;8.934910842
2021-03-12;1768.0;1328600.0;15372744.0;8.8889335992;8.6820360069;8.5211156572;8.9885509585;8.8659449779
2021-03-15;1605.0;1172400.0;13598431.0;9.2720772889;8.6820360069;8.3142180648;9.2874030364;8.8812707255
2021-03-16;493.0;369600.0;4426998.0;8.9578994634;9.2720772889;8.9195850944;9.2720772889;9.1724599296
2021-03-17;2117.0;404800.0;4729296.0;9.0192024537;8.7586647448;8.528778531;9.1954485509;8.9502365896
2021-03-18;3778.0;793300.0;8969855.0;8.6590473855;8.8506192303;8.3831839289;8.896596473;8.6590473855
2021-03-19;2365.0;4672400.0;52032148.0;8.9885509585;8.5441042786;8.3831839289;9.3487060268;8.528778531
2021-03-22;2436.0;760600.0;8920267.0;9.2184371723;9.0728425703;8.6896988806;9.2337629199;8.9808880848
2021-03-23;2886.0;705300.0;8436343.0;9.1954485509;9.2107742985;8.8736078517;9.5019635026;9.1647970558
2021-03-24;639.0;942200.0;11249819.0;9.1801228034;9.1724599296;9.0575168227;9.3257174054;9.1418084344
2021-03-25;1587.0;270500.0;3194454.0;8.9808880848;9.1801228034;8.9119222206;9.1801228034;9.0421910751
2021-03-26;841.0;249900.0;2951654.0;8.8123048613;9.0038767061;8.751001871;9.2490886675;9.0498539489
2021-03-29;464.0;260300.0;2970627.0;8.6973617544;8.8276306089;8.5441042786;8.9808880848;8.7433389972
2021-03-30;1753.0;422000.0;4746757.0;8.528778531;8.6896988806;8.4828012882;8.7203503758;8.6130701427
2021-03-31;2772.0;1363100.0;16053801.0;9.1954485509;8.8889335992;8.7050246282;9.341043153;9.0192024537
2021-04-01;1323.0;532700.0;6364560.0;9.0805054441;9.1877856771;9.0498539489;9.4559862599;9.1494713082
2021-04-05;2605.0;737000.0;8686658.0;8.973225211;9.1877856771;8.896596473;9.3333802792;9.0268653275
2021-04-06;452.0;298800.0;3557372.0;9.1111569392;9.1111569392;8.973225211;9.1801228034;9.118819813
2021-04-07;777.0;367200.0;4309699.0;8.8199677351;9.0881683178;8.8199677351;9.0958311916;8.9885509585
2021-04-08;1043.0;245200.0;2870146.0;9.157134182;8.8736078517;8.7586647448;9.157134182;8.9655623372
2021-04-09;1903.0;315900.0;3752144.0;9.1954485509;9.1494713082;8.8352934827;9.4636491337;9.0958311916
2021-04-12;1474.0;252900.0;3059878.0;9.3487060268;9.0498539489;9.0498539489;9.4176718909;9.2644144151
2021-04-13;1896.0;677500.0;8248882.0;9.4253347647;9.341043153;9.1647970558;9.8084784543;9.3257174054
2021-04-14;1209.0;408200.0;4962455.0;9.157134182;9.4943006289;9.1264826868;9.6552209785;9.3103916578
2021-04-15;1696.0;337000.0;4097313.0;9.4636491337;9.1954485509;8.9885509585;9.7548383378;9.3103916578
2021-04-16;2169.0;386300.0;4649092.0;9.3487060268;9.4176718909;9.0881683178;9.4329976385;9.2184371723
2021-04-19;1363.0;288100.0;3468179.0;9.0958311916;9.3487060268;9.0958311916;9.4943006289;9.2184371723
2021-04-20;1041.0;184500.0;2168877.0;9.0268653275;9.118819813;8.934910842;9.3103916578;9.0038767061
2021-04-22;1662.0;350700.0;4218357.0;9.0651796965;9.157134182;9.0421910751;9.4176718909;9.2107742985
2021-04-23;1172.0;299000.0;3608971.0;9.3487060268;9.1647970558;9.1111569392;9.3563689006;9.2490886675
2021-04-26;980.0;243100.0;2963889.0;9.379357522;9.3487060268;9.118819813;9.5172892502;9.341043153
2021-04-27;1049.0;170800.0;2073475.0;9.1954485509;9.4559862599;9.1954485509;9.4559862599;9.2950659102
2021-04-28;814.0;238500.0;2870043.0;9.2644144151;9.2031114247;9.1418084344;9.4636491337;9.2184371723
2021-04-29;925.0;414000.0;4984519.0;9.2720772889;9.2031114247;9.157134182;9.4483233861;9.2184371723
2021-04-30;1114.0;536000.0;6423074.0;9.1801228034;9.2874030364;8.9962138323;9.3257174054;9.1801228034
2021-05-03;1090.0;244100.0;2905960.0;9.2332100946;9.2565656007;9.1086473952;9.4356244811;9.2643507694
2021-05-04;1026.0;143600.0;1726306.0;9.4044838063;9.3188469504;9.2565656007;9.4200541437;9.357772794
2021-05-05;3250.0;589300.0;7379452.0;9.8093125794;9.4745503247;9.3266321191;9.9338752788;9.7470312297
2021-05-06;1166.0;172800.0;2144121.0;9.8093125794;9.8871642665;9.5446168431;9.8871642665;9.6536092051
2021-05-07;1770.0;233300.0;2911832.0;9.7859570733;9.7236757236;9.575757518;9.848238423;9.7158905548
2021-05-10;1728.0;253700.0;3183557.0;9.575757518;9.8560235917;9.575757518;10.04286764;9.7626015671
2021-05-11;1904.0;575900.0;7076967.0;9.5913278554;9.5524020119;9.412268975;9.8015274107;9.5601871806
2021-05-12;2144.0;400400.0;4968510.0;9.7703867358;9.5290465057;9.412268975;9.9650159537;9.6536092051
2021-05-13;2206.0;445300.0;5597305.0;10.198571015;9.7314608923;9.4901206621;10.432126076;9.7781719046
2021-05-14;1951.0;414900.0;5423203.0;10.432126076;10.299778208;9.902734604;10.517762932;10.175215509
2021-05-17;1492.0;315300.0;4168709.0;10.354274389;10.206356183;9.9728011224;10.58782945;10.291993039
2021-05-18;1530.0;279000.0;3679076.0;10.439911245;10.276422702;10.081793484;10.439911245;10.260852364
2021-05-19;2074.0;409400.0;5482216.0;10.432126076;10.354274389;10.245282027;10.564473944;10.424340907
2021-05-20;1912.0;511400.0;6881363.0;10.377629895;10.564473944;10.276422702;10.852525187;10.47105192
2021-05-21;1436.0;259900.0;3447177.0;10.315348545;10.416555739;10.237496858;10.595614619;10.323133714
2021-05-24;2240.0;387700.0;5196795.0;10.369844726;10.455481582;10.237496858;10.556688775;10.432126076
2021-05-25;2353.0;547900.0;7465304.0;10.486622257;10.354274389;10.354274389;10.743532825;10.603399788
2021-05-26;1603.0;308300.0;4188682.0;10.556688775;10.478837088;10.416555739;10.735747656;10.572259113
2021-05-27;4460.0;3006000.0;40661249.0;10.509977763;10.657895969;10.40877057;10.860310355;10.525548101
2021-05-28;1444.0;332500.0;4575835.0;10.782458668;10.611184956;10.432126076;10.805814174;10.71239215
2021-05-31;2227.0;439400.0;6201980.0;10.899236199;10.883665861;10.82916968;11.202857779;10.984873055
2021-06-01;1708.0;477000.0;6873942.0;11.210642947;10.945947211;10.868095524;11.43641284;11.218428116
2021-06-02;1630.0;310200.0;4492358.0;11.350775984;11.210642947;11.086080248;11.43641284;11.272924297
2021-06-04;991.0;154400.0;2264827.0;11.467553515;11.405272165;11.265139128;11.506479359;11.413057334
2021-06-07;1902.0;433700.0;6456606.0;11.67775307;11.444198009;11.327420478;11.794530601;11.584331046
2021-06-08;1166.0;221700.0;3275993.0;11.459768346;11.693323408;11.335205647;11.833456445;11.49869419
2021-06-09;1385.0;214500.0;3161643.0;11.49869419;11.413057334;11.319635309;11.631042058;11.467553515
2021-06-10;900.0;175800.0;2586686.0;11.576545877;11.49869419;11.311850141;11.576545877;11.451983178
2021-06-11;1138.0;205800.0;3015918.0;11.623256889;11.599901383;11.19507261;11.623256889;11.405272165
2021-06-14;2634.0;633600.0;9637294.0;11.872382288;11.638827227;11.451983178;12.067011506;11.841241613
2021-06-15;1904.0;577700.0;8460385.0;11.405272165;11.950233975;11.241783622;11.950233975;11.397486997
2021-06-16;1853.0;559700.0;8097235.0;11.241783622;11.366346322;10.945947211;11.615471721;11.25735396
2021-06-17;1730.0;559700.0;8261125.0;11.576545877;11.249568791;11.148361598;11.599901383;11.490909021
2021-06-18;1999.0;490500.0;7430158.0;11.825671276;11.584331046;11.475338684;11.934663638;11.786745432
2021-06-21;1618.0;354200.0;5380133.0;11.950233975;11.934663638;11.599901383;11.950233975;11.817886107
2021-06-22;1490.0;1214500.0;18384628.0;12.261640724;11.942448807;11.669967902;12.362847917;11.778960264
2021-06-23;1246.0;434800.0;6856209.0;12.261640724;12.261640724;12.113722518;12.378418255;12.269425893
2021-06-24;1383.0;335400.0;5330608.0;12.502980954;12.339492411;12.176003868;12.502980954;12.370633086
