Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2006-04-28;0.0;0.0;0.0;7.919031442;7.919031442;7.919031442;7.919031442;7.919031442
2006-05-02;5070.0;4194900.0;74750229.0;7.6990583464;8.1390045376;7.5890717986;8.266588933;7.8398411276
2006-05-03;1337.0;2588800.0;43915240.0;7.4790852508;7.7034578083;7.1271282978;7.765050275;7.4614874031
2006-05-04;734.0;535400.0;9269162.0;7.6990583464;7.567074489;7.4834847127;7.765050275;7.61546857
2006-05-05;1024.0;670400.0;12049575.0;7.919031442;7.8750368229;7.4262917078;8.0774120708;7.9058330562
2006-05-08;545.0;333100.0;6003756.0;7.9850233707;7.919031442;7.8354416656;7.9850233707;7.9278303658
2006-05-09;491.0;411100.0;7416712.0;8.0290179898;7.919031442;7.919031442;8.0290179898;7.9366292896
2006-05-10;759.0;497300.0;9050979.0;8.0950099185;7.9234309039;7.919031442;8.1829991567;8.0070206802
2006-05-11;494.0;659300.0;11985115.0;7.919031442;8.015819604;7.8750368229;8.2753878569;7.9982217564
2006-05-12;270.0;595200.0;10688873.0;7.8970341324;7.919031442;7.8310422037;8.0510152993;7.9014335943
2006-05-15;155.0;70900.0;1259968.0;7.8310422037;7.8310422037;7.6594631892;7.919031442;7.817843818
2006-05-16;231.0;747900.0;13187042.0;7.919031442;7.919031442;7.6110691081;7.9630260611;7.7562513512
2006-05-17;209.0;229800.0;4114911.0;7.919031442;7.9410287515;7.6990583464;8.0070206802;7.8794362848
2006-05-18;153.0;82100.0;1472040.0;7.8750368229;7.6990583464;7.6990583464;7.919031442;7.8882352086
2006-05-19;122.0;252600.0;4492457.0;7.8750368229;7.7870475846;7.7870475846;7.919031442;7.8222432799
2006-05-22;216.0;1161500.0;19605583.0;7.4130933221;7.6990583464;7.1271282978;7.6990583464;7.4262917078
2006-05-23;109.0;125400.0;2193865.0;7.6330664177;7.6946588844;7.4790852508;7.9146319801;7.6946588844
2006-05-24;110.0;357700.0;5882130.0;7.4570879412;7.6330664177;6.8455627354;7.6330664177;7.2327153837
2006-05-25;96.0;319500.0;5426409.0;7.4790852508;7.3031067743;7.2591121551;7.4790852508;7.4702863269
2006-05-26;232.0;632900.0;10776028.0;7.4790852508;7.6110691081;7.2591121551;7.919031442;7.4922836365
2006-05-29;37.0;8100.0;136658.0;7.4790852508;7.6902594225;7.1315277597;7.6990583464;7.4218922459
2006-05-30;166.0;96200.0;1515898.0;6.5991928683;7.567074489;6.5991928683;7.567074489;6.9335519736
2006-05-31;181.0;176500.0;2635300.0;6.5551982492;6.6431874874;6.1592466771;6.9027557403;6.5683966349
2006-06-01;63.0;108700.0;1617564.0;6.5991928683;6.7267772638;6.4716084729;6.7311767257;6.5463993254
2006-06-02;72.0;18600.0;271749.0;6.2032412962;6.6431874874;6.1592466771;6.9071552022;6.4276138537
2006-06-05;48.0;25000.0;347886.0;6.115252058;6.2032412962;5.9436730434;6.2692332249;6.1240509818
2006-06-06;96.0;55200.0;733500.0;5.7500967193;6.115252058;5.7236999478;6.115252058;5.8468848813
2006-06-07;103.0;65200.0;876681.0;5.7193004859;5.9392735815;5.5917160904;6.1592466771;5.9172762719
2006-06-08;104.0;27500.0;337291.0;5.3453462233;5.7193004859;5.3013516042;5.7193004859;5.3981397663
2006-06-09;227.0;164100.0;2149953.0;5.6313112476;5.6049144762;5.4993273903;5.8512843432;5.763295105
2006-06-12;108.0;68000.0;849018.0;5.0813785086;5.6313112476;5.0813785086;5.714901024;5.4949279283
2006-06-13;101.0;43600.0;463671.0;4.4654538409;5.059381199;4.4038613741;5.059381199;4.6766280127
2006-06-14;161.0;964500.0;10073991.0;4.5842393125;4.4918506124;4.4654538409;4.7514188652;4.5930382363
2006-06-16;83.0;46000.0;524158.0;5.2573569851;4.8394081034;4.7470194033;5.2749548327;5.010987118
2006-06-19;191.0;267000.0;3184233.0;5.1913650564;5.1913650564;4.9273973417;5.6753058667;5.2485580613
2006-06-20;50.0;50500.0;599011.0;5.1913650564;5.213362366;5.1077752801;5.2793542947;5.2177618279
2006-06-21;63.0;48400.0;569284.0;5.0153865799;5.1473704373;5.0153865799;5.2793542947;5.1737672088
2006-06-22;26.0;10500.0;123020.0;5.0461828133;5.2309602136;5.0461828133;5.2309602136;5.1561693611
2006-06-23;34.0;11100.0;128300.0;4.9273973417;5.2045634421;4.9273973417;5.2045634421;5.0857779705
2006-06-26;53.0;24500.0;270751.0;4.7954134843;5.0989763562;4.7954134843;5.0989763562;4.861405413
2006-06-27;111.0;97600.0;1039993.0;4.6854269365;4.7514188652;4.5754403887;4.9713919608;4.6898263984
2006-06-28;74.0;22000.0;232489.0;4.6634296269;4.5534430791;4.5490436172;4.7470194033;4.6502312412
2006-06-29;120.0;62400.0;696551.0;4.9713919608;4.7514188652;4.6766280127;5.0989763562;4.909799494
2006-06-30;170.0;216000.0;2547498.0;5.3453462233;5.208962904;5.059381199;5.3673435329;5.1869655945
2006-07-03;123.0;41400.0;545690.0;5.8952789624;5.4905284664;5.4905284664;5.9348741196;5.7984908003
2006-07-04;98.0;30200.0;403163.0;6.1064531341;5.8864800385;5.7852924145;6.115252058;5.8732816528
2006-07-05;102.0;29000.0;402316.0;6.1592466771;6.0228633578;5.8732816528;6.2340375296;6.1020536722
2006-07-06;95.0;90500.0;1222512.0;5.8952789624;6.1460482914;5.7412977954;6.3792197727;5.9436730434
2006-07-07;156.0;229800.0;3010051.0;5.6753058667;5.8952789624;5.6533085572;5.9392735815;5.763295105
2006-07-10;68.0;20100.0;260043.0;5.7588956431;5.6753058667;5.5169252379;5.763295105;5.6929037144
2006-07-11;53.0;26200.0;330390.0;5.5477214713;5.5917160904;5.4993273903;5.7368983335;5.5477214713
2006-07-12;30.0;16400.0;207818.0;5.4509333092;5.6753058667;5.4509333092;5.6753058667;5.5741182428
2006-07-13;33.0;12400.0;149073.0;5.2573569851;5.411338152;5.2573569851;5.411338152;5.2881532185
2006-07-14;30.0;27000.0;320133.0;5.2441585994;5.1913650564;5.1913650564;5.2573569851;5.2177618279
2006-07-17;108.0;68900.0;792725.0;4.9713919608;5.1913650564;4.9713919608;5.1913650564;5.063780661
2006-07-18;141.0;93000.0;999942.0;4.7030247842;5.2309602136;4.6634296269;5.2309602136;4.7294215556
2006-07-19;165.0;98700.0;1121420.0;5.1473704373;4.7294215556;4.7294215556;5.1473704373;4.9977887323
2006-07-20;90.0;118400.0;1420378.0;5.2749548327;5.1517698992;5.1209736658;5.3453462233;5.2793542947
2006-07-21;37.0;22800.0;268435.0;5.1473704373;5.2793542947;5.0153865799;5.2793542947;5.1781666707
2006-07-24;44.0;195700.0;2311975.0;5.2353596755;5.1473704373;5.0373838895;5.2573569851;5.1957645183
2006-07-25;107.0;140300.0;1649487.0;5.2793542947;5.2353596755;5.1077752801;5.2793542947;5.1737672088
