Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-02-02;1.0;100.0;2001.0;4.2861147383;4.2861147383;4.2861147383;4.2861147383;4.2861147383
2000-07-06;2.0;1100.0;24200.0;5.2473302305;5.2473302305;5.2473302305;5.2473302305;5.2473302305
2000-07-14;2.0;2000.0;44000.0;5.2473302305;5.2473302305;5.2473302305;5.2473302305;5.2473302305
2002-04-19;2.0;200.0;3580.0;5.2576993535;5.2576993535;5.2576993535;5.2576993535;5.2576993535
2002-07-19;1.0;100.0;2000.0;5.8745244173;5.8745244173;5.8745244173;5.8745244173;5.8745244173
2003-01-31;2.0;300.0;6900.0;8.5877119389;8.5877119389;8.5877119389;8.5877119389;8.5877119389
2003-02-03;1.0;600.0;13800.0;8.5877119389;8.5877119389;8.5877119389;8.5877119389;8.5877119389
2003-03-25;1.0;100.0;2800.0;10.454605838;10.454605838;10.454605838;10.454605838;10.454605838
2003-03-27;6.0;7500.0;225194.0;11.649417934;11.205097186;11.205097186;11.649417934;11.212564762
2003-04-29;1.0;100.0;3200.0;11.948120958;11.948120958;11.948120958;11.948120958;11.948120958
2003-05-12;1.0;100.0;3520.0;13.142933054;13.142933054;13.142933054;13.142933054;13.142933054
2003-09-01;2.0;200.0;6802.0;12.698612306;12.698612306;12.698612306;12.698612306;12.698612306
2003-09-04;1.0;100.0;3401.0;12.698612306;12.698612306;12.698612306;12.698612306;12.698612306
2003-09-12;1.0;100.0;3451.0;12.885301696;12.885301696;12.885301696;12.885301696;12.885301696
2003-09-18;1.0;100.0;3500.0;13.068257298;13.068257298;13.068257298;13.068257298;13.068257298
2003-09-22;1.0;100.0;3500.0;13.068257298;13.068257298;13.068257298;13.068257298;13.068257298
2003-11-28;1.0;200.0;7000.0;13.068257298;13.068257298;13.068257298;13.068257298;13.068257298
2003-12-11;1.0;100.0;4000.0;14.935151198;14.935151198;14.935151198;14.935151198;14.935151198
2003-12-16;1.0;200.0;7400.0;15.049849878;15.049849878;15.049849878;15.049849878;15.049849878
2004-03-17;2.0;300.0;13500.0;18.303871474;18.303871474;18.303871474;18.303871474;18.303871474
2004-03-25;2.0;300.0;13500.0;18.303871474;18.303871474;18.303871474;18.303871474;18.303871474
2004-05-12;2.0;200.0;7002.0;14.240412006;14.240412006;14.240412006;14.240412006;14.240412006
2004-05-13;2.0;300.0;11733.0;15.908098074;15.908098074;15.908098074;15.908098074;15.908098074
2004-05-14;2.0;400.0;17644.0;17.982536842;17.819835762;17.819835762;17.982536842;17.941861572
2004-05-31;1.0;200.0;8844.0;17.986604369;17.986604369;17.986604369;17.986604369;17.986604369
2004-06-15;1.0;200.0;8200.0;16.676860676;16.676860676;16.676860676;16.676860676;16.676860676
2004-06-24;1.0;200.0;8202.0;16.680928203;16.680928203;16.680928203;16.680928203;16.680928203
2004-07-02;2.0;200.0;8200.0;16.676860676;16.676860676;16.676860676;16.676860676;16.676860676
2004-07-13;2.0;200.0;8200.0;16.676860676;16.676860676;16.676860676;16.676860676;16.676860676
2004-11-16;4.0;400.0;18880.0;18.873325253;19.524129572;18.873325253;19.524129572;19.198727413
2004-12-03;1.0;100.0;4300.0;17.490366075;17.490366075;17.490366075;17.490366075;17.490366075
2005-03-09;1.0;300.0;12903.0;18.846596757;18.846596757;18.846596757;18.846596757;18.846596757
2005-03-31;1.0;200.0;8240.0;18.053470969;18.053470969;18.053470969;18.053470969;18.053470969
2005-06-10;1.0;200.0;8400.0;18.519833243;18.519833243;18.519833243;18.519833243;18.519833243
2006-02-21;1.0;100.0;2635.0;11.91698202;11.91698202;11.91698202;11.91698202;11.91698202
2006-03-01;1.0;100.0;2601.0;11.76321451;11.76321451;11.76321451;11.76321451;11.76321451
2006-05-22;2.0;200.0;5200.0;11.758691936;11.758691936;11.758691936;11.758691936;11.758691936
2006-08-18;2.0;200.0;4300.0;10.401919789;9.0451476432;9.0451476432;10.401919789;9.7235337165
2006-11-17;1.0;100.0;2850.0;12.889335391;12.889335391;12.889335391;12.889335391;12.889335391
2006-12-20;2.0;400.0;9802.0;11.080305863;11.084828436;11.080305863;11.084828436;11.084828436
2007-02-01;2.0;200.0;5832.0;13.187825263;13.187825263;13.187825263;13.187825263;13.187825263
2007-02-15;2.0;200.0;6160.0;13.92952737;13.92952737;13.92952737;13.92952737;13.92952737
2007-03-23;1.0;100.0;3901.0;17.642560478;17.642560478;17.642560478;17.642560478;17.642560478
2007-06-28;16.0;4500.0;198790.0;20.396807935;19.456112581;19.456112581;20.396807935;19.980731144
2007-06-29;6.0;1600.0;83600.0;24.874156019;21.256096962;21.256096962;24.874156019;23.630448218
2007-07-02;1.0;100.0;5800.0;26.230928165;26.230928165;26.230928165;26.230928165;26.230928165
2007-07-03;1.0;200.0;12000.0;27.13544293;27.13544293;27.13544293;27.13544293;27.13544293
2007-07-10;1.0;100.0;6000.0;27.13544293;27.13544293;27.13544293;27.13544293;27.13544293
2007-07-11;1.0;800.0;49600.0;28.039957694;28.039957694;28.039957694;28.039957694;28.039957694
2007-07-13;2.0;200.0;13199.0;30.301244605;29.392207267;29.392207267;30.301244605;29.848987223
2007-09-11;1.0;100.0;7000.0;31.658016751;31.658016751;31.658016751;31.658016751;31.658016751
2007-09-12;1.0;100.0;7200.0;32.562531516;32.562531516;32.562531516;32.562531516;32.562531516
2007-09-13;3.0;500.0;35000.0;31.658016751;31.658016751;31.658016751;31.658016751;31.658016751
2007-09-14;1.0;100.0;6991.0;31.617313587;31.617313587;31.617313587;31.617313587;31.617313587
2007-09-17;2.0;200.0;13800.0;31.205759369;31.205759369;31.205759369;31.205759369;31.205759369
2007-09-21;1.0;100.0;7500.0;33.919303662;33.919303662;33.919303662;33.919303662;33.919303662
2007-10-02;2.0;200.0;14752.0;34.145432353;32.571576663;32.571576663;34.145432353;33.358504508
2007-10-08;1.0;100.0;8000.0;36.180590573;36.180590573;36.180590573;36.180590573;36.180590573
2007-11-05;1.0;100.0;8351.0;37.768013984;37.768013984;37.768013984;37.768013984;37.768013984
2007-11-06;2.0;200.0;16600.0;37.537362719;37.537362719;37.537362719;37.537362719;37.537362719
2007-11-12;2.0;300.0;28502.0;42.964451305;42.968973879;42.964451305;42.968973879;42.968973879
2007-11-21;1.0;100.0;8510.0;38.487103222;38.487103222;38.487103222;38.487103222;38.487103222
2007-11-26;2.0;200.0;17000.0;38.441877484;38.441877484;38.441877484;38.441877484;38.441877484
2007-12-06;1.0;100.0;8500.0;38.441877484;38.441877484;38.441877484;38.441877484;38.441877484
2007-12-28;1.0;100.0;8600.0;40.294382506;40.294382506;40.294382506;40.294382506;40.294382506
2008-01-02;1.0;100.0;8800.0;41.231461169;41.231461169;41.231461169;41.231461169;41.231461169
2008-01-14;1.0;100.0;8501.0;39.830528568;39.830528568;39.830528568;39.830528568;39.830528568
2008-01-17;1.0;100.0;8300.0;38.888764512;38.888764512;38.888764512;38.888764512;38.888764512
2008-02-07;1.0;100.0;8100.0;37.951685849;37.951685849;37.951685849;37.951685849;37.951685849
2008-02-08;1.0;100.0;8001.0;37.487831911;37.487831911;37.487831911;37.487831911;37.487831911
2008-03-10;1.0;100.0;8000.0;37.483146517;37.483146517;37.483146517;37.483146517;37.483146517
2008-04-16;1.0;20.0;1404.0;32.891461069;32.891461069;32.891461069;32.891461069;32.891461069
2008-04-29;2.0;20.0;1402.0;32.844607136;32.844607136;32.844607136;32.844607136;32.844607136
2008-05-02;2.0;20.0;1591.0;37.389438651;37.155168985;37.155168985;37.389438651;37.295730785
2008-05-23;1.0;50.0;3875.0;36.311798189;36.311798189;36.311798189;36.311798189;36.311798189
2008-05-29;2.0;20.0;1526.0;35.749550991;35.749550991;35.749550991;35.749550991;35.749550991
2008-06-05;3.0;110.0;9750.0;41.7000005;39.825843175;39.825843175;41.7000005;41.512584768
2008-06-06;2.0;60.0;5400.0;42.637079163;41.7000005;41.7000005;42.637079163;42.168539832
2008-06-11;3.0;120.0;10910.0;42.59022523;42.637079163;42.59022523;42.637079163;42.59022523
2008-06-26;2.0;50.0;4750.0;44.511236489;44.511236489;44.511236489;44.511236489;44.511236489
2008-07-16;1.0;50.0;4500.0;42.168539832;42.168539832;42.168539832;42.168539832;42.168539832
2008-08-22;1.0;10.0;900.0;42.168539832;42.168539832;42.168539832;42.168539832;42.168539832
2008-09-09;1.0;10.0;899.0;42.121685899;42.121685899;42.121685899;42.121685899;42.121685899
2008-09-19;1.0;10.0;800.0;37.483146517;37.483146517;37.483146517;37.483146517;37.483146517
2008-09-22;3.0;50.0;4000.0;37.483146517;37.483146517;37.483146517;37.483146517;37.483146517
2008-09-23;1.0;30.0;2400.0;37.483146517;37.483146517;37.483146517;37.483146517;37.483146517
2008-11-27;6.0;60.0;2736.0;21.131123849;21.599663181;21.131123849;21.599663181;21.365393515
2008-12-04;1.0;10.0;400.0;18.741573259;18.741573259;18.741573259;18.741573259;18.741573259
2008-12-15;4.0;60.0;2404.0;18.741573259;18.788427192;18.741573259;18.788427192;18.788427192
2008-12-16;2.0;50.0;2500.0;23.426966573;23.426966573;23.426966573;23.426966573;23.426966573
2008-12-23;1.0;10.0;500.0;23.426966573;23.426966573;23.426966573;23.426966573;23.426966573
2008-12-30;1.0;10.0;695.0;32.563483537;32.563483537;32.563483537;32.563483537;32.563483537
2009-03-23;3.0;30.0;1209.0;18.882135058;18.882135058;18.882135058;18.882135058;18.882135058
2009-03-24;2.0;30.0;1200.0;18.741573259;18.741573259;18.741573259;18.741573259;18.741573259
2009-03-26;4.0;40.0;1600.0;18.741573259;18.741573259;18.741573259;18.741573259;18.741573259
2009-04-07;1.0;10.0;513.0;24.036067704;24.036067704;24.036067704;24.036067704;24.036067704
2009-04-30;2.0;20.0;1094.0;25.629101431;25.629101431;25.629101431;25.629101431;25.629101431
2009-05-07;3.0;40.0;1996.0;23.38011264;23.38011264;23.38011264;23.38011264;23.38011264
2009-05-22;6.0;80.0;3301.0;19.538090122;18.882135058;18.882135058;19.538090122;19.35067439
2009-05-27;1.0;10.0;425.0;19.912921587;19.912921587;19.912921587;19.912921587;19.912921587
2009-06-08;1.0;10.0;420.0;19.678651922;19.678651922;19.678651922;19.678651922;19.678651922
2009-07-28;2.0;50.0;2024.0;18.788427192;19.678651922;18.788427192;19.678651922;18.975842924
2009-07-29;1.0;60.0;2580.0;20.147191253;20.147191253;20.147191253;20.147191253;20.147191253
2009-08-07;2.0;330.0;14190.0;20.147191253;20.147191253;20.147191253;20.147191253;20.147191253
2009-08-25;2.0;40.0;1720.0;20.147191253;20.147191253;20.147191253;20.147191253;20.147191253
2009-09-22;3.0;30.0;1200.0;18.741573259;18.741573259;18.741573259;18.741573259;18.741573259
2009-10-01;6.0;350.0;15046.0;20.568876651;19.21011259;19.21011259;20.568876651;20.147191253
2009-10-02;1.0;10.0;440.0;20.615730584;20.615730584;20.615730584;20.615730584;20.615730584
2009-10-07;1.0;100.0;4300.0;20.147191253;20.147191253;20.147191253;20.147191253;20.147191253
2009-10-08;3.0;120.0;5217.0;20.194045186;20.428314852;20.194045186;20.428314852;20.381460919
2009-10-09;5.0;240.0;10969.0;21.505955314;21.552809247;21.084269916;21.552809247;21.412247448
2009-10-14;1.0;100.0;5000.0;23.426966573;23.426966573;23.426966573;23.426966573;23.426966573
2009-10-15;3.0;160.0;7250.0;23.426966573;21.084269916;21.084269916;23.426966573;21.224831715
2009-10-19;6.0;400.0;19250.0;22.48988791;22.958427242;22.48988791;22.958427242;22.536741843
2009-10-20;4.0;410.0;19680.0;22.48988791;22.48988791;22.48988791;22.48988791;22.48988791
2009-10-21;1.0;320.0;15360.0;22.48988791;22.48988791;22.48988791;22.48988791;22.48988791
2009-12-11;4.0;110.0;5004.0;22.443033977;22.48988791;19.912921587;22.48988791;21.318539582
2009-12-14;2.0;20.0;850.0;19.912921587;19.912921587;19.912921587;19.912921587;19.912921587
2009-12-15;1.0;10.0;400.0;19.110517125;19.110517125;19.110517125;19.110517125;19.110517125
2010-01-12;6.0;130.0;7130.0;26.276961047;25.799198119;25.799198119;26.276961047;26.181408461
2010-01-22;2.0;20.0;1338.0;31.962339892;31.962339892;31.962339892;31.962339892;31.962339892
2010-01-26;1.0;10.0;650.0;31.054590328;31.054590328;31.054590328;31.054590328;31.054590328
2010-01-27;3.0;40.0;2776.0;33.395628676;32.870089455;32.870089455;33.395628676;33.156747212
2010-01-28;2.0;200.0;13880.0;33.156747212;33.156747212;33.156747212;33.156747212;33.156747212
2010-02-11;4.0;120.0;8388.0;33.395628676;33.395628676;33.395628676;33.395628676;33.395628676
2010-03-17;1.0;10.0;688.0;32.870089455;32.870089455;32.870089455;32.870089455;32.870089455
2010-03-22;1.0;10.0;900.0;42.998663531;42.998663531;42.998663531;42.998663531;42.998663531
2010-09-01;1.0;10.0;898.0;42.903110946;42.903110946;42.903110946;42.903110946;42.903110946
2010-09-23;1.0;10.0;700.0;33.443404969;33.443404969;33.443404969;33.443404969;33.443404969
2010-09-28;3.0;140.0;8598.0;28.665775688;33.395628676;28.665775688;33.395628676;29.334643787
2010-10-06;2.0;20.0;1151.0;28.665775688;26.32473734;26.32473734;28.665775688;27.51914466
2010-10-22;3.0;30.0;1532.0;24.46146192;24.365909335;24.365909335;24.46146192;24.413685627
2010-10-26;2.0;20.0;1004.0;23.983698992;23.983698992;23.983698992;23.983698992;23.983698992
2010-11-19;1.0;10.0;601.0;28.713551981;28.713551981;28.713551981;28.713551981;28.713551981
2010-11-24;2.0;20.0;1200.0;28.665775688;28.665775688;28.665775688;28.665775688;28.665775688
2010-11-26;1.0;10.0;601.0;28.713551981;28.713551981;28.713551981;28.713551981;28.713551981
2011-01-04;1.0;10.0;599.0;29.779783058;29.779783058;29.779783058;29.779783058;29.779783058
2011-02-02;2.0;50.0;3200.0;31.818132148;31.818132148;31.818132148;31.818132148;31.818132148
2011-02-15;1.0;10.0;645.0;32.066711306;32.066711306;32.066711306;32.066711306;32.066711306
2011-02-23;1.0;10.0;645.0;32.066711306;32.066711306;32.066711306;32.066711306;32.066711306
2011-02-24;2.0;40.0;2580.0;32.066711306;32.066711306;32.066711306;32.066711306;32.066711306
2011-03-01;1.0;100.0;6000.0;29.829498889;29.829498889;29.829498889;29.829498889;29.829498889
2011-04-25;2.0;50.0;3000.0;29.829498889;29.829498889;29.829498889;29.829498889;29.829498889
