Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-10-05;1.0;562.5;10440.0;2.7485980738;2.7485980738;2.7485980738;2.7485980738;2.7485980738
2000-10-23;1.0;187.5;3630.0;2.8670721287;2.8670721287;2.8670721287;2.8670721287;2.8670721287
2001-04-11;1.0;4062.5;195000.0;7.6796574877;7.6796574877;7.6796574877;7.6796574877;7.6796574877
2002-02-04;1.0;62.5;3120.0;7.9868437872;7.9868437872;7.9868437872;7.9868437872;7.9868437872
2004-06-09;1.0;62.5;1990.0;4.2548009062;4.2548009062;4.2548009062;4.2548009062;4.2548009062
2004-10-28;1.0;62.5;1200.0;2.5657090892;2.5657090892;2.5657090892;2.5657090892;2.5657090892
2004-11-11;1.0;187.5;3450.0;2.4588045438;2.4588045438;2.4588045438;2.4588045438;2.4588045438
2005-02-28;3.0;487.5;10998.0;3.0147081798;3.0147081798;3.0147081798;3.0147081798;3.0147081798
2005-03-30;1.0;12.5;284.0;3.0360890889;3.0360890889;3.0360890889;3.0360890889;3.0360890889
2005-04-08;3.0;37.5;852.0;3.0360890889;3.0360890889;3.0360890889;3.0360890889;3.0360890889
2005-04-13;2.0;156.25;3550.0;3.0360890889;3.0360890889;3.0360890889;3.0360890889;3.0360890889
2005-04-18;1.0;12.5;284.0;3.0360890889;3.0360890889;3.0360890889;3.0360890889;3.0360890889
2005-04-28;3.0;200.0;6683.0;3.0360890889;4.5113718152;3.0360890889;4.5113718152;4.468609997
2005-11-18;4.0;193.75;12989.0;9.6372827897;9.6372827897;9.6372827897;9.6372827897;9.6372827897
2005-11-21;2.0;150.0;10056.0;9.6372827897;9.6372827897;9.6372827897;9.6372827897;9.6372827897
2006-01-26;6.0;4131.25;261095.0;9.0852665917;9.0852665917;9.0852665917;9.0852665917;9.0852665917
2006-01-27;2.0;2875.0;181700.0;9.0852665917;9.0852665917;9.0852665917;9.0852665917;9.0852665917
2006-02-09;1.0;625.0;41000.0;9.4302767155;9.4302767155;9.4302767155;9.4302767155;9.4302767155
2006-02-17;2.0;562.5;36900.0;9.4302767155;9.4302767155;9.4302767155;9.4302767155;9.4302767155
2006-02-21;1.0;625.0;40000.0;9.2002699663;9.2002699663;9.2002699663;9.2002699663;9.2002699663
2006-02-22;1.0;625.0;40000.0;9.2002699663;9.2002699663;9.2002699663;9.2002699663;9.2002699663
2006-02-23;1.0;312.5;20000.0;9.2002699663;9.2002699663;9.2002699663;9.2002699663;9.2002699663
2006-02-24;1.0;312.5;20000.0;9.2002699663;9.2002699663;9.2002699663;9.2002699663;9.2002699663
2006-03-02;1.0;312.5;20000.0;9.2002699663;9.2002699663;9.2002699663;9.2002699663;9.2002699663
2006-03-03;1.0;312.5;20000.0;9.2002699663;9.2002699663;9.2002699663;9.2002699663;9.2002699663
2006-03-06;2.0;625.0;40000.0;9.2002699663;9.2002699663;9.2002699663;9.2002699663;9.2002699663
2006-03-07;1.0;312.5;20000.0;9.2002699663;9.2002699663;9.2002699663;9.2002699663;9.2002699663
2006-03-09;1.0;75.0;4800.0;9.2002699663;9.2002699663;9.2002699663;9.2002699663;9.2002699663
2006-03-10;1.0;237.5;15200.0;9.2002699663;9.2002699663;9.2002699663;9.2002699663;9.2002699663
2006-03-13;1.0;312.5;20000.0;9.2002699663;9.2002699663;9.2002699663;9.2002699663;9.2002699663
2006-03-14;2.0;625.0;40000.0;9.2002699663;9.2002699663;9.2002699663;9.2002699663;9.2002699663
2006-03-15;2.0;625.0;40000.0;9.2002699663;9.2002699663;9.2002699663;9.2002699663;9.2002699663
2006-03-16;4.0;687.5;44000.0;9.2002699663;9.2002699663;9.2002699663;9.2002699663;9.2002699663
2006-03-17;1.0;312.5;20000.0;9.2002699663;9.2002699663;9.2002699663;9.2002699663;9.2002699663
2006-03-22;2.0;312.5;20000.0;9.2002699663;9.2002699663;9.2002699663;9.2002699663;9.2002699663
2006-03-24;1.0;187.5;12000.0;9.2002699663;9.2002699663;9.2002699663;9.2002699663;9.2002699663
2006-03-27;2.0;500.0;32000.0;9.2002699663;9.2002699663;9.2002699663;9.2002699663;9.2002699663
2006-03-29;1.0;312.5;20000.0;9.2002699663;9.2002699663;9.2002699663;9.2002699663;9.2002699663
2006-04-03;1.0;312.5;20000.0;9.2002699663;9.2002699663;9.2002699663;9.2002699663;9.2002699663
2006-04-05;1.0;312.5;20000.0;9.2002699663;9.2002699663;9.2002699663;9.2002699663;9.2002699663
2006-04-26;2.0;125.0;9000.0;10.350303712;10.350303712;10.350303712;10.350303712;10.350303712
2006-05-16;4.0;375.0;24000.0;9.4724448826;9.4724448826;9.4724448826;9.4724448826;9.4724448826
2006-05-18;1.0;6.25;345.0;8.1699837112;8.1699837112;8.1699837112;8.1699837112;8.1699837112
2006-05-22;1.0;150.0;9600.0;9.4724448826;9.4724448826;9.4724448826;9.4724448826;9.4724448826
2006-07-25;10.0;975.0;43345.0;7.1280147741;6.5123058568;6.5123058568;8.0515781502;6.5833491934
2006-08-24;1.0;6.25;340.0;8.0515781502;8.0515781502;8.0515781502;8.0515781502;8.0515781502
2006-08-31;3.0;18.75;931.0;7.7910859159;7.1280147741;7.1280147741;7.7910859159;7.341144784
2006-09-26;1.0;6.25;285.0;6.7491169788;6.7491169788;6.7491169788;6.7491169788;6.7491169788
2006-10-02;1.0;6.25;300.0;7.1043336619;7.1043336619;7.1043336619;7.1043336619;7.1043336619
2006-10-05;3.0;118.75;5700.0;7.1043336619;7.1043336619;7.1043336619;7.1043336619;7.1043336619
2006-10-06;3.0;181.25;8308.0;7.1043336619;6.772798091;6.772798091;7.1043336619;6.772798091
2006-10-19;1.0;6.25;300.0;7.1043336619;7.1043336619;7.1043336619;7.1043336619;7.1043336619
2006-11-16;1.0;100.0;4800.0;7.1043336619;7.1043336619;7.1043336619;7.1043336619;7.1043336619
2007-01-19;1.0;6.25;300.0;7.1043336619;7.1043336619;7.1043336619;7.1043336619;7.1043336619
2007-01-22;1.0;125.0;6000.0;7.1043336619;7.1043336619;7.1043336619;7.1043336619;7.1043336619
2007-01-26;1.0;106.25;5100.0;7.1043336619;7.1043336619;7.1043336619;7.1043336619;7.1043336619
2007-03-01;2.0;12.5;1020.0;12.077367225;12.077367225;12.077367225;12.077367225;12.077367225
2007-03-02;5.0;287.5;20994.0;10.656500492;11.816874991;10.656500492;11.816874991;10.798587166
