Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2026-01-02;1717.0;332300.0;7917023.0;24.3;26.0;23.03;26.0;23.82
2026-01-05;1701.0;519500.0;12428453.0;24.01;24.19;23.2;24.56;23.92
2026-01-06;5006.0;2154500.0;52607152.0;24.02;24.02;24.02;25.25;24.41
2026-01-07;8408.0;2794800.0;65065621.0;22.85;23.85;22.71;24.22;23.28
2026-01-08;7424.0;1492100.0;34605731.0;23.37;22.79;22.72;23.55;23.19
2026-01-09;2710.0;521400.0;12317705.0;23.41;23.1;23.0;23.95;23.62
2026-01-12;5379.0;1259900.0;29301293.0;23.63;23.3;23.07;23.63;23.25
2026-01-13;2059.0;318600.0;7416626.0;23.37;23.2;22.86;23.51;23.27
2026-01-14;3310.0;629400.0;14810034.0;23.9;23.48;23.17;23.9;23.53
2026-01-15;1872.0;607900.0;14523156.0;23.92;24.02;23.65;24.2;23.89
2026-01-16;4292.0;797500.0;18632017.0;23.62;23.67;23.05;23.67;23.36
2026-01-19;2123.0;557400.0;13126161.0;23.42;23.78;23.38;23.78;23.54
2026-01-20;1273.0;248900.0;5954058.0;24.06;23.2;23.2;24.16;23.92
2026-01-21;3432.0;764900.0;19033932.0;25.26;24.45;24.45;25.26;24.88
2026-01-22;3204.0;532300.0;13786249.0;25.77;25.43;25.16;26.29;25.89
2026-01-23;4298.0;735700.0;19333882.0;26.66;26.0;25.48;26.99;26.27
2026-01-26;3304.0;580800.0;15443698.0;26.89;26.51;26.25;26.94;26.59
2026-01-27;3629.0;1301200.0;36424293.0;28.19;27.42;27.16;28.58;27.99
2026-01-28;6370.0;878100.0;24995543.0;28.75;28.19;28.17;28.98;28.46
2026-01-29;1719.0;297600.0;8389866.0;28.21;28.89;27.73;29.2;28.19
2026-01-30;3233.0;791300.0;22352638.0;28.15;27.84;27.84;28.53;28.24
2026-02-02;3328.0;480100.0;13863941.0;29.25;28.77;28.37;29.25;28.87
2026-02-03;2532.0;803000.0;24252011.0;30.9;29.53;29.48;30.9;30.2
2026-02-04;4496.0;870200.0;25460627.0;29.0;30.52;28.54;30.67;29.25
2026-02-05;2682.0;595100.0;17548719.0;29.59;29.05;29.05;29.87;29.48
2026-02-06;3067.0;616100.0;18165719.0;29.56;29.59;29.17;29.84;29.48
2026-02-09;3934.0;629400.0;18358170.0;29.18;29.99;28.86;29.99;29.16
2026-02-10;3226.0;488300.0;14425318.0;29.36;29.45;29.09;29.79;29.54
2026-02-11;1476.0;272900.0;8093944.0;29.79;29.87;29.38;29.9;29.65
2026-02-12;4385.0;871100.0;25504154.0;29.56;29.41;28.95;29.76;29.27
2026-02-13;2279.0;363800.0;10593234.0;29.11;29.12;28.55;29.36;29.11
2026-02-18;2686.0;406700.0;12111272.0;29.85;29.03;29.03;30.22;29.77
2026-02-19;2500.0;355400.0;10640446.0;30.16;29.85;29.65;30.16;29.93
2026-02-20;1929.0;403700.0;12135664.0;30.13;30.27;29.34;30.6;30.06
2026-02-23;2703.0;441200.0;13232585.0;29.98;30.01;29.76;30.41;29.99
2026-02-24;1981.0;265300.0;7988003.0;30.15;30.27;29.88;30.42;30.1
2026-02-25;1586.0;257000.0;7701310.0;30.01;30.16;29.71;30.28;29.96
2026-02-26;3709.0;610200.0;18310793.0;29.75;29.97;29.75;30.41;30.0
2026-02-27;1426.0;286700.0;8361773.0;29.15;30.0;28.85;30.0;29.16
2026-03-02;1731.0;286100.0;8208173.0;29.01;28.96;28.1;29.01;28.68
2026-03-03;4259.0;833600.0;22829267.0;27.64;28.16;27.0;28.16;27.38
2026-03-04;1786.0;380700.0;10739680.0;28.06;28.25;28.02;28.61;28.21
2026-03-05;2230.0;425000.0;11486064.0;26.62;28.0;26.48;28.06;27.02
2026-03-06;3760.0;622100.0;16326542.0;26.34;26.5;25.87;26.7;26.24
2026-03-09;4403.0;874200.0;22460328.0;26.2;26.33;25.25;26.4;25.69
2026-03-10;2722.0;676300.0;18334195.0;27.11;26.49;26.15;27.72;27.1
2026-03-11;2031.0;509600.0;13768781.0;26.81;26.72;26.62;27.62;27.01
2026-03-12;9937.0;1641600.0;42469947.0;25.8;25.4;25.4;26.41;25.87
2026-03-13;1452.0;435300.0;11037099.0;24.9;25.8;24.9;26.41;25.35
2026-03-16;2395.0;460800.0;11749198.0;25.46;25.1;25.1;25.86;25.49
2026-03-17;1431.0;261300.0;6773917.0;25.97;25.2;25.2;26.13;25.92
2026-03-18;1980.0;250700.0;6473355.0;25.74;25.61;25.41;26.23;25.81
2026-03-19;2635.0;416500.0;10571761.0;25.53;24.98;24.79;26.09;25.38
2026-03-20;3341.0;2336500.0;57547392.0;23.25;25.21;23.25;25.21;24.62
2026-03-23;5678.0;1471700.0;36980128.0;25.46;24.0;23.99;25.52;25.12
2026-03-24;2971.0;777200.0;19591061.0;25.59;25.46;24.5;25.59;25.2
2026-03-25;3855.0;1389500.0;36890498.0;26.49;26.18;25.82;26.82;26.54
2026-03-26;6533.0;2382000.0;60246859.0;25.15;26.34;25.0;26.34;25.29
2026-03-27;5033.0;1713500.0;41038342.0;23.5;24.95;23.44;24.95;23.94
2026-03-30;2120.0;515200.0;12375920.0;24.14;23.76;23.6;24.36;24.02
2026-03-31;2574.0;779300.0;19582485.0;25.29;24.5;24.16;25.53;25.12
2026-04-01;2063.0;383800.0;10032484.0;26.49;25.42;25.42;26.49;26.13
2026-04-02;2515.0;383600.0;9805678.0;25.58;25.47;24.73;26.16;25.56
