Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2004-11-18;0.0;0.0;0.0;4.4749319788;4.4749319788;4.4749319788;4.4749319788;4.4749319788
2004-11-19;2172.0;17583200.0;98161843.0;5.3699183745;4.9269001086;4.8888631868;5.5914275075;4.9962615543
2004-11-22;368.0;1939200.0;11154797.0;5.2558076091;5.3162191908;5.0387734081;5.3162191908;5.1484092416
2004-11-23;106.0;810800.0;4719692.0;5.2021084253;5.2535701431;5.1909210954;5.2535701431;5.2088208233
2004-11-24;134.0;975200.0;5691644.0;5.2244830852;5.3475437146;5.2021084253;5.3475437146;5.2244830852
2004-11-25;63.0;358400.0;2102061.0;5.280419735;5.3430687827;5.1909210954;5.3699183745;5.2490952111
2004-11-26;43.0;82800.0;482133.0;5.2356704152;5.3251690548;5.1573591055;5.3251690548;5.2110582893
2004-11-29;82.0;1100400.0;6326387.0;5.1461717756;5.2356704152;5.056673136;5.2356704152;5.1461717756
2004-11-30;170.0;1126800.0;6349172.0;5.0320610101;5.1461717756;4.9470373025;5.1461717756;5.0432483401
2004-12-01;136.0;3394800.0;19077580.0;5.1439343096;4.9671744965;4.9246626427;5.2356704152;5.0298235442
2004-12-02;95.0;650400.0;3691320.0;5.1014224558;5.1416968436;5.0342984761;5.3251690548;5.0790477959
2004-12-03;33.0;220400.0;1241736.0;5.0454858061;4.9895491563;4.9895491563;5.0991849898;5.0432483401
2004-12-06;250.0;2156000.0;12484421.0;5.278182269;4.9671744965;4.9671744965;5.3251690548;5.1819712314
2004-12-07;73.0;609200.0;3581328.0;5.2244830852;5.278182269;5.2155332213;5.2848946669;5.2602825411
2004-12-08;43.0;173200.0;1013886.0;5.2132957553;5.2222456192;5.1909210954;5.2580450751;5.2401453472
2004-12-09;41.0;417600.0;2405683.0;5.1461717756;5.1685464355;5.0365359421;5.1909210954;5.1551216396
2004-12-10;65.0;876800.0;5055619.0;5.1685464355;5.0387734081;5.0387734081;5.3005569289;5.1595965715
2004-12-13;32.0;218400.0;1262388.0;5.1685464355;5.2334329492;5.1573591055;5.2580450751;5.1730213675
2004-12-14;42.0;436000.0;2515185.0;5.1461717756;5.2468577451;5.1237971157;5.2580450751;5.1640715035
2004-12-15;44.0;189600.0;1088993.0;5.1640715035;5.1461717756;5.0812852619;5.1685464355;5.1394593776
2004-12-16;72.0;768800.0;4421348.0;5.1685464355;5.1528841736;5.1014224558;5.1685464355;5.1461717756
2004-12-17;84.0;1097200.0;6348775.0;5.1909210954;5.2580450751;5.1461717756;5.2580450751;5.1797337654
2004-12-20;27.0;108000.0;630759.0;5.1797337654;5.2132957553;5.1797337654;5.2580450751;5.2267205512
2004-12-21;30.0;113600.0;659194.0;5.1685464355;5.2021084253;5.1640715035;5.2244830852;5.1931585614
2004-12-22;18.0;71600.0;416059.0;5.2356704152;5.1797337654;5.1797337654;5.2356704152;5.1998709594
2004-12-23;78.0;986800.0;5797468.0;5.2916070649;5.1909210954;5.1909210954;5.2916070649;5.2580450751
2004-12-27;30.0;100400.0;595171.0;5.3251690548;5.278182269;5.278182269;5.3654434426;5.3050318609
2004-12-28;75.0;607200.0;3642303.0;5.3609685106;5.3475437146;5.3251690548;5.5936649735;5.3676809086
2004-12-29;51.0;424400.0;2548872.0;5.4079552964;5.5936649735;5.3027943949;5.5936649735;5.3743933065
2004-12-30;54.0;390800.0;2338195.0;5.3475437146;5.3699183745;5.3363563847;5.4146676943;5.3542561126
2005-01-03;71.0;514400.0;3215630.0;5.6160396334;5.3699183745;5.3699183745;5.8174115724;5.5936649735
2005-01-04;94.0;512800.0;3314342.0;5.7614749227;5.5914275075;5.5914275075;6.0411581714;5.7838495826
2005-01-05;118.0;1238000.0;8210492.0;5.9516595318;5.7614749227;5.705538273;5.9852215216;5.9359972699
2005-01-06;70.0;1055600.0;6906869.0;5.8397862323;5.8845355521;5.7726622526;5.9964088516;5.8554484943
2005-01-07;54.0;736800.0;4791621.0;5.8174115724;5.9292848719;5.7167256029;5.9292848719;5.8196490384
2005-01-10;27.0;33600.0;216496.0;5.8129366404;6.0411581714;5.705538273;6.0411581714;5.7659498547
2005-01-11;35.0;739600.0;4681140.0;5.6607889532;5.8129366404;5.6607889532;5.8129366404;5.6652638851
2005-01-12;65.0;2144800.0;13452833.0;5.9292848719;5.6607889532;5.5824776435;5.9292848719;5.6138021674
2005-01-13;19.0;34800.0;228154.0;5.904672746;5.9292848719;5.8174115724;5.9292848719;5.8666358242
2005-01-14;41.0;371200.0;2467978.0;5.9740341917;5.8174115724;5.8174115724;6.0389207054;5.9494220658
2005-01-17;53.0;80000.0;530095.0;5.9606093957;6.0187835115;5.8174115724;6.0187835115;5.9292848719
2005-01-18;60.0;287200.0;1866791.0;5.8174115724;5.8174115724;5.5936649735;5.8845355521;5.8174115724
2005-01-19;42.0;1071200.0;6936842.0;5.7950369125;5.7950369125;5.705538273;5.8174115724;5.7950369125
2005-01-20;35.0;228800.0;1486471.0;5.705538273;5.8174115724;5.705538273;5.8845355521;5.8151741064
2005-01-21;21.0;50800.0;330133.0;5.8062242425;5.8845355521;5.8062242425;5.8845355521;5.8151741064
2005-01-24;35.0;170000.0;1134201.0;6.0411581714;5.9292848719;5.8397862323;6.0411581714;5.9717967257
2005-01-26;40.0;385600.0;2557051.0;6.0389207054;6.0411581714;5.8174115724;6.0411581714;5.9359972699
2005-01-27;99.0;569200.0;3822387.0;6.0411581714;6.0411581714;5.9628468617;6.1507940048;6.0098336475
2005-01-28;71.0;1131600.0;7541631.0;6.2649047703;5.9292848719;5.9248099399;6.2649047703;5.9650843277
