Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2020-09-25;1.0;337.499997;2500.0;5.5044941259;5.5044941259;5.5044941259;5.5044941259;5.5044941259
2020-09-28;30.0;11137.499901;181726.0;15.412583552;6.605392951;6.605392951;15.412583552;12.123097862
2020-09-29;33.0;11474.999898;367726.0;21.359639006;18.054740733;18.054740733;30.825167105;23.812441588
2020-09-30;9.0;3037.499973;90475.0;19.816178853;26.388544839;19.816178853;26.388544839;22.132469981
2020-10-16;14.0;4724.999958;117950.0;17.396403235;19.80957346;17.396403235;19.80957346;18.550145204
2020-10-20;23.0;7762.499931;157357.0;13.47500162;17.394201438;13.47500162;17.394201438;15.062497726
2020-10-22;9.0;3037.499973;50919.0;12.204564375;13.208584104;12.204564375;13.320875784;12.455569308
2020-10-23;25.0;8437.499925;129278.0;11.024400835;12.197958982;11.008988251;12.197958982;11.385495649
2020-11-03;3.0;1349.999988;16000.0;8.8071906014;8.8071906014;8.8071906014;8.8071906014;8.8071906014
2020-11-06;1.0;674.999994;8000.0;8.8071906014;8.8071906014;8.8071906014;8.8071906014;8.8071906014
2020-11-10;34.0;17212.499847;159104.0;7.0479542788;5.9448536559;5.9448536559;7.7084935739;6.8674068714
2020-11-11;29.0;10462.499907;92054.0;6.4953030685;7.0501560764;6.385213186;7.0501560764;6.5371372239
2020-11-12;58.0;21599.999808;199810.0;7.9264715412;6.165033421;6.0901723009;7.9264715412;6.8740122644
2020-11-13;74.0;30374.99973;283167.0;6.7375008101;7.9264715412;6.385213186;7.9264715412;6.926855408
2020-11-16;16.0;6074.999946;53600.0;6.3653970072;6.7375008101;6.2751233035;6.7375008101;6.5547516051
2020-11-17;9.0;3037.499973;25262.0;5.9448536559;6.3653970072;5.9448536559;6.3653970072;6.1782442069
2020-11-18;4.0;1349.999988;11200.0;6.385213186;5.9448536559;5.9448536559;6.385213186;6.165033421
2020-11-19;8.0;3037.499973;24867.0;6.2861322917;6.3631952095;5.748893665;6.3631952095;6.0835669079
2020-11-23;11.0;3712.499967;29943.0;5.8898087147;5.7687098439;5.7687098439;6.114392075;5.9932932042
2020-11-24;5.0;2699.999976;22227.0;6.1672352186;5.8898087147;5.8898087147;6.1672352186;6.1165938727
2020-11-25;1.0;337.499997;2650.0;5.8347637734;5.8347637734;5.8347637734;5.8347637734;5.8347637734
2020-11-26;3.0;1012.499991;7952.0;5.8347637734;5.8369655711;5.8347637734;5.8369655711;5.8347637734
2020-11-30;5.0;2699.999976;21361.0;5.9426518583;5.7577008557;5.7577008557;5.9426518583;5.8787997264
2020-12-02;2.0;674.999994;5334.0;5.8721943335;5.8721943335;5.8721943335;5.8721943335;5.8721943335
2020-12-03;2.0;674.999994;5160.0;5.8017368087;5.5595390671;5.5595390671;5.8017368087;5.6806379379
2020-12-04;14.0;4724.999958;37923.0;6.0901723009;5.7246738909;5.5044941259;6.2751233035;5.9624680371
2020-12-07;5.0;1687.499985;13824.0;5.9470554536;6.473285092;5.9470554536;6.473285092;6.0857687056
2020-12-08;23.0;9112.499919;72745.0;5.7907278204;5.7907278204;5.5044941259;6.3367736377;5.93164287
2020-12-09;14.0;9787.499913;75727.0;5.7907278204;5.5485300789;5.5375210906;5.7907278204;5.748893665
2020-12-10;3.0;1349.999988;11029.0;6.165033421;5.7907278204;5.7907278204;6.165033421;6.070356122
2020-12-11;5.0;2024.999982;15701.0;5.9448536559;5.7268756886;5.7246738909;5.9448536559;5.7599026533
2020-12-14;7.0;2362.499979;17938.0;5.7929296181;5.5066959235;5.4494491846;5.7929296181;5.6410055802
2020-12-15;14.0;5399.999952;44451.0;6.3631952095;6.0549435385;5.7246738909;6.3631952095;6.1165938727
2020-12-16;48.0;22949.999796;190724.0;5.8810015241;6.4931012709;5.7246738909;6.605392951;6.1738406116
2020-12-17;11.0;4724.999958;37726.0;5.8832033217;5.9668716324;5.8347637734;5.9668716324;5.93164287
2020-12-18;3.0;1349.999988;10651.0;6.0307237643;5.8347637734;5.7929296181;6.0307237643;5.8611853452
2020-12-21;4.0;1349.999988;10067.0;5.5815570436;5.5705480554;5.5044941259;5.5815570436;5.5397228883
2020-12-22;18.0;9787.499913;73137.0;5.6145840084;5.5925660319;5.4186240175;5.7246738909;5.5507318765
2020-12-23;2.0;674.999994;5000.0;5.5044941259;5.5044941259;5.5044941259;5.5044941259;5.5044941259
2020-12-28;13.0;5062.499955;36740.0;5.3503682903;5.3944042434;5.2843143608;5.4604581729;5.3922024457
2020-12-29;9.0;3374.99997;25912.0;5.8347637734;5.6145840084;5.6145840084;5.8347637734;5.704857712
2020-12-30;6.0;2024.999982;15520.0;5.6145840084;5.8347637734;5.5485300789;5.8347637734;5.6938487238
2021-01-04;3.0;1012.499991;7604.0;5.5088977212;5.7246738909;5.5088977212;5.7246738909;5.579355246
2021-01-05;6.0;2024.999982;14864.0;5.4384401964;5.5088977212;5.3944042434;5.5088977212;5.4538527799
2021-01-06;12.0;4049.999964;30500.0;5.7246738909;5.5044941259;5.3944042434;5.7246738909;5.5947678295
2021-01-07;24.0;10124.99991;80171.0;5.8743961311;5.9008177029;5.6145840084;6.120997468;5.8832033217
2021-01-08;34.0;18224.999838;155471.0;6.341177233;6.0549435385;5.9448536559;6.8255727161;6.3389754353
2021-01-11;3.0;1349.999988;11250.0;6.0989794915;6.341177233;6.0989794915;6.341177233;6.1914549928
2021-01-12;14.0;10124.99991;87648.0;6.3940203766;6.0989794915;6.0989794915;6.4953030685;6.4314509367
2021-01-13;19.0;10462.499907;85283.0;6.076961515;6.4953030685;5.9448536559;6.4953030685;6.0571453361
2021-01-15;1.0;337.499997;2800.0;6.165033421;6.165033421;6.165033421;6.165033421;6.165033421
2021-01-18;3.0;1012.499991;8520.0;6.3631952095;6.120997468;6.120997468;6.3631952095;6.253105327
2021-01-20;2.0;674.999994;5550.0;6.0549435385;6.165033421;6.0549435385;6.165033421;6.1099884797
2021-01-21;2.0;674.999994;5390.0;5.8347637734;6.0329255619;5.8347637734;6.0329255619;5.9338446677
2021-01-26;5.0;2024.999982;16117.0;5.8347637734;5.8369655711;5.8347637734;6.0395309549;5.9140284888
2021-01-28;8.0;5399.999952;42440.0;5.8347637734;5.8347637734;5.8347637734;5.8787997264;5.8391673687
2021-01-29;2.0;2362.499979;18200.0;5.7246738909;5.7246738909;5.7246738909;5.7246738909;5.7246738909
2021-02-02;6.0;2024.999982;16378.0;5.7246738909;6.1430154445;5.7246738909;6.1628316233;6.0087057878
2021-02-03;7.0;2362.499979;18015.0;5.7246738909;5.7246738909;5.6145840084;5.7246738909;5.6652253543
2021-02-04;1.0;337.499997;2650.0;5.8347637734;5.8347637734;5.8347637734;5.8347637734;5.8347637734
2021-02-05;1.0;337.499997;2602.0;5.7290774862;5.7290774862;5.7290774862;5.7290774862;5.7290774862
2021-02-08;5.0;3037.499973;23533.0;5.8787997264;5.748893665;5.7290774862;5.8787997264;5.755499058
2021-02-10;4.0;1349.999988;10115.0;5.5375210906;5.7246738909;5.5044941259;5.7246738909;5.5661444601
2021-02-12;1.0;337.499997;2490.0;5.4824761494;5.4824761494;5.4824761494;5.4824761494;5.4824761494
2021-02-17;7.0;2362.499979;17850.0;5.6145840084;5.6145840084;5.6145840084;5.6145840084;5.6145840084
2021-02-19;1.0;337.499997;2540.0;5.5925660319;5.5925660319;5.5925660319;5.5925660319;5.5925660319
2021-02-22;2.0;2024.999982;14950.0;5.4494491846;5.5044941259;5.4494491846;5.5044941259;5.484677947
2021-02-23;1.0;337.499997;2700.0;5.9448536559;5.9448536559;5.9448536559;5.9448536559;5.9448536559
2021-02-26;1.0;674.999994;5022.0;5.5287139;5.5287139;5.5287139;5.5287139;5.5287139
2021-03-02;2.0;674.999994;4839.0;5.5903642342;5.0641345958;5.0641345958;5.5903642342;5.3261485162
2021-03-03;5.0;2362.499979;17214.0;5.5044941259;5.7246738909;5.2865161585;5.7246738909;5.4142204222
2021-03-04;1.0;674.999994;5000.0;5.5044941259;5.5044941259;5.5044941259;5.5044941259;5.5044941259
2021-03-08;5.0;4387.499961;32562.0;5.4604581729;5.7246738909;5.4604581729;5.7246738909;5.5133013165
2021-03-09;1.0;674.999994;4900.0;5.3944042434;5.3944042434;5.3944042434;5.3944042434;5.3944042434
2021-03-15;2.0;674.999994;5270.0;5.8787997264;5.7246738909;5.7246738909;5.8787997264;5.8017368087
2021-03-17;7.0;2362.499979;18247.0;6.165033421;5.5088977212;5.5088977212;6.165033421;5.7378846768
2021-03-18;39.0;13162.499883;107096.0;5.8633871429;6.2751233035;5.7246738909;6.385213186;6.0461363478
2021-03-19;1.0;674.999994;5490.0;6.0439345502;6.0439345502;6.0439345502;6.0439345502;6.0439345502
2021-03-23;1.0;674.999994;5488.0;6.0417327526;6.0417327526;6.0417327526;6.0417327526;6.0417327526
2021-03-30;5.0;2024.999982;15299.0;5.7246738909;5.5044941259;5.5044941259;5.7246738909;5.6123822107
2021-03-31;3.0;1012.499991;7707.0;5.7246738909;5.7246738909;5.5199067094;5.7246738909;5.6564181637
2021-04-07;1.0;337.499997;2631.0;5.7929296181;5.7929296181;5.7929296181;5.7929296181;5.7929296181
2021-04-08;1.0;337.499997;2600.0;5.7246738909;5.7246738909;5.7246738909;5.7246738909;5.7246738909
2021-04-12;7.0;2362.499979;17687.0;6.1408136468;5.2843143608;5.2843143608;6.1408136468;5.5617408648
2021-04-16;1.0;337.499997;2775.0;6.1099884797;6.1099884797;6.1099884797;6.1099884797;6.1099884797
2021-04-19;12.0;4724.999958;39993.0;6.165033421;6.1099884797;6.1099884797;6.3631952095;6.2883340894
2021-04-22;5.0;2024.999982;16798.0;6.0857687056;6.165033421;6.0857687056;6.2398945411;6.1628316233
2021-04-23;15.0;10462.499907;90200.0;6.4953030685;6.3609934119;6.253105327;6.4953030685;6.4050293649
2021-04-26;8.0;7762.499931;67804.0;6.4953030685;6.4953030685;6.4182401508;6.4953030685;6.4908994732
2021-04-27;22.0;12487.499889;110435.0;6.9356625986;6.473285092;6.473285092;6.9356625986;6.5701641886
2021-04-28;9.0;6074.999946;56650.0;6.9356625986;6.9356625986;6.8255727161;6.9356625986;6.9290572056
2021-04-29;9.0;3374.99997;29420.0;6.5717233291;6.929768945;6.5717233291;6.929768945;6.6669000118
2021-04-30;27.0;9787.499913;92587.0;7.251556777;6.7983344784;6.7983344784;7.4328456964;7.233427885
2021-05-03;13.0;8437.499925;79899.0;7.251556777;7.251556777;7.0249456277;7.251556777;7.2402262195
2021-05-04;16.0;13837.499877;131126.0;7.251556777;7.251556777;7.1677106517;7.2538228885;7.247024554
2021-05-05;5.0;2699.999976;25160.0;7.0702678576;7.3648623516;7.0249456277;7.3648623516;7.1269206449
2021-05-06;5.0;2362.499979;22050.0;7.2062345471;7.0702678576;7.0702678576;7.2062345471;7.1382512023
2021-05-07;16.0;11137.499901;99945.0;6.6872950153;7.0702678576;6.6872950153;7.0702678576;6.8617856002
2021-05-10;65.0;39487.499649;373225.0;7.3784590206;6.8006005899;6.7983344784;8.3619514085;7.2266295506
2021-05-11;44.0;34424.999694;314497.0;6.9139061646;7.3648623516;6.8209955933;7.3648623516;6.9864217323
2021-05-12;60.0;34762.499691;311696.0;6.8006005899;7.0249456277;6.6850289038;7.1087917529;6.8572533772
2021-05-13;80.0;76949.999316;679778.0;6.7416816911;6.6850289038;6.6193116705;7.1155900874;6.7552783601
2021-05-14;38.0;31049.999724;273905.0;6.6397066739;6.6963594612;6.6397066739;6.9093739416;6.7462139141
2021-05-17;47.0;32737.499709;291342.0;6.7983344784;6.8006005899;6.6850289038;7.0249456277;6.8051328129
2021-05-18;94.0;79649.999292;720517.0;7.0249456277;7.0249456277;6.7983344784;7.3422012367;6.9184383875
2021-05-19;26.0;13499.99988;122348.0;6.7983344784;7.0249456277;6.6850289038;7.0249456277;6.929768945
2021-05-20;2.0;1687.499985;14995.0;6.7960683669;6.7960683669;6.7960683669;6.7960683669;6.7960683669
2021-05-21;19.0;9449.999916;82121.0;6.7303511336;6.7960683669;6.3904344097;6.7960683669;6.6442388969
2021-05-25;7.0;2362.499979;21461.0;6.9796233978;7.0022845128;6.9093739416;7.0022845128;6.9456317255
2021-05-26;12.0;7762.499931;69181.0;6.7983344784;6.9116400531;6.7303511336;6.9116400531;6.8141972589
2021-05-27;22.0;14849.999868;132169.0;6.7983344784;6.5943844441;6.460683866;6.8889789381;6.8051328129
2021-05-28;34.0;17212.499847;149102.0;6.7303511336;6.6872950153;6.5717233291;6.7303511336;6.6238438935
2021-05-31;14.0;8437.499925;77139.0;6.934301168;6.8006005899;6.8006005899;7.1382512023;6.9909539553
2021-06-01;63.0;29024.999742;296914.0;7.7047790755;7.1155900874;7.1155900874;8.1353402592;7.8226168732
2021-06-02;63.0;30712.499727;361692.0;9.288791009;8.0446957995;8.0446957995;9.6309738444;9.0077931839
