Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2009-11-18;0.0;0.0;0.0;1.3545732367;1.3545732367;1.3545732367;1.3545732367;1.3545732367
2009-11-19;444.0;8420100.0;29792721.0;1.3803746317;1.3700540737;1.3674739342;1.3868249804;1.3687640039
2009-11-23;197.0;807000.0;2900996.0;1.4139164452;1.3829547712;1.3765044224;1.4177866544;1.3906951897
2009-11-24;138.0;234900.0;847846.0;1.4035958872;1.4190767242;1.3906951897;1.4345575611;1.3971455384
2009-11-25;87.0;558600.0;2042904.0;1.4126263754;1.3932753292;1.3932753292;1.4255270729;1.4152065149
2009-11-26;66.0;338700.0;1253140.0;1.4293972821;1.4152065149;1.4126263754;1.4384277704;1.4319774216
2009-11-27;54.0;553800.0;2065898.0;1.4551986771;1.4319774216;1.4190767242;1.4642291654;1.4435880494
2009-11-30;44.0;153900.0;576773.0;1.4551986771;1.4771298629;1.4229469334;1.4771298629;1.4500383981
2009-12-01;48.0;73800.0;280796.0;1.4810000721;1.4758397931;1.3829547712;1.4835802116;1.4719695839
2009-12-02;17.0;41100.0;157418.0;1.4706795141;1.4835802116;1.4655192351;1.4835802116;1.4822901419
2009-12-03;13.0;16500.0;62191.0;1.4590688864;1.4577788166;1.4577788166;1.4642291654;1.4590688864
2009-12-04;10.0;23700.0;89226.0;1.4693894444;1.4526185376;1.4526185376;1.4693894444;1.4564887469
2009-12-07;9.0;12600.0;46949.0;1.4023058174;1.4319774216;1.4023058174;1.4577788166;1.4422979796
2009-12-08;18.0;55200.0;198989.0;1.4190767242;1.4384277704;1.3868249804;1.4513284679;1.3945653989
2009-12-09;15.0;24000.0;88129.0;1.4306873519;1.4190767242;1.4190767242;1.4384277704;1.4216568636
2009-12-10;36.0;93300.0;343526.0;1.4564887469;1.4448781191;1.4190767242;1.4590688864;1.4255270729
2009-12-11;8.0;25500.0;93722.0;1.4190767242;1.4564887469;1.4190767242;1.4564887469;1.4229469334
2009-12-14;11.0;9900.0;36429.0;1.4513284679;1.4190767242;1.4190767242;1.4513284679;1.4242370031
2009-12-15;12.0;11100.0;40577.0;1.4190767242;1.4010157477;1.4010157477;1.4448781191;1.4152065149
2009-12-16;14.0;23100.0;84963.0;1.4164965847;1.4435880494;1.4061760267;1.4435880494;1.4229469334
2009-12-17;12.0;60000.0;218146.0;1.3945653989;1.4164965847;1.3790845619;1.4164965847;1.4074660964
2009-12-18;19.0;43500.0;156670.0;1.4306873519;1.3803746317;1.3777944922;1.4306873519;1.3932753292
2009-12-21;21.0;32400.0;119857.0;1.4564887469;1.4190767242;1.4061760267;1.4564887469;1.4319774216
2009-12-22;22.0;42600.0;159790.0;1.4577788166;1.4551986771;1.4074660964;1.4577788166;1.4513284679
2009-12-23;7.0;13500.0;50841.0;1.4577788166;1.4551986771;1.4551986771;1.4577788166;1.4577788166
2009-12-28;2.0;600.0;2248.0;1.4487483284;1.4513284679;1.4487483284;1.4513284679;1.4500383981
2009-12-29;12.0;43500.0;160619.0;1.4448781191;1.4255270729;1.4190767242;1.4448781191;1.4293972821
2009-12-30;27.0;45300.0;170605.0;1.4784199326;1.4474582586;1.4190767242;1.4784199326;1.4577788166
2010-01-04;14.0;22800.0;87012.0;1.4771298629;1.4810000721;1.4577788166;1.4900305604;1.4771298629
2010-01-05;13.0;52200.0;198866.0;1.4706795141;1.4951908394;1.4513284679;1.4964809091;1.4745497234
2010-01-06;15.0;31800.0;120812.0;1.4577788166;1.4319774216;1.4319774216;1.4822901419;1.4706795141
2010-01-07;14.0;28800.0;109569.0;1.4706795141;1.4900305604;1.4642291654;1.4900305604;1.4719695839
2010-01-08;2.0;2700.0;10270.0;1.4732596536;1.4706795141;1.4706795141;1.4732596536;1.4719695839
2010-01-11;9.0;16200.0;61314.0;1.4706795141;1.4758397931;1.4577788166;1.4964809091;1.4642291654
2010-01-12;3.0;6900.0;26105.0;1.4642291654;1.4642291654;1.4642291654;1.4642291654;1.4642291654
2010-01-13;8.0;15300.0;57753.0;1.4590688864;1.4642291654;1.4590688864;1.4706795141;1.4603589561
2010-01-14;32.0;71400.0;274618.0;1.5029312578;1.4835802116;1.4835802116;1.5029312578;1.4887404906
